constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  
MABsolver_config: params: weights:  [  0.708700  ]  [  42.830000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52244.00   2608.50     91.79     41.18          134.00    128.00     98.00     12.00     72.22     65.00     98.41     86.55     74.60     45.06    103.50     92.50    -40.00     99.60    -40.00    -33.33     80.00     60.00   -218.00     54.67   -132.00     27.50     85.41    -61.78     90.80     42.77     49.33     68.00     30.84     88.12    -14.76    -18.72     39.36     93.04     86.03     38.91     37.93 
     2    52406.50   2446.00     92.29     55.16           99.00     95.33     92.00      8.00    105.56     57.00     69.44     66.00     73.47     29.01    100.75    100.00    210.00     99.60     40.00     60.00     64.00     80.00    -83.00     54.67   -120.00     25.75     90.79     -0.44     90.80     45.85     41.33     49.33     21.50     69.31     37.45     21.17     10.64     88.57     77.42     30.81     39.70 
     3    52261.00   2591.50     92.26     59.70           94.00     84.89     74.67      4.00     59.26     39.67     65.34     69.82     82.46     38.68     98.17     99.17    260.00     99.60     40.00     24.44     66.67    106.67     -8.00     36.00    -62.67     28.67     85.25     18.22     90.80     37.44     86.67     48.44     40.19     67.00     14.44     34.26     52.13     84.59     80.78     36.08     31.24 
     4    52146.00   2706.50     91.77     54.78           88.00     84.00     77.00    -10.67     56.94     41.00     59.72     76.36     82.09     33.95     96.50     99.38    175.00     99.60     25.00     10.00     48.00    115.00     34.00     25.33    -62.00     28.50     87.20      8.00     90.80     28.62    120.00     -2.00     46.03     69.06      6.24     25.96     34.57     85.11     80.52     33.00     30.92 
     5    52250.00   2602.50     92.03     58.69           88.40     83.47     80.80      2.40     70.00     32.80     63.33     74.18     78.78     31.48     96.90     97.50    200.00     99.60     28.00     12.00     56.80    100.00     62.80     30.67    -24.80     29.10     88.66     -2.40     90.80     33.42     90.93     25.33     54.58     66.73     23.50     20.85     55.96     82.08     77.79     35.46     33.69 
     6    52360.83   2491.67     92.08     57.72           91.00     82.44     83.33     -1.78     50.93     47.50     63.10     76.00     77.48     31.69     97.50     96.67    156.67     99.60     33.33     15.56     60.00     93.33     51.00     40.89    -29.33     30.00     89.79      6.07     90.80     36.00     92.00     16.89     49.53     72.28     34.16     26.81     43.62     79.83     78.78     36.92     35.14 
     7    52266.43   2586.07     91.72     55.44           92.86     76.76     86.86      4.38     34.92     43.71     62.24     74.29     76.61     30.07     97.50     93.93    160.00     99.60     17.14     -0.95     65.71     88.57     53.71     42.10    -48.57     29.79     89.75      8.06     90.80     34.33     84.38     15.81     41.79     71.85     26.21     29.51     48.48     79.01     78.76     37.70     33.68 
     8    52230.25   2622.25     91.49     54.17           86.25     76.00     86.75      3.33     29.86     45.38     63.10     68.59     79.02     29.48     97.62     95.31    135.00     99.60     15.00      0.00     75.25     72.50     49.00     50.00    -29.00     29.69     89.20      5.11     90.80     25.69     74.67     29.67     40.19     70.42     20.86     32.18     36.17     80.16     78.85     38.41     34.04 
     9    52211.78   2640.72     91.48     53.84           88.00     80.44     86.00      9.33     20.99     43.67     68.52     70.71     80.60     28.53     97.83     95.56    151.11     99.60      6.67     -2.22     71.56     66.67     36.67     46.67    -21.78     29.56     88.78      6.17     90.80     29.91     60.00     38.67     39.04     73.16     17.33     25.11     37.94     81.02     78.64     37.44     33.49 
