constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.800000  ]  [  1.600000  ]  [  0.900000  ]  [  30.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    51870.00   2982.50     91.82     58.30           86.00     94.67     96.00     17.33    -11.11     99.00     59.52     96.00     90.93     68.52    100.50     97.50    320.00     99.60     20.00     73.33      8.00     20.00     70.00     46.67    132.00      4.00     90.43    -12.00     93.40     -7.69     -4.00      6.67     84.11    -13.86    -20.83    -16.17     13.83     63.01     68.63     79.81     43.24 
     2    51814.50   3038.00     91.54     53.42           84.00     88.00     89.00      1.33     72.22     79.50     39.68     91.27     81.63     65.74    101.25     98.75    130.00     99.60    -40.00     33.33     11.00     20.00     73.00    -10.67    208.00     17.00     86.12     25.33     93.40     18.15     33.33     25.33     49.07    -26.73    -21.59    -16.17     20.21     65.85     70.85     73.57     46.11 
     3    51856.67   2995.83     90.63     45.18           84.67     91.56     78.67    -17.33     38.89     83.67     33.33     88.85     82.46     54.94     98.17    100.83    120.00     99.60    -20.00     20.00     18.00     -6.67     50.00    -15.56    110.67     15.17     87.08     21.19     93.40     15.69     12.00    -28.00     44.24    -30.36    -17.43      3.19      5.32     73.35     76.41     58.12     47.51 
     4    51936.25   2916.25     90.92     47.94           85.00     82.33     79.50    -12.00     29.17     89.00     35.12     87.73     83.56     61.11     98.62    101.25    140.00     99.60    -10.00     40.00     33.00    -20.00     43.00     14.00    108.00     18.50     89.35     18.22     93.40     28.00     -6.67     10.67     30.14    -23.76    -18.83     -6.91     13.83     73.28     80.87     60.09     45.50 
     5    51946.00   2906.50     91.24     49.05           88.40     84.80     78.40    -15.20     42.22     91.00     39.37     87.27     81.32     55.56     99.00    101.00    132.00     99.60     -4.00     17.33     46.00     28.00     29.20     -2.93    106.40     19.40     86.94     22.49     93.40     30.46    -28.53     26.40     28.04     -0.20    -19.61      2.09     13.83     77.01     77.98     55.33     45.14 
     6    51994.83   2857.67     91.47     50.59           87.33     86.67     73.33    -19.11     50.93     85.67     48.02     88.55     80.73     54.22     98.75    101.25     93.33     99.60     10.00      2.22     43.33     50.00     41.00     -0.44     93.33     17.67     87.12     20.30     93.40     33.74     23.56     19.56     31.93     17.16    -17.40     -4.36     24.47     79.82     77.04     56.80     42.43 
     7    51978.57   2873.93     91.60     51.34           82.29     93.90     74.00     -8.57     76.19     82.71     41.61     87.48     81.34     55.91     98.86     99.64     91.43     99.60      5.71     -0.95     38.86     51.43     63.14     -2.48     52.00     17.29     85.34     26.60     93.40     37.49     28.76     31.81     32.04     19.66    -18.66     -6.32     32.07     79.73     76.04     58.91     41.41 
     8    52003.38   2849.12     91.63     50.69           86.75     97.17     76.00    -13.67     55.56     85.50     41.17     86.27     82.03     49.69     98.81    100.62     75.00     99.60     20.00     -1.67     43.75     70.00     67.00    -14.00     47.00     17.50     84.99     18.89     93.40     36.46     17.33     39.33     36.33     14.60    -17.79     -6.84     28.99     81.20     77.85     59.23     41.55 
     9    51971.33   2881.17     91.43     49.43           87.11     94.67     75.78    -16.74     51.23     85.56     38.27     83.27     84.78     49.52     99.28     99.72     46.67     99.60     24.44      5.19     48.22     48.89     83.33     -8.74     38.67     17.39     83.31     19.21     93.40     36.21     15.56     36.30     28.14     26.40    -17.32     -8.01     22.34     79.99     77.14     59.16     41.15 
    10    51989.40   2863.10     91.41     49.97           87.40     92.40     73.20    -16.27     52.22     82.40     43.02     83.49     84.90     53.15     99.65    100.50     52.00     99.60     30.00      5.33     43.60     32.00     86.20    -14.93     40.80     17.55     83.33     19.11     93.40     35.02     32.80     47.20     24.95     21.09    -16.77     -2.77     27.23     81.03     77.59     57.32     40.01 
    11    51983.64   2868.86     91.17     48.24           86.55     87.27     67.27    -12.97     50.51     82.36     37.30     81.72     84.33     49.78     99.23     99.32     36.36     99.60     18.18      0.61     42.18     27.27     77.09    -10.55     36.00     17.91     84.23     21.13     93.40     37.06     39.15     54.67     18.78     12.51    -16.43     -4.68     27.76     81.87     78.63     58.25     41.13 
    12    51958.75   2893.75     91.20     48.17           84.00     87.11     66.17    -20.00     44.44     81.08     39.68     82.48     85.64     47.43     99.46     98.96     43.33     99.60      8.33      3.33     39.00     40.00     85.00    -16.22     40.00     16.88     83.65     13.78     93.40     41.44     48.44     54.67     14.33     14.77    -16.98     -2.13     23.94     80.89     78.96     58.70     38.86 
    13    51943.23   2909.27     91.17     47.99           82.62     86.87     67.85    -19.79     47.01     78.69     42.74     81.48     86.64     43.21     99.15     98.65     29.23     99.60      9.23      8.72     41.85     41.54     82.00     -7.69     36.62     17.46     83.55      8.51     93.40     40.69     46.05     54.46     18.04     20.26    -16.53      2.09     18.74     81.21     77.72     60.10     33.74 
    14    51912.57   2939.93     91.02     46.96           83.14     84.86     63.43    -19.05     47.62     81.21     39.00     82.65     86.26     41.31     99.14     98.75     15.71     99.60      4.29      5.71     37.14     38.57     85.86     -6.86     36.57     17.54     83.00      0.95     93.40     40.48     44.00     56.76     21.03     18.18    -16.19      0.33     22.49     80.78     76.91     59.86     33.00 
    15    51928.07   2924.43     91.02     46.15           82.00     86.93     60.93    -14.13     44.07     80.80     34.02     81.94     87.88     42.30     99.20     98.00      2.67     99.60     -1.33      6.67     36.53     40.00     90.00    -14.67     35.47     17.40     81.95      3.53     93.40     40.72     34.40     59.47     20.87     19.93    -15.87      3.79     16.38     81.12     77.79     60.02     33.80 
    16    51926.19   2926.31     91.00     45.80           78.25     85.42     60.00    -12.00     40.97     81.94     35.57     81.86     88.49     41.55     99.09     98.12      1.25     99.60     -6.25      6.67     33.75     36.25     84.25    -16.33     44.00     17.25     81.77      3.44     93.40     35.08     41.33     58.17     19.28     23.89    -16.51      6.41     15.43     81.40     77.65     59.48     34.87 
    17    51947.94   2904.56     91.07     46.56           79.06     85.88     62.12     -8.24     40.52     82.82     36.97     81.48     87.54     45.13     98.53     97.79      7.06     99.60     -2.35      4.31     36.71     38.82     89.06    -11.69     42.12     16.68     82.54      0.76     93.40     35.82     39.29     58.59     21.72     21.43    -16.48      6.06     13.83     81.92     77.06     59.74     37.09 
    18    51955.89   2896.61     91.02     46.19           81.33     85.48     61.22     -6.37     37.35     83.50     33.69     81.37     88.59     44.48     98.81     97.64      8.89     99.60      3.33      1.48     38.11     33.33     83.67    -16.74     24.00     16.75     83.19     -1.93     93.40     35.25     48.15     59.56     24.82     19.64    -16.54      8.83     18.09     82.64     76.37     61.07     37.10 
    19    51967.95   2884.55     91.04     45.46           82.11     86.18     61.68     -3.16     35.96     82.89     33.46     82.32     90.00     44.90     98.63     97.50     -4.21     99.60      5.26      0.35     36.00     34.74     84.21    -18.74     15.37     16.13     83.14      0.91     93.40     35.97     44.00     49.61     25.28     21.52    -16.74     12.05     13.49     83.08     76.31     60.13     38.54 
    20    51962.50   2890.00     91.10     45.62           82.80     85.33     63.80     -5.73     38.89     83.35     37.14     81.73     90.77     44.88     98.88     97.12      2.00     99.60      6.00      2.00     37.90     37.00     89.80    -21.73      7.60     15.75     82.85      2.13     93.40     37.17     36.53     44.27     23.88     23.22    -16.64     14.09     17.02     82.72     76.62     58.83     36.90 
    21    51979.33   2873.17     91.11     46.00           82.00     86.35     63.33     -5.27     34.39     83.81     38.93     82.23     90.86     44.36     98.95     97.50     11.43     99.60      7.62     -1.59     40.48     33.33     96.86    -15.17      4.76     16.12     82.65     -0.99     93.40     38.02     28.51     47.43     24.17     23.62    -16.39     13.50     21.12     83.33     76.55     58.48     37.81 
    22    51986.23   2866.27     91.12     45.40           82.64     82.67     65.18     -5.70     32.32     83.55     41.88     82.84     91.63     45.54     99.00     98.18     -2.73     99.60      7.27     -1.82     40.64     30.91     95.91    -12.97     -9.09     15.75     83.06      0.85     93.40     38.52     25.09     50.79     24.04     23.18    -16.63     16.38     21.08     82.50     76.35     58.65     39.22 
    23    51992.57   2859.93     91.16     45.36           82.52     82.14     64.96     -4.23     36.47     82.65     41.99     82.94     90.18     46.51     98.80     98.15     -9.57     99.60      3.48     -0.29     36.70     32.17     98.17    -17.10     -7.83     15.83     83.33      3.23     93.40     39.24     27.07     52.35     22.51     23.50    -16.37     17.96     20.77     82.29     77.00     58.22     39.41 
    24    51982.08   2870.42     91.14     45.54           84.67     82.61     63.50     -5.00     34.95     81.79     43.02     82.47     90.91     46.91     98.71     97.81     -1.67     99.60      0.83      1.11     39.25     30.00     98.00    -12.78     -6.67     15.65     84.01      3.48     93.40     39.49     27.33     53.56     20.76     20.87    -16.63     16.65     21.01     81.85     76.74     57.15     39.74 
    25    51976.16   2876.34     91.11     45.36           85.04     80.53     61.60     -4.96     37.56     82.96     43.75     82.05     90.51     48.25     98.78     97.70     -7.20     99.60     -0.00     -0.80     40.80     33.60     92.08    -10.83     -2.40     15.68     84.38      3.29     93.40     39.37     26.29     54.77     20.19     19.60    -16.42     15.44     18.94     81.53     76.38     56.33     40.61 
    26    51971.69   2880.81     91.06     45.63           83.46     81.28     60.31     -1.85     39.32     83.54     45.82     82.34     89.64     49.15     98.79     97.60     -0.77     99.60      3.08      0.00     41.77     25.38     88.92     -5.64      4.92     15.79     84.50      2.22     93.40     39.83     25.95     55.59     17.54     20.98    -16.56     14.08     14.57     81.34     76.03     55.55     40.98 
    27    51970.26   2882.24     91.04     45.81           83.63     80.79     61.78      0.15     40.95     81.00     45.47     81.90     88.93     49.06     98.91     97.87      3.70     99.60     -0.00      1.73     42.59     19.26     83.56     -1.53     13.48     15.63     84.74      3.34     93.40     38.85     25.63     55.85     16.13     23.10    -16.76     15.93     13.36     80.86     76.78     55.65     39.75 
    28    51973.11   2879.39     91.07     45.98           83.50     80.67     62.14      0.10     39.68     81.21     46.88     81.90     88.56     50.18     98.82     97.95     -1.43     99.60      0.71      3.81     44.00     17.86     77.29     -0.38     20.86     15.23     85.09      2.98     93.40     39.03     27.24     58.67     16.12     25.53    -16.57     14.67     13.37     80.48     76.62     54.93     40.60 
    29    51975.97   2876.53     91.06     46.26           82.97     80.74     60.76     -0.14     39.85     81.38     47.26     81.57     88.40     48.34     98.78     98.10      6.21     99.60      1.38      1.61     45.31     19.31     78.48      0.51     18.07     15.40     85.03      3.57     93.40     41.07     34.07     53.66     15.28     26.53    -16.07     16.32     12.51     80.11     76.90     54.83     40.55 
    30    51973.10   2879.40     91.06     46.38           83.07     80.62     60.40     -1.51     37.96     81.87     44.81     81.87     87.74     48.85     98.83     97.92      9.33     99.60      0.67      2.67     46.73     18.67     78.80      1.60     19.47     15.50     85.22      1.81     93.40     42.19     35.64     54.93     12.31     28.51    -16.11     14.66     15.74     80.49     76.66     54.40     40.84 
    31    51963.58   2888.92     91.03     46.32           83.35     79.96     59.55     -0.65     36.74     82.29     44.80     81.21     87.46     46.73     98.73     97.74     11.61     99.60      0.65      8.39     48.71     12.90     73.87     -1.25     19.23     15.63     85.24      2.39     93.40     42.53     38.49     55.53     11.00     29.89    -16.19     14.39     18.36     80.00     77.14     54.00     40.33 
    32    51967.78   2884.72     91.03     46.35           84.06     80.54     59.94      1.17     35.24     81.62     45.41     81.16     87.81     48.36     98.67     97.81     11.88     99.60      1.25      6.25     48.75     10.62     71.13     -0.17     20.00     15.44     84.99      3.39     93.40     42.69     42.33     53.92      9.78     31.75    -16.27     12.67     18.22     80.38     77.23     53.88     40.01 
    33    51945.70   2906.80     90.94     46.14           83.64     80.20     61.03     -0.12     31.31     81.18     46.95     81.21     87.40     47.77     98.56     98.03     21.21     99.60      2.42      5.86     50.06      9.09     68.36      0.36     22.67     15.24     85.10      3.95     93.40     39.00     38.99     54.99      8.35     29.43    -16.44     11.37     17.89     80.20     77.10     51.82     39.87 
