constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  
MABsolver_config: params: numInputs:  3  
MABsolver_config: params: weights:  [  0.452300  -0.443900  0.172100  0.249100  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52044.00   2808.50     89.48     42.76           36.00     73.33     58.00      4.00    -44.44     -1.00     51.59     52.73     93.65     49.38    100.00     90.00    -80.00     99.60    -20.00     20.00     50.00      0.00     76.00    174.67    188.00     28.00     79.43    -65.33     63.00     44.00     60.00    -97.33     37.38     44.55     81.66    -18.72     26.60     66.09     59.75     41.04     60.68 
     2    52177.00   2675.50     90.30     41.18           77.00     52.67     91.00      9.33    -33.33     14.50     42.46     37.09     98.19     50.31     99.25    100.00   -260.00     99.60     30.00      0.00     61.00    -10.00    106.00    114.67    116.00     31.25     85.77    -32.44     63.00     45.85      1.33    -13.33     -4.21     80.20     82.90      8.72     39.36     67.88     57.85     53.92     60.02 
     3    52191.00   2661.50     90.40     44.21           56.67     61.78     62.67      7.56      1.85      2.33     49.47     42.18     98.03     48.15     99.83    102.50   -146.67     99.60     46.67     37.78     88.00     -6.67     44.00    132.00     52.00     29.50     84.37      2.81     63.00     45.64     52.89    -43.11     -2.49     80.20     82.57     -7.23     26.60     72.36     56.48     53.70     58.92 
     4    52221.50   2631.00     90.61     43.92           67.00     67.00     66.00      0.00      1.39      4.50     47.62     47.45     93.99     49.54     99.00    102.50   -215.00     99.60     55.00     50.00    100.50    -10.00     32.50    118.00     34.00     28.75     82.30     12.89     63.00     45.23     57.33    -18.67      5.37     72.77     81.97     11.12     28.19     68.98     56.95     59.76     58.37 
     5    52192.00   2660.50     90.72     44.50           74.00     64.80     68.00     23.73    -27.78    -16.20     46.98     49.89     91.56     49.01     99.30    100.50    -84.00     99.60     16.00     57.33     88.00     28.00     16.00     95.73      4.00     28.80     79.09     19.29     63.00     44.00     37.60    -17.33      7.29     75.25     82.48     18.04     21.49     67.73     57.77     57.72     59.80 
     6    52202.33   2650.17     90.82     44.45           77.67     64.22     69.00     14.22    -15.74     -9.33     41.67     52.79     93.20     49.79     99.58    100.83    -73.33     99.60     16.67     44.44     80.33     23.33     18.00     59.11     10.67     28.58     78.15     18.22     63.00     49.95     27.11      1.78      4.05     75.41     82.53     27.02     30.85     66.53     59.41     57.15     58.03 
     7    52247.57   2604.93     90.88     47.25           78.29     66.48     74.00     10.48    -16.67    -21.00     42.06     52.42     96.63     46.21    100.14    101.43      5.71     99.60     11.43     50.48     78.86     -2.86     28.00     62.67     29.14     29.86     81.10     24.32     63.00     50.86     35.62      8.95      2.94     75.53     81.97     29.70     28.42     69.90     58.81     55.68     58.03 
     8    52282.00   2570.50     90.86     47.81           74.25     72.50     72.00     14.33    -15.28    -10.25     43.85     52.36     95.75     49.15     99.06    100.94     47.50     99.60     10.00     31.67     82.25      5.00     27.25     48.67     19.00     28.88     82.15     14.44     63.00     48.46     59.33      8.67     -0.12     73.39     81.97     21.73     21.01     71.43     61.16     55.78     58.17 
     9    52279.78   2572.72     90.89     48.01           76.89     73.78     77.11     13.19     -8.64     -8.33     46.83     51.60     95.97     50.48     99.06    100.28     53.33     99.60     13.33     21.48     85.11     15.56     14.67     53.19     24.44     28.17     82.08     14.47     63.00     47.42     37.48     16.44      2.60     70.19     81.95     18.72     18.79     71.34     60.43     56.12     58.40 
    10    52284.40   2568.10     90.96     47.54           80.80     76.67     75.80     12.00    -12.78     -2.00     49.44     51.89     95.15     50.12     98.90    101.00     34.00     99.60     20.00     25.33     87.20     18.00     13.60     51.20     16.80     28.80     81.96     16.09     63.00     47.32     23.73     13.07      4.39     67.03     82.14     20.28     21.49     70.82     59.79     57.13     59.07 
    11    52263.91   2588.59     90.85     47.64           80.91     76.24     76.55      9.33     -8.08     -0.64     47.40     53.69     94.06     50.51     99.05    101.36     67.27     99.60     18.18     20.00     85.45     14.55     17.64     45.94     17.82     29.27     82.51     12.57     63.00     47.47     22.18      4.24      3.99     65.71     82.16     22.71     16.15     70.36     59.02     56.97     57.43 
    12    52253.50   2599.00     90.80     45.82           85.17     75.11     79.00     11.78    -13.43     -3.92     48.48     54.67     95.99     53.50     98.71    101.46     40.00     99.60     15.00     24.44     82.00      8.33     18.00     35.11     24.67     28.79     82.62     13.19     63.00     45.03     11.56     -6.89      4.52     63.20     82.25     20.69      9.04     70.17     58.49     58.34     57.57 
    13    52260.38   2592.12     90.83     46.29           84.62     68.51     71.38     13.64     -9.83     -1.62     49.39     54.07     97.00     56.46     99.00    101.73     41.54     99.60     15.38     21.03     78.15     10.77     33.54     34.97     42.15     28.96     82.35      6.05     63.00     41.82     12.00     -4.00     -2.66     59.41     82.48     21.00     14.32     70.06     59.99     58.89     57.54 
    14    52263.36   2589.14     90.85     46.36           83.00     67.90     69.57     12.19     -9.52     -2.50     49.66     55.25     98.70     57.28     99.21    101.25     25.71     99.60     14.29     28.57     76.29      7.14     38.71     36.95     43.43     29.00     82.33     10.98     63.00     38.29     18.86     -4.38      5.14     54.81     82.31     22.40     13.83     69.31     59.78     60.35     56.68 
    15    52295.60   2556.90     90.99     47.29           85.33     68.00     68.00      6.13     -7.41      2.93     48.89     55.59     98.37     57.12     99.40    100.83     22.67     99.60      9.33     34.22     76.80     13.33     45.20     35.64     45.07     28.77     82.74     11.23     63.00     38.50     26.22      2.40      8.79     56.83     82.52     25.28     12.13     69.65     60.84     59.54     56.36 
    16    52307.69   2544.81     91.07     47.40           85.12     70.33     68.75      2.00     -2.78      3.50     48.21     57.16     97.79     59.61     99.47    100.62     25.00     99.60     11.25     35.83     68.88     15.00     43.00     33.50     52.50     28.53     81.64      7.89     63.00     39.00     15.00      1.17     14.84     55.07     82.66     27.07     16.22     69.02     62.01     60.39     55.96 
    17    52311.06   2541.44     91.13     46.92           86.24     71.14     68.47      1.18     -5.88      8.06     47.81     57.35     97.44     60.17     99.24     99.85     16.47     99.60      9.41     39.61     67.88     18.82     36.82     31.45     42.59     28.56     82.02      5.88     63.00     39.73      6.67      5.57     14.68     58.77     82.58     24.42     22.47     68.83     62.18     60.69     56.15 
    18    52322.50   2530.00     91.17     47.23           84.00     69.93     69.56      1.33     -2.16      8.22     48.37     55.86     97.38     60.39     99.03     99.86     25.56     99.60      5.56     40.00     69.78     16.67     33.33     22.22     46.67     28.36     82.26      4.20     63.00     35.04     14.67      9.93     17.76     57.81     82.57     26.88     24.11     68.92     62.84     60.90     56.98 
    19    52331.37   2521.13     91.18     47.06           81.16     68.77     71.26      3.44     -5.26      9.89     47.95     56.08     98.47     60.59     98.87     99.47     26.32     99.60      8.42     41.05     69.89     11.58     35.26     17.75     44.84     28.68     82.66      3.63     63.00     36.55     16.77      3.72     13.67     58.26     82.64     28.04     27.27     69.29     62.80     61.52     57.36 
