constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    53034.00   1818.50     92.15     54.48           96.00     66.67     48.00    150.67      0.00     -5.00     80.95     52.73    111.79     38.89     98.00    105.00    100.00     99.20    -40.00    -20.00     54.00      0.00     64.00    113.33   -108.00     74.50     91.39     43.11     91.40     79.69     12.00     28.00     57.01     76.24     90.76    -41.70     26.60     92.44     65.49     57.77     64.88 
     2    53033.00   1819.50     93.09     63.20           87.00     70.00     66.00    117.33     13.89     41.50     57.94     57.64     92.06     43.52     98.50    102.50      0.00     99.20      0.00     40.00     69.00    120.00    109.00    142.67     36.00     74.50     82.30     42.22     91.60     63.69     -4.00     46.67     78.97     84.65     89.17      4.57    -40.43     82.85     75.29     56.57     46.00 
     3    52941.00   1911.50     92.39     59.28           82.00     77.33     64.00     69.78     16.67     58.67     46.56     56.97     82.01     54.53     98.83     95.83    -93.33     99.20     40.00     33.33     60.00    100.00     88.00    130.22     -1.33     75.00     86.12     27.70     91.13     57.13     67.11     60.00     85.98     71.95     88.87      4.47    -35.11     77.36     74.77     53.43     48.24 
     4    52983.25   1869.25     92.66     59.84           86.00     78.67     62.50     48.00     52.78     60.25     45.24     59.27     82.54     58.49     99.62     93.75   -105.00     99.20     20.00     33.33     45.50    100.00     86.50    137.33     46.00     75.75     86.12     11.56     91.00     47.69     70.67     67.33     68.93     72.77     89.69     14.79    -29.26     81.43     74.09     52.26     49.42 
     5    52884.40   1968.10     92.42     56.56           82.80     75.73     70.00     44.00     44.44     51.40     44.44     61.67     81.95     54.20     98.10     95.50   -108.00     99.20     16.00     41.33     46.80     80.00     74.80     79.20     31.20     75.70     88.76     20.36     91.04     47.20     54.67     72.80     66.54     78.42     89.85     21.23    -25.74     78.60     70.11     52.67     45.89 
     6    52885.17   1967.33     92.33     54.70           81.33     71.11     67.67     40.00     33.33     40.83     49.87     63.45     85.34     50.72     98.75     93.33    -60.00     99.20     10.00     51.11     53.00     73.33     41.00     76.44     -8.00     75.25     89.23     26.22     91.10     42.77     40.44     69.33     58.10     74.59     89.66     13.51    -10.64     79.45     72.29     57.28     43.60 
     7    52899.00   1953.50     92.43     57.99           85.43     71.24     62.29     39.81     25.40     45.43     53.40     63.58     83.67     54.85     98.07     92.50     28.57     99.20     14.29     50.48     50.00     77.14     61.43     76.38    -12.00     74.43     89.41     30.67     90.89     42.95     61.52     67.62     50.33     73.55     89.26      7.72     -8.97     79.48     73.19     57.84     44.47 
     8    52871.13   1981.38     92.27     58.04           79.75     67.50     61.00     33.33     17.36     48.75     51.29     61.91     83.11     55.86     97.81     91.88     82.50     99.20     22.50     46.67     57.75     52.50     53.50     54.00    -12.00     74.69     90.64     35.78     90.95     44.77     51.33     64.33     45.79     73.14     89.28     12.71     14.63     78.37     71.65     57.27     46.05 
     9    52899.89   1952.61     92.19     56.32           81.11     65.04     63.78     39.85      3.09     47.22     51.06     60.61     83.02     56.72     97.33     93.06     46.67     99.16     28.89     37.78     59.11     53.33     48.00     46.07      5.78     74.61     89.87     35.60     91.00     48.79     32.15     57.33     47.46     73.27     89.01     13.90      5.32     80.17     72.94     57.74     47.95 
