constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52976.00   1876.50     91.80     39.30           62.00     64.00     94.00     62.67      5.56     82.00     85.71     64.00     94.10     18.52     98.00    105.00   -240.00     99.20    -20.00     46.67     66.00   -160.00     76.00     17.33    -28.00     77.50     88.76    -24.44     91.40     31.69    -57.33     17.33    -22.43     57.43     90.07     22.77     96.81     80.11     76.50     59.10     76.15 
     2    53073.50   1779.00     93.25     48.26           72.00     92.00     67.00      4.00     69.44     64.00     88.10     70.73     94.10     38.58     97.50     98.75   -210.00     99.20    -40.00     26.67     71.00     20.00    124.00     -8.00    -64.00     76.75     84.93     -1.33     90.10     28.62      6.67     49.33      6.07     64.36     91.45     11.91    115.96     82.60     80.20     52.46     70.51 
     3    52961.33   1891.17     92.54     51.72           66.67     87.56     64.67     13.78     64.81     69.00     77.25     59.76     85.03     36.63     99.83     98.33   -120.00     99.20     -6.67    -15.56     69.33      0.00    104.00    -24.44     41.33     75.50     87.56      0.44     90.27     45.23     54.67     53.78      0.31     69.31     90.21      6.17     94.68     83.96     76.10     52.10     62.75 
     4    52815.25   2037.25     91.86     49.79           60.00     74.33     48.00     12.67     38.89     59.75     66.27     58.00     84.13     41.82    100.25     95.00   -130.00     99.20     10.00    -13.33     40.50      5.00    143.50      5.33     56.00     76.88     89.89     -5.33     90.10     41.85     24.00     61.33      4.67     67.82     89.45     -6.60     88.83     79.54     74.39     50.53     59.64 
     5    52775.20   2077.30     91.31     45.82           63.60     73.33     45.60     20.53     12.22     51.60     57.14     61.38     82.59     40.99     99.20     95.50   -196.00     99.20     40.00    -20.00     54.40     -4.00     65.20      5.07     55.20     78.00     90.72     -7.73     90.32     47.20     25.87     68.53     18.69     60.99     89.74      6.43     66.17     77.61     72.19     47.99     59.85 
     6    52785.17   2067.33     91.13     46.87           66.67     68.89     44.00     24.89      1.85     49.50     55.82     66.18     81.71     35.39    100.50     96.67   -136.67     99.20     46.67    -22.22     60.33    -20.00     70.00     14.67     49.33     77.25     92.86      0.15     90.17     44.41     30.67     45.78     24.30     65.68     89.06      3.19     60.64     77.53     73.24     49.18     56.78 
     7    52758.43   2094.07     91.03     46.26           71.14     70.67     49.43     16.95     -0.00     51.00     53.06     64.94     83.35     37.65    100.21     96.43    -94.29     99.20     28.57    -25.71     58.86    -14.29     86.29      9.33     13.14     77.07     94.02    -16.83     90.09     44.53     22.67     57.71     27.77     66.34     88.93     -2.04     52.13     78.72     71.67     48.70     54.06 
     8    52708.00   2144.50     91.03     47.27           74.00     71.33     48.25     11.33    -11.11     50.38     56.75     64.82     81.52     40.20    100.50     96.25    -72.50     99.20     47.50    -18.33     65.75      7.50     75.25      2.33     26.00     77.19     93.00     -7.78     90.22     45.23     16.67     57.33     28.39     58.79     88.95     -4.36     40.16     76.67     70.19     51.39     49.97 
     9    52710.22   2142.28     91.08     47.75           69.56     69.78     55.11     12.59    -15.43     50.00     50.88     63.47     83.42     42.11     99.78     95.28    -62.22     99.20     37.78    -21.48     65.78     20.00     88.67     -9.93     20.89     77.83     93.06    -12.20     90.22     42.22     33.93     54.96     36.45     57.21     89.23      4.33     37.94     76.89     69.59     50.72     49.25 
