constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52536.00   2316.50     88.73     36.65           96.00     53.33     12.00    142.67    -50.00     -6.00     38.89     61.82     88.21     72.22     96.50     90.00    -80.00     99.20     20.00    -33.33     98.00   -120.00     52.00     52.00   -124.00     76.50     84.69     30.67     91.40     51.38    -84.00    142.67     47.66      6.93     84.41     -2.13    -62.77     87.77     59.10     55.11     27.11 
     2    52652.00   2200.50     89.65     44.02           99.00     59.33     37.00     80.00    -13.89     18.00     37.30     64.91     85.26     56.79     96.25     91.25    100.00     99.20     40.00    -66.67     81.00    -50.00     13.00    -24.00    -68.00     75.75     85.17     15.56     91.00     46.46      1.33     98.67     45.79     23.76     87.59     21.17    -37.23     78.77     71.64     44.62     42.90 
     3    52577.67   2274.83     90.23     48.25           92.67     53.78     44.00     82.22      1.85     28.33     48.94     55.39     83.82     65.84     97.00     90.83    160.00     99.20     66.67     -6.67     75.33    -46.67     -8.00    -14.67    -73.33     75.33     85.81     18.81     91.40     34.15     13.78     93.78     29.60     22.44     86.16      4.89     -7.45     76.34     67.21     52.46     44.05 
     4    52587.25   2265.25     90.39     49.48           92.00     58.67     44.00     74.00     19.44     33.00     28.77     58.73     84.69     62.04     97.50     90.62     95.00     99.20     70.00    -13.33     81.50    -40.00     22.00    -11.33    -34.00     75.25     83.73     20.44     91.60     29.85     32.00     92.67     29.91     30.45     87.10     -2.61      7.45     73.63     71.27     52.26     43.13 
     5    52557.60   2294.90     90.37     49.08           92.80     60.00     48.80     70.13     10.00     35.40     37.30     57.45     83.31     61.48     98.30     93.00    100.00     99.20     52.00    -14.67     72.00    -48.00     30.40    -13.07     -7.20     74.80     85.50     18.93     91.52     27.51     21.60     73.87     36.45     37.23     87.67     -6.47     13.83     72.76     68.58     49.32     44.21 
     6    52638.17   2214.33     90.79     49.80           91.33     62.44     53.00     45.33     23.15     41.17     44.18     59.52     81.71     60.39     97.33     89.58     80.00     99.20     30.00    -13.33     78.33    -13.33     39.00     20.89    -14.67     74.50     83.77      4.89     91.47     27.79      5.78     66.22     34.42     46.86     86.99     -9.68     28.72     74.88     71.56     50.15     48.98 
     7    52675.71   2176.79     91.05     50.40           92.86     62.29     61.71     48.57     12.70     42.86     45.01     58.75     79.20     61.64     98.43     91.07     54.29     99.20     28.57     -8.57     82.29      5.71     42.57     17.33     -2.86     74.21     85.37     -2.10     91.14     30.99     18.10     59.24     36.85     47.81     87.33    -11.98     22.95     74.09     72.74     53.41     51.00 
     8    52698.75   2153.75     91.38     53.50           92.00     58.83     53.75     48.00     21.53     41.38     52.28     61.23     79.59     62.04     98.31     90.62     77.50     99.20     30.00      6.67     83.50     12.50     59.50     13.67      9.00     73.94     85.59      3.33     90.90     31.38     21.33     75.00     36.68     47.28     87.24     -3.16     31.38     72.78     73.92     53.32     47.65 
     9    52727.44   2125.06     91.50     53.38           90.89     60.30     56.00     38.67     37.65     46.00     54.41     61.21     79.44     61.93     98.78     92.22     46.67     99.20     24.44     -0.74     78.22     15.56     57.33     25.93     19.11     74.33     84.82      9.93     90.96     28.82     20.30     71.85     35.83     42.35     87.60     -4.40     35.11     74.88     71.76     57.89     49.91 
    10    52747.00   2105.50     91.77     54.30           91.20     66.93     57.20     41.60     35.56     49.40     54.13     61.96     80.95     59.94     99.20     93.25     26.00     99.20     24.00      0.00     71.40     34.00     69.40     25.33     27.20     74.60     86.22     12.53     90.98     28.12     18.40     74.40     39.07     42.28     87.48      0.04     34.89     74.24     72.07     57.00     49.11 
    11    52727.64   2124.86     91.74     53.60           93.09     67.39     59.09     44.48     44.44     48.00     54.62     60.63     79.63     55.50     98.77     91.14      1.82     99.20     29.09      4.24     72.73     30.91     58.00     11.52     39.64     74.32     86.86      9.49     91.00     30.80     25.58     66.06     36.11     40.14     87.50      5.42     34.72     73.29     72.70     57.79     47.61 
    12    52750.42   2102.08     91.77     54.89           93.50     68.22     59.83     42.22     33.80     40.25     55.62     62.61     79.74     56.64     98.96     91.25     21.67     99.20     33.33      2.22     75.67     31.67     68.00     15.33     49.33     74.54     87.62     14.37     90.93     32.72     36.00     63.11     34.66     42.74     87.70      4.26     30.85     73.53     73.09     58.65     47.08 
    13    52757.00   2095.50     91.62     54.29           95.38     69.23     58.46     39.49     35.90     42.77     55.19     63.19     80.53     57.03     99.00     91.54     46.15     99.20     32.31     -6.67     76.77     23.08     52.46     14.87     37.23     74.81     87.19     15.08     90.86     32.17     37.03     61.23     36.66     43.26     87.95      0.62     25.12     74.62     72.38     58.71     48.08 
    14    52759.21   2093.29     91.70     55.52           93.86     68.19     60.43     38.48     28.57     44.93     51.53     64.18     83.25     58.91     98.79     91.61     78.57     99.20     32.86     -1.90     77.14     24.29     54.57     25.90     28.00     75.07     87.10     14.54     90.96     34.68     39.05     59.43     36.72     44.20     88.26      4.03     27.96     73.77     71.68     57.86     47.67 
    15    52740.73   2111.77     91.58     54.03           93.60     71.47     58.67     32.62     24.07     47.67     51.96     63.37     82.22     57.98     98.70     91.83     46.67     99.20     36.00      4.89     78.80     14.67     66.40     25.16     25.87     74.80     87.62      9.57     91.04     34.56     29.07     53.96     34.21     41.45     88.31      2.43     30.43     73.04     72.51     56.95     47.40 
    16    52747.75   2104.75     91.64     54.26           92.88     72.42     58.13     32.33     25.35     42.75     52.18     62.80     82.57     58.29     99.12     92.66     36.25     99.20     41.25      5.00     82.38     16.25     72.25     22.67     13.50     74.84     88.22     15.11     91.10     35.15     36.33     53.83     33.06     42.76     88.28      6.37     33.78     72.87     73.09     57.04     45.47 
    17    52766.41   2086.09     91.72     55.16           92.82     71.84     61.06     32.71     27.12     45.47     51.40     63.70     82.26     60.71     99.29     92.65     36.47     99.20     49.41      4.31     79.76     18.82     81.65     23.61     13.41     74.74     88.32     18.01     91.02     35.17     40.55     53.57     37.22     40.36     88.51      4.52     31.48     73.89     72.30     58.18     45.41 
    18    52782.56   2069.94     91.73     54.22           92.89     73.04     63.78     30.52     29.32     46.22     52.12     64.00     82.21     61.80     99.36     92.22     21.11     99.20     45.56     -1.48     78.33     22.22     77.00     20.74     -0.44     75.11     88.46     18.81     91.00     35.93     42.22     53.78     36.19     40.76     88.57      5.00     28.37     73.88     72.71     59.05     46.57 
    19    52787.00   2065.50     91.75     54.16           94.63     74.81     62.95     30.81     25.15     43.32     52.67     65.28     82.60     61.86     99.13     92.63     26.32     99.20     46.32      4.56     78.00     20.00     79.16     11.44     -2.74     75.03     88.29     17.85     91.06     36.94     44.00     53.40     36.84     41.48     88.49      5.16     25.25     73.94     73.38     58.16     46.43 
    20    52781.20   2071.30     91.72     54.10           94.00     74.67     62.20     34.80     23.33     41.15     51.43     64.02     82.74     62.35     99.20     92.25      6.00     99.20     52.00      2.67     78.10     19.00     78.40     11.33     10.00     75.00     89.39     20.36     91.02     36.25     51.20     51.33     34.95     42.57     88.48      7.32     24.36     73.99     73.03     58.29     45.14 
    21    52777.43   2075.07     91.68     53.67           93.81     74.73     64.67     36.63     18.52     42.81     50.68     64.17     83.74     61.02     99.02     92.26      2.86     99.20     50.48     -4.13     75.24     19.05     74.29     13.52     10.48     74.95     89.58     21.78     91.08     34.45     49.33     52.76     34.80     42.76     88.36      5.65     26.29     73.87     72.71     58.83     45.50 
    22    52786.50   2066.00     91.78     54.15           93.82     76.30     68.91     36.73     24.24     44.41     50.00     63.62     83.51     60.94     98.82     92.16     -1.82     99.18     53.64     -6.67     74.45     21.82     71.09     14.55     12.73     75.05     89.47     23.23     91.09     34.55     48.36     52.12     35.98     43.29     88.16      5.62     32.40     73.97     72.81     59.13     46.01 
    23    52790.83   2061.67     91.80     53.99           93.48     76.06     69.22     36.00     19.32     44.83     49.79     63.57     82.83     61.06     98.98     92.17     -9.57     99.18     55.65     -3.19     74.52     19.13     71.57     11.88     10.96     75.37     89.34     25.10     91.11     34.85     48.17     54.32     34.38     43.00     87.69      8.61     34.92     74.37     72.39     59.80     46.86 
    24    52800.96   2051.54     91.77     53.41           92.00     75.83     69.33     34.56     16.20     46.87     50.69     63.79     82.16     59.75     99.12     92.40    -31.67     99.18     57.50     -3.89     75.17     15.00     71.00     10.56     21.00     75.42     89.11     24.44     91.16     35.38     44.67     53.44     35.40     43.94     87.74     10.98     33.51     74.33     72.85     60.28     47.11 
    25    52801.12   2051.38     91.80     53.54           92.64     76.16     69.84     36.96     19.56     44.92     50.29     63.68     82.06     59.85     99.22     92.30    -20.00     99.18     53.60     -4.00     77.12     15.20     72.88     12.43     13.92     75.26     89.12     23.98     91.20     34.45     38.24     51.57     33.79     45.11     87.73     12.81     35.79     73.97     73.22     59.70     47.38 
    26    52810.15   2042.35     91.88     53.89           93.62     76.05     71.54     40.21     19.02     46.35     50.40     63.26     81.72     60.21     99.44     92.40    -26.15     99.17     54.62      3.08     76.38     15.38     80.38     14.15     12.31     75.17     88.94     24.03     91.17     35.34     39.49     46.36     35.95     46.61     87.67     11.55     33.22     73.85     73.66     59.54     47.93 
    27    52796.30   2056.20     91.88     53.60           92.07     75.01     73.19     41.23     17.28     46.30     50.35     64.54     82.73     59.33     99.30     92.59    -20.00     99.16     51.11      7.16     74.67     16.30     82.00      7.95      7.85     75.17     88.43     25.79     91.21     35.70     38.47     46.17     34.16     47.82     87.63     10.24     28.25     73.32     73.19     58.89     48.68 
    28    52788.39   2064.11     91.85     53.33           91.79     74.76     75.21     40.95     19.84     46.29     51.56     63.42     83.28     58.53     99.36     92.59    -22.14     99.14     53.57      5.71     71.93     15.71     79.43      4.10      4.86     75.12     88.33     29.14     91.14     31.69     40.95     47.33     33.98     47.38     87.71      9.02     26.60     73.17     72.85     59.72     49.12 
    29    52799.00   2053.50     91.94     54.10           91.52     74.44     78.21     43.54     17.05     46.72     51.34     63.24     83.19     57.92     99.40     92.59     -9.66     99.14     53.10      6.67     70.28     23.45     79.52      5.75     11.45     75.24     88.27     27.79     91.15     31.10     41.79     48.97     34.55     46.81     87.88      8.44     24.17     73.60     72.78     60.27     49.91 
    30    52797.90   2054.60     91.92     53.86           91.33     74.09     78.53     43.73     14.81     44.83     50.71     62.50     83.01     58.60     99.13     93.08    -13.33     99.15     52.67      7.56     72.20     24.00     81.20      4.98      7.20     75.30     88.25     29.42     91.19     31.53     37.78     49.69     34.80     47.72     87.83      9.64     23.40     73.80     72.84     60.30     49.26 
    31    52803.29   2049.21     91.94     54.14           92.06     74.58     78.32     41.85     10.57     45.13     52.41     62.48     82.27     60.10     99.13     93.15    -15.48     99.15     54.84     10.11     72.13     20.00     81.81      6.06     18.71     75.39     88.28     28.54     91.19     31.41     34.37     52.77     35.03     47.40     87.83     11.61     23.71     74.16     72.17     60.74     49.21 
