constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52540.00   2312.50     91.28     48.91           66.00    120.00     96.00      4.00     11.11     20.00     62.70     68.00     68.25     21.60     99.50    107.50   -200.00     99.20    140.00     60.00     98.00    -40.00     40.00    -20.00    132.00     81.00     98.80    -22.67     49.60     51.38    -57.33     38.67     47.66    106.93     89.38    -27.02     64.89     64.01     87.60     42.90     39.92 
     2    52663.00   2189.50     91.74     53.35           89.00     97.33     76.00     68.00     11.11     46.50     46.43     59.82     67.57     35.49    100.25    105.00     20.00     99.20     60.00     93.33     89.00    -30.00     46.00      4.00     60.00     77.75     94.62    -23.56     49.50     40.31    -52.00     48.00     21.96     85.15     87.52     13.19     36.17     77.98     85.24     45.55     42.57 
     3    52526.33   2326.17     90.91     48.46           66.67     91.56     76.00     41.33     18.52     53.00     41.01     54.91     71.58     24.69    101.67    103.33    -13.33     99.20     20.00     82.22     80.00    -26.67     60.00     13.78     14.67     77.00     94.26    -20.89     49.60     44.41    -16.44     55.56     30.53     62.71     86.85      2.77      7.45     80.18     78.56     43.78     42.65 
     4    52408.00   2444.50     90.39     44.71           76.00     74.33     71.50     20.00      6.94     53.00     38.69     59.09     70.75     22.22    100.75    101.88    -85.00     99.20     20.00     76.67     68.50    -45.00     52.00     -8.00     46.00     75.50     91.69    -21.33     49.55     39.69     -2.67     56.67     36.92     62.87     88.24     -1.65     21.81     77.06     74.30     44.95     41.30 
     5    52482.40   2370.10     90.35     45.03           80.40     75.47     66.80     16.80     15.56     35.00     43.65     59.78     72.06     27.04    100.30    101.00    -92.00     99.20     40.00     52.00     70.80    -56.00     41.20     -5.60     47.20     75.10     92.01     -7.38     49.52     40.31     13.07     51.47     32.34     68.71     88.25     12.04     18.94     79.34     76.24     42.05     43.59 
     6    52487.33   2365.17     90.53     45.08           84.00     78.00     64.33     20.00     -6.48     40.50     39.81     61.45     73.92     36.63     99.50    100.00    -83.33     99.20     20.00     51.11     73.00    -43.33     55.00    -12.00     34.67     74.08     90.87     -8.44     49.53     41.74      6.67     52.89     27.88     67.82     88.41     22.55     32.98     78.01     77.38     37.80     41.95 
     7    52469.71   2382.79     90.22     43.93           87.14     79.05     66.86     17.71    -13.49     42.00     41.72     60.52     73.76     34.04    100.21    100.71    -94.29     99.20      2.86     37.14     71.14    -57.14     57.14      9.33     37.14     75.21     88.76     -7.43     49.51     43.30      3.62     55.81     33.11     69.87     88.65     17.20     22.95     77.26     77.40     37.58     39.92 
     8    52504.50   2348.00     90.19     42.68           90.25     77.00     71.00      9.67    -19.44     43.12     43.95     59.64     72.28     31.71    100.25    100.94   -105.00     99.20     10.00     40.00     70.00    -52.50     50.50     14.67     23.00     74.56     88.79     -0.89     49.52     46.77     -7.33     40.00     32.83     67.70     88.74     10.16     17.02     79.98     78.29     39.67     43.21 
     9    52536.22   2316.28     90.49     43.32           89.78     73.04     72.22     18.52    -10.49     39.78     42.15     59.80     76.72     32.24    100.78    100.00    -95.56     99.20     11.11     42.22     69.11    -46.67     46.67     -1.33      8.44     73.89     89.05      0.25     49.53     47.69    -12.30     42.52     33.02     69.53     88.61     15.46     33.69     80.01     79.00     40.09     45.05 
    10    52530.50   2322.00     90.61     44.12           85.80     75.33     72.40     24.00     -8.33     41.30     40.40     56.58     78.82     36.48    100.45     99.75    -96.00     99.20      4.00     41.33     69.00    -28.00     51.40      3.47     14.40     74.05     88.54      4.53     49.54     41.29     -8.80     40.00     38.13     68.32     88.28     13.32     29.79     80.70     77.79     39.89     45.25 
    11    52507.18   2345.32     90.58     44.83           88.18     74.06     67.27     23.39     -1.01     40.09     41.70     56.73     80.66     35.80    100.36    100.00    -83.64     99.20      1.82     46.67     70.18    -27.27     62.91      6.91      8.36     74.00     88.36      5.78     49.53     42.99     -1.09     41.33     40.27     67.42     88.15      7.10     20.21     80.57     75.49     40.92     45.30 
    12    52466.58   2385.92     90.57     45.77           84.50     73.11     72.00     24.44     -4.17     37.42     42.46     56.70     79.55     36.21    100.04     99.38    -73.33     99.20     11.67     55.56     71.50    -23.33     72.00      5.78      3.33     74.29     88.76      8.74     49.55     41.74     11.56     38.44     40.89     66.75     87.87      4.68     18.62     79.21     74.28     40.68     43.24 
    13    52484.38   2368.12     90.62     46.48           83.85     74.05     70.15     24.72     -3.85     35.00     45.48     56.81     79.91     35.61     99.69     99.04    -86.15     99.20     16.92     63.08     72.15    -27.69     73.23     14.26      3.38     75.00     88.81     14.94     49.54     44.00     21.44     46.05     39.54     65.19     88.11      4.45     15.30     79.97     73.62     42.12     42.91 
    14    52454.21   2398.29     90.57     46.65           87.86     72.95     69.00     27.81     -1.59     31.43     46.32     55.56     81.15     38.67     99.50     99.46    -70.00     99.20     21.43     58.10     68.43    -22.86     75.14     13.33      7.43     74.93     89.03     12.13     49.53     38.73     13.52     50.29     38.65     65.35     88.16      1.02     11.09     79.50     72.78     41.40     41.71 
    15    52442.13   2410.37     90.51     46.05           87.73     73.78     69.73     24.98     -2.96     33.73     46.56     56.17     80.47     38.48     99.50    100.17    -68.00     99.20     14.67     53.78     70.13    -22.67     82.00      1.87      7.20     74.97     87.67     14.79     49.52     32.18      8.80     49.87     42.80     64.95     88.28     -0.34      8.30     79.11     72.50     42.15     41.88 
    16    52442.31   2410.19     90.45     46.01           89.87     70.08     68.00     29.50     -4.86     32.50     47.72     55.39     80.41     36.88     99.12    100.47    -78.75     99.20     11.25     48.33     70.12    -21.25     86.50      2.50     14.00     75.03     87.90     18.33     49.50     31.00     16.00     50.50     43.98     63.49     88.32     -0.85      5.45     79.27     72.10     42.81     42.67 
    17    52448.06   2404.44     90.43     45.71           88.12     71.69     68.82     26.90     -7.52     29.41     47.81     56.41     79.43     37.91     99.35     99.56    -71.76     99.20     -2.35     45.10     68.24    -24.71     85.18      5.73     17.18     74.76     88.15     14.77     49.49     30.82     16.08     49.49     46.12     63.13     88.19      1.55     11.20     79.76     71.62     43.13     43.27 
    18    52468.00   2384.50     90.47     46.11           86.44     72.96     63.11     23.41     -5.86     29.00     48.90     57.56     81.10     39.54     99.53     98.75    -66.67     99.20     -0.00     41.48     70.56    -20.00     82.00      6.37     18.22     74.75     88.48     11.60     49.49     29.98     20.59     52.89     47.87     61.17     88.07      3.72     13.12     79.53     72.42     43.54     43.36 
    19    52452.84   2399.66     90.47     45.49           86.95     73.54     64.21     21.68     -3.80     30.53     49.04     57.91     81.17     40.22     99.37     97.89    -82.11     99.20      2.11     45.26     72.11    -22.11     81.68      0.49      8.63     74.76     88.72     11.49     49.51     30.98     21.26     50.88     46.58     59.72     87.71      5.77     14.84     78.89     71.69     42.77     43.75 
    20    52463.45   2389.05     90.49     45.10           87.60     73.07     63.70     21.33     -5.56     28.50     48.06     58.27     82.29     40.52     99.57     97.87    -82.00     99.20      2.00     44.00     74.10    -19.00     71.20     -1.73      5.20     75.25     88.85     13.42     49.51     30.34     16.00     53.33     46.21     57.77     87.69      8.72     15.11     79.59     71.48     43.65     43.73 
    21    52457.19   2395.31     90.50     45.31           87.33     74.35     66.00     21.52     -1.85     30.24     48.83     57.96     81.45     41.03     99.62     97.62    -72.38     99.20     -2.86     43.49     70.86    -20.00     65.71     -2.10     15.81     75.57     88.47     12.04     49.50     30.34     16.57     53.90     43.17     58.13     87.70      7.26     13.83     79.66     71.36     44.06     43.11 
    22    52442.05   2410.45     90.51     45.61           85.64     73.82     67.09     22.30      0.76     28.86     49.89     57.95     82.04     39.23     99.50     97.61    -73.64     99.20     -0.91     42.42     71.00    -14.55     68.36     -0.12     24.36     75.57     89.06     12.97     49.50     31.02     14.91     52.36     41.76     57.61     87.69      5.68     12.38     78.94     71.15     43.43     42.70 
    23    52453.43   2399.07     90.56     45.80           86.35     76.12     67.65     22.20     -1.45     27.91     51.00     57.39     83.02     39.56     99.57     96.96    -69.57     99.20     -2.61     43.19     70.70    -12.17     69.74      0.17     20.70     75.48     88.74     14.43     49.50     31.85     15.25     53.86     40.59     60.40     87.83      5.03      8.83     79.25     71.25     43.29     43.32 
    24    52453.17   2399.33     90.59     46.06           86.92     74.22     67.75     23.44      0.93     29.42     51.19     56.64     82.50     39.97     99.62     96.56    -75.00     99.20      0.83     39.44     68.58     -6.67     70.25      1.67     28.33     75.38     88.59     16.15     49.51     31.38     13.11     53.22     40.50     60.31     87.66      4.60     10.64     79.83     71.05     43.68     42.85 
    25    52450.60   2401.90     90.62     46.32           86.48     74.56     68.80     20.32      1.33     30.40     51.68     56.71     82.37     40.94     99.68     96.30    -72.00     99.20      2.40     37.60     69.04     -4.80     69.28      2.83     28.64     75.36     89.35     18.15     49.51     31.20     10.51     50.08     42.28     60.79     87.45      6.78     14.60     79.07     70.72     43.88     42.21 
    26    52461.19   2391.31     90.67     46.81           87.15     74.87     68.15     21.13      1.07     32.23     51.59     55.99     82.89     40.22     99.75     96.44    -65.38     99.20      2.31     33.33     68.08      0.00     71.62      3.79     28.92     75.29     89.46     20.89     49.51     32.83      7.28     50.26     43.93     61.04     87.62      5.92     18.25     78.83     71.38     44.08     42.00 
    27    52456.85   2395.65     90.68     47.21           87.78     75.06     71.04     21.58     -2.06     33.48     52.70     55.96     83.05     40.33     99.72     96.39    -50.37     99.20      4.44     36.30     67.78     -2.96     72.22      4.99     25.04     75.15     89.58     20.53     49.50     32.24      6.47     50.22     43.27     60.95     87.56      7.49     16.90     78.32     71.06     43.74     41.98 
    28    52463.54   2388.96     90.74     48.09           87.14     74.52     70.36     24.57      2.58     31.79     52.38     56.03     82.99     40.50     99.75     96.16    -32.86     99.20      9.29     40.48     69.14     -2.86     68.07      8.10     25.14     75.18     89.80     18.98     49.51     32.75      4.38     53.62     42.12     60.18     87.52      9.38     17.71     78.11     71.25     43.82     42.53 
    29    52465.17   2387.33     90.69     47.66           86.76     73.52     68.28     25.70     -1.72     31.14     52.05     56.55     83.66     41.25     99.84     96.47    -42.76     99.19      4.83     38.39     67.79     -3.45     70.83     11.36     26.34     75.17     89.81     19.57     49.51     32.41      8.32     53.01     42.99     58.45     87.62      9.01     15.59     78.37     71.06     44.17     42.28 
    30    52473.00   2379.50     90.74     48.09           87.07     74.71     69.07     27.38     -1.30     33.17     53.39     56.38     84.11     41.38     99.87     96.33    -29.33     99.19      2.00     33.33     67.40     -1.33     67.80     11.11     24.53     75.12     90.17     18.58     49.51     32.47     10.93     56.09     41.78     58.05     87.67      8.15     18.30     78.51     70.86     44.56     42.52 
    31    52475.42   2377.08     90.76     48.50           87.23     75.23     67.55     26.97     -3.94     32.90     53.30     56.66     83.47     40.88     99.97     96.69    -28.39     99.19      7.10     29.89     67.55      1.94     72.13     10.37     28.26     75.19     90.31     18.97     49.52     31.61      9.94     58.19     42.03     58.45     87.56     10.43     21.65     78.20     71.23     43.73     42.73 
    32    52472.25   2380.25     90.75     48.27           85.69     74.46     67.88     27.83     -2.78     31.94     53.22     56.08     83.40     42.25     99.86     96.95    -41.25     99.19      8.12     32.92     68.19      1.25     68.50     12.75     25.25     75.41     90.57     20.17     49.51     30.65     14.00     56.83     44.13     59.78     87.52     10.30     20.41     77.68     71.41     43.69     42.12 
    33    52471.06   2381.44     90.74     48.43           86.00     73.86     67.27     25.66     -4.04     33.82     52.91     55.90     83.36     41.92     99.89     97.20    -32.12     99.19      8.48     30.51     68.36      4.85     68.55     12.00     24.61     75.30     90.81     21.29     49.52     30.13     17.33     57.17     42.82     58.75     87.63      9.67     18.47     77.44     71.70     43.60     42.23 
    34    52474.65   2377.85     90.74     48.43           85.24     73.61     66.47     24.55     -0.33     34.65     53.36     55.85     83.18     43.06     99.91     96.84    -30.59     99.19      7.65     29.80     67.59      2.94     64.53     10.90     26.12     75.35     90.99     18.75     49.51     29.27     20.94     57.65     43.40     58.74     87.72      9.17     20.21     77.09     72.01     44.33     42.28 
    35    52472.46   2380.04     90.71     48.78           85.03     73.83     67.14     23.89     -0.00     35.63     52.95     56.21     82.73     44.09     99.71     96.21    -18.86     99.18      9.71     28.00     67.49     -1.14     66.57     11.01     23.66     75.29     91.30     18.88     49.51     30.39     22.82     58.78     42.75     59.26     87.74      8.74     21.12     76.67     71.69     44.40     42.46 
