constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52269.00   2583.50     92.17     31.30          112.00     97.33     68.00     89.33    127.78     77.00     47.62     50.18     80.05     54.32     98.50     95.00   -640.00     99.20      0.00    100.00    -14.00     80.00    124.00    -78.67   -172.00     69.00     86.12     18.22     53.00     55.08    -68.00     49.33    -14.02     72.28     82.62    -15.53     20.21     61.82     65.39     71.85     55.16 
     2    52374.00   2478.50     91.68     44.01           82.00     89.33     80.00     46.67     86.11     59.00     46.83     48.36     78.46     65.74     99.50     95.00   -160.00     99.20    -70.00     73.33      6.00     30.00     76.00    -42.67    -28.00     73.50     87.20     32.44     53.10     31.08      9.33     33.33     21.50     67.82     84.69     26.28      4.26     61.92     69.47     66.93     44.56 
     3    52347.00   2505.50     91.26     45.70           74.67     88.44     82.00     33.33     94.44     64.00     49.47     46.30     84.88     52.26     97.17     94.17    -86.67     99.20    -33.33     37.78     40.00     33.33    102.00    -41.33    -52.00     73.83     94.82     29.48     53.07     29.64    -36.00     55.56     44.86     45.87     85.15     10.00     11.70     64.87     66.63     62.82     38.67 
     4    52403.25   2449.25     91.47     44.09           81.50     76.33     86.50     30.67     84.72     52.00     47.62     46.64     88.10     46.91     98.00     94.38   -150.00     99.20    -30.00     56.67     51.50     60.00     95.50    -44.00    -78.00     73.75     88.94     33.78     53.15     28.00    -58.67     66.67     50.70     42.57     84.86     24.36     12.23     70.35     70.32     56.04     39.98 
     5    52359.60   2492.90     91.30     44.51           91.20     70.93     80.00     28.53     72.22     52.20     42.86     51.93     87.12     46.91     97.30     91.50   -108.00     99.20     -8.00     49.33     56.00     60.00     74.80    -30.13    -93.60     73.80     88.18     28.53     53.20     29.23    -71.20     76.00     40.93     50.30     85.43     23.02     27.87     70.81     67.78     54.21     36.57 
     6    52357.50   2495.00     91.09     43.50           91.33     68.00     76.00     40.44     75.93     48.67     39.81     54.18     88.96     47.74     97.67     93.75   -160.00     99.20     -6.67     31.11     64.00     43.33     64.00    -27.56    -38.67     74.58     87.36     32.74     53.20     26.97    -58.22     67.11     36.14     49.34     86.32     16.60     17.02     72.92     65.76     53.17     37.42 
     7    52409.29   2443.21     91.20     46.23           92.00     69.33     78.57     45.14     73.02     50.86     44.67     56.21     86.33     50.09     98.29     94.64   -102.86     99.20     11.43     37.14     58.00     31.43     40.00     -1.33    -18.86     74.14     87.22     29.65     53.20     29.58    -52.76     62.67     34.98     53.18     86.66     13.83     10.18     74.65     65.00     54.32     40.55 
     8    52463.62   2388.88     91.27     47.04           89.75     66.33     76.75     43.33     61.81     50.12     38.49     57.23     84.92     51.77     98.75     95.00   -100.00     99.20      5.00     23.33     53.50     45.00     29.50     15.00     -4.00     74.25     87.50     29.33     53.20     24.46    -28.00     62.33     37.03     58.29     87.03     14.31     18.62     75.64     66.94     53.95     44.86 
     9    52490.33   2362.17     91.31     48.04           93.56     64.30     74.00     45.48     52.47     49.11     41.45     57.82     84.83     54.46     99.44     95.00   -100.00     99.20     22.22     22.96     55.11     42.22      7.33     25.04      6.67     74.44     88.28     27.51     53.22     27.45     -9.93     70.37     32.92     59.19     87.00     16.60     13.12     76.33     65.15     56.06     47.04 
    10    52476.90   2375.60     91.30     48.23           93.80     64.00     68.20     43.73     45.00     39.80     42.38     58.29     85.67     55.43     99.50     96.00   -106.00     99.20     28.00     21.33     58.00     42.00     17.80     23.47     16.00     74.05     88.68     19.11     53.20     26.89     -2.93     74.40     28.04     60.89     86.88     20.79     18.94     74.78     65.14     56.12     48.07 
    11    52470.45   2382.05     91.27     49.63           94.73     62.06     70.00     45.21     44.95     41.73     43.00     56.40     84.54     49.27     99.59     95.91    -89.09     99.20     32.73     23.64     58.73     38.18     25.82     21.94     21.45     73.55     87.97     18.71     53.20     25.54     23.64     75.27     29.57     59.41     86.83     17.78     20.79     74.60     66.77     54.75     47.85 
    12    52488.75   2363.75     91.28     50.86           94.17     62.78     71.67     46.89     43.98     42.58     43.06     55.85     85.64     48.66     99.92     97.29    -53.33     99.20     31.67     23.33     58.17     26.67     33.50     19.56     38.67     73.38     87.88     16.44     53.20     27.38     21.33     73.78     32.55     59.08     86.87     15.48     19.15     73.92     68.44     55.09     48.09 
    13    52487.15   2365.35     91.12     49.10           94.00     64.62     71.69     45.64     40.60     40.08     42.12     57.57     84.23     47.48    100.08     97.50    -78.46     99.20     33.85     16.92     56.46     15.38     31.23     18.15     23.69     73.62     88.41     22.60     53.22     31.50     23.49     63.49     29.04     57.96     87.10     18.69     20.21     74.77     67.73     54.48     48.30 
    14    52526.64   2325.86     91.26     50.05           92.57     64.10     72.00     45.14     40.87     43.79     43.20     56.81     85.49     48.15    100.04     98.04    -92.86     99.20     37.14     20.00     59.86     17.14     43.86     10.86     38.29     73.79     89.22     19.49     53.20     34.24     31.81     62.10     35.98     57.43     86.97     17.52     19.30     75.91     68.73     53.03     49.40 
    15    52518.53   2333.97     91.24     50.63           92.53     63.02     69.73     47.91     41.48     46.53     44.81     57.09     84.94     50.78    100.17     97.83    -80.00     99.20     33.33     15.56     59.60     17.33     48.80     11.64     44.53     73.80     89.04     20.83     53.20     35.79     41.51     54.84     34.70     56.44     86.97     20.17     13.83     74.60     68.16     53.70     48.85 
    16    52523.69   2328.81     91.28     51.00           92.12     65.58     71.38     48.83     40.97     41.63     48.16     56.43     85.29     49.88    100.16     97.03    -75.00     99.20     31.25     19.17     60.62     18.75     50.13     13.33     66.00     74.12     89.43      9.44     53.19     36.69     41.33     49.67     33.53     55.63     87.05     16.46     11.84     75.31     68.27     55.61     48.59 
    17    52489.35   2363.15     91.21     50.81           93.88     65.10     73.53     47.14     38.56     39.82     49.49     52.94     85.01     49.89    100.18     97.35    -47.06     99.20     22.35     15.29     59.76     22.35     49.53     16.24     60.94     74.26     89.73     12.58     53.19     36.98     36.47     37.41     30.79     56.44     87.23     13.30     14.58     74.54     67.53     55.18     48.43 
