constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52797.00   2055.50     93.98     64.70          130.00    100.00     46.00     14.67     16.67     85.00     63.49     66.18     71.43     48.15    100.50     85.00   -200.00     99.20     20.00    233.33    136.00    100.00    226.00     65.33     52.00     74.00     85.17     64.44     49.60     50.15     -4.00     -4.00     43.93     35.64     89.66    -10.43    115.96     87.57     79.09     22.71     55.38 
     2    52749.00   2103.50     92.22     52.17          110.00     76.00     67.00     -5.33     52.78     58.00     61.51     60.36     76.87     42.59    101.00     91.25   -230.00     99.20    -30.00    106.67     89.00     70.00    163.00    110.67     56.00     76.25     86.96     72.44     49.60     53.23    -57.33     16.00     19.63     36.63     89.38    -19.36     20.21     86.73     83.21     35.86     54.28 
     3    52747.00   2105.50     92.20     53.86          108.00     82.22     65.33     29.78     33.33     48.00     61.90     61.09     73.54     54.73    100.50     90.83   -246.67     99.07    -13.33     60.00     69.33     93.33    194.00    101.78    100.00     74.33     88.04     58.52     49.60     50.97    -16.44     28.00     16.20     35.31     89.61    -11.49      1.06     81.44     84.02     46.70     50.16 
     4    52722.75   2129.75     91.93     53.65          102.50     78.33     59.50     37.33     36.11     37.25     56.55     53.91     73.02     58.18     99.62     94.38   -145.00     99.10    -20.00     46.67     72.50     80.00    176.50     92.67     64.00     74.12     87.26     48.89     49.60     59.69    -53.33     46.67     25.00     27.48     88.00      6.49      9.04     83.30     82.37     47.14     50.25 
     5    52637.60   2214.90     91.62     53.44           97.20     79.20     72.40     31.73     18.89     28.60     58.10     50.18     75.42     57.04     97.60     95.00    -80.00     99.12     -4.00     52.00     83.20     56.00    150.40     46.13     66.40     73.70     87.13     54.84     49.60     58.28    -36.00     30.13     46.73     21.78     87.34     -3.15     16.38     80.47     79.18     48.58     51.72 
     6    52643.67   2208.83     91.66     54.62           97.33     81.78     76.67     28.89     34.26     30.50     58.20     48.85     74.07     59.36     97.08     95.42    -86.67     99.07     13.33     44.44     81.33     53.33    132.00     52.00     81.33     73.42     89.35     50.81     49.60     53.64     -6.67     26.67     50.00     22.11     86.97     -4.04     15.96     79.25     79.32     50.55     51.48 
     7    52572.29   2280.21     91.40     53.20           66.00     80.00     74.86     34.86     33.33     33.00     55.44     50.86     73.44     57.50     96.79     95.71    -74.29     99.09     25.71     31.43     61.14     62.86    122.29     53.52     72.57     74.00     88.35     55.05     49.60     54.90    -19.24     31.05     40.19     29.00     86.84      7.17     11.09     77.02     76.80     49.54     51.00 
     8    52563.00   2289.50     91.35     53.52           65.25     81.00     71.75     34.33     30.56     30.00     50.20     52.23     73.07     62.96     97.12     96.56    -50.00     99.10     17.50     30.00     50.75     60.00    125.50     54.00     81.00     74.25     88.76     57.33     49.60     49.38    -23.33     28.33     52.57     34.78     87.29      8.01      9.04     76.60     74.95     50.80     49.03 
     9    52604.00   2248.50     91.42     55.10           69.11     82.81     72.67     22.37     27.16     19.22     48.06     50.75     73.39     60.91     97.17     97.50    -35.56     99.11     28.89     31.85     54.44     55.56    129.33     68.89     92.00     74.50     88.62     63.06     49.60     45.37    -20.59     28.00     53.27     38.06     87.40     16.38     13.83     78.18     75.70     51.10     50.62 
    10    52584.30   2268.20     91.32     54.21           69.80     80.13     63.20     21.33     28.89     24.50     47.86     50.80     73.33     60.00     97.00     98.50    -10.00     99.12     20.00     36.00     53.40     56.00    106.60     74.93     79.20     74.50     89.07     57.87     49.60     46.34    -28.53     18.93     54.58     37.52     87.10     20.34     13.83     77.12     75.65     51.21     49.88 
    11    52571.91   2280.59     91.44     54.71           70.36     79.15     64.36     23.39     32.32     21.91     47.69     48.26     74.89     58.25     97.59     97.50     -3.64     99.13     30.91     40.61     55.82     70.91    109.82     69.21     70.91     74.50     89.36     53.78     49.60     46.91    -43.27     22.67     55.40     36.72     87.44     23.52     13.83     76.19     74.46     53.25     50.52 
    12    52567.17   2285.33     91.42     54.83           75.17     78.00     63.83     21.78     33.33     21.58     47.09     47.61     76.76     58.18     98.04     96.88     18.33     99.13     33.33     37.78     55.67     65.00     95.50     64.22     84.00     75.33     90.37     45.04     49.60     46.15    -39.56     12.67     56.07     35.23     87.66     24.57     20.21     76.15     73.70     53.32     51.04 
    13    52574.00   2278.50     91.31     53.73           73.38     76.62     68.77     18.77     22.65     26.92     45.79     48.56     77.67     58.88     98.08     96.35      9.23     99.14     33.85     31.28     60.15     60.00     85.23     64.72     82.15     75.96     89.93     46.67     49.60     43.72    -41.74     20.00     48.38     34.58     87.67     21.83     16.78     77.23     73.55     54.54     50.97 
    14    52571.00   2281.50     91.25     52.70           74.00     76.19     68.43     19.24     18.25     23.79     47.73     49.22     78.26     63.18     98.46     96.79     -7.14     99.14     34.29     25.71     60.14     52.86     85.00     55.24     74.29     75.75     90.65     43.75     49.60     44.44    -24.95     21.33     42.46     35.29     87.64     18.57     15.65     76.44     74.05     54.96     51.09 
    15    52570.27   2282.23     91.18     52.08           74.40     76.00     69.33     16.27     12.96     23.07     49.10     50.16     78.17     62.67     98.50     96.50    -14.67     99.15     29.33     28.89     63.87     45.33     87.60     53.60     69.07     75.70     90.83     43.47     49.60     43.26    -18.93     15.56     45.55     34.92     87.54     20.26     13.83     76.25     73.75     54.53     51.47 
    16    52571.88   2280.62     91.15     51.80           76.38     77.33     70.25     15.83     10.42     25.44     49.65     49.93     78.77     60.61     98.38     97.19    -17.50     99.12     32.50     28.33     66.12     43.75     89.88     54.17     68.50     75.44     91.12     40.67     49.60     36.23    -19.33      9.50     45.91     36.14     87.80     22.69      9.84     77.32     72.89     55.53     50.35 
    17    52571.18   2281.32     91.25     53.18           79.18     79.69     74.94     13.25      8.82     23.18     49.16     49.69     78.04     60.78     98.56     96.62      5.88     99.13     35.29     30.98     65.06     48.24     91.53     50.43     82.12     75.26     90.92     40.71     49.60     35.24    -11.84     11.37     44.80     38.15     87.78     19.91      8.95     76.79     73.37     55.16     51.03 
    18    52568.67   2283.83     91.23     52.73           79.11     80.81     73.00     15.56      8.64     22.06     48.63     49.41     77.55     60.29     98.61     96.25      2.22     99.13     33.33     34.07     67.11     48.89     81.33     48.74     79.11     75.44     91.03     39.06     49.60     36.21    -10.22     15.70     43.04     34.65     87.66     18.23      9.57     76.42     74.52     54.71     51.49 
    19    52547.16   2305.34     91.24     52.13           78.74     81.82     71.37     18.04     13.16     21.32     48.08     50.18     77.30     60.66     98.68     96.45    -17.89     99.14     28.42     33.33     62.32     53.68     80.42     47.37     80.63     75.24     91.36     36.19     49.60     37.78     -5.96     16.63     40.09     34.86     87.70     15.58     11.14     76.01     73.84     54.61     50.77 
    20    52538.90   2313.60     91.25     52.01           80.40     82.80     73.40     19.87      3.89     19.65     46.55     50.56     77.62     60.31     98.78     96.00    -15.00     99.14     32.00     34.67     61.70     60.00     76.60     47.07     73.20     75.22     91.11     34.76     49.60     38.58     -5.87     16.67     39.91     36.53     87.64     15.04     10.96     75.90     73.41     55.31     50.30 
    21    52574.81   2277.69     91.39     52.65           81.33     83.68     74.76     22.67      7.67     18.76     46.67     51.55     79.46     62.11     98.95     95.83    -13.33     99.14     32.38     28.25     63.14     63.81     70.86     41.33     79.05     75.17     91.54     37.27     49.60     39.96     -0.95     19.62     41.17     37.25     87.66     14.19     10.79     76.99     73.91     55.09     50.82 
    22    52590.18   2262.32     91.43     52.43           80.55     84.48     74.55     21.45      7.07     19.14     46.39     52.73     79.80     61.67     99.16     96.02    -30.00     99.15     28.18     30.30     62.73     63.64     77.36     40.97     85.45     74.95     91.63     37.62     49.60     41.54     -3.76     15.15     44.56     37.53     87.77     13.22     11.51     77.58     74.15     55.63     50.46 
    23    52572.65   2279.85     91.37     52.23           80.78     82.38     73.91     25.80      6.28     18.74     46.41     53.04     79.30     60.36     99.20     96.09    -23.48     99.15     26.09     31.59     62.70     62.61     78.09     34.14     94.09     75.26     91.57     36.46     49.60     40.68     -7.48     13.28     44.58     36.25     87.67     11.44      9.39     77.32     74.37     55.32     49.43 
    24    52568.21   2284.29     91.40     52.16           81.17     82.83     71.58     27.78      5.32     18.71     45.11     53.03     79.23     59.31     99.23     95.62    -30.00     99.15     27.50     33.89     62.75     65.00     77.00     36.22     96.00     75.15     92.08     35.93     49.60     39.49    -13.78     16.89     41.32     38.70     87.66     13.70     11.44     77.36     74.23     54.92     48.89 
    25    52572.72   2279.78     91.42     52.22           81.20     84.80     72.40     27.89      7.33     17.56     45.65     52.39     79.01     59.63     99.10     95.90    -42.40     99.15     28.00     32.27     63.92     64.00     74.08     42.08     96.48     75.06     92.07     34.72     49.60     37.80    -11.04     19.15     41.79     38.50     87.45     15.59     15.62     77.33     74.55     54.91     48.51 
    26    52568.31   2284.19     91.43     52.50           82.92     85.08     73.31     25.44      6.20     19.88     45.94     53.47     79.85     60.57     99.17     96.35    -33.08     99.15     30.00     35.38     64.00     62.31     76.00     40.82     94.46     74.85     92.35     34.02     49.60     37.14     -9.54     18.97     43.31     36.37     87.45     16.41     11.37     77.04     74.14     53.97     47.69 
    27    52572.70   2279.80     91.42     52.36           82.59     84.40     73.85     28.69      7.00     18.93     46.12     54.06     79.74     59.65     99.15     96.76    -33.33     99.16     23.70     36.79     66.22     58.52     72.89     45.68     86.07     74.87     92.65     34.16     49.60     37.57     -4.99     19.41     42.61     38.17     87.45     17.71      9.34     76.78     74.38     54.18     46.97 
    28    52571.00   2281.50     91.43     52.10           82.07     83.67     72.21     31.43     10.71     18.11     45.92     54.13     80.11     59.17     99.13     96.88    -32.14     99.14     17.14     35.24     66.43     60.71     71.07     40.86     83.14     75.20     91.99     33.65     49.60     37.93     -4.57     19.43     42.79     39.11     87.55     19.00      8.36     76.56     74.41     54.73     46.95 
    29    52573.10   2279.40     91.42     51.84           82.55     82.62     72.76     32.60      8.81     18.93     45.43     54.34     80.53     59.41     99.02     96.64    -43.45     99.14     17.93     36.55     67.31     57.24     78.07     37.20     78.21     75.07     91.77     34.65     49.60     39.08     -3.26     22.11     41.28     39.47     87.66     18.36      7.89     77.03     74.25     54.06     47.16 
    30    52564.83   2287.67     91.43     52.30           82.87     80.49     72.93     34.84     11.30     18.13     46.16     54.35     80.74     59.86     99.05     96.58    -36.00     99.15     21.33     37.33     67.67     59.33     77.80     36.27     82.67     74.98     91.57     34.22     49.60     38.79     -2.93     23.38     40.53     40.00     87.60     17.45      5.53     76.93     73.93     53.95     46.64 
    31    52552.29   2300.21     91.43     52.52           83.61     79.31     73.94     33.85      9.86     18.16     46.13     54.15     80.94     60.35     99.08     96.61    -24.52     99.15     23.87     38.92     68.39     60.65     75.61     33.59     87.35     74.65     91.49     30.61     49.60     35.62     -2.97     22.06     41.36     40.24     87.41     17.02      6.21     76.72     73.57     53.61     46.90 
    32    52533.81   2318.69     91.39     52.51           83.50     78.42     74.81     33.33      8.51     17.97     45.76     53.91     80.80     60.47     98.88     96.72    -16.88     99.15     26.25     36.67     68.62     63.12     70.75     32.25     88.75     74.72     91.16     30.94     49.60     32.15      0.17     19.25     40.83     41.00     87.28     17.76      7.05     76.35     73.26     53.28     46.16 
    33    52523.52   2328.98     91.34     52.29           82.73     78.51     74.30     31.64      5.56     18.58     45.05     54.13     81.05     60.92     98.79     96.59    -12.73     99.15     26.67     36.16     69.70     58.79     68.36     28.48     88.36     74.79     90.95     31.64     49.60     31.92      4.89     16.77     40.10     40.95     87.32     16.71      9.96     76.08     72.91     53.45     46.06 
    34    52518.53   2333.97     91.32     52.21           83.53     77.84     76.12     29.96      3.92     17.24     44.54     53.89     80.75     60.71     98.71     96.47     -7.06     99.15     24.12     36.47     69.12     60.59     60.29     32.31     81.41     74.87     90.97     32.65     49.60     32.45      9.65     18.35     39.39     40.68     87.37     18.54      9.32     75.92     72.79     52.98     45.99 
    35    52510.34   2342.16     91.24     51.92           83.77     77.87     76.23     28.69      2.86     16.51     44.49     53.75     80.99     59.66     98.73     96.21    -12.00     99.14     25.14     32.95     70.80     56.00     61.60     32.34     81.71     75.07     91.08     32.60     49.60     33.24      8.50     19.39     40.53     40.96     87.44     17.50     11.09     75.79     72.43     52.66     45.65 
    36    52517.08   2335.42     91.26     52.22           83.72     79.19     76.83     28.44      2.16     17.61     44.33     53.81     81.46     58.74     98.92     96.39     -8.33     99.14     27.78     33.33     70.61     52.78     62.50     33.41     79.56     74.93     91.23     32.74     49.60     34.56      9.48     20.89     41.28     40.59     87.28     18.24     12.23     76.25     72.10     52.72     45.67 
    37    52516.16   2336.34     91.26     52.29           83.78     79.39     76.76     30.81      4.95     18.49     45.13     53.75     81.33     58.07     98.95     96.42     -9.73     99.15     28.65     31.89     70.70     51.35     64.49     34.13     73.19     74.91     91.08     33.50     49.59     35.09      9.84     21.37     41.17     40.01     87.26     19.09     13.83     76.20     71.80     52.28     46.02 
    38    52510.58   2341.92     91.21     51.76           83.74     79.44     76.74     29.82      6.87     18.45     45.30     53.30     81.25     57.68     99.08     96.05     -5.26     99.15     28.42     28.77     70.79     52.11     58.00     32.98     67.58     74.91     91.00     30.76     49.59     34.48      6.95     19.93     40.01     39.84     87.25     19.99     13.66     76.55     71.59     52.13     46.32 
    39    52523.77   2328.73     91.26     52.20           84.31     79.86     76.62     29.57      7.26     19.36     44.81     53.83     81.22     58.06     99.15     96.09      0.00     99.15     27.69     30.26     71.90     50.77     62.62     32.79     68.00     74.85     91.06     32.26     49.59     35.16      7.35     21.37     38.80     39.55     87.27     19.15     13.99     76.89     71.95     52.02     46.80 
    40    52519.83   2332.68     91.25     52.19           83.40     79.70     77.25     29.13      8.47     19.10     44.35     54.07     81.43     58.87     99.38     96.19      7.00     99.15     29.50     30.67     70.15     48.50     65.05     29.73     63.00     74.88     91.04     28.84     49.59     35.78      6.40     22.67     39.72     40.67     87.25     18.35     14.47     76.66     71.80     51.90     47.00 
    41    52527.07   2325.43     91.30     52.52           83.85     80.88     77.61     29.50     11.65     19.10     43.86     53.80     82.01     59.74     99.26     96.10      8.29     99.15     29.76     29.11     70.49     50.24     63.71     30.73     65.85     74.91     91.43     29.32     49.60     36.14      7.45     21.04     40.03     41.00     87.29     19.00     13.99     76.87     71.61     51.58     47.17 
    42    52534.86   2317.64     91.29     52.67           83.71     80.41     78.05     27.05     14.15     18.55     44.50     52.89     82.09     59.41     99.15     96.01      8.57     99.15     29.52     26.98     71.76     46.67     68.14     29.27     64.38     74.85     91.55     29.06     49.60     36.67     10.60     21.59     42.39     42.03     87.31     19.62     15.20     76.94     71.84     51.66     47.45 
    43    52538.07   2314.43     91.35     52.89           83.44     80.37     78.79     28.37     13.57     17.63     44.87     52.67     82.19     60.21     99.16     96.28      7.91     99.15     31.16     30.23     70.05     51.63     68.33     30.60     60.74     74.90     91.74     28.76     49.60     36.16     10.26     22.36     42.56     42.55     87.34     19.74     16.06     76.92     72.19     51.41     46.99 
    44    52545.86   2306.64     91.37     52.89           83.73     80.64     79.23     26.85     14.27     17.00     44.72     53.24     82.52     60.72     99.26     96.14      7.27     99.15     32.27     30.91     70.14     51.36     68.64     30.61     59.64     74.86     91.57     28.85     49.60     33.31     12.12     21.88     42.20     42.84     87.39     20.33     15.57     77.27     72.45     51.56     46.97 
    45    52546.96   2305.54     91.32     52.62           83.87     80.24     79.16     24.62     12.35     16.78     44.92     52.80     82.44     61.19     99.27     96.00     21.33     99.16     28.00     30.37     69.33     48.00     68.93     28.65     49.16     74.84     91.62     30.43     49.59     33.72     11.41     23.32     42.33     42.66     87.41     19.50     14.68     77.25     72.77     52.25     46.75 
    46    52544.04   2308.46     91.28     52.25           82.65     80.70     79.35     24.23     10.51     16.89     44.86     52.65     81.97     61.45     99.30     95.98     16.96     99.15     29.13     29.57     69.74     47.83     64.13     27.48     46.78     74.85     91.89     30.13     49.59     33.91     12.23     23.01     42.67     42.19     87.50     20.21     15.22     77.16     72.70     52.36     46.45 
    47    52550.64   2301.86     91.27     51.98           82.89     80.03     78.51     23.69      9.46     18.09     44.14     52.71     82.09     60.70     99.14     96.17     15.74     99.15     28.09     28.79     71.02     44.68     64.13     23.12     46.38     74.84     91.98     29.65     49.59     33.76     10.98     24.77     42.55     43.08     87.55     19.52     16.14     77.46     72.88     52.69     47.14 
