constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 

     1    3504.00    415.00     90.89     63.23          295.00    288.00    199.00    202.00    114.00    586.00    446.00    507.00    358.00    509.00 
     2    3530.50    388.50     90.54     59.74          283.50    281.50    196.50    223.00    103.00    578.50    453.50    567.00    353.00    491.00 
     3    3541.00    378.00     91.31     63.51          283.00    287.67    202.00    225.67    106.33    569.00    457.33    563.00    354.00    493.00 
     4    3523.75    395.25     90.57     59.07          287.75    290.00    197.00    228.25    100.25    551.00    456.00    577.00    351.75    484.75 
     5    3528.60    390.40     90.70     59.28          288.40    290.60    197.60    229.00     99.60    551.60    452.00    576.40    357.80    485.60 
     6    3517.67    401.33     90.65     58.77          290.50    287.00    195.67    226.33    103.17    541.17    444.83    581.00    368.67    479.33 
     7    3514.86    404.14     90.51     57.76          291.00    284.43    193.43    223.14    104.14    533.86    448.00    580.57    370.00    486.29 
     8    3524.88    394.12     90.65     58.83          293.38    284.50    189.25    222.62    105.12    541.62    450.00    580.50    371.50    486.38 
     9    3526.89    392.11     90.96     60.71          295.56    284.22    189.67    223.56    107.89    538.22    448.33    577.67    374.22    487.56 
    10    3513.90    405.10     90.66     58.91          295.60    284.70    190.50    222.80    106.30    530.20    447.50    573.80    373.90    488.60 
    11    3509.45    409.55     90.57     58.97          294.36    282.18    189.45    222.36    107.64    532.55    450.36    569.91    372.36    488.27 
    12    3511.92    407.08     90.59     58.95          294.92    281.50    187.75    222.17    108.08    531.83    452.00    574.17    374.67    484.83 
    13    3507.23    411.77     90.43     58.39          294.38    282.15    186.15    222.77    107.31    534.31    453.31    569.69    374.85    482.31 
    14    3505.43    413.57     90.30     57.57          294.50    284.07    185.36    222.07    105.93    535.29    453.43    568.00    375.36    481.43 
    15    3501.07    417.93     90.20     57.27          293.80    284.87    184.73    222.47    105.87    537.40    452.33    568.60    375.27    475.73 
    16    3501.25    417.75     90.19     57.19          294.56    285.25    184.69    222.50    105.63    534.44    454.25    571.00    373.06    475.88 
    17    3507.82    411.18     90.37     58.28          295.59    286.47    184.71    222.76    106.24    537.29    453.88    572.59    371.06    477.24 
    18    3510.72    408.28     90.39     58.25          295.17    283.83    184.72    223.06    106.06    541.33    453.22    572.67    375.67    475.00 
    19    3518.68    400.32     90.48     58.56          295.95    282.16    184.68    222.37    105.95    543.32    455.05    576.05    375.11    478.05 
    20    3522.35    396.65     90.48     58.24          295.75    281.00    184.40    222.25    105.30    544.65    453.70    577.95    377.25    480.10 
    21    3524.19    394.81     90.52     58.12          295.76    281.52    184.29    222.10    105.10    542.24    453.86    577.71    379.86    481.76 
    22    3523.95    395.05     90.46     57.76          295.23    281.50    183.59    220.59    105.36    543.50    454.27    579.91    379.68    480.32 
    23    3525.87    393.13     90.54     58.30          295.61    280.52    183.39    222.57    105.52    543.83    453.52    579.35    381.43    480.13 
    24    3527.00    392.00     90.56     58.42          296.12    280.75    183.17    221.21    105.67    546.75    455.13    576.71    381.92    479.58 
    25    3523.20    395.80     90.50     58.24          295.96    280.60    182.80    221.16    106.12    544.52    454.80    576.16    381.56    479.52 
    26    3524.19    394.81     90.50     58.25          295.58    279.81    182.65    222.15    105.81    545.62    454.00    576.23    381.42    480.92 
    27    3520.74    398.26     90.47     58.22          296.30    280.48    183.00    221.96    105.93    543.07    454.67    574.89    380.33    480.11 
    28    3518.89    400.11     90.44     57.87          295.50    280.54    183.39    221.57    105.82    541.89    454.50    573.79    382.32    479.57 
    29    3523.03    395.97     90.49     57.94          294.72    279.86    183.28    221.52    105.69    543.93    454.72    573.31    384.14    481.86 
    30    3523.67    395.33     90.52     58.06          295.43    280.37    182.80    221.50    105.87    544.37    452.23    573.80    386.07    481.23 
    31    3526.52    392.48     90.60     58.52          295.06    280.06    183.26    221.87    106.06    545.45    454.42    572.48    385.90    481.94 
    32    3526.41    392.59     90.63     58.64          295.31    279.12    184.28    222.28    105.91    546.16    452.94    571.44    386.59    482.37 
    33    3526.58    392.42     90.60     58.35          294.73    278.27    184.79    222.42    105.55    546.12    451.45    573.58    386.79    482.88 
    34    3527.82    391.18     90.64     58.72          294.65    278.38    184.82    222.65    105.97    546.56    451.74    573.82    385.06    484.18 
    35    3527.71    391.29     90.65     58.86          294.97    279.17    184.51    222.86    105.97    547.34    451.00    573.17    384.40    484.31 
    36    3528.28    390.72     90.68     59.08          295.14    279.47    184.31    222.92    106.14    548.39    451.53    571.94    385.06    483.39 
    37    3527.81    391.19     90.65     58.93          295.30    279.81    184.59    223.57    105.49    547.59    451.78    572.16    384.16    483.35 
    38    3527.89    391.11     90.63     58.85          295.71    280.00    184.00    224.03    105.05    548.05    452.26    571.47    384.18    483.13 
    39    3525.15    393.85     90.56     58.58          295.92    279.54    184.46    223.67    104.85    548.08    452.05    571.38    383.23    481.97 
    40    3523.47    395.53     90.51     58.35          295.88    279.47    184.40    223.77    104.60    548.05    451.80    571.62    382.67    481.20 
    41    3520.83    398.17     90.45     58.10          295.71    279.10    184.76    223.20    104.61    549.12    450.66    571.49    382.29    479.90 
    42    3516.38    402.62     90.38     57.78          295.86    279.62    184.93    223.17    104.38    546.83    451.31    569.29    381.98    479.02 
    43    3516.63    402.37     90.38     57.76          296.26    280.19    184.65    223.23    104.23    546.56    450.60    569.30    382.37    479.23 
    44    3517.55    401.45     90.43     58.06          295.93    280.80    185.11    223.66    104.27    547.20    451.09    568.34    381.73    479.41 
    45    3518.82    400.18     90.45     58.13          295.82    281.00    185.22    223.27    104.33    548.36    451.27    569.07    381.36    479.13 
    46    3519.85    399.15     90.46     58.21          296.00    281.48    185.46    223.22    104.02    549.46    452.20    568.20    380.98    478.85 
    47    3517.49    401.51     90.38     57.91          295.96    280.98    184.96    223.36    103.85    549.15    452.02    567.53    380.30    479.38 
    48    3519.60    399.40     90.44     58.18          296.23    281.06    185.10    223.33    104.04    549.21    451.90    568.35    379.71    480.67 
    49    3519.18    399.82     90.43     58.09          296.18    281.45    185.49    223.37    103.65    549.37    452.14    567.08    379.69    480.76 
    50    3518.82    400.18     90.43     57.95          296.20    281.18    186.12    223.20    103.50    547.66    451.98    567.08    380.44    481.46 
    51    3520.06    398.94     90.44     57.98          296.39    280.90    186.08    222.84    103.55    548.16    451.82    567.63    380.33    482.35 
    52    3520.08    398.92     90.45     58.06          296.12    281.15    186.63    223.04    103.46    548.81    451.58    568.02    379.67    481.60 
    53    3518.79    400.21     90.42     57.98          296.08    281.40    186.36    223.45    103.36    549.26    451.40    569.08    379.09    479.32 
    54    3519.43    399.57     90.44     58.16          296.30    280.98    186.20    224.09    103.50    548.67    451.35    569.76    379.11    479.46 
    55    3519.40    399.60     90.47     58.33          296.13    280.96    186.65    224.31    103.64    548.45    451.62    568.67    379.05    479.91 
    56    3518.20    400.80     90.42     58.11          296.12    280.59    186.80    223.80    103.55    548.96    451.34    569.54    378.45    479.04 
    57    3518.67    400.33     90.44     58.25          296.44    280.61    186.88    223.72    103.58    550.16    451.21    568.56    378.95    478.56 
    58    3518.43    400.57     90.44     58.28          296.67    280.59    186.59    223.93    103.62    549.48    451.74    568.66    378.36    478.79 
    59    3517.54    401.46     90.39     57.98          296.63    281.07    186.34    223.53    103.36    549.22    451.92    570.05    377.56    477.88 
    60    3517.23    401.77     90.38     57.84          296.87    281.33    186.42    223.18    103.22    548.27    451.88    569.68    378.47    477.92 
    61    3515.90    403.10     90.34     57.68          295.66    281.21    186.56    223.87    103.02    548.62    452.10    569.02    378.02    477.84 
    62    3514.35    404.65     90.29     57.42          295.39    280.77    186.55    223.81    102.87    547.53    453.06    569.00    377.37    478.00 
    63    3512.05    406.95     90.25     57.21          295.41    280.62    186.73    223.43    102.83    547.22    452.84    568.03    377.17    477.76 
    64    3515.50    403.50     90.33     57.60          295.50    280.89    186.89    223.95    102.83    548.11    453.38    568.31    378.17    477.47 
    65    3515.58    403.42     90.33     57.63          295.29    281.20    186.92    224.15    102.71    548.68    453.48    567.80    377.72    477.63 
    66    3515.32    403.68     90.34     57.69          295.24    281.33    187.00    224.05    102.83    548.89    453.56    567.64    377.42    477.35 
    67    3516.19    402.81     90.35     57.76          295.19    281.58    186.97    224.28    102.73    549.67    452.85    568.01    377.15    477.75 
    68    3518.93    400.07     90.42     58.07          295.34    282.25    187.00    224.54    102.76    549.82    453.29    567.94    377.91    478.06 
    69    3519.46    399.54     90.44     58.15          295.26    281.91    187.25    224.39    102.96    549.83    453.20    568.42    377.96    478.29 
    70    3521.46    397.54     90.47     58.23          295.33    281.57    187.36    224.44    102.81    550.37    453.67    568.80    378.09    479.01 
    71    3520.68    398.32     90.46     58.19          295.27    281.44    187.54    224.83    102.73    549.39    453.45    568.94    377.75    479.34 
    72    3521.11    397.89     90.50     58.44          295.61    281.50    187.43    224.85    103.10    549.47    453.12    568.89    377.76    479.37 
    73    3522.66    396.34     90.53     58.64          295.40    281.74    187.16    225.05    103.30    550.15    453.10    569.67    377.56    479.52 
    74    3522.34    396.66     90.52     58.57          295.32    281.77    187.24    225.15    103.16    550.22    452.69    569.70    377.38    479.70 
    75    3520.91    398.09     90.50     58.61          295.32    281.97    187.32    225.24    103.20    550.69    452.91    568.03    377.29    478.93 
    76    3520.75    398.25     90.51     58.66          295.43    282.05    187.62    225.13    103.22    550.83    452.95    568.00    377.03    478.49 
    77    3521.09    397.91     90.52     58.79          295.51    281.94    187.57    225.40    103.32    551.36    452.36    568.23    376.88    478.51 
    78    3520.91    398.09     90.52     58.75          295.01    281.77    187.64    225.53    103.33    551.79    452.55    568.37    377.42    477.49 
    79    3520.16    398.84     90.50     58.62          295.05    282.18    187.63    225.13    103.29    551.75    452.44    568.65    377.49    476.56 
    80    3519.90    399.10     90.48     58.52          294.91    281.85    187.37    224.99    103.30    551.77    453.47    568.32    377.84    476.06 
    81    3519.94    399.06     90.47     58.52          294.78    281.93    187.11    225.27    103.25    552.00    453.43    568.27    377.63    476.27 
    82    3520.22    398.78     90.51     58.76          294.94    282.06    187.39    225.56    103.43    552.05    453.28    568.40    377.02    476.09 
    83    3520.69    398.31     90.53     58.94          295.01    281.96    187.59    225.89    103.48    552.23    453.37    568.16    376.66    476.33 
    84    3518.83    400.17     90.48     58.69          294.90    281.85    187.48    225.94    103.26    552.12    453.18    567.73    376.62    475.76 
    85    3518.20    400.80     90.45     58.58          294.91    281.96    187.55    225.93    103.05    552.54    453.02    568.06    375.99    475.19 
    86    3518.76    400.24     90.48     58.72          294.80    281.99    187.80    225.80    103.29    552.85    452.79    568.62    375.74    475.07 
    87    3517.08    401.92     90.44     58.63          294.78    282.10    187.72    225.89    103.21    552.76    453.17    567.28    375.60    474.57 
    88    3516.61    402.39     90.44     58.66          294.78    282.00    187.48    225.91    103.41    552.69    453.26    567.61    375.28    474.18 
    89    3515.61    403.39     90.42     58.60          294.73    281.80    187.57    226.17    103.34    552.56    452.70    567.38    375.01    474.35 
    90    3515.50    403.50     90.42     58.59          294.52    281.86    187.50    226.19    103.43    552.50    452.41    567.60    375.52    473.97 
    91    3515.33    403.67     90.41     58.52          294.34    281.89    187.49    225.97    103.41    552.84    452.12    567.43    375.19    474.66 
    92    3517.03    401.97     90.44     58.69          294.62    282.01    187.48    225.97    103.49    552.92    452.39    568.38    375.16    474.61 
    93    3517.55    401.45     90.47     58.82          294.74    281.96    187.86    226.35    103.43    552.92    452.17    568.62    375.45    474.03 
    94    3517.59    401.41     90.47     58.79          294.50    282.40    187.74    226.16    103.48    552.97    452.15    568.49    375.69    474.00 
    95    3515.84    403.16     90.43     58.56          294.45    282.46    187.54    225.98    103.40    552.20    452.28    568.34    375.37    473.82 
    96    3515.19    403.81     90.42     58.57          294.15    282.60    187.49    226.07    103.50    552.32    452.74    568.11    375.08    473.11 
    97    3513.61    405.39     90.38     58.48          294.18    282.63    187.20    226.02    103.52    552.67    452.24    566.73    374.98    473.45 
    98    3514.10    404.90     90.39     58.48          294.24    282.34    187.41    225.79    103.51    552.89    452.39    566.69    375.45    473.40 
    99    3513.10    405.90     90.37     58.36          294.01    282.25    187.51    225.77    103.51    552.14    452.51    566.79    375.65    472.98 
   100    3512.98    406.02     90.37     58.34          294.04    282.11    187.49    225.66    103.53    552.20    452.79    566.73    375.52    472.91 
   101    3512.70    406.30     90.35     58.27          294.09    281.86    187.46    225.28    103.56    552.44    453.03    566.71    375.27    473.01 
