constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 

     1    3579.00    340.00     90.88     54.82          295.00    287.00    186.00    202.00    101.00    552.00    449.00    620.00    397.00    490.00 
     2    3549.00    370.00     89.94     51.95          288.50    273.00    183.00    201.50    103.00    559.00    454.00    626.00    384.00    477.00 
     3    3563.33    355.67     90.56     56.20          296.33    267.67    181.33    209.67    104.33    569.67    457.33    613.00    398.33    465.67 
     4    3545.50    373.50     90.02     53.36          299.50    264.50    181.50    206.75    101.00    569.50    459.00    601.75    400.75    461.25 
     5    3543.40    375.60     90.23     54.11          298.40    266.20    186.80    204.40    102.40    564.20    462.60    596.80    402.00    459.60 
     6    3540.00    379.00     90.12     53.86          298.00    267.83    187.00    208.83    100.00    567.17    461.17    595.67    399.83    454.50 
     7    3559.14    359.86     90.55     55.65          299.86    272.86    190.57    210.00     98.43    570.43    463.00    604.00    394.57    455.43 
     8    3559.75    359.25     90.41     55.01          299.75    273.50    189.75    210.50     97.25    571.00    460.88    611.62    389.12    456.38 
     9    3566.11    352.89     90.69     56.80          301.89    276.00    188.44    212.00     98.78    568.00    460.11    607.11    385.89    467.89 
    10    3561.20    357.80     90.65     57.18          301.30    275.00    187.60    215.10     99.50    567.30    458.80    607.80    384.00    464.80 
    11    3551.36    367.64     90.36     55.72          300.09    273.64    186.73    214.73     98.36    569.18    456.55    600.00    387.27    464.82 
    12    3550.83    368.17     90.50     56.89          301.00    275.25    187.42    215.17     99.58    569.83    457.67    596.75    384.42    463.75 
    13    3563.15    355.85     90.89     58.71          301.08    274.46    188.00    216.00    101.31    571.85    457.62    596.54    389.54    466.77 
    14    3552.71    366.29     90.65     57.84          298.50    275.14    187.71    216.86    101.07    571.29    457.64    595.07    386.50    462.93 
    15    3549.47    369.53     90.48     57.12          298.60    275.87    185.40    216.20    100.80    571.53    457.73    597.00    384.07    462.27 
    16    3543.06    375.94     90.30     56.15          298.00    275.56    185.94    216.44     99.56    569.38    459.37    594.81    383.31    460.69 
    17    3547.65    371.35     90.32     56.05          297.76    275.88    185.94    216.41     98.71    570.59    461.29    596.00    383.00    462.06 
    18    3556.00    363.00     90.59     57.26          297.67    276.61    186.94    218.00     99.06    571.28    462.78    595.22    386.33    462.11 
    19    3557.84    361.16     90.69     57.95          297.26    277.16    187.00    217.16    100.42    571.42    464.16    594.63    384.00    464.63 
    20    3558.90    360.10     90.69     57.93          297.00    275.20    186.60    216.70    100.85    572.60    464.35    594.25    385.55    465.80 
    21    3557.86    361.14     90.63     57.68          297.29    274.90    185.90    216.81    100.67    571.62    464.52    594.95    384.62    466.57 
    22    3559.82    359.18     90.70     58.25          297.68    273.00    186.23    218.50    101.00    571.82    463.86    596.59    383.59    467.55 
    23    3561.22    357.78     90.75     58.57          297.35    274.13    186.09    219.13    101.22    571.22    465.65    598.43    382.22    465.78 
    24    3561.08    357.92     90.72     58.27          296.67    274.62    186.75    219.13    100.46    571.00    467.00    597.71    381.54    466.21 
    25    3559.88    359.12     90.63     57.71          296.40    274.00    186.64    219.16     99.56    571.32    468.32    596.40    382.44    465.64 
    26    3561.50    357.50     90.68     58.08          296.04    274.81    186.23    218.69    100.35    571.65    468.92    597.85    380.46    466.50 
    27    3562.48    356.52     90.74     58.45          295.19    275.70    186.07    219.67    100.63    572.19    469.22    596.96    380.52    466.33 
    28    3562.89    356.11     90.73     58.57          295.04    274.14    186.86    220.14    100.46    573.21    470.64    596.61    378.57    467.21 
    29    3559.69    359.31     90.60     57.97          294.28    272.97    186.24    219.83    100.31    573.28    470.90    597.17    377.34    467.38 
    30    3558.17    360.83     90.60     58.00          294.60    272.63    186.43    219.93    100.53    571.40    471.03    596.90    376.97    467.73 
    31    3559.03    359.97     90.61     58.06          294.81    272.45    185.71    219.97    100.68    572.03    470.97    596.32    378.48    467.61 
    32    3560.19    358.81     90.63     57.91          293.78    272.34    185.91    219.06    100.94    572.66    470.25    596.84    380.84    467.56 
    33    3563.39    355.61     90.74     58.37          293.30    272.73    186.33    219.91    101.21    572.00    470.45    597.76    382.24    467.45 
    34    3562.85    356.15     90.73     58.21          292.94    273.76    186.06    219.41    101.26    571.47    470.53    598.32    382.62    466.47 
    35    3564.23    354.77     90.73     58.20          293.37    273.97    186.11    219.83    100.71    571.89    470.43    598.83    381.89    467.20 
    36    3564.58    354.42     90.72     58.22          293.28    273.50    186.42    219.89    100.67    572.33    470.36    600.00    380.28    467.86 
