constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 

     1    52781.00   2071.50     92.64     58.11           78.00    101.33    114.00     73.33    -22.22    104.00     76.19     63.64     97.73     46.30     99.00     82.50   -240.00     99.60     80.00    126.67     56.00    -80.00     34.00    102.67     68.00     28.50     92.58     -4.89     87.40     56.31    182.67     57.33     65.42     62.38     82.21    -21.91     77.66     69.28     84.27     34.93     35.28 
     2    52595.00   2257.50     92.60     58.23           97.00     86.00     98.00      4.00    -27.78     61.50     69.44     67.27     82.54     43.83     97.75    100.00   -130.00     99.60     50.00    113.33     69.00    -20.00     82.00     44.00    108.00     26.00     94.26     49.33     87.40     76.00    100.00     64.00     27.57     48.51     81.86     12.87     74.47     69.67     71.32     34.66     41.03 
     3    52463.33   2389.17     92.10     51.48           97.33     78.22     76.00     42.22     12.96     46.00     64.29     62.79     83.98     29.22     98.67     95.83   -166.67     99.60      0.00    126.67     30.67      0.00     76.00      9.33     33.33     26.67     88.52     54.96     87.40     50.56    120.44     63.56     23.99     49.50     82.62     -0.43     43.62     68.08     76.37     37.14     35.36 
     4    52466.75   2385.75     91.92     52.71          100.50     77.33     73.50     36.67     38.89     55.25     59.72     58.73     86.73     39.20     99.50    100.62    -85.00     99.60     15.00     96.67     15.00    -15.00    116.50     43.33     46.00     26.88     87.56     22.67     87.40     52.00     61.33     45.33     17.99     52.72     82.90     14.47     25.00     69.87     73.65     35.06     36.78 
     5    52500.00   2352.50     91.80     51.49          101.60     78.13     84.40     25.33     22.22     58.60     59.05     58.84     88.84     37.16    100.60     98.50    -96.00     99.60      4.00     76.00     32.00    -36.00     97.60     49.33     58.40     25.50     87.56     13.24     87.40     50.89    103.73     14.67      4.86     50.89     83.03     23.79     40.64     69.85     75.65     39.92     35.37 
     6    52544.50   2308.00     91.72     50.95           93.67     74.22     81.33     28.44     18.52     61.50     60.45     61.64     91.61     42.80    100.17     98.33    -96.67     99.60     20.00     55.56     36.33    -36.67     84.00     56.44     44.00     25.58     86.20     19.41     87.40     50.77     73.33     27.56     12.62     56.27     82.60     27.87     38.30     71.20     75.45     39.22     36.13 
     7    52532.43   2320.07     91.51     49.01           97.43     72.19     76.86     24.19     13.49     64.71     61.45     57.51     90.74     38.89     99.79     96.43   -120.00     99.60     14.29     52.38     38.86    -31.43     82.86     60.38     37.14     25.71     84.79      9.08     87.40     49.27     59.24     23.05     17.22     55.30     82.76     32.89     35.71     70.87     77.07     38.95     36.14 
     8    52467.12   2385.38     91.32     48.43           99.50     75.67     76.75     21.67     -2.78     62.25     61.71     56.68     86.90     37.42     99.31     97.50   -102.50     99.60     10.00     51.67     36.75    -22.50     75.25     59.33     39.00     25.75     83.46     15.11     87.40     52.46     56.00     24.33     14.60     52.97     82.66     26.28     32.98     70.35     75.63     38.55     34.10 
     9    52505.11   2347.39     91.44     47.41          104.67     77.19     80.89     14.96     -0.00     67.78     61.99     55.60     88.16     36.42     99.33     96.39    -97.78     99.60      2.22     39.26     33.33     -2.22     70.67     37.48     26.22     25.61     84.32     17.43     87.40     49.88     32.15     28.30     18.80     54.57     82.51     32.06     26.60     72.27     76.01     38.91     35.28 
    10    52519.50   2333.00     91.42     47.90          104.20     71.47     74.60     18.67      1.67     65.60     62.54     55.45     86.76     34.81     99.85     96.75    -88.00     99.60     10.00     40.00     36.20      2.00     60.40     41.33     37.60     25.65     84.67     21.24     87.40     38.71     36.53     20.27     23.93     54.65     82.63     36.04     24.04     72.91     76.50     38.51     37.10 
    11    52518.64   2333.86     91.34     47.02           93.82     70.91     73.09     18.30     -0.51     63.82     59.16     55.44     89.20     32.88     99.55     98.18    -94.55     99.60      7.27     22.42     44.00     16.36     59.64     49.09     37.45     25.32     84.88     14.83     87.40     39.08     32.85      5.70     27.19     54.01     82.72     31.82     31.24     73.23     76.90     39.49     38.04 
    12    52501.50   2351.00     91.27     47.20           93.33     72.33     73.83     18.44     -1.39     64.67     59.46     54.94     87.76     32.46     99.54     98.33    -81.67     99.60      1.67     16.67     49.17     15.00     65.00     50.44     32.67     25.37     84.57     15.26     87.40     40.41     29.33      1.78     30.84     55.36     82.79     32.13     33.51     72.85     75.27     40.00     37.46 
