LRP_test_wrapperMultiPar(), 150 repeats 2 params

LRP_improved_v1()
Gomoku 7x7
Players: UCT 	UCT_TomTest 	
Evaluated_player 2  sim 1000  start_Cp 0.200  par_w_init 0.000
Opponent_player  1  sim 1000  fixed_Cp 0.200
LRP_steps   200  games 10 10
LRP_restart   14  restart_threshold 0.023 0.005
kNN 22  central_weight 1.1  weight_repeats 1
enable_output_best_kNN 1  final_eval_games 1
Score_conf_test 1.44
Games_by_conf_fact 1.0 1.0
LRP_ab_by_conf 1  LRP_dw_by_conf 0
LRP_ab_min 0.020  LRP_ab_max 0.750  LRP_b_koef 1.000
lrp_ab_dscore_min 0.100 lrp_ab_dscore_max 1.000
Use_linear_dw_decrease 1  dw 0.20000 0.00100  dw_tau 37.74783
Evaluated_player:  RAVE_scheme 0  start_RAVE_V 35.0
AMAF_EQUATION_TYPE 0  PARAM_FUNC_APP_TYPE 1  Nnet I 1 O 3 H 3 F 0
QVALUE_EQUATION_TYPE 0  QVALUE_ALGORITHM 3  TRACE_GAMMA S2 T1


Run       avg    [%]    [%]    [%]   Final_params
        games scr100  scr10  final   P0       
    97.00     0.200000  0.500000
    95.00     0.200000  1.000000
    93.00     0.200000  1.500000
    91.00     0.200000  2.000000
    82.20     0.200000  2.500000
    82.20     0.200000  3.000000
    82.20     0.200000  3.500000
    82.20     0.200000  4.000000
    82.20     0.200000  4.500000
    82.20     0.200000  5.000000
    95.40     0.400000  0.500000
    93.40     0.400000  1.000000
    91.40     0.400000  1.500000
    92.00     0.400000  2.000000
    92.00     0.400000  2.500000
    92.00     0.400000  3.000000
    92.00     0.400000  3.500000
    92.00     0.400000  4.000000
    92.00     0.400000  4.500000
    92.00     0.400000  5.000000
    95.20     0.600000  0.500000
    95.60     0.600000  1.000000
    95.60     0.600000  1.500000
    95.60     0.600000  2.000000
    95.60     0.600000  2.500000
    95.60     0.600000  3.000000
    95.60     0.600000  3.500000
    95.60     0.600000  4.000000
    95.60     0.600000  4.500000
    95.60     0.600000  5.000000
    92.20     0.800000  0.500000
    92.80     0.800000  1.000000
    92.80     0.800000  1.500000
    92.80     0.800000  2.000000
    92.80     0.800000  2.500000
    92.80     0.800000  3.000000
    92.80     0.800000  3.500000
    92.80     0.800000  4.000000
    92.80     0.800000  4.500000
    92.80     0.800000  5.000000
    89.00     1.000000  0.500000
    89.00     1.000000  1.000000
    89.60     1.000000  1.500000
    89.60     1.000000  2.000000
    89.60     1.000000  2.500000
    89.60     1.000000  3.000000
    89.60     1.000000  3.500000
    89.60     1.000000  4.000000
    89.60     1.000000  4.500000
    89.60     1.000000  5.000000
    85.00     1.200000  0.500000
    85.60     1.200000  1.000000
    85.20     1.200000  1.500000
    86.00     1.200000  2.000000
    86.00     1.200000  2.500000
    86.00     1.200000  3.000000
    86.00     1.200000  3.500000
    86.00     1.200000  4.000000
    86.00     1.200000  4.500000
    86.00     1.200000  5.000000
    82.80     1.400000  0.500000
    83.00     1.400000  1.000000
    82.00     1.400000  1.500000
    82.00     1.400000  2.000000
    82.80     1.400000  2.500000
    82.80     1.400000  3.000000
    82.80     1.400000  3.500000
    82.80     1.400000  4.000000
    82.80     1.400000  4.500000
    82.80     1.400000  5.000000
    79.40     1.600000  0.500000
    79.60     1.600000  1.000000
    78.60     1.600000  1.500000
    78.00     1.600000  2.000000
    79.20     1.600000  2.500000
    79.20     1.600000  3.000000
    79.20     1.600000  3.500000
    79.20     1.600000  4.000000
    79.20     1.600000  4.500000
    79.20     1.600000  5.000000
    75.80     1.800000  0.500000
    76.00     1.800000  1.000000
    75.40     1.800000  1.500000
    74.60     1.800000  2.000000
    75.60     1.800000  2.500000
    75.60     1.800000  3.000000
    75.60     1.800000  3.500000
    75.60     1.800000  4.000000
    75.60     1.800000  4.500000
    75.60     1.800000  5.000000
    72.20     2.000000  0.500000
    72.40     2.000000  1.000000
    72.20     2.000000  1.500000
    71.20     2.000000  2.000000
    72.00     2.000000  2.500000
    72.00     2.000000  3.000000
    72.00     2.000000  3.500000
    72.00     2.000000  4.000000
    72.00     2.000000  4.500000
    72.00     2.000000  5.000000
