constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.1], [2.0, 5.0], [], 10, 20, 0.2, 0.001, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000
Optimizer(): evals/step: 10
Optimizer(): numParams: 2
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct
MABsolver_config: params: numInputs:  0  0  0  0
MABsolver_config: params: weights:  [  0.300000  ]  [  1.500000  ]  [  0.200000  ]  [  5.000000  ]
BanditTestBatch: casesIDs:  5
BanditTestBatch: numCases: 1
BanditTestBatch: maxim sum reward: 600.0
BanditTestBatch: random reward: 500.0

    41.40     0.300000  1.500000
    60.60     0.382273  2.426467
    71.60     1.339835  1.494279
    72.50     1.508301  3.483767
    38.20     1.067048  4.691149
    76.30     1.018960  4.929692
    43.50     0.875108  5.000000
    59.60     1.844154  4.173617
    65.00     1.302127  5.000000
    69.00     0.938065  5.000000
    68.50     2.000000  4.175041
    69.70     1.442301  5.000000
    62.00     1.249637  4.587069
    63.40     1.876457  3.787033
    61.90     1.528997  4.686641
    66.00     1.651747  5.000000
    61.50     1.862344  3.679480
    73.20     0.977321  2.956292
    46.60     0.311402  3.840234
    70.60     1.105647  1.064401
    29.30     0.161724  2.610540
    60.80     1.467117  2.978162
    37.20     0.219515  0.495625
    50.80     0.859272  0.100000
    77.60     1.894356  2.882107
    55.30     2.000000  0.749892
    73.10     1.709885  2.421621
    61.80     2.000000  4.962826
    55.40     2.000000  1.038396
    79.70     1.092837  2.256304
    66.50     1.399136  3.379376
     5.60     0.210583  3.083349
    72.20     1.128075  2.943723
    68.10     1.489571  0.888698
    58.60     0.911876  3.140170
    67.50     0.398596  2.081994
    78.50     1.164509  1.328083
    77.10     1.194538  2.529189
    79.10     1.352026  4.711766
    69.30     1.453372  3.257008
    60.70     1.058722  4.004056
    48.70     0.910070  4.050956
    75.20     1.357507  5.000000
    65.50     1.789631  5.000000
    70.20     1.939980  5.000000
    72.60     1.343685  3.435200
    69.70     1.540620  3.850784
    71.00     1.850176  5.000000
    72.30     2.000000  3.689709
    72.30     1.626232  5.000000
    65.00     0.900856  3.383357
    68.80     1.425583  3.129760
    63.70     2.000000  5.000000
    53.30     1.808110  5.000000
    65.30     1.689632  5.000000
    61.70     1.519685  5.000000
    46.10     0.909015  4.939953
    60.30     1.576350  5.000000
    62.70     2.000000  3.452140
    67.80     2.000000  4.490730
    58.20     1.397158  5.000000
    77.10     1.909453  4.279097
    66.20     2.000000  3.412671
    65.30     2.000000  4.415915
    69.20     2.000000  5.000000
    66.60     2.000000  4.490468
    66.10     2.000000  3.481502
    77.60     1.539185  3.396715
    75.00     1.424097  3.811148
    54.90     1.764782  3.925882
    69.60     1.086963  3.562398
    75.00     1.584735  1.777661
    67.10     1.821218  4.412788
    60.70     1.845388  4.119738
    62.50     1.994165  4.818280
    75.20     1.504601  3.079515
    67.00     0.991419  4.904725
    75.60     1.434950  3.889707
    76.80     1.003293  3.010242
    74.00     1.202559  3.048865
    24.70     0.412887  4.347900
    65.10     1.495074  1.964306
    62.90     1.436333  3.893760
    48.20     0.757149  4.391061
    80.80     1.362930  2.059414
    70.30     1.495059  2.513779
    81.10     1.098715  2.446951
    46.90     0.616715  2.435262
    66.70     1.379320  3.233002
    75.20     1.363051  3.017982
    82.90     1.109716  3.554854
    67.80     0.736612  3.984116
    74.30     0.994184  2.301874
    70.00     0.744062  3.754782
    74.00     0.982173  3.257964
    71.80     0.763279  2.815090
    69.30     0.686435  3.177773
    57.90     0.804048  3.963866
    82.90     1.378541  3.638866
    74.10     1.814622  3.222526
    67.30     1.240474  4.845421
    81.20     0.982233  3.738335
    71.20     0.980094  2.603427
    77.00     1.036706  2.693939
    82.00     1.148785  3.678739
    79.00     0.817208  3.760914
    59.40     1.088849  4.276660
    72.40     1.226399  3.482853
    61.90     1.467423  4.736733
    60.40     1.432334  4.414928
    73.10     1.469370  4.471638
    69.90     1.243781  4.749510
    82.10     1.362160  3.172265
    68.80     1.702861  3.046587
    76.10     1.050353  3.407223
    68.30     1.418514  3.341467
    75.10     1.269692  2.441940
    64.90     1.550333  3.836304
    66.20     1.748380  4.174005
    80.80     1.549846  2.148902
    65.00     1.792141  2.229564
    59.20     1.461430  3.891640
    81.10     1.099262  3.930016
    82.10     1.553761  2.967145
    89.10     1.307314  3.095830
    64.30     1.047787  3.626871
    80.90     1.286989  2.728224
    85.80     1.097236  2.525920
    71.30     1.476178  2.566905
    69.20     1.296113  2.854228
    65.30     1.590320  2.284533
    68.90     1.232144  3.475152
    74.30     1.277896  2.888127
    79.90     1.628300  2.366269
    77.40     1.100774  3.666484
    67.30     1.596426  2.441577
    79.30     1.178180  3.061003
    65.70     1.198027  3.190878
    75.30     1.033806  3.562446
    71.80     1.387246  2.517178
    77.00     1.639951  3.311704
    71.20     1.533706  3.638645
    68.00     1.392024  3.606040
    74.10     1.525522  3.641524
    76.60     1.286198  3.577060
    82.30     1.153701  2.550366
    66.60     1.200973  2.689206
    76.60     1.116627  3.423103
    71.70     1.478037  2.631761
    76.50     1.491942  2.612203
    71.80     1.412451  3.465534
    72.70     1.473829  3.385354
    72.30     1.504732  2.780089
    78.00     1.106757  2.696544
    64.90     1.364509  2.551146
    76.30     1.518265  3.451893
    61.20     1.104655  3.206250
    69.60     1.409452  3.595016
    80.50     1.267554  2.801882
    82.40     1.193013  2.608148
    67.60     1.102292  3.514240
    76.70     1.402403  3.331568
    70.60     1.260605  2.906957
    83.60     1.325757  3.166883
    74.40     1.365403  3.063616
    84.10     1.352309  3.052138
    77.60     1.430319  3.164424
    68.30     1.204803  3.391073
    79.20     1.331137  3.225154
    72.30     1.198531  3.151933
    81.10     1.250243  3.086934
    74.00     1.368018  3.010541
    65.50     1.291287  3.342321
    73.30     1.425151  2.949855
    60.90     1.272520  3.388463
    69.70     1.312893  3.383719
    69.00     1.362035  3.178286
    80.30     1.321218  3.013959
    81.80     1.329734  3.207336
    76.50     1.308429  3.294000
    74.60     1.275972  3.092016
    68.80     1.308209  3.060227
    77.80     1.315018  3.114332
    81.50     1.320334  3.140764
    72.40     1.315835  3.066213
    74.10     1.288130  3.119719
    65.10     1.291015  3.144799
    69.20     1.300722  3.080159
    67.00     1.303744  3.081926
    76.00     1.299073  3.071709
    71.30     1.305691  3.051123
    79.40     1.322219  3.131557
    69.90     1.315300  3.067045
    71.10     1.320082  3.121626
    79.20     1.291296  3.138169
    68.20     1.292422  3.135738
    77.60     1.324216  3.098083
    77.30     1.321308  3.091724
    64.70     1.293799  3.126381
    74.80     1.316116  3.116730
    79.80     1.299109  3.114797
