constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 1.0], [1.0, 3.0], [0.1, 0.2], 10, 10, 0.2, 0.001, 0.5, 0.1]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 1
Optimizer(): numParams: 2
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  
BanditTestBatch: numCases: 1
BanditTestBatch: maxim sum reward: 600.0
BanditTestBatch: random reward: 500.0

89.60     1.000000  2.500000 
92.60     0.200000  1.600000 
94.00     0.700000  1.800000 
89.60     1.000000  2.000000 
96.80     0.500000  1.600000 
96.80     0.500000  1.200000 
96.80     0.500000  1.600000 
94.60     0.100000  1.200000 
94.00     0.700000  3.000000 
92.80     0.800000  1.000000 
89.40     0.300000  2.200000 
89.60     1.000000  1.600000 
94.00     0.700000  1.200000 
88.80     0.300000  2.400000 
92.80     0.800000  2.000000 
91.20     0.900000  2.600000 
89.40     0.300000  2.200000 
90.20     0.300000  2.000000 
94.20     0.200000  1.200000 
92.00     0.400000  2.800000 
92.80     0.800000  2.200000 
82.20     0.200000  3.000000 
89.00     1.000000  1.000000 
89.60     1.000000  2.600000 
94.00     0.700000  1.400000 
96.80     0.500000  3.000000 
89.60     1.000000  2.800000 
95.60     0.600000  2.400000 
93.00     0.100000  1.600000 
89.40     0.300000  2.200000 
82.20     0.200000  2.600000 
93.40     0.200000  1.400000 
92.80     0.800000  2.800000 
92.20     0.000000  1.800000 
95.60     0.600000  2.200000 
91.00     0.400000  1.600000 
93.40     0.200000  1.400000 
96.80     0.500000  1.600000 
93.80     0.000000  1.400000 
96.80     0.500000  3.000000 
82.20     0.200000  3.000000 
94.00     0.700000  1.000000 
91.20     0.900000  1.600000 
95.60     0.600000  1.200000 
85.80     0.300000  3.000000 
96.80     0.500000  1.000000 
91.00     0.200000  2.000000 
95.60     0.600000  1.000000 
89.80     0.100000  2.400000 
91.20     0.900000  1.600000 
92.80     0.800000  1.200000 
94.00     0.700000  2.000000 
82.20     0.200000  2.800000 
90.60     0.900000  1.000000 
93.40     0.300000  1.200000 
95.60     0.600000  2.200000 
96.80     0.500000  2.000000 
92.60     0.200000  1.600000 
92.80     0.800000  2.400000 
96.80     0.500000  1.800000 
85.80     0.300000  3.000000 
93.40     0.400000  1.000000 
93.80     0.000000  1.400000 
93.00     0.000000  1.600000 
91.00     0.200000  2.000000 
96.80     0.500000  2.800000 
-0.20     0.000000  2.800000 
-0.20     0.000000  3.000000 
89.00     1.000000  1.200000 
91.20     0.900000  2.000000 
94.00     0.700000  2.600000 
40.80     0.100000  2.800000 
91.40     0.100000  2.000000 
95.60     0.600000  1.400000 
89.60     1.000000  1.600000 
93.80     0.100000  1.400000 
92.00     0.400000  2.200000 
85.80     0.300000  2.800000 
95.60     0.600000  1.800000 
92.80     0.800000  2.000000 
93.80     0.100000  1.400000 
91.20     0.900000  2.200000 
92.20     0.000000  1.800000 
90.20     0.300000  2.000000 
92.00     0.400000  2.600000 
92.80     0.800000  1.000000 
91.80     0.300000  1.600000 
91.20     0.900000  2.800000 
93.40     0.300000  1.200000 
92.80     0.800000  2.600000 
92.00     0.400000  2.400000 
96.80     0.500000  1.800000 
96.80     0.500000  2.400000 
95.60     0.600000  1.400000 
40.80     0.100000  2.800000 
91.20     0.900000  2.800000 
95.60     0.600000  2.600000 
91.20     0.900000  2.000000 
92.20     0.000000  1.800000 
92.80     0.800000  2.000000 
89.60     1.000000  3.000000 
