constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Exhaustive , Random-normalized optimality [%]
Optimizer(): config:  [[0.4, 0.02, 21], [0.1, 0.1, 30]]
Optimizer(): selective:  0.000000  1.000000
Optimizer(): evals/step: 1
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct
MABsolver_config: params: numInputs:  0  0  0  0
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10
BanditTestBatch: numCases: 11
BanditTestBatch: maxim sum reward: 4919.0
BanditTestBatch: random reward: 3305.0

    72.00     0.400000  0.100000
    71.93     0.400000  0.200000
    71.88     0.400000  0.300000
    71.81     0.400000  0.400000
    71.75     0.400000  0.500000
    72.33     0.400000  0.600000
    74.76     0.400000  0.700000
    74.71     0.400000  0.800000
    72.90     0.400000  0.900000
    72.86     0.400000  1.000000
    72.80     0.400000  1.100000
    73.12     0.400000  1.200000
    73.08     0.400000  1.300000
    73.10     0.400000  1.400000
    73.05     0.400000  1.500000
    73.01     0.400000  1.600000
    73.09     0.400000  1.700000
    73.08     0.400000  1.800000
    73.07     0.400000  1.900000
    73.07     0.400000  2.000000
    73.05     0.400000  2.100000
    73.04     0.400000  2.200000
    73.03     0.400000  2.300000
    73.02     0.400000  2.400000
    73.01     0.400000  2.500000
    73.01     0.400000  2.600000
    73.00     0.400000  2.700000
    72.99     0.400000  2.800000
    72.97     0.400000  2.900000
    72.96     0.400000  3.000000
    71.34     0.420000  0.100000
    71.27     0.420000  0.200000
    71.21     0.420000  0.300000
    71.15     0.420000  0.400000
    71.09     0.420000  0.500000
    71.76     0.420000  0.600000
    74.14     0.420000  0.700000
    74.13     0.420000  0.800000
    72.40     0.420000  0.900000
    72.40     0.420000  1.000000
    72.38     0.420000  1.100000
    72.82     0.420000  1.200000
    72.82     0.420000  1.300000
    72.81     0.420000  1.400000
    72.86     0.420000  1.500000
    72.85     0.420000  1.600000
    72.84     0.420000  1.700000
    72.84     0.420000  1.800000
    72.83     0.420000  1.900000
    72.82     0.420000  2.000000
    72.80     0.420000  2.100000
    72.79     0.420000  2.200000
    72.79     0.420000  2.300000
    72.77     0.420000  2.400000
    72.77     0.420000  2.500000
    72.76     0.420000  2.600000
    72.75     0.420000  2.700000
    72.75     0.420000  2.800000
    72.72     0.420000  2.900000
    72.72     0.420000  3.000000
    70.63     0.440000  0.100000
    70.57     0.440000  0.200000
    70.51     0.440000  0.300000
    70.45     0.440000  0.400000
    70.39     0.440000  0.500000
    70.90     0.440000  0.600000
    73.14     0.440000  0.700000
    73.09     0.440000  0.800000
    71.38     0.440000  0.900000
    71.34     0.440000  1.000000
    71.29     0.440000  1.100000
    71.77     0.440000  1.200000
    71.73     0.440000  1.300000
    71.69     0.440000  1.400000
    71.88     0.440000  1.500000
    71.87     0.440000  1.600000
    71.86     0.440000  1.700000
    71.86     0.440000  1.800000
    71.85     0.440000  1.900000
    71.84     0.440000  2.000000
    71.82     0.440000  2.100000
    71.81     0.440000  2.200000
    71.80     0.440000  2.300000
    71.80     0.440000  2.400000
    71.79     0.440000  2.500000
    71.78     0.440000  2.600000
    71.77     0.440000  2.700000
    71.77     0.440000  2.800000
    71.74     0.440000  2.900000
    71.74     0.440000  3.000000
    70.02     0.460000  0.100000
    69.96     0.460000  0.200000
    69.90     0.460000  0.300000
    69.84     0.460000  0.400000
    69.94     0.460000  0.500000
    70.46     0.460000  0.600000
    72.65     0.460000  0.700000
    72.64     0.460000  0.800000
    71.01     0.460000  0.900000
    71.00     0.460000  1.000000
    70.99     0.460000  1.100000
    71.59     0.460000  1.200000
    71.58     0.460000  1.300000
    71.58     0.460000  1.400000
    71.57     0.460000  1.500000
    71.64     0.460000  1.600000
    71.63     0.460000  1.700000
    71.62     0.460000  1.800000
    71.62     0.460000  1.900000
    71.61     0.460000  2.000000
    71.58     0.460000  2.100000
    71.57     0.460000  2.200000
    71.56     0.460000  2.300000
    71.56     0.460000  2.400000
    71.55     0.460000  2.500000
    71.54     0.460000  2.600000
    71.54     0.460000  2.700000
    71.53     0.460000  2.800000
    71.51     0.460000  2.900000
    71.50     0.460000  3.000000
    69.35     0.480000  0.100000
    69.29     0.480000  0.200000
    69.23     0.480000  0.300000
    69.17     0.480000  0.400000
    69.11     0.480000  0.500000
    69.57     0.480000  0.600000
    71.63     0.480000  0.700000
