constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.1], [2.0, 5.0], [], 10, 20, 0.2, 0.001, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000
Optimizer(): evals/step: 10
Optimizer(): numParams: 2
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct
MABsolver_config: params: numInputs:  0  0  0  0
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]
BanditTestBatch: casesIDs:  5
BanditTestBatch: numCases: 1
BanditTestBatch: maxim sum reward: 600.0
BanditTestBatch: random reward: 500.0

    70.30     1.000000  2.500000
    69.30     0.948091  2.809374
    57.70     1.118221  3.395262
    41.40     0.846844  5.000000
    38.90     0.648073  4.725922
    65.10     1.389911  1.443919
     3.40     0.389443  4.999286
    49.00     1.813734  1.219062
    39.80     0.519460  1.332678
    72.70     1.509367  1.237827
    65.20     2.000000  1.253623
    65.10     1.061969  3.105283
    57.00     0.652182  0.100000
    64.90     1.146535  1.022771
    52.40     1.897749  0.940326
    53.40     0.738307  0.100000
    78.20     0.676714  2.662782
    59.10     1.390913  4.426266
    49.40     0.160672  1.183723
    60.70     0.833927  0.580978
    69.50     0.591145  2.576525
    84.60     1.230736  2.692040
    77.00     1.029318  1.743544
    62.70     1.993165  2.337189
    -5.70     0.353141  3.728375
    68.40     1.730829  3.460928
    65.00     1.407771  1.393448
    65.50     1.929752  2.378130
    66.90     1.686604  3.102765
    56.80     1.742439  1.209345
    67.30     2.000000  2.557223
    47.40     0.498038  3.266669
    54.60     1.463899  0.803933
    74.20     1.316097  1.463754
    80.40     0.800100  2.399640
    71.50     1.184389  4.208496
    62.00     1.278094  4.871964
    60.60     0.588523  2.171746
    45.20     2.000000  0.696758
    67.20     1.758781  4.060613
    68.30     0.618226  2.323373
    77.40     1.662076  1.808142
    65.40     2.000000  3.386988
    45.90     0.567205  3.385051
    76.30     1.244434  1.911714
    50.20     0.578780  3.495607
    72.20     1.300823  2.657406
    72.90     1.475053  1.321046
    43.20     0.558390  3.459583
    54.60     2.000000  0.847008
    81.50     0.710450  1.490103
    78.40     0.873584  2.106165
    65.20     1.882304  1.894573
    71.80     1.729701  3.833503
    71.60     1.540861  2.950610
    73.70     1.130209  1.140644
    71.40     1.344382  2.000277
    71.50     1.574357  2.090091
    62.70     0.579285  3.414586
    60.70     0.652105  1.042707
    65.60     1.285240  4.399978
    80.60     1.430691  2.419829
    66.90     1.590925  1.626264
    79.90     0.947376  2.705399
    77.80     0.853719  2.749628
    71.80     1.775343  2.486032
    74.00     0.558861  1.836968
    44.10     0.689402  3.987032
    50.70     0.901889  4.292022
    74.20     1.720364  3.038615
    75.30     1.565094  2.203288
    76.70     1.534537  3.927054
    65.90     1.791280  2.613375
    70.50     1.680185  3.483815
    74.20     1.336959  2.628932
    75.90     0.714532  2.567281
    42.00     0.631102  3.388296
    75.90     0.565045  2.192852
    71.80     1.707465  3.713096
    49.60     0.638515  3.377548
    77.40     0.960047  2.094959
    72.50     1.741142  1.691737
    57.70     0.939901  3.565325
    72.80     1.422689  2.300241
    65.10     1.157293  3.389356
    79.80     1.542731  2.070976
    69.70     1.718349  1.469993
    65.30     1.122232  3.763139
    62.10     1.559414  1.441653
    59.30     0.982331  4.053789
    65.60     1.492995  1.377103
    69.90     1.537013  4.033609
    65.70     1.045589  3.766873
    80.50     1.419974  1.660823
    74.20     1.655679  3.867909
    77.00     1.487650  3.783580
    83.10     1.056267  2.597688
    89.60     1.109989  1.943131
    76.20     1.073388  3.226327
    63.60     0.977796  3.159928
    81.80     0.928529  1.136762
    82.60     1.519794  1.831625
    71.20     1.310928  1.104812
    63.90     0.806734  2.879225
    78.90     0.876993  1.644356
    63.90     1.502829  1.459012
    69.60     1.283157  1.127440
    73.60     1.532068  2.955076
    75.60     1.201071  1.823637
    75.10     1.398477  1.497862
    89.50     0.913617  2.700970
    87.40     1.166200  2.459389
    74.80     1.022320  1.819510
    75.60     1.058016  2.111802
    83.70     0.943680  2.310517
    60.30     0.668682  1.989264
    92.90     1.148005  2.432086
    82.70     1.238691  2.436960
    85.00     1.085399  3.510225
    72.10     1.315925  2.707584
    69.40     1.448875  3.412377
    85.20     0.849333  2.238935
    82.30     0.873713  2.518366
    77.70     1.158994  2.910519
    81.50     1.122568  3.044164
    87.30     1.470012  2.720740
    71.40     1.033461  3.062108
    66.60     0.819260  1.809435
    85.00     0.862437  2.352860
    84.20     1.440044  2.163466
    80.00     1.020758  2.093457
    63.50     1.237775  1.797674
    66.60     1.232012  3.140671
    68.00     1.341024  2.901292
    73.10     1.083478  3.163373
    79.50     1.330242  1.941391
    78.70     0.915790  3.112114
    66.60     0.938883  3.118621
    80.40     1.175145  1.840175
    75.20     1.056933  2.915628
    76.70     1.241386  1.629754
    74.40     1.018932  2.169404
    80.90     1.333723  2.106401
    74.60     1.342753  2.978865
    80.60     1.060559  2.673409
    76.70     1.172562  2.474676
    74.00     1.050338  2.632702
    78.60     1.057924  2.904575
    66.80     1.169530  2.848285
    73.90     0.935210  2.725216
    77.40     0.969280  2.273207
    66.70     0.957742  2.721425
    77.70     1.115871  2.749853
    79.90     1.276776  2.832112
    88.30     1.157176  2.915437
    85.30     1.044763  2.149091
    79.50     0.945089  2.316728
    69.50     1.338887  2.698878
    75.40     1.155303  2.308413
    74.70     1.193053  2.422044
    66.90     1.013849  2.870801
    65.20     1.195689  2.610966
    67.30     1.148030  2.651542
    71.40     1.268266  2.693153
    72.50     1.251946  2.742493
    78.90     1.057824  2.391508
    79.70     1.182379  2.502578
    85.10     1.209996  2.654831
    87.40     1.164869  2.682638
    78.50     1.054443  2.462338
    88.50     1.158299  2.619113
    78.80     1.132607  2.648349
    75.20     1.068517  2.673813
    82.30     1.220185  2.597433
    80.80     1.142875  2.698748
    89.20     1.248613  2.265514
    81.60     1.221439  2.241334
    88.40     1.043018  2.650918
    75.30     1.179177  2.554751
    86.80     1.140282  2.675039
    78.60     1.178690  2.372564
    78.30     1.129771  2.384090
    70.50     1.155607  2.466572
    75.80     1.138230  2.471836
    73.90     1.149460  2.402855
    83.50     1.163221  2.390662
    84.00     1.149997  2.387881
    71.10     1.145173  2.450597
    75.50     1.138340  2.454043
    80.00     1.130181  2.396991
    77.60     1.137695  2.403353
    77.60     1.135353  2.409081
    82.40     1.140593  2.466823
    81.20     1.138853  2.436230
    76.20     1.142323  2.420998
    79.60     1.164494  2.409976
    68.10     1.154030  2.418385
    74.50     1.157750  2.454251
    75.90     1.146208  2.421951
    74.90     1.163806  2.464315
    82.00     1.156578  2.411026
