constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  6  7  8  9  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 2749.0
BanditTestBatch: random reward: 1865.5

    21.81     0.100000 
    21.73     0.031424 
    22.56     0.221299 
    15.68     0.455443 
    15.04     0.374041 
    15.68     0.000000 
    21.37     0.248692 
    24.63     0.028527 
    22.79     0.074624 
    26.87     0.162741 
    20.26     0.254361 
    24.98     0.093911 
    17.50     0.306452 
    15.50     0.000000 
    20.16     0.298860 
    19.35     0.290747 
    20.80     0.292158 
    24.35     0.251538 
    28.31     0.035805 
    21.48     0.017464 
    21.37     0.108067 
    22.38     0.229749 
    17.01     0.037530 
    23.68     0.106723 
    19.00     0.101765 
    24.04     0.233972 
    27.31     0.067157 
    24.11     0.091550 
    16.79     0.000000 
    25.40     0.147027 
    17.07     0.301551 
    18.75     0.212950 
    20.67     0.086879 
    12.47     0.000000 
    19.35     0.175000 
    27.87     0.153818 
    22.23     0.195975 
    18.70     0.187636 
    19.80     0.311319 
    23.35     0.125102 
    21.33     0.016678 
    24.07     0.017305 
    23.34     0.106600 
    16.01     0.000000 
    21.68     0.169528 
    21.84     0.064253 
    11.46     0.000000 
    15.59     0.000000 
    13.92     0.000000 
    22.43     0.128510 
    22.08     0.225497 
    23.69     0.143945 
    25.95     0.128615 
    25.68     0.105777 
    25.33     0.168810 
    23.16     0.257606 
    20.15     0.222523 
    18.97     0.308085 
    19.75     0.367179 
    21.80     0.295009 
    21.19     0.324637 
    21.47     0.332383 
    22.16     0.279682 
    18.40     0.365962 
    15.47     0.359482 
    18.51     0.288667 
    20.60     0.256622 
    18.72     0.342942 
    20.82     0.258115 
    18.41     0.291516 
    17.85     0.185216 
    19.62     0.203785 
    25.18     0.232253 
    23.95     0.220599 
    25.61     0.216731 
    21.54     0.215148 
    17.36     0.274146 
    19.93     0.211053 
    22.67     0.244124 
    22.05     0.169739 
    19.09     0.252441 
    20.32     0.217928 
    23.14     0.206671 
    21.95     0.191948 
    21.67     0.233983 
    21.63     0.224714 
    22.53     0.208024 
    23.59     0.238756 
    20.87     0.247569 
    19.23     0.205403 
    24.18     0.195396 
    20.80     0.198606 
    30.48     0.198261 
    19.63     0.198638 
    21.82     0.203094 
    23.84     0.203025 
    20.70     0.200171 
    18.62     0.201209 
    24.55     0.201169 
    24.12     0.201890 
    20.69     0.200694 
    18.20     0.198261 
    15.82     0.393970 
    21.16     0.191117 
    24.97     0.204430 
    16.79     0.000000 
    17.60     0.365066 
    18.42     0.358228 
    25.47     0.121392 
    14.14     0.000000 
    26.49     0.025076 
    17.96     0.000000 
    21.44     0.117060 
    19.62     0.253662 
    27.16     0.213595 
    14.72     0.309297 
    28.34     0.105291 
    22.56     0.134504 
    16.30     0.003388 
    14.81     0.000000 
    13.75     0.000000 
    30.35     0.035521 
    27.06     0.015523 
    14.14     0.000000 
    27.39     0.056915 
    29.08     0.183305 
    23.88     0.034799 
    13.72     0.000000 
    25.19     0.036867 
    12.00     0.000000 
    15.00     0.000000 
    22.63     0.056723 
    32.24     0.040895 
    22.48     0.140953 
    17.08     0.000000 
    15.89     0.000000 
    23.13     0.159681 
    29.11     0.054253 
    23.27     0.086496 
    13.56     0.000000 
    26.51     0.034954 
    23.30     0.073417 
    23.29     0.159491 
    24.45     0.288602 
    23.63     0.230092 
    30.89     0.125535 
    20.40     0.233506 
    20.50     0.011197 
    25.50     0.130359 
    16.73     0.223038 
    24.59     0.126177 
    19.60     0.197894 
    23.93     0.026381 
    15.37     0.000000 
    15.96     0.000000 
    29.97     0.092987 
    24.65     0.189526 
    20.78     0.188930 
    24.49     0.111257 
    26.43     0.029868 
    25.77     0.026212 
    11.25     0.000000 
    24.09     0.095361 
    21.67     0.093685 
    17.55     0.019099 
    27.22     0.019579 
    14.54     0.000000 
    23.20     0.070050 
    15.04     0.000569 
    10.76     0.000000 
    26.69     0.066485 
    26.77     0.112200 
    22.84     0.091739 
    22.42     0.106972 
    27.04     0.071085 
    21.15     0.083661 
    23.21     0.053208 
    25.17     0.066310 
    19.22     0.058005 
    24.49     0.114329 
    24.90     0.148146 
    22.89     0.127535 
