constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.100000  ]  [  2.000000  ]  [  0.000000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  5  6  7  8  9  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 2749.0
BanditTestBatch: random reward: 1865.5

    31.21     0.100000 
    14.29     0.000000 
    23.62     0.293725 
    21.90     0.355072 
    19.87     0.400000 
    25.49     0.235262 
    26.99     0.192513 
    22.98     0.313770 
    30.01     0.139686 
    22.78     0.316160 
    21.39     0.350996 
    23.65     0.287817 
    24.55     0.276491 
    27.00     0.204860 
    23.97     0.289188 
    22.41     0.348173 
    19.94     0.400000 
    20.17     0.397452 
    21.96     0.335405 
    28.20     0.190487 
    28.57     0.161611 
    25.82     0.244674 
    27.30     0.195775 
    30.13     0.123666 
    30.85     0.136194 
    30.14     0.109741 
    14.29     0.000000 
    25.06     0.250951 
    27.89     0.194736 
    25.21     0.260354 
    26.39     0.220345 
    31.37     0.090212 
    35.09     0.033756 
    38.12     0.002656 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    31.82     0.075412 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    33.58     0.066528 
    28.02     0.176376 
    25.22     0.253587 
    25.24     0.253868 
    21.43     0.360754 
    24.37     0.279339 
    23.09     0.309834 
    27.32     0.201925 
    26.00     0.246900 
    26.89     0.195360 
    29.01     0.161736 
    28.43     0.175010 
    31.49     0.087558 
    39.43     0.005129 
    14.29     0.000000 
    14.29     0.000000 
    32.09     0.064736 
    36.27     0.029391 
    14.29     0.000000 
    14.29     0.000000 
    33.64     0.061521 
    14.29     0.000000 
    32.18     0.063776 
    35.17     0.045783 
    14.29     0.000000 
    14.29     0.000000 
    38.60     0.017038 
    34.56     0.043119 
    37.50     0.017918 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    34.03     0.051119 
    14.29     0.000000 
    14.29     0.000000 
    38.01     0.010961 
    14.29     0.000000 
    33.69     0.044891 
    32.43     0.045822 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    37.98     0.011072 
    14.29     0.000000 
    14.29     0.000000 
    34.63     0.024768 
    37.94     0.023055 
    14.29     0.000000 
    32.80     0.001181 
    35.19     0.006639 
    39.45     0.003784 
    37.99     0.003917 
    38.80     0.004249 
    35.82     0.007279 
    39.44     0.003597 
    25.88     0.000201 
    40.54     0.005533 
    35.77     0.008535 
    37.93     0.005533 
    32.62     0.048662 
    34.85     0.053133 
    33.69     0.062692 
    32.28     0.092235 
    24.68     0.265122 
    26.46     0.209119 
    29.98     0.139044 
    27.08     0.206924 
    33.44     0.068041 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    43.57     0.004741 
    14.29     0.000000 
    30.96     0.118011 
    37.10     0.013001 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    14.29     0.000000 
    31.84     0.063615 
    29.55     0.159458 
    24.04     0.287418 
    24.25     0.296327 
    19.87     0.400000 
    26.36     0.215977 
    21.91     0.342651 
    26.43     0.233983 
    26.96     0.213382 
    29.50     0.148275 
    30.12     0.109683 
    34.62     0.048328 
    29.89     0.117027 
    14.29     0.000000 
    14.29     0.000000 
    30.64     0.095852 
    31.82     0.092647 
    29.75     0.138565 
    29.89     0.151813 
    33.25     0.059379 
    14.29     0.000000 
    29.47     0.147060 
    26.57     0.221772 
    30.80     0.138995 
