constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.001], [0.1], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: SoftMax , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.010000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    15.04     0.010000 
    10.94     0.028358 
    13.91     0.068209 
    17.64     0.047856 
     8.13     0.042495 
    20.51     0.026343 
    14.02     0.001000 
    17.79     0.073975 
    11.22     0.074662 
    13.77     0.074454 
    15.44     0.025976 
    14.94     0.022065 
    13.55     0.058452 
    12.79     0.072043 
    11.57     0.046641 
    18.97     0.017027 
     5.03     0.001000 
    24.22     0.026883 
     6.56     0.001000 
    14.93     0.039719 
     3.29     0.001000 
    22.62     0.004917 
     8.34     0.042430 
    14.25     0.033462 
    13.05     0.022649 
    13.17     0.038510 
    25.80     0.003784 
    13.50     0.001000 
    21.23     0.002279 
    14.19     0.028827 
    13.08     0.031026 
     6.44     0.001000 
    15.07     0.019752 
    29.06     0.003502 
    14.02     0.031344 
    18.00     0.028480 
    15.40     0.021782 
    18.86     0.020705 
     5.31     0.001000 
    14.99     0.015498 
    32.89     0.003996 
    20.14     0.001000 
    15.47     0.015724 
    -2.77     0.001000 
    12.82     0.015465 
     3.44     0.001000 
    13.11     0.001000 
    15.13     0.011698 
    18.44     0.026571 
     9.17     0.001000 
     6.73     0.001000 
    19.85     0.018792 
    12.98     0.001000 
     3.16     0.001000 
    14.67     0.022827 
    11.07     0.017499 
     7.37     0.001000 
    12.00     0.001000 
    11.47     0.009916 
    19.41     0.023455 
    17.08     0.023082 
     5.85     0.001000 
    14.58     0.007844 
     7.77     0.001000 
     9.15     0.016218 
    19.50     0.020419 
    15.46     0.008459 
    15.22     0.012976 
    12.90     0.013915 
     9.70     0.001000 
    14.38     0.015706 
    14.58     0.001000 
    -5.50     0.001000 
     3.09     0.001000 
    -0.30     0.001000 
    26.98     0.004593 
    12.89     0.012957 
    23.03     0.005503 
     0.17     0.001000 
    14.10     0.013859 
     0.53     0.001000 
    14.65     0.001000 
    15.97     0.008666 
    12.52     0.007226 
    16.47     0.007085 
     6.01     0.001000 
    22.44     0.005623 
    22.03     0.004717 
    17.16     0.001000 
    16.24     0.007944 
     7.04     0.001000 
    23.46     0.003671 
    33.10     0.004213 
    26.01     0.004970 
    25.26     0.003814 
    29.75     0.004727 
    21.10     0.005019 
    31.29     0.004573 
    25.94     0.004920 
    26.50     0.003962 
    28.98     0.003641 
    16.17     0.004573 
    21.40     0.001000 
     8.23     0.050164 
     4.17     0.001000 
    10.81     0.013292 
    13.08     0.033580 
    13.44     0.021113 
    11.90     0.008129 
    20.88     0.032900 
    12.79     0.069934 
     8.49     0.062983 
    11.14     0.066376 
    16.64     0.040830 
     8.71     0.065230 
    11.19     0.039459 
    16.02     0.068896 
    19.95     0.031359 
    12.16     0.043856 
     8.18     0.057779 
    13.26     0.087741 
    16.06     0.100000 
    15.16     0.100000 
    15.80     0.100000 
    16.52     0.100000 
    14.40     0.100000 
    13.15     0.063756 
    14.86     0.098067 
    14.89     0.083023 
    15.62     0.081213 
    15.37     0.092716 
    16.14     0.082592 
    15.04     0.097964 
    14.69     0.100000 
    15.53     0.076831 
    13.52     0.068396 
    14.54     0.086063 
    12.99     0.054677 
    12.22     0.057363 
    14.41     0.079201 
    13.90     0.064386 
    14.23     0.068553 
    15.74     0.052873 
     7.64     0.061482 
    10.44     0.063727 
    12.07     0.027065 
    13.02     0.040926 
    15.14     0.046973 
