constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    33.61     1.000000 
    51.99     0.132665 
    20.58     0.000000 
    38.36     0.778599 
    24.68     0.000000 
     8.77     0.000000 
    35.88     0.827169 
    29.55     1.144444 
    39.84     0.049037 
    19.10     0.000000 
    17.55     0.000000 
    15.48     0.000000 
    22.16     0.000000 
    34.92     0.993674 
    25.57     1.391011 
    40.12     0.761691 
    25.02     1.394893 
    15.36     2.517507 
    16.13     2.562291 
    25.75     1.369354 
    20.64     1.555645 
    12.03     2.518793 
    15.76     1.773637 
    15.89     2.004616 
    18.42     2.165720 
     9.45     2.380563 
    27.88     1.332913 
    32.39     0.930215 
    33.23     0.085298 
    48.75     0.269597 
    31.96     1.209681 
    36.67     0.754625 
    14.14     0.000000 
    10.72     0.000000 
    37.53     0.655227 
    40.45     0.534533 
    50.69     0.376517 
    50.03     0.495670 
    20.17     0.000000 
    49.63     0.286059 
    34.21     0.000000 
    32.53     0.696152 
    37.64     0.662442 
    20.67     0.016955 
     3.76     0.000000 
    54.29     0.401299 
    13.87     0.000000 
    49.28     0.267546 
    26.84     0.000000 
    50.08     0.338894 
    24.93     0.000000 
    40.53     0.717929 
    50.72     0.096602 
     9.56     0.000000 
    19.17     0.000000 
    25.39     0.022116 
    13.22     0.000000 
    21.69     0.000000 
    40.86     0.153792 
    18.14     0.000000 
     6.04     0.000000 
    49.11     0.479110 
    43.12     0.112815 
    30.93     0.000000 
    22.45     0.000000 
    51.38     0.259982 
    37.53     0.593525 
    54.60     0.433574 
    47.82     0.487653 
    34.39     0.789497 
    33.61     0.835832 
    41.77     0.501993 
    55.66     0.329044 
    51.63     0.320608 
    44.35     0.613725 
    47.78     0.431909 
    43.07     0.604415 
    40.75     0.517639 
    20.26     0.000000 
    43.89     0.632504 
    17.16     0.015177 
    54.62     0.168446 
    42.38     0.082203 
    45.56     0.231090 
    48.15     0.317280 
    40.16     0.045309 
    51.88     0.256544 
    48.31     0.448516 
    54.28     0.197199 
    46.96     0.083082 
    35.85     0.056668 
    47.74     0.180782 
    49.18     0.178873 
    47.87     0.208779 
    51.89     0.185965 
    47.84     0.165905 
    59.41     0.148747 
    50.49     0.155841 
    53.33     0.136575 
    46.31     0.167104 
    52.83     0.153945 
    49.77     0.148747 
    23.51     0.000000 
    37.90     0.676237 
    14.70     0.000000 
    24.90     1.394344 
    15.43     1.857936 
    13.07     1.894048 
    13.30     2.407209 
    14.75     3.000000 
     7.89     3.000000 
    24.95     1.970708 
    21.70     1.645976 
    45.13     0.592390 
    21.28     0.000000 
    50.96     0.361015 
    16.51     0.000000 
    22.09     0.000000 
    23.50     0.000000 
    22.04     0.000000 
    18.86     0.000000 
    54.10     0.232402 
    46.26     0.245976 
    24.71     0.000000 
    24.48     0.000000 
    17.52     0.000000 
    29.73     0.909761 
    23.78     1.538429 
    15.03     2.145963 
    13.21     3.000000 
    24.04     1.891897 
    26.21     1.267728 
    31.63     0.979558 
    27.93     1.272044 
    50.54     0.266831 
    23.94     0.000000 
    36.97     0.743942 
    21.36     0.000000 
    31.66     1.162920 
    18.78     2.026962 
    29.75     1.300414 
    41.86     0.666756 
    24.22     1.452070 
    24.25     1.254283 
    27.17     1.185924 
    30.92     0.979179 
    42.24     0.713220 
    46.64     0.280854 
    39.95     0.699598 
    52.93     0.156369 
    49.58     0.405659 
    48.79     0.066117 
    21.66     0.000000 
    42.72     0.519208 
    39.50     0.542569 
    16.34     0.000000 
    12.48     0.000000 
    53.00     0.229437 
    49.86     0.315191 
    37.60     0.968693 
    45.58     0.432317 
    40.27     0.540526 
    42.95     0.603828 
    51.50     0.370074 
    41.80     0.586174 
    46.60     0.312907 
    38.73     0.753535 
    52.86     0.212098 
    10.21     0.000000 
    12.81     0.000000 
    45.22     0.602398 
    37.77     0.682739 
    15.26     0.000257 
    50.82     0.393949 
    50.20     0.260124 
    53.31     0.290421 
    40.22     0.555425 
    35.58     0.794225 
    45.14     0.479772 
    36.21     0.726637 
    35.12     0.766398 
