constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [3.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset: TODO
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.000000  ]  [  2.500000  ]  [  0.200000  ]  [  5.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  
BanditTestBatch: numCases: 5
BanditTestBatch: maxim sum reward: 1170.0
BanditTestBatch: random reward: 939.5

    33.32     1.000000 
    37.47     2.165421 
    29.75     3.000000 
    34.74     1.954636 
    37.60     1.335940 
    49.35     0.504470 
    36.77     0.203973 
    35.00     1.789585 
    22.96     2.951501 
    24.78     2.528058 
    23.41     2.702353 
    51.37     0.793363 
    63.81     0.183892 
    46.10     0.849190 
    47.73     0.733449 
    23.82     0.000000 
    63.59     0.594377 
    51.62     0.735398 
    56.66     1.164566 
    61.84     0.586286 
    29.61     1.708752 
     6.90     0.036624 
     9.21     0.000000 
    52.39     0.703855 
    22.68     0.000000 
    39.54     1.518831 
    18.72     0.000000 
    11.84     0.000000 
    50.48     0.330002 
    11.24     0.000000 
    14.02     0.000000 
    51.50     0.964383 
    30.76     1.848872 
    39.94     1.755381 
    36.67     1.702300 
    25.70     2.163517 
    49.84     0.856599 
    54.47     0.329834 
    48.21     0.000000 
    55.40     0.536546 
    46.48     0.660682 
    42.69     0.874559 
    40.24     0.325739 
    14.40     0.000000 
    53.13     0.267697 
    26.68     0.000000 
    28.93     0.000000 
    43.45     0.551290 
    52.99     0.325526 
    46.63     1.069604 
    47.32     0.182929 
    -1.08     0.000000 
     7.07     0.000000 
    28.00     0.000000 
    52.62     1.006706 
    50.71     1.081752 
    51.18     0.597558 
    34.96     0.803350 
    60.21     0.745215 
    51.79     0.928698 
    49.89     0.984335 
    55.34     0.510717 
    46.94     0.182057 
    53.36     0.063297 
    20.40     0.000000 
    53.26     0.473017 
    45.57     0.609373 
    60.92     0.919797 
    52.73     0.550486 
    52.14     0.804146 
    46.91     0.776191 
    55.59     0.644388 
    55.34     0.759102 
    57.60     0.411006 
    51.25     0.358389 
    34.71     0.178341 
    56.65     0.273948 
    48.95     0.735627 
    53.07     0.728447 
    53.47     0.561887 
    56.80     0.497493 
    57.40     0.394599 
    49.35     0.583201 
    44.15     0.428052 
    43.95     0.307737 
    51.40     0.304379 
    58.52     0.368926 
    52.68     0.286744 
    58.89     0.306339 
    38.46     0.302458 
    67.56     0.262051 
    45.12     0.256396 
    37.30     0.256245 
    36.73     0.260710 
    57.82     0.267139 
    50.21     0.251034 
    35.52     0.236500 
    60.88     0.289953 
    38.48     0.255279 
    58.17     0.245995 
    49.89     0.270035 
    46.84     0.262051 
    13.74     0.000000 
    20.38     0.000000 
    20.70     0.000000 
    57.16     0.674951 
    29.98     1.988844 
    34.04     0.000000 
    29.84     0.000000 
    14.23     0.000000 
     7.43     0.000000 
    55.28     0.000000 
    55.50     0.874439 
    27.22     2.186181 
    40.52     0.965511 
    49.39     0.954149 
    40.11     0.961836 
    40.04     1.777326 
    40.61     0.959925 
    49.47     0.573199 
    20.55     0.118122 
    45.16     1.298781 
    45.75     0.975834 
    34.67     1.810606 
    36.24     1.966845 
    31.19     2.097246 
    30.29     2.636445 
    25.73     3.000000 
    33.18     2.582228 
    32.58     1.767340 
    29.96     2.907862 
    32.03     3.000000 
    22.93     2.320994 
    25.44     2.966763 
    28.67     2.256981 
    36.61     1.866223 
    47.12     1.383632 
    48.12     0.814212 
    37.28     1.697150 
    49.70     1.297698 
    54.60     0.443810 
    39.97     1.452493 
    20.58     0.000000 
    43.23     0.726881 
    36.70     0.161967 
    35.74     0.370165 
    52.11     0.935643 
    55.45     0.751908 
    46.65     1.014670 
    34.18     0.059341 
    51.49     0.744766 
    53.50     0.172660 
    56.24     0.119892 
    28.08     0.000000 
    26.59     0.000000 
     8.67     0.000000 
    48.34     0.695014 
    55.46     0.332707 
    46.06     0.833440 
    46.90     0.879821 
    43.04     0.344593 
    31.58     0.000000 
    11.90     0.002887 
    53.41     0.144486 
    22.00     0.000000 
    47.57     0.611973 
    39.90     1.121340 
    59.80     0.136651 
    28.24     0.000000 
    35.20     0.374240 
    35.80     0.239536 
    55.86     0.240368 
    54.87     0.427276 
    50.56     0.067479 
    17.81     0.000000 
    61.75     0.593637 
    57.80     0.354175 
    46.80     0.763316 
    39.26     0.340546 
    35.61     0.731161 
    36.47     0.269392 
    52.56     0.947535 
