constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5, 0.5, 10], [3.0, 7.0, 1.0, 1000], [], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  2.000000  3.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    57.54     1.100000  2.500000  0.600000  50.000000 
    31.83     0.252272  0.500000  0.528946  10.000000 
    52.85     0.305710  0.500000  0.621771  436.410584 
    50.25     1.482947  0.500000  0.637422  930.526336 
    49.18     0.457424  1.246142  0.589805  1000.000000 
    16.61     0.000000  4.286198  0.500000  1000.000000 
    52.22     0.745435  4.353109  0.616673  1000.000000 
    51.30     0.933330  5.897758  0.523604  511.690759 
    14.76     0.000000  7.000000  0.500000  874.469646 
    37.13     0.208129  6.976858  0.500000  693.500755 
    15.60     0.018813  7.000000  0.682511  390.847597 
    51.69     0.545756  4.195088  0.752196  602.255041 
    52.22     0.799333  3.967633  0.824802  528.828936 
    54.88     1.019895  2.655148  0.629476  264.256110 
    52.59     0.715590  0.500000  0.500000  653.530853 
    49.59     0.324636  0.500000  0.500000  994.375096 
    48.97     0.555902  0.500000  0.500000  1000.000000 
    44.87     1.932573  3.463169  0.560418  1000.000000 
    49.70     1.003436  1.731035  0.538195  1000.000000 
    41.28     2.157228  3.367540  0.572406  949.226287 
    47.44     1.371078  1.249673  0.624909  1000.000000 
    36.68     2.524133  2.798504  0.784478  1000.000000 
    46.10     1.645010  3.832839  0.774678  704.995324 
    39.97     2.296456  5.846405  0.915192  689.929354 
    41.02     1.632361  6.322181  0.676059  495.165475 
    34.27     2.173766  0.788404  0.645564  1000.000000 
    44.95     1.446609  2.487030  0.710841  627.843990 
    40.00     2.317972  3.585953  0.728337  482.872980 
    48.33     1.493534  5.222273  0.874715  725.525083 
    49.97     0.948662  7.000000  0.832323  887.383202 
    51.36     0.669354  4.680601  0.718414  935.810222 
    28.52     0.119487  4.721534  0.640869  973.016047 
    49.33     0.369379  1.626175  0.746901  1000.000000 
    25.23     0.058484  2.811251  0.752537  814.102404 
    50.24     1.261455  0.500000  0.824729  765.354639 
    51.04     0.627878  0.500000  0.876875  1000.000000 
    51.75     1.292516  3.164934  0.883975  1000.000000 
    49.19     0.779834  1.298473  0.739013  696.784182 
    14.24     0.000000  2.645062  0.899631  905.582428 
    40.28     1.753599  1.890764  0.869782  938.505906 
    30.08     2.800069  0.500000  0.756580  1000.000000 
    32.62     3.000000  0.500000  0.701070  817.702387 
    32.81     3.000000  3.268006  0.500000  551.855728 
    34.58     3.000000  5.626715  0.500000  492.134383 
    34.35     2.782844  2.961197  0.500000  449.751785 
    34.42     2.914888  4.621330  0.500000  269.940986 
    36.10     2.675263  6.870193  0.500000  229.563597 
    46.67     1.672710  5.175871  0.500000  588.737417 
    35.13     2.979951  3.397395  0.500000  676.467721 
    32.58     3.000000  6.266844  0.543029  912.999521 
    45.94     1.782303  7.000000  0.500000  857.106873 
    40.37     2.389626  7.000000  0.538267  546.599057 
    35.21     3.000000  7.000000  0.552525  967.756686 
    40.55     1.845798  7.000000  0.500000  926.816785 
    48.80     0.646699  6.634286  0.609778  1000.000000 
    18.33     0.000000  6.044002  0.500000  1000.000000 
    21.57     0.000000  7.000000  0.500000  957.401963 
    48.13     1.184968  7.000000  0.730810  640.997190 
    39.33     1.937150  6.525980  0.654475  989.504400 
    47.84     1.602095  5.688308  0.576008  1000.000000 
    50.87     0.302299  3.886627  0.651893  1000.000000 
    22.16     0.000000  6.446257  0.589036  889.631468 
    47.56     1.474620  5.759342  0.853400  1000.000000 
    51.06     0.555601  7.000000  0.903315  832.238006 
    20.21     0.000000  7.000000  0.940010  851.706094 
    23.02     0.000000  4.929598  0.863966  950.620726 
    50.26     0.932347  6.181377  1.000000  1000.000000 
    39.30     0.184101  5.680581  1.000000  1000.000000 
    42.92     0.178562  3.714464  1.000000  1000.000000 
    22.78     0.000000  3.735993  1.000000  846.717782 
    11.72     0.000000  1.777499  0.796348  721.802354 
    53.18     0.822705  5.544664  0.877971  1000.000000 
    52.31     0.829098  5.892852  0.859403  925.750649 
    44.47     1.881975  6.803688  0.651803  924.126313 
    48.87     1.107822  7.000000  0.679950  956.334409 
    49.15     1.370114  4.835688  0.540271  1000.000000 
    40.20     2.238507  3.881963  0.500000  594.300412 
    36.95     2.546928  6.099167  0.622139  1000.000000 
    47.32     0.271078  4.833296  0.500000  1000.000000 
    48.97     1.266685  5.626584  0.577176  1000.000000 
    49.81     1.483291  4.213312  0.735519  812.521002 
    41.70     2.011937  4.281534  0.727723  425.773546 
