constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5, 0.5, 10], [3.0, 7.0, 1.0, 1000], [], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  2.000000  3.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    55.04     1.100000  2.500000  0.600000  50.000000 
    50.47     1.196711  4.002610  0.511593  10.000000 
    49.30     0.951348  5.682151  0.500000  10.000000 
    49.65     1.357837  7.000000  0.500000  10.000000 
    39.21     2.781467  4.016767  0.500000  206.771340 
    21.14     3.000000  1.628661  0.629473  10.000000 
    31.88     3.000000  1.420587  0.668595  440.362217 
    32.91     2.842782  2.708250  0.552603  143.913383 
    21.79     3.000000  0.500000  0.736078  114.369645 
    32.28     3.000000  3.554910  0.745944  41.918493 
    39.53     2.752684  5.551609  0.516117  294.317117 
    43.52     2.165592  5.509567  0.500000  454.992057 
    55.23     1.060734  7.000000  0.500000  13.757284 
    50.91     0.866379  7.000000  0.500000  10.000000 
    18.84     0.000000  6.570960  0.718241  132.321252 
    18.07     0.000000  5.373819  0.522484  12.389372 
    20.80     0.000000  7.000000  0.500000  10.000000 
    20.58     0.000000  7.000000  0.500000  186.922391 
    45.19     0.301951  7.000000  0.500000  10.000000 
    15.30     0.000000  7.000000  0.747604  10.000000 
    47.91     0.499325  7.000000  0.604172  478.647966 
    51.53     0.783331  6.511836  0.500000  877.451113 
    21.08     0.000000  7.000000  0.698362  740.596340 
    27.20     0.000000  7.000000  0.630061  1000.000000 
    20.47     0.000000  6.018983  0.750011  602.895677 
    50.77     0.572378  7.000000  0.665895  1000.000000 
    39.34     0.251351  7.000000  0.839482  547.398150 
    13.32     0.000000  7.000000  0.663188  180.080749 
    47.74     0.714453  4.116892  0.622072  975.292270 
    43.40     2.032924  2.058920  0.549083  914.329035 
    53.03     1.040615  3.324136  0.648758  1000.000000 
    26.84     0.000000  2.129242  0.875154  629.544025 
    23.55     0.080510  4.263153  0.640069  1000.000000 
    49.16     1.576476  4.273915  0.790803  1000.000000 
    44.78     0.500635  6.224591  0.937663  1000.000000 
    18.73     0.000000  5.223573  1.000000  954.116860 
    22.81     0.000000  5.615124  1.000000  733.065794 
    45.16     1.039953  5.662820  0.715782  1000.000000 
    47.11     0.820967  3.155911  0.939903  558.863499 
    15.58     0.000000  0.500000  0.999446  924.311036 
    38.99     1.399467  0.500000  1.000000  1000.000000 
    39.95     0.989401  0.500000  0.923854  1000.000000 
    27.76     0.014075  0.500000  1.000000  1000.000000 
    41.56     0.224687  0.637631  1.000000  710.329286 
    53.82     0.727024  2.121110  0.855518  321.107794 
    41.36     1.619568  1.457191  0.820049  522.865727 
    17.72     0.047466  4.090102  0.668919  360.829080 
    29.37     0.014236  0.500000  0.699685  616.815468 
    31.46     0.000000  2.023856  0.763579  332.083717 
    23.25     0.000000  0.891618  0.917242  339.466173 
    48.76     0.650885  1.518299  0.781026  555.690201 
    31.11     0.000000  4.387692  0.918107  134.520340 
    15.10     0.000000  5.710032  0.947579  495.205707 
    25.26     0.799869  1.794485  1.000000  13.320209 
    34.33     0.867035  0.500000  0.797188  93.431877 
    36.12     0.257139  0.500000  0.779024  167.295099 
    23.68     0.000000  0.500000  0.976249  10.000000 
    39.07     0.524176  0.500000  0.715007  596.037416 
     9.00     0.000000  0.500000  0.612559  332.397361 
    39.00     1.108517  0.500000  0.617841  398.195994 
    34.34     2.306654  0.500000  0.505656  272.167330 
    32.45     2.833025  1.101736  0.692884  442.290421 
    39.47     2.307068  3.166976  0.840020  334.479919 
    47.26     1.236275  1.988465  0.823471  184.289676 
    35.60     0.780101  0.500000  0.898907  477.544433 
    43.11     2.085430  3.006145  0.822785  367.459579 
    33.61     2.767413  4.411683  1.000000  477.558022 
    26.46     3.000000  2.114993  0.985228  544.115998 
    32.06     3.000000  3.279509  0.883180  348.282084 
    33.52     3.000000  5.712603  1.000000  480.194520 
    36.92     2.943114  5.870379  0.865738  766.788424 
    34.28     2.798584  3.825907  0.697191  634.633537 
    33.94     2.914833  5.833071  0.839586  1000.000000 
    35.55     3.000000  7.000000  0.989323  1000.000000 
    34.71     2.223029  7.000000  1.000000  919.828659 
    49.96     1.050786  7.000000  0.890356  530.601489 
    17.71     0.000000  5.119833  0.849432  579.211395 
    40.14     2.272417  4.444326  0.777896  698.742380 
    38.64     0.154816  5.465130  0.920194  665.134770 
    43.03     1.841923  5.338639  0.867463  356.349751 
    38.27     1.230437  2.903750  1.000000  340.566533 
    35.34     2.310788  3.396982  0.974554  463.676303 
    34.46     2.486782  3.729470  1.000000  202.291916 
    35.07     2.890725  5.481932  0.934980  122.772098 
    34.37     3.000000  6.095602  0.899466  451.813027 
    37.10     3.000000  6.549214  0.880032  335.176852 
