constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5, 0.5, 10], [3.0, 7.0, 1.0, 1000], [], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  2.000000  3.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    54.05     1.100000  2.500000  0.600000  50.000000 
    39.07     2.573042  3.105406  0.544478  10.000000 
    49.87     1.564223  4.535963  0.500000  10.000000 
    43.14     0.366573  5.620957  0.578053  10.000000 
    42.46     2.030788  5.436417  0.500000  10.000000 
    49.56     1.255562  5.580091  0.500000  60.140820 
    47.17     0.607278  5.960116  0.519245  308.857564 
    46.64     0.393208  7.000000  0.755465  772.295767 
    53.93     0.741329  5.733005  0.859157  644.270099 
    55.28     0.848768  4.217416  0.833532  420.133386 
    51.14     1.050817  6.345684  0.846332  461.765991 
    41.03     2.127539  7.000000  0.980811  337.687487 
    37.73     3.000000  7.000000  0.903805  244.912599 
    33.76     3.000000  7.000000  0.925376  221.144166 
    34.73     3.000000  7.000000  1.000000  215.386892 
    40.01     3.000000  4.792021  1.000000  660.577721 
    42.51     2.041509  4.915411  0.834629  331.291512 
    54.91     1.242695  3.083912  0.937321  474.094502 
    48.70     0.365629  4.524943  1.000000  411.482405 
    54.65     0.662390  0.746939  1.000000  772.646348 
    43.74     1.937091  3.891256  0.982559  888.058627 
    47.25     0.267520  2.681559  0.901413  800.194394 
    52.60     0.415356  0.500000  0.849778  605.123333 
    55.75     0.705104  0.500000  1.000000  602.446394 
    51.00     1.572881  2.611276  1.000000  309.183014 
    51.10     0.981059  2.712827  0.942626  850.833806 
    54.22     1.130314  0.500000  1.000000  894.975311 
    55.30     1.078748  0.500000  0.984566  991.135235 
    52.84     0.668609  2.238471  1.000000  1000.000000 
    47.24     1.615542  2.366523  1.000000  832.096652 
    52.54     0.622686  1.206433  1.000000  1000.000000 
    41.34     0.283873  1.988969  0.789474  1000.000000 
    23.28     0.000000  1.378137  0.953576  561.546551 
    47.09     1.281056  4.772515  0.776275  1000.000000 
    46.05     1.726392  7.000000  0.854940  1000.000000 
    42.04     2.074852  6.703131  0.742624  1000.000000 
    49.64     1.929396  2.552825  0.739221  1000.000000 
    46.07     1.895919  4.529513  0.924855  664.488692 
    46.22     1.355551  5.321353  0.919561  651.704208 
    49.01     1.559634  0.500000  0.695048  839.029861 
    48.65     0.329092  0.500000  0.864712  470.186207 
    46.32     0.230736  0.500000  0.950874  389.788964 
    24.78     0.000000  0.500000  1.000000  373.033072 
    18.86     0.000000  1.347211  1.000000  670.374854 
    51.33     1.489118  0.500000  0.997967  704.139414 
    51.87     1.797432  0.605955  0.988170  738.557939 
    50.97     1.034939  3.091403  0.944309  945.172519 
    52.46     0.857195  0.765968  1.000000  715.337215 
    49.05     1.468081  1.333531  1.000000  862.966580 
    54.92     1.220504  0.500000  0.832506  1000.000000 
    44.86     2.145977  2.269583  0.638165  672.054568 
    25.26     0.000000  0.500000  0.932323  725.929300 
    27.48     0.000000  3.141426  0.734103  1000.000000 
    18.71     0.000000  5.464253  0.714832  1000.000000 
    20.01     0.000000  3.781766  0.610776  1000.000000 
    50.28     0.428633  3.188189  0.933546  1000.000000 
    48.68     0.936162  3.778263  1.000000  996.034390 
    16.81     0.000000  6.449202  1.000000  962.391733 
    20.68     0.000000  7.000000  1.000000  1000.000000 
    29.01     0.044816  6.392849  0.892885  1000.000000 
    52.19     1.015936  6.587675  0.676539  1000.000000 
    41.38     2.233716  7.000000  0.669303  1000.000000 
    19.54     0.000000  4.532976  0.887109  1000.000000 
    46.07     0.226802  7.000000  0.781685  750.492779 
    14.31     0.000000  7.000000  0.714422  823.656358 
    24.93     0.000000  7.000000  0.751362  462.220161 
    15.18     0.000000  4.723712  0.953330  914.637834 
    19.21     0.000000  7.000000  0.881153  1000.000000 
    22.70     0.000000  7.000000  0.727005  756.218465 
    21.66     0.000000  5.418375  0.789940  871.005686 
    21.01     0.000000  4.561288  0.903098  627.303997 
    18.72     0.000000  1.915204  0.859253  219.436296 
    47.87     0.192518  2.908260  0.961569  159.416094 
    47.49     0.020059  1.151332  1.000000  10.000000 
    21.41     0.000000  0.500000  0.853676  10.000000 
    40.30     0.000000  2.362387  1.000000  10.000000 
    33.40     0.084547  4.040558  0.838320  10.000000 
    15.21     0.000000  4.599131  1.000000  10.000000 
    50.22     0.523345  4.401061  0.873350  10.000000 
    47.77     0.228788  3.119961  0.729961  350.960016 
    53.04     1.054828  0.621531  0.767429  10.000000 
    55.50     2.194010  0.500000  0.896201  10.000000 
    45.89     3.000000  0.500000  0.729823  318.998512 
    50.94     2.001712  0.500000  1.000000  379.281834 
    55.37     3.000000  0.500000  1.000000  10.000000 
    47.53     1.966830  2.331720  0.870159  88.994573 
