constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5, 0.5, 10], [3.0, 7.0, 1.0, 1000], [], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  2.000000  3.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    55.85     1.100000  2.500000  0.600000  50.000000 
    42.37     2.207631  3.283793  0.500000  10.000000 
    34.64     3.000000  4.350544  0.500000  322.539973 
    34.17     3.000000  4.397682  0.500000  10.000000 
    43.62     2.163451  7.000000  0.500000  10.000000 
    48.46     1.332317  6.590834  0.500000  243.285632 
    42.99     2.123656  7.000000  0.673166  422.255340 
    39.98     2.178190  7.000000  0.811709  726.173040 
    33.10     3.000000  5.479636  0.867961  1000.000000 
    34.25     2.295419  3.121654  1.000000  624.213369 
    32.86     3.000000  3.758606  1.000000  782.484331 
    37.93     1.920727  5.321338  1.000000  1000.000000 
    36.25     3.000000  4.760831  0.904281  1000.000000 
    28.90     3.000000  2.921086  1.000000  943.331157 
    39.06     1.819810  2.559505  1.000000  1000.000000 
    28.99     2.213456  0.878901  1.000000  698.980468 
    45.97     0.977363  1.840424  0.907075  1000.000000 
    19.97     0.000000  4.480452  1.000000  1000.000000 
    18.47     0.000000  4.588199  1.000000  1000.000000 
    18.76     0.000000  3.191724  0.955110  589.533513 
    40.59     1.063654  0.500000  1.000000  896.841561 
    40.75     0.793680  0.500000  0.789595  1000.000000 
    23.88     0.000000  1.124485  0.553672  1000.000000 
    15.69     0.000000  0.500000  0.618284  1000.000000 
     8.46     0.000000  0.500000  0.723824  1000.000000 
    22.61     0.000000  0.686858  0.500000  646.063945 
    19.26     0.000000  0.500000  0.500000  531.246666 
    17.61     0.000000  1.757998  0.715812  811.514574 
    25.40     0.000000  2.779653  0.670969  334.666853 
    22.94     0.000000  4.765032  0.895933  10.000000 
    18.59     0.000000  6.286774  0.767322  10.000000 
    17.39     0.000000  6.784283  0.573868  10.000000 
    50.26     0.373707  6.590210  0.845387  10.000000 
    56.39     0.447674  6.024877  1.000000  277.198958 
    29.62     0.000000  3.976275  1.000000  250.893515 
    39.47     0.152793  7.000000  1.000000  242.879026 
    47.17     1.746089  5.405325  0.858641  162.091027 
    51.77     0.954519  7.000000  1.000000  24.576135 
    42.75     1.766953  7.000000  0.809101  10.000000 
    36.06     2.920417  5.639032  0.704758  175.893058 
    35.61     3.000000  4.841026  0.611694  230.499597 
    34.06     2.922211  4.872793  0.811947  506.030847 
    48.77     1.622335  7.000000  0.672878  64.966503 
    50.77     0.720997  4.240161  0.645219  10.000000 
    44.78     1.342904  3.066692  0.551270  10.000000 
    25.93     0.000000  1.948310  0.758561  393.858196 
    22.64     0.000000  2.557849  0.660032  10.000000 
    55.48     0.551876  3.826019  0.845056  10.000000 
    49.07     0.415696  5.265137  0.856865  10.000000 
    41.26     1.826169  6.068817  0.985618  125.876750 
    51.90     1.557670  7.000000  0.826313  43.274600 
    55.10     1.095259  6.414177  0.610283  185.568787 
    50.11     1.560939  4.472637  0.765396  277.020301 
    39.06     2.168891  5.621123  0.774055  365.022275 
