constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5], [3.0, 7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    57.10     1.100000  2.500000 
    35.31     1.887262  0.500000 
    33.90     1.824549  0.500000 
    32.14     2.262283  0.500000 
    50.23     1.481136  3.122781 
    45.00     0.333223  4.099714 
    48.44     1.489404  5.477191 
    50.75     1.109682  4.898695 
    50.73     1.289525  4.996618 
    57.07     1.026046  2.705290 
    42.70     2.497459  2.116322 
    47.78     1.455430  1.081774 
    37.85     2.695655  2.923316 
    35.96     0.862901  0.500000 
    49.55     1.381231  2.111395 
    56.26     1.073633  2.849424 
    50.40     1.645577  1.997145 
    36.80     2.659750  2.971964 
    39.25     1.462511  0.598973 
    30.88     2.167746  0.500000 
    46.30     1.826137  2.562270 
    54.75     1.141618  2.194688 
    51.10     1.243255  4.439678 
    53.84     0.703717  4.843480 
    38.38     0.155307  4.303035 
    55.77     1.182935  3.676427 
    36.49     0.128370  5.895830 
    41.32     0.142581  3.320249 
    54.68     0.565188  2.077818 
    22.33     0.000000  2.613546 
    49.87     0.397318  2.907992 
    54.30     0.446527  1.434586 
    18.65     0.000000  2.384557 
    47.53     0.253058  2.699030 
    23.40     0.000000  2.184169 
    49.74     1.061680  0.952443 
    42.14     0.344152  0.500000 
    16.42     0.000000  0.500000 
    53.85     0.827746  1.855464 
    49.34     1.228760  1.237265 
    57.13     1.028981  1.484726 
    43.13     0.245817  0.500000 
    40.74     0.440835  0.500000 
    51.12     0.350047  1.450766 
    57.52     0.859146  2.296815 
    56.31     0.917368  2.696573 
    51.01     1.201725  3.309275 
    49.49     1.583432  2.685114 
    52.41     1.350389  1.592398 
    47.60     1.720898  1.612999 
    48.66     1.352443  3.629513 
    54.10     1.095037  1.355296 
    40.93     1.161807  0.500000 
    39.42     0.537090  0.500000 
    41.52     0.845977  0.500000 
    55.62     0.753178  1.529640 
    53.46     0.794190  1.787053 
    46.70     1.208121  0.927305 
    56.86     0.585331  1.652045 
    51.04     0.621834  3.109954 
    55.63     1.012089  2.682996 
    51.98     0.953441  3.117944 
    51.29     1.419357  3.534033 
    52.80     0.962678  3.994426 
    54.87     0.679028  4.857522 
    57.72     0.881052  3.927051 
    48.82     1.241405  4.650938 
    49.19     0.650690  4.187442 
    54.43     0.694654  3.184810 
    56.08     0.958404  3.945029 
    44.63     1.430300  4.855414 
    55.68     0.824569  3.496707 
    55.95     0.936047  2.776531 
    52.39     1.053558  3.419771 
    49.51     1.122038  3.070869 
    56.46     0.914708  2.989062 
    54.93     0.915477  2.779217 
    56.61     0.730838  2.454381 
    55.98     0.747573  1.841014 
    51.92     0.797942  3.023317 
    52.74     0.604170  2.729258 
    54.65     0.637579  2.768497 
    53.87     0.595360  2.446974 
    56.42     0.692092  2.388468 
    54.53     0.705941  2.372562 
    55.59     0.802680  2.635651 
    57.94     0.707470  2.049390 
    55.38     0.579885  2.399845 
    51.90     0.549184  1.785216 
    56.99     0.761293  1.990654 
    56.74     0.667386  1.718789 
    54.73     0.699919  2.002895 
    56.89     0.726746  2.112889 
    55.35     0.712412  2.062441 
    55.50     0.712481  1.996860 
    53.93     0.735686  1.987835 
    56.77     0.681272  2.054343 
