constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5], [3.0, 7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    55.67     1.100000  2.500000 
    48.37     1.647338  2.436435 
    56.85     0.588855  1.290911 
    17.91     0.000000  1.303943 
    25.81     0.000000  3.578799 
    12.77     0.000000  0.500000 
    16.69     0.000000  0.500000 
    12.63     0.000000  0.500000 
    37.80     0.115055  0.500000 
    54.15     0.609922  1.371639 
    52.72     0.306892  0.500000 
    12.26     0.000000  0.500000 
    14.06     0.000000  2.547234 
    18.22     0.000000  0.500000 
    18.78     0.000000  0.500000 
    36.64     0.079020  1.481495 
    60.97     1.160589  0.500000 
    54.13     0.741294  3.060135 
    49.05     1.990907  0.798345 
    50.54     1.424487  5.278924 
    33.22     0.129803  3.003234 
    21.77     0.000000  4.914193 
    50.11     0.475510  4.529488 
    21.92     0.000000  3.068346 
    19.56     0.000000  3.276691 
    53.79     0.257177  2.324068 
    56.38     0.805306  0.828803 
    60.78     1.278183  0.500000 
    53.13     1.271682  0.500000 
    60.95     1.080343  0.500000 
    48.90     0.150418  0.500000 
    60.07     0.493601  0.500000 
    57.49     0.510981  0.500000 
    57.16     1.222198  0.500000 
    58.76     1.936289  0.500000 
    46.53     1.716971  0.994950 
    59.55     1.032693  0.704784 
    58.30     2.006715  0.500000 
    54.92     2.255908  0.500000 
    45.16     2.285223  1.858303 
    39.24     2.742842  1.970329 
    45.69     1.848305  3.519545 
    54.06     1.317821  2.502382 
    50.80     1.405611  1.556415 
    58.40     0.752111  2.452687 
    51.71     0.515653  3.619557 
    20.07     0.000000  3.953133 
    18.35     0.000000  3.020074 
    50.87     1.023540  5.263484 
    51.78     0.972648  5.299643 
    38.15     0.237405  6.497408 
    51.79     1.025989  5.823642 
    47.40     1.417174  4.912686 
    54.45     0.769960  7.000000 
    49.14     0.993642  7.000000 
    50.98     1.036098  6.404496 
    50.15     1.224406  6.070968 
    50.91     1.421687  5.586758 
    43.39     2.102664  4.133842 
    47.37     1.858581  2.953139 
    49.62     1.647860  2.013830 
    45.90     1.895369  2.957453 
    51.68     1.401473  2.626413 
    50.96     1.094930  2.857180 
    51.90     1.395288  3.708246 
    47.85     1.394923  4.389909 
    48.90     1.354779  2.937966 
    45.61     1.771581  4.494823 
    51.55     1.150998  3.108624 
    59.24     1.020529  2.597235 
    51.20     1.381795  3.277890 
    49.69     1.645228  2.927441 
    50.15     1.438411  3.645541 
    52.95     1.138350  3.576109 
    51.47     1.216834  4.297759 
    53.12     0.925074  4.172504 
    56.42     0.672655  4.112573 
    49.37     0.549863  4.740027 
    52.78     0.692343  4.003103 
    53.38     0.487401  3.459088 
    49.54     0.335092  4.844257 
    45.95     0.638747  3.695552 
    54.38     0.564331  4.095919 
    49.89     0.831256  4.316277 
    51.14     0.645207  3.740113 
    54.16     0.602820  4.085115 
    51.68     0.849240  4.267822 
    52.02     0.662883  3.933472 
    50.90     0.752825  4.070763 
    53.12     0.664055  4.242945 
    54.64     0.542686  4.658395 
    50.07     0.545554  4.713880 
    55.88     0.530299  4.671686 
    53.70     0.526508  4.729357 
    48.61     0.511415  4.646802 
    53.69     0.554778  4.674242 
    52.42     0.509304  4.696420 
