constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5], [3.0, 7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  0.600000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    48.72     1.100000  2.500000 
    53.06     0.955405  3.104353 
    15.36     0.000000  5.454768 
    49.86     1.494163  3.467909 
    42.73     1.745015  1.406696 
    45.72     1.689901  4.012274 
    54.41     1.034504  3.952139 
    51.64     1.081934  5.771731 
    41.25     0.337371  7.000000 
    53.89     1.109281  4.731182 
    51.10     0.827876  7.000000 
    47.82     0.206365  6.724452 
    43.43     1.989706  4.613165 
    21.16     0.000000  6.223620 
    49.85     1.311547  6.327843 
    53.77     0.808922  7.000000 
    50.84     0.620064  7.000000 
    50.13     0.850042  6.244927 
    45.28     1.950315  5.944427 
    36.82     2.521560  6.908726 
    37.51     3.000000  6.462063 
    35.04     3.000000  4.270388 
    38.88     2.544616  7.000000 
    45.23     1.905276  6.673315 
    45.36     1.664898  7.000000 
    49.81     0.872888  7.000000 
    53.96     0.696601  6.188560 
    50.85     0.997547  4.162893 
    11.53     0.000000  7.000000 
    39.60     0.211973  4.675893 
    24.33     0.000000  3.765247 
    54.43     0.859985  7.000000 
    45.87     1.643289  7.000000 
    50.81     0.546830  5.792560 
    20.04     0.000000  6.730080 
    19.68     0.000000  7.000000 
    46.58     0.230380  7.000000 
    49.67     1.429535  5.155822 
    41.96     2.319380  5.705167 
    54.94     0.738474  3.924009 
    49.52     0.389523  3.575714 
    26.73     0.000000  4.553349 
    25.09     0.000000  1.894261 
    42.32     0.258979  5.049775 
    46.77     0.240051  4.752195 
    27.21     0.000000  3.175145 
    53.34     0.628784  3.621166 
    57.50     0.681019  1.851618 
    57.16     0.644114  2.800074 
    45.42     1.357083  3.732988 
    53.22     0.227759  2.825479 
    25.80     0.063483  1.448058 
    58.20     0.622172  3.384891 
    56.47     0.991072  1.997703 
    56.66     0.829748  2.442014 
    46.02     0.175976  3.107157 
    37.48     1.378860  0.990105 
    52.22     0.754509  3.828132 
    53.72     0.509689  3.502767 
    60.53     0.607288  1.904938 
    51.12     0.756932  1.292515 
    54.67     1.056917  1.939014 
    55.42     0.367341  2.173729 
    44.48     0.784390  1.057677 
    47.82     0.143637  2.716712 
    56.13     1.087677  1.777130 
    53.72     1.010975  1.358449 
    38.12     0.905840  0.804725 
    54.70     0.300215  1.430265 
    56.83     0.665647  2.436350 
    62.47     0.700579  1.896051 
    53.54     0.397353  2.654601 
    54.60     0.944587  2.367378 
    53.48     0.848361  2.313144 
    53.88     0.709634  2.601862 
    54.24     0.804609  2.538426 
    62.41     0.596999  1.683380 
    57.27     0.738531  1.857186 
    52.26     0.787352  1.033216 
    53.89     0.529810  2.029177 
    59.89     0.558314  1.485420 
    58.11     0.566368  1.511052 
    58.92     0.627259  1.563925 
    61.04     0.649762  2.024214 
    60.98     0.698528  2.060240 
    57.95     0.744500  1.990296 
    54.54     0.774745  1.429200 
    55.12     0.600945  1.986085 
    53.15     0.521436  1.809112 
    57.30     0.411849  1.579841 
