constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.5], [3.0, 7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  0.000000  1.000000  
Optimizer(): evals/step: 20
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  1.100000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    32.58     1.100000  2.500000 
    35.13     0.891334  2.751065 
    21.09     1.842914  1.769619 
    28.94     2.257546  3.200932 
    30.08     0.000000  2.459588 
    28.49     1.839744  2.980737 
    36.44     0.000000  1.608992 
    33.51     0.289674  0.500000 
    32.26     1.152046  2.760992 
    33.85     0.480232  0.500000 
    29.50     0.455529  0.500000 
    35.21     0.241808  0.500000 
    22.45     1.285700  0.500000 
    35.48     0.746680  2.329284 
    30.02     0.331937  0.500000 
    38.70     1.316293  4.287585 
    30.62     1.543886  3.328653 
    52.36     0.640784  6.118239 
    48.98     1.056859  6.660307 
    44.73     1.688966  7.000000 
    35.01     2.193359  4.398134 
    44.42     1.506756  7.000000 
    49.52     0.544240  7.000000 
    20.65     0.000000  7.000000 
    53.46     0.590314  5.994220 
    51.42     0.458426  5.582133 
    48.15     1.014187  5.322687 
    53.35     0.407535  5.067923 
    52.78     0.864412  4.539206 
    52.69     0.716527  6.646093 
    36.13     1.753631  4.479034 
    52.20     0.904292  6.667341 
    50.55     0.942921  7.000000 
    37.75     1.925941  5.912480 
    39.44     1.491859  5.999635 
    45.21     1.644685  7.000000 
    27.57     0.022042  6.955405 
    42.66     1.285084  5.150807 
    38.57     1.528692  5.085178 
    44.30     1.876767  7.000000 
    53.30     0.574427  7.000000 
    47.80     1.237476  7.000000 
    49.84     1.042255  6.091499 
    27.32     0.041887  7.000000 
    20.25     0.000000  5.510786 
    44.53     1.157078  5.450594 
    52.21     0.768547  5.873158 
    50.44     1.095124  6.688445 
    51.22     1.123837  5.268569 
    43.36     1.096333  4.535453 
    38.90     0.781230  3.535051 
    46.58     1.207068  5.396093 
    36.05     1.729658  4.246105 
    46.56     1.308514  6.181032 
    52.09     1.117468  7.000000 
    39.24     1.791210  5.944822 
    45.43     1.586896  5.701192 
    50.30     0.682153  7.000000 
    54.23     1.073915  6.790059 
    49.80     0.914280  7.000000 
    48.15     1.236468  6.002142 
    46.87     1.205038  7.000000 
    50.16     0.922998  6.801740 
    51.09     0.659675  6.348369 
    49.82     0.828074  7.000000 
    54.76     0.599889  7.000000 
    53.58     0.966522  7.000000 
    53.30     0.782613  7.000000 
    47.40     0.772825  6.508471 
    48.50     0.306604  7.000000 
    53.69     0.683286  7.000000 
    50.07     0.914950  7.000000 
    53.27     0.844874  7.000000 
    50.41     0.874790  7.000000 
    52.22     0.630673  6.758887 
    51.78     1.036332  6.481600 
    48.70     1.115136  6.779312 
    50.88     1.159208  7.000000 
    53.91     0.488787  6.583448 
    53.75     0.434243  6.016593 
    51.43     0.628838  6.111606 
    51.33     0.258105  5.620087 
    52.46     0.276207  6.084260 
    54.48     0.441810  5.895273 
    54.34     0.567701  6.183320 
    48.64     0.394681  5.869874 
    52.38     0.677026  6.366875 
