constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    83.33     2.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.50     96.73     96.32     81.91 
    79.67     5.177715  0.926582        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.58     99.99     81.97 
    81.51     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.69     96.65     95.49     64.48 
    80.43     5.627612  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     67.30     93.02     96.09     82.09 
    81.51     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.69     96.65     95.51     64.47 
    82.46     2.480443  0.909648        99.60     95.08     97.40     63.76     10.57     99.40     80.38     96.51    100.00     81.94 
    78.79     2.337508  0.799714        99.60     95.08     97.40     63.76     10.57     99.40     68.15     96.36     75.51     82.10 
    82.23     0.500000  0.717513        99.60     95.08     97.40     63.76     10.57     99.40     94.60     96.73     75.50     89.70 
    75.12     4.741274  0.504513        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.45     75.51     82.10 
    81.39     0.500000  0.512873        99.60     95.08     97.40     63.76     10.57     99.40     93.53     96.95     75.50     82.10 
    81.42     0.500000  0.552538        99.60     95.08     97.40     63.76     10.57     99.40     93.90     96.87     75.50     82.10 
    81.40     0.500000  0.531433        99.60     95.08     97.40     63.76     10.57     99.40     93.70     96.87     75.51     82.09 
    79.71     2.585663  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     93.02    100.00     81.96 
    77.53     5.905744  0.507224        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.11 
    81.47     0.500000  0.566211        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.87     75.50     81.96 
    83.77     0.500000  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     92.85     96.95     99.99     82.10 
    75.88     4.067441  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.05     75.51     82.10 
    75.08     5.802259  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.50     82.10 
    77.53     7.580264  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.10 
    75.18     5.525846  0.591734        99.60     95.08     97.40     63.76     10.57     99.40     56.34     72.07     75.49     82.08 
    75.08     7.718107  0.746251        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.10 
    75.08     7.625518  0.563255        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.12 
    77.51     7.350788  0.541895        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     81.96 
    75.07     7.736280  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.50     82.07 
    75.07     7.543599  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.08 
    77.52     7.102747  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.99     82.09 
    75.07     8.172151  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.50     82.07 
    75.08     6.006136  0.571230        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.50     82.09 
    76.67     4.871050  0.746640        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.91     75.50     82.09 
