constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.56     2.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     86.12     95.53     96.22     81.97 
    81.65     2.133830  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.47     95.82     96.29     73.09 
    74.91     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     68.25     94.87     94.88     25.26 
    79.16     6.015577  0.952058        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.35     99.99     82.10 
    78.38     5.028155  0.984361        99.60     95.08     97.40     63.76     10.57     99.40     67.31     93.05     75.51     82.08 
    82.54     2.027423  0.956700        99.60     95.08     97.40     63.76     10.57     99.40     85.51     95.82     96.31     81.96 
    76.00     0.500000  0.897508        99.60     95.08     97.40     63.76     10.57     99.40     74.10     94.87     95.22     29.96 
    82.23     1.542561  0.826062        99.60     95.08     97.40     63.76     10.57     99.40     83.10     95.96     95.34     82.11 
    81.68     0.500000  0.690655        99.60     95.08     97.40     63.76     10.57     99.40     85.66     96.00     95.88     73.49 
    78.22     4.290855  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.96    100.00     82.11 
    77.34     3.055743  0.703183        99.60     95.08     97.40     63.76     10.57     99.40     56.34     93.67     75.49     82.10 
    75.79     4.607585  0.539844        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.18     75.50     82.11 
    78.94     3.507730  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.16    100.00     82.12 
    77.44     1.761805  0.554622        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.80     75.50     81.97 
    76.64     3.096973  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.69     75.51     82.09 
    76.54     3.392618  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.60     75.50     82.11 
    75.08     5.878391  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.11 
    75.08     8.686203  0.503188        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.10 
    75.68     5.678691  0.617374        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.09     75.49     82.09 
    75.80     6.331515  0.714918        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.25     75.51     82.09 
    78.96     4.234514  0.603522        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.38    100.00     82.09 
    77.49     1.798858  0.634389        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.16     75.51     82.11 
    79.67     3.153025  0.634753        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.47    100.00     82.11 
    81.72     2.114716  0.826077        99.60     95.08     97.40     63.76     10.57     99.40     75.67     95.45     98.20     82.09 
    82.43     2.182620  0.956214        99.60     95.08     97.40     63.76     10.57     99.40     85.14     95.75     95.66     81.94 
    81.48     4.033056  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     76.60     94.36     95.96     82.09 
    82.09     3.407803  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     82.13     94.87     96.09     81.96 
    78.06     1.503379  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.47     96.18     96.36     43.83 
    74.87     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     68.25     94.87     94.89     24.92 
    79.86     2.983706  0.814777        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.51     99.98     81.95 
    76.61     4.895140  0.743296        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.47     75.51     81.97 
    80.93     4.043488  0.954077        99.60     95.08     97.40     63.76     10.57     99.40     67.27     94.15     99.99     82.10 
    82.50     2.638914  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.44     95.45     96.23     82.09 
    79.44     4.875253  0.975197        99.60     95.08     97.40     63.76     10.57     99.40     59.93     93.13     93.44     82.12 
    82.45     2.832313  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.08     95.31     96.20     82.10 
    79.32     5.232975  0.973885        99.60     95.08     97.40     63.76     10.57     99.40     57.38     92.40     95.53     82.09 
    79.25     6.172215  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     58.00     91.05     95.57     82.10 
    76.38     8.628732  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.15     75.51     81.96 
    75.93     9.000000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.49     75.51     82.12 
    75.72     9.000000  0.910582        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.45     75.50     82.09 
    75.92     9.000000  0.994642        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.42     75.51     82.10 
    78.24     8.212594  0.877383        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.18    100.00     82.09 
    76.51     7.741331  0.994513        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.38     75.51     82.07 
    75.87     9.000000  0.976953        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.98     75.51     82.09 
    78.18     9.000000  0.915316        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.60     99.98     82.08 
    78.34     9.000000  0.987646        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.20    100.00     82.08 
    76.60     6.679951  0.941269        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.25     75.51     82.09 
    76.46     8.134751  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     84.87     75.51     82.12 
    75.70     8.508503  0.872403        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.38     75.50     81.97 
    78.55     7.257652  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.18     95.09     82.11 
    80.50     5.119062  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     68.37     93.05     95.72     82.09 
