constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    83.71     2.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.50     96.69     99.99     82.09 
    84.91     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     94.32     96.47     99.99     92.55 
    84.94     0.500000  0.857973        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.55    100.00     92.50 
    81.79     0.500000  0.671741        99.60     95.08     97.40     63.76     10.57     99.40     94.40     96.69     75.49     85.51 
    81.08     2.394693  0.788973        99.60     95.08     97.40     63.76     10.57     99.40     66.69     96.18    100.00     82.08 
    84.76     0.830819  0.891316        99.60     95.08     97.40     63.76     10.57     99.40     94.22     96.76     99.99     90.85 
    83.57     1.680528  0.884998        99.60     95.08     97.40     63.76     10.57     99.40     90.62     97.13    100.00     82.11 
    82.49     0.500000  0.821469        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     75.51     92.47 
    81.78     0.500000  0.675404        99.60     95.08     97.40     63.76     10.57     99.40     94.38     96.69     75.50     85.42 
    81.99     4.711703  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     77.45     94.58     99.98     82.10 
    83.28     1.426872  0.778531        99.60     95.08     97.40     63.76     10.57     99.40     87.69     97.20    100.00     82.11 
    83.26     2.932158  0.981043        99.60     95.08     97.40     63.76     10.57     99.40     88.43     96.33     99.98     82.09 
    78.65     4.058953  0.949739        99.60     95.08     97.40     63.76     10.57     99.40     67.77     95.31     75.51     82.07 
    76.66     7.077815  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.80     75.51     82.10 
    75.07     8.492627  0.783976        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     82.08 
    78.29     9.000000  0.952450        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.65     99.99     82.09 
    75.06     9.000000  0.751021        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.49     81.90 
    78.20     9.000000  0.919192        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.78     99.98     82.10 
    78.39     9.000000  0.995892        99.60     95.08     97.40     63.76     10.57     99.40     56.34     79.75    100.00     81.96 
    77.45     5.931741  0.998547        99.60     95.08     97.40     63.76     10.57     99.40     58.90     92.33     75.51     81.97 
    80.07     3.680614  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     81.43     95.82     75.51     82.09 
    82.21     4.324696  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.94     95.31     99.98     82.07 
    76.61     7.369014  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.36     75.50     82.10 
    81.21     2.264229  0.980977        99.60     95.08     97.40     63.76     10.57     99.40     91.86     96.84     75.50     82.11 
    79.74     4.374533  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.74     95.24     75.51     82.10 
    80.00     5.845330  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     59.73     92.40     99.98     82.07 
    83.24     3.256561  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     88.56     96.11    100.00     81.96 
    82.29     2.761907  0.912283        99.60     95.08     97.40     63.76     10.57     99.40     78.77     96.25    100.00     82.12 
    79.66     3.101311  0.918817        99.60     95.08     97.40     63.76     10.57     99.40     77.16     95.96     75.51     82.11 
    79.87     4.385169  0.922141        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.51     99.98     82.09 
    78.99     6.377871  0.855443        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.71     99.98     82.10 
    79.73     4.411460  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     78.61     95.24     75.51     82.10 
    79.70     3.648179  0.962924        99.60     95.08     97.40     63.76     10.57     99.40     77.89     95.67     75.50     82.10 
    83.43     2.012679  0.912768        99.60     95.08     97.40     63.76     10.57     99.40     89.47     96.91    100.00     82.10 
    77.43     3.916846  0.858106        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.58     75.49     82.10 
    79.73     2.875518  0.908781        99.60     95.08     97.40     63.76     10.57     99.40     77.82     96.18     75.50     81.97 
    77.56     2.728696  0.782614        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.82     75.50     82.10 
    77.13     4.580392  0.769723        99.60     95.08     97.40     63.76     10.57     99.40     56.34     91.53     75.51     82.09 
    78.61     4.664259  0.978359        99.60     95.08     97.40     63.76     10.57     99.40     68.26     94.51     75.49     82.08 
    77.51     3.236854  0.795248        99.60     95.08     97.40     63.76     10.57     99.40     56.34     95.38     75.50     82.11 
    82.45     1.096049  0.983576        99.60     95.08     97.40     63.76     10.57     99.40     93.98     96.84     75.50     92.39 
    80.72     3.054371  0.982229        99.60     95.08     97.40     63.76     10.57     99.40     87.55     96.25     75.50     82.10 
