constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.92     2.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     89.99     96.40     94.88     82.09 
    77.24     4.085781  0.766075        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.73     75.51     81.98 
    77.39     2.855117  0.627661        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.15     75.51     82.10 
    78.16     6.057306  0.664494        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.38    100.00     82.08 
    77.53     9.000000  0.510898        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.11 
    77.52     6.012658  0.582867        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.98     82.10 
    77.53     7.256580  0.669458        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.98     82.11 
    77.51     9.000000  0.753376        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.99     81.97 
    78.26     8.448434  0.904104        99.60     95.08     97.40     63.76     10.57     99.40     56.34     78.33    100.00     82.08 
    77.53     8.570545  0.654858        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.99     82.10 
    79.55     5.345878  0.877028        99.60     95.08     97.40     63.76     10.57     99.40     56.34     91.27     99.98     82.12 
    78.97     6.715467  0.890838        99.60     95.08     97.40     63.76     10.57     99.40     56.34     85.45    100.00     82.10 
    76.63     5.395154  0.806454        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.55     75.51     82.09 
    81.70     2.628693  0.940067        99.60     95.08     97.40     63.76     10.57     99.40     79.20     96.18     93.76     82.09 
    82.27     1.568982  0.811687        99.60     95.08     97.40     63.76     10.57     99.40     85.26     96.84     92.67     82.10 
    80.91     0.500000  0.932785        99.60     95.08     97.40     63.76     10.57     99.40     92.43     97.75     94.88     58.20 
