constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    60.02     2.500000 
    60.00     2.402116 
    60.54     4.296729 
    60.93     3.379359 
    60.38     3.128906 
    60.38     5.282124 
    60.53     4.433354 
    60.07     2.026471 
    59.42     1.405528 
    60.33     5.420604 
    59.73     6.740934 
    59.68     7.000000 
    59.70     6.977064 
    59.70     6.914330 
    59.69     6.861482 
    59.68     7.000000 
    60.53     4.402113 
    59.83     5.992957 
    59.68     7.000000 
    59.70     7.000000 
    59.68     7.000000 
    59.80     6.215741 
    60.32     5.470335 
    60.90     3.427384 
    59.95     2.278139 
    60.29     3.077005 
    59.93     2.231287 
    60.22     2.984686 
    60.40     5.006494 
    60.33     5.413118 
    60.41     5.020138 
    60.56     4.123018 
    60.52     4.468457 
    59.80     6.264061 
    60.64     3.946140 
    60.52     4.492961 
    60.12     2.703751 
    60.46     4.886424 
    60.47     4.743528 
    60.62     4.012398 
    59.79     6.194781 
    60.39     5.124655 
    60.26     5.686541 
    60.33     5.342521 
    59.85     5.933125 
    59.82     6.181029 
    59.78     6.332650 
    60.51     4.536015 
    60.92     3.417393 
    60.21     2.942791 
    60.47     4.861980 
    60.49     4.631543 
    60.86     3.533444 
    60.19     2.868803 
    60.59     4.062414 
    60.51     4.567690 
    60.47     3.199932 
    60.31     3.012712 
    60.52     4.461314 
    60.32     5.518585 
    60.25     5.717868 
    60.84     3.569388 
    60.39     3.183786 
    60.72     3.781354 
    60.46     4.882434 
    60.91     3.409364 
    60.56     4.199035 
    60.53     4.314604 
    60.19     2.850774 
    60.54     4.257429 
    60.52     3.260763 
    60.53     3.313390 
    60.68     3.850520 
    60.63     3.986180 
    60.21     2.929804 
    60.53     3.304992 
    60.12     2.713576 
    60.79     3.690266 
    60.92     3.396241 
    60.21     2.924539 
    60.92     3.393597 
    60.85     3.558026 
    60.83     3.591420 
    60.86     3.517253 
    60.74     3.741151 
    60.84     3.558989 
    60.84     3.558366 
    60.88     3.491715 
    60.47     3.198781 
    60.80     3.649490 
    60.52     3.260949 
    60.88     3.468807 
    60.90     3.425439 
    60.89     3.463826 
    60.88     3.502419 
    60.88     3.466617 
    60.89     3.468100 
    60.86     3.528497 
    60.86     3.532053 
    60.88     3.484903 
    60.89     3.452508 
    60.89     3.452508 
    59.78     6.254049 
    60.83     3.594501 
    60.51     4.496921 
    60.64     3.944352 
    60.58     4.076952 
    60.47     4.728872 
    59.68     7.000000 
    59.68     7.000000 
    59.91     2.302664 
    58.04     0.500000 
    58.75     1.147129 
    58.05     0.685037 
    58.78     1.207718 
    60.52     3.290109 
    60.39     5.140409 
    59.79     6.179262 
    60.32     5.520943 
    59.74     6.497712 
    59.69     6.959600 
    60.47     4.774719 
    60.14     2.771555 
    60.54     4.253891 
    60.58     4.118397 
    60.06     2.519425 
    59.76     1.770871 
    60.59     4.050936 
    60.74     3.715685 
    60.08     2.105909 
    60.53     4.283802 
    60.84     3.567793 
    60.31     5.495289 
    59.75     6.635732 
    60.53     4.276927 
    60.00     2.394486 
    59.80     6.248466 
    59.68     7.000000 
    60.32     5.544471 
    59.77     6.422754 
    59.68     7.000000 
    59.73     6.617216 
    59.72     6.609807 
    59.70     7.000000 
    59.68     7.000000 
    59.72     6.727973 
    60.31     5.557568 
    59.81     6.218169 
