constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    56.90     2.500000 
    59.71     4.622694 
    59.14     7.000000 
    59.15     7.000000 
    59.15     7.000000 
    59.14     7.000000 
    59.75     4.495845 
    59.23     6.422941 
    59.19     6.672929 
    59.98     3.806951 
    59.22     6.524439 
    59.68     5.074794 
    59.15     7.000000 
    60.07     3.379473 
    59.98     3.540759 
    57.89     2.682360 
    57.10     2.445717 
    60.01     3.729054 
    59.60     5.369922 
    59.66     5.504246 
    59.26     6.122594 
    59.75     4.474895 
    59.98     3.791816 
    59.67     5.442426 
    59.27     6.021085 
    59.14     7.000000 
    59.14     7.000000 
    59.14     7.000000 
    59.69     4.797344 
    59.60     5.689098 
    59.65     5.610498 
    59.14     7.000000 
    59.70     4.657448 
    59.67     5.149089 
    60.00     3.735111 
    59.72     4.958581 
    59.75     4.574078 
    59.66     5.609509 
    59.69     4.745137 
    59.68     5.059132 
    59.67     5.406816 
    59.25     6.259418 
    59.78     4.217712 
    59.60     5.831990 
    57.07     3.119057 
    59.84     4.106393 
    59.97     3.576775 
    56.92     2.922602 
    56.22     1.943129 
    59.75     4.579677 
    59.60     5.843113 
    59.66     5.569274 
    59.77     4.226245 
    60.00     3.739333 
    59.68     4.853190 
    59.77     4.323109 
    59.74     4.560851 
    59.65     5.230460 
    59.66     5.181380 
    59.76     4.303895 
    59.89     4.003758 
    60.08     3.341009 
    59.75     4.361505 
    59.95     3.855839 
    59.70     4.684560 
    59.75     4.498869 
    59.98     3.548998 
    60.06     3.399212 
    59.85     4.071142 
    60.03     3.455407 
    59.86     4.039521 
    56.41     3.246671 
    57.20     3.131349 
    59.97     3.805388 
    59.95     3.843978 
    60.02     3.720719 
    59.95     3.839205 
    56.01     3.236813 
    60.06     3.398063 
    59.97     3.815347 
    59.75     4.434324 
    59.76     4.330571 
    59.75     4.525783 
    59.83     4.120344 
    59.94     3.883321 
    59.97     3.619901 
    60.06     3.396045 
    59.83     3.668857 
    56.55     3.173844 
    57.46     3.226065 
    59.83     3.666221 
    60.05     3.412463 
    60.06     3.392785 
    60.04     3.431033 
    60.08     3.369177 
    60.07     3.380943 
    56.02     3.318278 
    60.08     3.342155 
    57.37     3.283456 
    60.07     3.361544 
    56.02     3.317557 
    60.08     3.361544 
    59.67     5.469542 
    60.08     3.353030 
    59.60     5.367521 
    57.40     3.201467 
    53.11     0.970948 
    54.10     1.675309 
    59.69     4.724513 
    56.96     2.725914 
    60.06     3.402536 
    52.01     0.500000 
    56.15     2.303008 
    56.35     2.077050 
    51.99     0.518540 
    52.08     0.572166 
    59.27     6.039967 
    52.78     0.863931 
    60.00     3.508982 
    52.94     0.896607 
    60.02     3.708444 
    53.35     1.123821 
    59.26     5.959841 
    54.26     1.707796 
    57.12     2.415416 
    59.81     4.158893 
    59.20     6.615731 
    59.22     6.538387 
    59.22     6.508347 
    59.65     5.601248 
    60.04     3.425322 
    59.77     4.237491 
    59.26     6.091292 
    59.96     3.828900 
    59.60     5.641573 
    59.61     5.321172 
    59.26     6.182587 
    59.15     7.000000 
    59.75     4.474600 
    59.26     6.021684 
    59.14     7.000000 
    59.19     6.684688 
    59.26     6.003403 
    59.16     6.868479 
    59.14     7.000000 
    59.81     4.174418 
    59.76     4.340207 
    60.04     3.432407 
