constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    61.37     2.500000 
    60.65     5.352595 
    61.50     2.153266 
    62.58     2.378694 
    62.66     3.208476 
    64.83     0.929253 
    62.15     4.139808 
    65.44     0.685913 
    61.42     3.240790 
    62.59     2.625650 
    63.80     2.255196 
    61.39     2.878450 
    64.22     0.500000 
    64.22     0.500000 
    64.22     0.500000 
    62.63     2.936333 
    64.83     0.868294 
    64.22     0.500000 
    66.67     0.500000 
    65.45     0.500000 
    66.67     0.500000 
    62.60     2.832858 
    61.38     2.705963 
    65.44     0.564761 
    66.67     0.500000 
    64.22     0.500000 
    63.84     1.511789 
    64.22     0.500000 
    65.45     0.500000 
    64.22     0.500000 
    62.58     2.283029 
    66.67     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    62.58     2.225266 
    66.67     0.500000 
    64.22     0.500000 
    62.58     2.272577 
    66.67     0.500000 
    63.56     1.110839 
    64.22     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    61.36     2.270770 
    65.45     0.500000 
    64.22     0.500000 
    64.22     0.500000 
    65.45     0.500000 
    63.61     1.056469 
    63.53     0.910106 
    66.68     0.518463 
    64.85     0.976213 
    66.67     0.500000 
    64.85     1.611143 
    65.45     0.587540 
    65.73     1.290739 
    65.45     0.500000 
    66.01     1.123471 
    65.45     0.500000 
    66.67     0.551365 
    65.13     1.416889 
    66.67     0.500000 
    64.84     0.843093 
    63.90     1.401520 
    65.45     0.500000 
    64.82     1.100269 
    64.78     1.118833 
    66.29     1.473412 
    65.45     0.500000 
    64.94     0.713514 
    64.83     0.948387 
    64.21     0.567633 
    64.22     0.500000 
    64.22     0.500000 
    64.22     0.616569 
    66.67     0.500000 
    66.01     1.133507 
    65.45     0.500000 
    65.69     1.238455 
    65.45     0.500000 
    63.71     0.711174 
    63.61     0.874122 
    66.67     0.512041 
    64.22     0.500000 
    66.66     0.648015 
    66.10     0.804248 
    63.67     0.792903 
    65.45     0.500000 
    66.08     0.955525 
    65.42     0.672198 
    65.43     0.635366 
    65.42     0.672436 
    64.93     0.689270 
    64.22     0.621598 
    66.66     0.638690 
    66.67     0.587767 
    66.67     0.524361 
    65.45     0.523001 
    64.22     0.508436 
    65.45     0.524361 
    64.22     0.500000 
    65.45     0.500000 
    64.22     0.500000 
    63.59     1.651984 
    66.67     0.500000 
    64.22     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    65.45     0.500000 
    64.22     0.500000 
    64.22     0.500000 
    65.45     0.500000 
    66.67     0.557177 
    63.80     1.543618 
    62.08     4.390133 
    66.13     0.763458 
    64.48     1.879862 
    64.15     1.364571 
    65.45     0.500000 
    64.49     1.874312 
    63.85     2.960372 
    61.43     3.259676 
    62.00     4.861236 
    62.62     2.766181 
    63.16     5.102922 
    63.30     4.517188 
    61.80     5.684893 
    60.07     6.589139 
    63.40     4.066918 
    60.70     5.247933 
    62.00     4.939635 
    61.37     6.026152 
    61.23     7.000000 
    60.00     7.000000 
    61.23     7.000000 
    60.77     4.945600 
    62.51     6.616893 
    61.29     6.550382 
    62.01     4.752058 
    63.67     3.527695 
    63.29     4.559504 
    61.38     5.991289 
    63.08     5.563335 
    61.38     5.965068 
    62.21     4.010922 
    61.87     5.443290 
