constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5], [7.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 2
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0

    59.03     2.500000 
    60.16     4.188290 
    59.37     6.309613 
    59.26     7.000000 
    59.26     7.000000 
    59.88     5.593789 
    59.97     3.438132 
    59.95     5.195307 
    59.34     6.450017 
    59.26     7.000000 
    59.26     7.000000 
    59.26     7.000000 
    59.27     7.000000 
    59.41     5.992706 
    59.38     6.212797 
    59.33     6.547032 
    59.82     5.719698 
    59.99     3.327332 
    59.02     2.124595 
    60.09     4.456350 
    60.16     4.146403 
    59.98     3.375631 
    60.15     4.187972 
    60.11     4.319078 
    60.16     3.954340 
    59.96     5.105873 
    59.02     2.148150 
    58.77     3.232383 
    58.88     2.892873 
    57.93     1.455725 
    59.89     5.454018 
    59.04     2.385632 
    59.42     5.942821 
    59.96     3.559347 
    58.82     3.031574 
    60.17     3.802365 
    58.77     3.220423 
    58.89     1.944220 
    60.02     4.816490 
    60.04     4.626867 
    60.16     4.051786 
    60.01     4.967732 
    59.96     5.004988 
    59.05     2.431166 
    59.04     2.365595 
    59.94     5.298515 
    59.31     6.735710 
    59.42     5.917433 
    59.26     7.000000 
    59.29     6.852558 
    59.26     7.000000 
    59.34     6.451279 
    59.96     5.132698 
    60.16     3.871721 
    59.05     2.420664 
    59.97     3.462405 
    60.01     4.901756 
    59.96     3.650958 
    58.88     2.917993 
    60.11     4.240676 
    60.09     4.602639 
    60.10     4.315130 
    59.94     5.268151 
    60.02     4.954341 
    59.95     5.125674 
    59.89     5.434114 
    60.10     4.364514 
    60.09     4.443854 
    59.98     3.362298 
    60.02     4.862127 
    59.94     5.240871 
    60.09     4.598596 
    60.09     4.495892 
    60.16     3.985614 
    60.10     4.427789 
    59.97     3.439118 
    60.09     4.506568 
    60.03     4.779068 
    60.05     4.638755 
    59.94     5.285335 
    59.89     5.452276 
    59.81     5.836889 
    59.89     5.527948 
    59.89     5.331565 
    59.95     5.207384 
    59.89     5.400980 
    59.94     5.298263 
    59.89     5.344956 
    59.89     5.467578 
    59.90     5.335831 
    59.94     5.269839 
    59.94     5.273991 
    59.94     5.271644 
    59.94     5.285295 
    59.94     5.243643 
    59.94     5.236014 
    59.95     5.191299 
    59.95     5.168419 
    59.95     5.204870 
    59.94     5.244298 
    59.90     5.309138 
    59.94     5.244298 
    59.96     3.625889 
    57.80     0.535593 
    60.04     4.677268 
    59.88     5.555462 
    58.89     1.920024 
    59.26     7.000000 
    59.26     7.000000 
    59.97     3.435280 
    57.88     1.279103 
    59.82     5.729379 
    57.65     0.895477 
    60.10     4.420252 
    60.15     4.210486 
    59.81     5.799599 
    59.27     7.000000 
    60.16     3.876449 
    59.32     6.596063 
    60.09     4.603707 
    59.41     5.978890 
    59.09     2.270654 
    59.05     2.307687 
    58.95     2.696749 
    59.81     5.860657 
    58.81     3.207374 
    60.16     4.159843 
    60.16     4.109242 
    60.15     4.182647 
    59.80     5.899266 
    59.95     5.180831 
    59.88     5.559562 
    59.39     6.166827 
    58.81     3.120918 
    60.17     3.895008 
    59.40     6.062518 
    60.16     4.095436 
    60.10     4.273313 
    59.97     3.446142 
    59.88     5.591506 
    60.10     4.378180 
    59.89     5.434593 
    59.99     3.320630 
    58.77     3.242725 
    60.02     4.838451 
    59.90     5.355635 
    59.97     3.468142 
    58.86     3.010107 
