constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       45.55      2.00000        79.40     57.87     36.40      1.87     12.22     73.80     38.65     67.45     69.25     18.58 
     2       60.71      3.69718        90.00     92.13     68.00     50.93     -7.22     65.00     57.62     74.00     74.74     41.91 
     3       49.23      5.16648        63.00     80.40     96.60     17.87     20.56     40.70     22.06     51.60     77.55     21.98 
     4       51.48      4.88224        88.40     77.20     78.40     27.73     27.78     53.40      3.89     62.07     78.10     17.84 
     5       55.31      3.28880        88.40     80.13     77.80      6.40     11.11     59.20     38.41     66.87     74.97     49.81 
     6       51.38      2.95822        71.00     72.67     60.60     10.67      0.56     65.00     45.79     66.11     74.56     46.85 
     7       53.56      3.54730        65.80     82.67     63.80     33.33    -12.22     70.30     38.97     69.56     69.80     53.64 
     8       41.46      5.65761        66.00     97.60     91.60     -4.80      2.22     33.60     -4.05     56.69     72.11      3.58 
     9       56.85      2.57921        78.20     93.87     57.00     22.40     25.00     69.90     51.11     66.40     76.78     27.84 
    10       38.37      0.67589        65.80     53.07     86.00    -10.93    -32.22     80.90     16.51     59.82     64.31      0.43 
    11       32.87      0.61086        61.40     61.07     49.00    -23.73    -31.67     54.80     29.29     70.15     65.67     -7.22 
    12       41.32      1.96328        70.60     51.60     54.20    -25.60     15.00     72.70     28.25     65.16     68.48     12.84 
    13       41.17      1.51284        69.20     64.00     63.40    -23.47     -4.44     72.50     27.14     68.80     67.94      6.60 
    14       45.29      1.86023        78.60     58.40     58.80     -7.73      5.00     71.50     33.49     71.64     67.57     15.68 
    15       46.21      1.88478        62.40     52.80     70.60      8.53      6.11     74.60     29.44     67.13     70.66     19.81 
    16       49.62      1.89864        68.60     53.20     61.20      1.33     35.56     82.30     44.68     61.89     66.62     20.80 
    17       57.99      3.22256        53.80     89.47     47.60     36.80     48.33     68.10     41.19     69.89     75.01     49.75 
    18       54.29      4.13194        58.60     84.80     78.60     17.07     31.67     49.20     30.00     72.22     80.05     40.74 
    19       50.40      4.07694        41.20     74.13     86.20     22.40     17.78     55.70     32.06     64.29     78.37     31.85 
    20       49.54      5.61120        91.40     75.87     96.20     52.00      5.00     25.20      0.87     52.22     77.41     19.20 
    21       51.05      4.68282        63.80     85.20     68.40      9.33     33.89     48.70     14.05     68.25     78.78     40.06 
    22       54.84      3.18299        67.40     82.67     69.40     16.00     -4.44     71.90     55.48     70.07     75.87     44.07 
    23       47.45      3.92884        50.80     74.80     58.20     32.00    -26.11     60.50     35.63     68.65     77.60     42.47 
    24       39.77      1.37083        62.60     62.80     57.20    -24.80     -5.56     81.10     31.83     66.18     65.22      1.17 
    25       55.24      3.27119        52.00     68.93     61.60     32.00     27.78     68.70     49.37     70.22     75.74     46.05 
    26       48.60      4.21415        57.00     61.07     71.40      6.67     17.22     47.90     44.29     62.33     73.97     44.20 
    27       47.41      5.80425        67.00     98.67     95.00     32.00     -5.00     30.60     15.24     54.29     72.20     14.14 
    28       45.19      5.57316        74.20     83.60     69.40     42.40    -10.00     42.30      0.40     61.27     75.10     13.27 
    29       55.45      3.69446        55.40     74.27     69.00     38.13     16.11     60.40     46.27     69.60     78.64     46.73 
    30       51.82      4.42529        71.40     83.07     50.60     44.80      5.56     49.50     36.03     66.44     79.50     31.30 
    31       45.79      5.90331        82.20     75.33     69.00     21.07     31.11     20.50      8.41     60.04     80.59      9.69 
    32       35.25      5.36867        67.00     75.20     69.60     -7.47    -15.56     27.90      0.48     52.80     72.11     10.43 
    33       57.00      3.98603        56.40     80.40     93.20     16.27     28.89     57.50     44.84     67.09     75.37     50.00 
    34       48.82      4.72907        70.40     93.73     80.20    -24.53     36.67     60.90      7.94     53.71     81.09     28.09 
    35       44.40      5.04091        80.80     74.93     78.20     25.07    -11.67     29.80     14.52     52.33     74.20     25.86 
    36       55.77      2.92545        85.00     58.13     60.80     26.13     11.67     75.60     56.90     69.16     69.25     45.00 
    37       52.17      2.73435        64.60     70.00     64.00     25.60      8.33     69.20     34.13     72.07     78.41     35.37 
    38       39.75      1.78385        73.80     54.27     57.00    -13.60    -13.89     74.40     25.71     64.18     71.07      4.57 
    39       40.83      1.49081        67.20     65.07     59.40    -14.93    -17.78     72.40     34.29     72.07     69.52      1.05 
    40       41.23      1.54079        57.80     60.40     52.20     -0.53     -6.11     70.10     35.95     71.89     66.89      3.70 
    41       48.59      2.79602        77.00     76.53     60.00    -17.87     -8.33     70.00     38.25     71.13     78.05     41.17 
    42       41.56      2.03377        73.00     52.80     46.60      0.80    -10.56     62.10     28.81     68.65     73.38     20.06 
    43       52.88      3.10771        51.00     75.73     62.80     19.47      8.89     69.90     53.89     71.13     71.61     44.38 
    44       59.95      3.46586        75.80     81.07     72.00     26.67     10.56     73.60     59.05     67.24     76.10     57.41 
    45       50.33      3.95965        84.40     68.93     71.20      2.40     -0.56     59.90     41.03     66.25     74.47     35.25 
    46       54.45      3.23219        65.80     79.33     82.40     10.93     -7.78     67.00     51.03     72.18     77.73     45.86 
    47       45.45      2.04687        67.60     69.87     35.00     13.87     16.67     63.80     34.13     64.62     68.98     19.94 
    48       55.87      2.84070        74.60     68.80     78.00      7.73      7.78     72.90     57.22     73.45     76.51     41.73 
    49       49.82      2.68162        61.60     66.27     62.60     17.87     -0.56     69.40     41.59     69.20     76.24     33.95 
    50       42.87      1.59238        56.40     77.33     55.60     -7.20     29.44     65.30     22.94     59.75     68.57      0.56 
    51       53.62      3.09318        47.40     70.80     78.40     40.53      6.67     57.90     42.78     66.65     75.33     49.75 
    52       56.21      3.10335        82.00     73.60     69.00     28.53     12.22     77.40     35.63     72.07     74.01     37.59 
    53       58.19      3.98197        67.80     80.00     85.20     39.20     -0.56     65.20     49.60     74.15     79.50     41.79 
    54       53.08      3.60488        56.80     77.07     76.60      6.67      7.22     53.40     67.22     67.45     77.73     40.62 
    55       55.38      3.15975        76.00     84.00     57.80     33.33      8.33     69.50     52.46     66.80     70.39     35.19 
    56       51.66      4.10900        69.00     79.20     65.80     32.00      7.22     51.20     33.97     74.15     74.78     29.32 
    57       52.61      3.38309        48.20     78.00     65.80     13.07     14.44     63.00     56.11     70.29     72.15     45.06 
    58       53.79      2.69805        76.60     81.60     70.40     29.07     -2.78     58.10     49.84     64.51     72.06     38.52 
    59       46.60      2.41944        71.40     60.93     64.40     11.47    -13.89     58.50     29.84     71.53     76.92     34.94 
    60       46.23      1.93950        78.40     54.53     65.40    -14.13     28.33     77.10     23.65     66.04     65.49     17.47 
    61       45.12      2.36599        64.60     40.40     68.20     -7.20     15.00     68.40     39.37     66.58     69.25     26.60 
    62       52.34      3.06692        70.40     83.73     70.60     21.07    -10.00     58.70     53.81     68.55     74.38     32.16 
    63       55.25      2.94844        72.20     72.80     82.20     14.13     16.11     66.10     50.16     70.91     73.24     34.69 
    64       46.65      2.51506        57.60     60.00     62.00      9.87     -7.22     71.80     42.30     65.09     74.69     30.37 
    65       58.19      3.72016        82.00     98.80     77.00     25.33      9.44     47.70     36.98     71.05     79.55     54.01 
    66       57.35      3.49714        77.40     80.00     74.80     -2.13     25.00     64.30     52.94     72.22     70.61     58.33 
    67       51.12      2.80772        51.00     79.20     91.00     -4.27    -18.33     67.60     54.44     69.93     74.88     45.74 
    68       54.70      3.99868        85.40     66.00     72.20      9.33     23.89     54.80     33.73     68.00     78.32     55.37 
    69       56.46      2.92475        60.80     80.40     61.60      1.60     40.00     79.40     50.87     64.98     74.29     50.62 
    70       51.76      2.71494        76.20     55.87     93.40     21.07    -18.89     74.60     40.08     67.64     72.61     35.06 
    71       46.93      1.92342        85.40     65.73     53.40      4.00      5.00     66.50     40.79     66.69     67.03     14.75 
    72       55.40      2.65214        60.20     75.73     70.60     13.87     38.33     68.10     54.68     68.47     75.06     28.95 
    73       52.88      2.78327        76.40     78.53     79.60     26.93    -16.11     61.20     44.68     66.18     73.56     37.78 
    74       48.21      2.65576        62.80     72.67     84.80    -11.20    -13.33     54.40     50.79     74.69     74.97     31.54 
    75       51.29      3.10367        41.80     74.93     70.20      2.40     -0.00     71.50     57.54     74.65     71.38     48.46 
    76       54.12      3.07548        69.20     66.40     86.40      0.00     24.44     66.60     36.03     74.76     72.79     44.57 
    77       50.29      2.93923        61.20     68.00     48.80      7.20      2.22     71.00     53.73     70.22     73.79     46.73 
    78       52.57      3.32183        59.20     77.60     56.00     -1.60      8.33     76.90     56.27     72.98     75.78     44.20 
    79       51.79      3.49866        67.00     91.07     79.60     -6.13      6.67     57.10     36.19     73.31     75.42     37.65 
    80       48.32      3.25401        68.00     43.60     71.80      5.60      2.22     70.90     31.67     69.02     75.19     45.19 
    81       55.58      3.90336        69.40     76.67     80.80     41.60     -9.44     56.40     51.35     63.05     77.28     48.70 
    82       49.97      3.80881        72.40     61.47     78.80     -9.87     28.33     56.90     33.41     65.53     76.64     36.05 
    83       51.05      4.05133        71.60     88.80     87.60     -0.27      0.56     58.90     25.87     65.64     77.69     34.07 
    84       59.11      4.19487        80.80     80.27     74.00     42.67     15.56     54.50     56.03     69.24     74.78     43.27 
    85       53.89      4.10960        80.40     89.73     67.60     51.47    -14.44     64.20     18.81     62.33     71.43     47.41 
    86       50.48      4.20827        62.20     95.87     82.00     -7.20     -3.89     60.30     31.67     70.22     75.69     37.96 
    87       51.52      4.05477        71.20     83.33     63.00     15.73     -3.33     69.70     35.95     66.33     73.97     39.32 
    88       54.57      4.23775        81.00     82.67     68.60     24.53     31.11     56.30     18.17     74.55     75.15     33.64 
    89       52.51      3.89737        84.60     73.07     52.60     36.27    -14.44     56.20     46.83     68.33     78.10     43.58 
    90       56.08      3.97179        73.00     86.93     93.80     16.00     -0.00     66.80     30.87     64.65     77.05     51.73 
    91       48.47      4.14779        69.40     83.33     61.40    -10.13      1.11     57.80     38.57     61.60     75.60     45.99 
    92       58.34      4.15104        75.40     90.27     68.80     43.20     16.67     69.20     44.21     65.45     76.19     34.01 
    93       50.53      4.14540        71.00     67.47     76.40     30.40    -26.11     66.00     54.44     59.85     74.92     30.93 
    94       55.60      4.19832        62.40     78.13     70.40     47.20     21.11     44.60     58.57     59.96     77.28     36.30 
    95       50.54      4.14156        70.00     86.67     58.00     29.60     -2.78     55.40     29.84     70.18     75.69     32.84 
    96       45.72      4.11297        64.20     84.13     56.60     -6.93    -35.56     62.00     41.27     73.71     77.05     40.74 
    97       51.02      4.11091        67.80     90.53     92.60      1.60     11.11     20.20     34.44     68.33     85.99     37.59 
    98       53.40      4.12663        53.60     90.00     89.00     11.20     26.11     54.90     37.54     63.56     78.55     29.57 
    99       55.89      4.12948        75.40     88.93     59.60     52.80     29.44     56.20     19.13     67.85     74.51     35.00 
   100       44.46      4.12079        70.80     73.47     69.40     -8.53    -11.11     60.20     24.13     65.71     72.43     28.09 
   101       55.96      4.15813        67.20     92.80     81.20     30.93     10.56     57.50     37.30     60.91     81.86     39.38 
   102       48.54      4.15813        61.00     78.27     77.80     -1.87     -0.56     49.80     35.40     69.27     78.87     37.41 
   103       54.19      4.17805        69.40     94.27     81.40     14.40     -0.00     58.10     48.10     67.60     77.91     30.74 
   104       55.63      3.61572        89.00     75.33     70.40      6.13      6.67     57.80     56.51     74.11     75.69     44.63 
   105       41.67      5.81358        61.00     80.67     66.40     24.80     13.33     12.90     18.65     46.62     76.15     16.17 
   106       41.08      5.38077        62.40     88.00     78.60     10.13    -17.22     21.60     16.90     53.45     78.55     18.33 
   107       48.93      4.62084        62.00    102.00     94.40     13.60     17.78     45.20     -7.62     56.87     73.11     31.98 
   108       50.56      4.21780        62.60     77.60     55.20      0.00     37.22     63.00     36.43     65.78     73.61     34.20 
   109       59.50      3.23459        71.40     74.67     74.20     25.07     41.67     61.50     48.57     67.16     79.64     51.17 
   110       54.55      4.54231        73.80     82.93     79.20     36.00     22.78     48.40     33.25     58.91     73.02     37.16 
   111       46.03      4.48090        69.40     81.87     90.00    -36.00     16.11     43.70     10.32     69.20     75.42     40.25 
   112       49.45      5.23506        67.20     86.40     79.60     31.20      8.89     47.90     19.05     57.16     79.68     17.41 
   113       36.02      5.59701        72.00     82.93     69.00    -22.67    -22.78     33.70      7.30     53.09     73.79     13.83 
   114       46.18      4.95541        59.60     77.87     72.40     28.27     20.56     25.40     16.98     59.31     77.69     23.70 
   115       45.17      4.68600        66.40     86.67     75.00      9.87    -28.33     44.80     21.90     65.02     76.46     33.95 
   116       45.58      5.87556        72.80     84.00     88.60    -15.20     37.78     17.00     13.41     55.31     82.40     19.69 
   117       47.41      4.48822        70.00     80.13     70.20     -6.93     29.44     44.70      5.24     63.35     71.56     46.36 
   118       62.10      3.78189        81.80     90.00     90.60     16.27     40.56     57.10     54.84     70.55     80.41     38.89 
   119       41.39      5.29421        61.40     83.73     47.60     34.40    -18.89     26.30     20.87     55.67     85.90     16.91 
   120       51.34      2.14056        66.40     77.33     50.60     -7.20     50.56     65.30     38.25     61.78     72.43     37.90 
   121       57.97      3.48150        81.80     85.73     72.40     29.07     -1.11     69.50     48.89     71.24     76.28     45.86 
   122       48.40      5.45977        82.00     79.07     88.20     25.87     23.33     36.00     -1.67     60.07     76.83     14.32 
   123       58.36      3.81829        85.00     76.53     79.00     46.40     16.11     61.00     43.49     68.00     71.75     36.30 
   124       51.83      3.76606        61.40     84.13     63.00     30.40     -7.22     64.30     26.98     70.29     76.01     49.01 
   125       54.46      3.09716        75.60     69.87     54.60     21.07     18.33     62.20     57.06     74.51     79.77     31.60 
   126       48.35      2.41039        70.20     59.87     64.00     -9.33      8.89     63.20     44.92     66.18     78.59     36.98 
   127       59.24      3.08078        58.20     70.27     84.40     42.40     18.89     69.60     55.00     73.67     77.60     42.35 
   128       53.79      2.42601        79.20     60.13     55.80     18.13     45.56     65.00     38.97     73.13     73.02     28.95 
   129       52.67      2.40004        71.20     76.40     60.60     27.73     13.33     66.40     44.92     66.25     77.60     22.28 
   130       40.96      1.28404        75.20     67.47     69.20    -16.80    -21.67     66.30     33.02     67.16     69.02      0.68 
   131       46.46      2.70536        66.20     56.53     51.80     -2.40     -2.78     65.80     40.71     75.38     74.65     38.70 
   132       46.51      4.21204        64.00     80.93     66.20    -21.07     26.11     56.50     17.70     72.11     79.86     22.72 
   133       51.67      4.02485        60.60     85.07     75.20     39.73    -25.56     55.20     32.06     70.62     77.14     46.60 
   134       40.03      4.97400        67.60     85.60     77.40    -24.27     -1.11     40.40     25.40     54.84     71.02      3.46 
   135       44.69      5.50047        53.60     84.53     67.60     39.20     15.56     37.90      6.98     52.51     83.85      5.19 
   136       42.16      6.77262        73.20     95.47     77.20     33.07     -5.00      9.50     -3.17     53.42     79.05      8.83 
   137       40.61      8.24268        68.80     85.20     68.80      5.87     28.89     11.70      1.27     37.09     83.54     14.94 
   138       39.85      8.33648        71.00     74.67     81.80      4.27     12.78     19.00      1.98     42.62     77.28     13.09 
   139       41.38      9.78362        71.60     85.47     57.20     43.20     28.89     17.30     -7.06     26.65     78.68     11.91 
   140       42.20      9.81805        62.80     95.87     78.40     35.20      3.89     20.40      3.25     22.80     80.59     18.83 
   141       31.79      9.82785        37.60     84.13     69.60     17.33     -7.22      3.20     -1.83     27.35     72.56     15.19 
   142       42.15      8.42275        74.40     93.87     73.40     32.00      5.56     13.70      0.48     39.75     76.10     12.22 
   143       50.70      7.28772        85.60     75.60     87.00     48.53     36.11     20.40     21.59     46.73     79.91      5.56 
   144       44.40      7.30387        68.20     77.87     52.60     53.60     33.33      5.10     15.79     49.35     84.63      3.52 
   145       37.74      7.41693        64.80     79.87     64.00     56.00     -2.22      7.10     -6.19     38.84     77.32     -2.10 
   146       38.94      6.77570        64.00     92.93     65.60     26.67      4.44      2.50    -10.32     49.96     81.27     12.35 
   147       48.13      7.40575        71.60     88.00     93.00     51.47     26.11     14.10     -6.03     43.78     81.54     17.72 
   148       41.39      7.83155        58.60     71.20     84.80     26.13     28.33      7.80      2.86     42.18     77.41     14.57 
   149       43.52      7.65986        69.80     81.87     88.20     39.73     13.89      4.30      9.84     38.91     78.46     10.25 
   150       41.25      8.04344        75.00     69.73     71.40     44.80      3.33      7.40      8.17     40.29     79.91     12.47 
   151       43.93      8.04823        64.00     88.80     89.00     27.47     39.44     10.00    -10.95     31.13     77.32     23.09 
   152       45.09      7.88594        56.80     86.80     84.60     43.73     23.33     10.20     16.03     37.49     77.37     14.51 
   153       36.22      8.28037        66.40     78.80     71.60     17.87     -3.89     -1.00     -3.33     32.51     78.46     24.75 
   154       37.07      6.87381        62.80     71.20     66.00     22.40      1.67     12.50      7.54     48.47     74.51      3.58 
   155       35.58      8.38380        69.80     91.87     83.20      8.27     -8.89      4.60     -3.33     23.96     75.37     10.99 
   156       37.96      8.72578        81.20     97.87     63.60     29.87      4.44      3.50     -0.00     29.89     66.44      2.78 
   157       36.88      7.44608        56.20     88.00     84.00     -4.27     -9.44     16.00      4.44     42.69     75.42     15.80 
   158       37.15      8.14833        78.60     80.13     60.60     14.40     -2.22     10.10      6.98     44.29     75.06      3.52 
   159       36.70      7.52450        84.00     89.47     59.20     25.87    -23.89     12.10      2.30     34.80     75.15      7.96 
   160       43.00      7.90374        82.40     84.40     79.20      7.73     43.89     -0.10      3.41     37.60     74.10     17.41 
   161       43.40      8.58520        59.20     97.07     91.20     27.47     30.56     14.00      3.65     27.67     73.70      9.44 
   162       41.62      7.66337        67.40     73.73     56.20     63.20     20.56      5.70      5.87     41.67     77.19      4.63 
   163       35.67      6.99981        77.00     72.27     61.60      0.80     -0.00     14.20      0.79     40.00     80.27      9.81 
   164       47.61      7.35333        68.80     64.27     73.40     57.07     51.11     10.50     13.33     48.87     78.64     10.06 
   165       42.79      6.63558        69.60     82.53     70.20     32.80      5.56     31.40     10.08     50.04     76.19     -0.49 
   166       35.62      7.91215        60.20     78.80     77.60      1.87    -17.22     14.30     11.98     36.33     78.55     13.77 
