constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       38.83      2.00000        68.60     17.20     68.20     -6.93     10.00     62.90     12.46     62.65     70.34     22.84 
     2       48.55      4.27769        69.00     82.53     66.80     -0.27     43.89     44.60      7.54     53.05     71.79     46.60 
     3       45.98      4.63859        78.20     61.60     66.40     18.13     14.44     58.20     18.73     50.11     74.74     19.26 
     4       44.20      5.81310        80.80     80.13     58.20     42.67     10.00     21.60     14.68     47.45     68.71     17.78 
     5       39.44      5.89476        56.80     85.60     81.60     -1.60     28.33     18.70      3.89     45.05     73.38      2.65 
     6       43.84      5.71347        79.80     85.20     84.60     44.53     -8.89     23.80      2.94     42.11     67.30     17.04 
     7       46.32      7.60235        79.00     96.80     78.60     37.07     17.22     28.90      9.68     44.07     67.80      4.07 
     8       36.46      6.39183        72.20     75.60     78.00      9.87     -5.00     20.70     -7.86     38.65     62.18     20.25 
     9       42.24      6.00987        68.40     95.20     93.60     33.33    -15.56     27.20      2.06     38.07     66.98     13.09 
    10       46.10      5.76463        51.20     78.53     76.40     38.67     61.67     19.40      2.38     44.18     71.93     16.60 
    11       46.52      4.88460        74.00     92.40     66.40     10.93      9.44     37.20     15.24     55.20     71.02     33.33 
    12       52.50      3.38724        55.60     85.33     65.80     32.27     10.00     63.20     44.84     54.25     77.14     36.54 
    13       58.62      3.61101        71.60     75.73     97.80     52.27      3.89     66.80     47.86     56.58     75.69     38.02 
    14       41.43      5.07928        71.60     84.27     83.20     -6.13      7.78     28.50     23.81     45.13     69.07      7.10 
    15       51.15      3.42706        66.80     86.93     64.40     -5.33     32.22     59.70     33.25     48.65     75.06     49.81 
    16       40.77      2.15042        55.20     42.13     55.80      2.67     21.11     57.30     18.41     46.80     71.02     37.28 
    17       47.60      3.70908        77.60     69.07     75.00     -5.87     -6.11     71.70     43.57     48.73     75.56     26.79 
    18       47.14      3.62514        61.80     81.47     84.00     48.53    -20.00     54.20     21.75     41.27     74.74     23.64 
    19       54.11      2.66894        68.80     86.93     71.40     30.67    -12.78     64.50     54.05     58.33     72.52     46.73 
    20       55.72      4.30816        88.60     77.87     83.20     39.73     46.67     49.00     21.51     52.84     76.46     21.30 
    21       48.97      4.45549        44.00    100.00     62.20     52.53     -4.44     47.80     37.38     48.22     74.20     27.78 
    22       44.38      3.00534        32.80     77.73     70.40      0.27    -29.44     80.90     41.67     54.73     73.74     40.99 
    23       49.31      4.15896        66.20     80.67     66.00     29.60      8.33     53.70     32.78     53.35     78.78     23.70 
    24       42.19      4.75104        71.40     86.67     76.20     10.40      2.78     30.50      6.03     54.33     68.93     14.63 
    25       54.89      4.13358        70.40     88.93     89.60     43.73     16.11     49.40     44.37     54.04     79.68     12.65 
    26       41.86      4.00457        73.20     74.40     66.40     10.13    -70.00     56.90     41.59     56.58     73.97     35.43 
    27       60.93      2.99267        82.80     89.60     73.60     48.27      9.44     68.30     40.08     62.00     79.00     56.17 
    28       54.85      2.87616        68.60     74.80     89.00     23.20     17.78     56.30     46.19     48.84     72.65     51.17 
    29       47.37      3.92558        69.00     78.67     79.00     13.33     -3.33     68.20     20.00     52.47     70.39     25.99 
    30       41.19      5.81425        50.20     88.27     85.00     19.20      6.67     22.20      3.41     47.75     70.11     19.14 
    31       36.64      6.63741        71.00     79.20     68.80     21.87    -10.56     15.30      0.87     42.76     67.30      9.81 
    32       38.23      6.96941        72.20     78.13     69.20     21.33      9.44     10.40      1.98     38.51     68.34     12.72 
    33       37.69      7.77261        74.20     79.73     79.00     49.33    -28.89     15.00      4.29     32.33     68.66      3.27 
    34       37.63      7.93214        70.80     83.20     83.20     28.53     -8.89      8.00      4.76     41.93     59.86      4.94 
    35       42.19      8.74612        85.20     88.13     88.80     38.40     -2.22      4.60      4.37     34.65     66.89     13.09 
    36       40.59      8.50622        65.40     95.07     83.00     16.27     11.67     11.80     14.37     33.45     65.94      8.95 
    37       37.97      9.67765        61.60     90.67     67.20     40.00      0.56     12.30     -1.90     36.84     64.90      7.59 
    38       34.40      7.32274        67.20     88.40     94.80     -4.53    -21.11      8.30      3.33     27.02     65.76     14.81 
    39       40.75      8.64371        85.20     82.00     79.00     14.40     28.33      3.10     18.57     28.51     62.81      5.62 
    40       40.77      7.95072        67.00     85.73     85.40     10.67     31.67     13.90      3.17     35.89     64.17     10.06 
    41       41.58      8.60570        72.20     87.73     69.60     56.80    -18.33     16.50     -2.86     44.25     71.93     18.02 
    42       38.13      7.74301        69.00     93.87     70.40     34.13    -10.00      4.60      8.25     24.40     68.03     18.58 
    43       38.45      8.00352        75.20     84.40     59.00     32.27     18.89      3.20     -0.95     41.35     66.67      4.51 
    44       41.84      8.76850        72.20     95.07     78.60     20.27     12.22     16.60     -6.35     42.36     70.84     16.54 
    45       37.92      8.59025        57.60     78.93     79.00      5.07     36.11      6.20      7.46     33.85     70.11      4.88 
    46       34.29      8.04872        78.20     86.93     60.00      2.93     17.78      9.70     -2.38     36.91     63.72    -10.86 
    47       43.66      7.03276        67.40     90.00     83.40     63.47    -11.11      9.90      7.06     46.22     68.66     11.60 
    48       39.25      7.49523        65.80     67.87     82.20     41.60      9.44      6.00      8.97     32.29     67.21     11.11 
    49       39.67      8.49662        60.80     81.87     81.20     47.47      6.11      8.70      0.79     42.22     65.85      1.73 
    50       35.23      8.67685        66.00     75.60     45.60     33.07     12.78     10.00      3.41     31.85     66.98      6.98 
    51       39.29      9.59859        56.40     71.87     65.80     14.13     42.22     11.50     13.49     32.87     68.16     16.42 
    52       41.03      8.70440        67.60     88.53     66.40     47.73      4.44     10.90     22.14     28.65     69.84      4.01 
    53       39.56      7.81706        71.00    104.80     85.00     27.47    -13.33     14.40      2.54     27.67     63.49     12.53 
    54       36.33      8.25730        66.40     71.60     81.60     26.13     33.33     -1.20     -6.83     23.31     70.43     -1.48 
    55       38.84      8.84642        72.80     82.80     88.40     15.20     10.56     10.00     10.24     28.25     60.86      9.26 
    56       39.37      9.64238        77.80     93.33     67.40     27.20     -5.56     16.70     -2.86     38.22     67.03     14.38 
    57       42.62      9.65284        73.20     87.07     91.80     21.07     20.00     20.40      0.95     37.85     64.44      9.38 
    58       43.88      9.38535        68.00     91.73     71.80     34.67     40.00     19.40      8.25     26.33     67.71     10.86 
    59       37.60      9.44584        57.20     74.53     69.80     57.33      6.11      3.90      1.98     33.78     62.95      8.46 
    60       40.98      9.05851        70.40     79.73     88.20     35.20     26.67     14.10    -14.37     19.02     70.02     20.86 
    61       43.91      9.25530        76.00     86.53     67.80     67.47     18.33      6.40      7.30     36.98     65.17      7.16 
    62       34.64      8.41731        63.40     88.80     47.40     40.27    -18.33     11.80      3.25     37.05     64.85      7.90 
    63       37.28      9.66528        59.20     76.13     77.00     46.67     -5.56     14.60      2.38     29.78     66.62      5.93 
