constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       43.80      2.00000        49.60     66.93     82.80     21.33      4.44     60.90     15.40     54.36     69.07     13.15 
     2       53.77      3.81546        65.40     76.93     70.40     46.67     24.44     42.60     31.90     64.18     79.37     35.80 
     3       43.11      5.33341        43.80     81.33     72.20     49.07    -12.78     10.70     17.38     57.67     80.41     31.36 
     4       54.68      3.09195        70.40     77.73     91.80     21.60     24.44     55.00     42.54     60.22     74.01     29.01 
     5       43.56      3.07021        76.80     68.53     70.20    -18.93    -27.22     66.20     37.38     62.76     73.02     26.85 
     6       44.97      2.68274        69.40     67.73     65.60     10.93    -21.11     49.50     36.98     74.25     69.84     26.60 
     7       52.63      3.86774        80.60     72.80     81.80      6.93     27.22     43.70     31.98     71.16     76.01     34.14 
     8       37.08      1.46217        43.80     84.40     71.00    -19.47      6.67     53.90     11.27     56.18     67.85     -4.75 
     9       51.67      3.72671        73.20     88.13     60.60     25.07      6.11     48.60     31.03     65.56     73.74     44.69 
    10       51.05      3.13326        42.60     62.67     63.40      8.27     31.67     65.70     58.65     66.00     73.24     38.33 
    11       47.00      5.14176        79.20     91.07     77.40      5.87     12.78     41.70      4.68     59.20     68.62     29.44 
    12       50.78      4.47327        60.80     70.80     86.40     58.40     18.33     39.30     13.81     58.76     79.91     21.23 
    13       51.37      4.08309        71.00     91.47     71.40     26.67     17.78     57.50     19.92     62.18     73.42     22.35 
    14       44.44      5.81944        71.80     81.87     80.40     26.93     10.00     21.50     11.35     57.16     78.23      5.19 
    15       44.73      5.90599        80.40     82.53     80.20     13.33     12.22     22.20     -3.25     59.85     71.25     28.52 
    16       48.43      7.09184        60.00     98.13     71.40     33.60     36.11     24.70     12.22     47.75     78.64     21.79 
    17       43.01      6.30524        65.00     81.33     89.20     26.13     19.44      6.80     10.56     48.58     73.56      9.51 
    18       37.26      8.04595        69.40     84.13     85.80     17.33    -10.00      6.90      4.44     46.47     68.12      0.00 
    19       39.47      7.39196        81.00     84.93     63.00     33.87    -18.89      5.30      8.81     45.16     76.24     15.25 
    20       44.65      7.53896        75.40     97.33     83.20     56.53    -13.33     13.70     12.70     39.64     75.74      5.56 
    21       43.33      5.13096        68.40     89.60     76.00     18.13     -7.78     28.50     11.03     56.44     74.29     18.70 
    22       40.76      6.34338        55.20     84.13     84.20     23.47     -2.22     11.30     -0.48     54.84     77.60     19.57 
    23       39.51      6.76374        84.60     80.80     91.60     17.60     -0.56     -5.20      3.49     49.38     77.82     -4.44 
