constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       33.91      2.00000        81.00     12.27     40.80     10.67     20.00     57.80     28.02     64.58     21.36      2.59 
     2       32.23      1.21335        83.40      7.60     27.80     20.00      8.33     77.40     12.22     63.05     15.06      7.47 
     3       26.05      0.39905        61.60      9.33     31.40      7.20    -35.00     83.70     14.44     64.80     16.78      6.23 
     4       28.59      1.06035        73.80     11.73     32.40      2.13      4.44     74.00      9.92     66.40     11.88     -0.80 
     5       43.14      3.26906       101.00     46.80     50.80     21.33      1.11     68.60     28.17     75.64     35.19      2.78 
     6       50.07      5.12217        83.20     69.33     72.40     -9.33     -8.89     70.00     48.65     79.78     73.42     22.10 
     7       46.25      4.12943        76.00     51.07     71.40     11.20      4.44     75.20     38.65     75.13     42.99     16.42 
     8       49.26      4.81924        71.60     59.07     66.80      6.13     18.89     72.50     48.65     75.16     58.28     15.49 
     9       37.87      3.31839        93.20     25.47     63.60     12.00    -30.00     69.40     32.22     69.85     35.78      7.16 
    10       34.93      1.91093        91.80     14.00     45.00     20.53      1.67     78.60      9.76     65.93     16.24      5.80 
    11       27.01      0.56152        72.60      1.33     29.20     -0.27     -2.78     69.50     11.51     65.56     15.87      7.59 
    12       33.54      2.71276        69.80     27.33     54.80      5.33     -6.67     67.50     19.84     67.78     23.54      6.17 
    13       37.45      2.56252        97.60     16.13     39.60     18.40      5.00     90.00     20.56     68.91     22.27     -4.01 
    14       50.64      4.19079        95.80     55.33     74.00     39.73     -1.11     56.00     43.02     70.98     52.02     20.62 
    15       37.07      3.76787        66.20     44.93     64.80    -12.80     -6.11     46.90     37.46     80.15     45.49      3.70 
    16       39.19      2.94426        71.80     26.00     88.00     26.40    -11.11     69.80     19.44     69.05     23.76      8.77 
    17       53.25      4.74719       103.60     73.60     72.40     12.27     10.56     44.20     62.06     74.84     58.41     20.56 
    18       41.96      3.42152        88.80     38.80     69.80    -13.07     -2.78     74.40     35.87     83.02     31.25     13.46 
    19       42.73      3.34170        72.40     35.07     83.20     15.47      3.89     82.90     26.35     72.44     31.75      3.89 
    20       45.02      3.20021       102.40     34.40     85.40      6.40     -8.33     79.60     41.83     70.55     33.02      4.94 
    21       44.22      3.16035        97.00     34.67     73.80     20.53      8.89     68.20     23.89     71.38     31.79     12.04 
    22       28.74      1.31974        98.00      3.47     50.80    -17.87    -10.00     69.40      6.11     66.04     15.60      5.80 
    23       30.39      1.97669        83.80     14.67     28.60      2.13     10.00     68.50     13.65     63.49     17.55      1.48 
    24       41.54      3.11715        97.60     47.07     69.00     -1.07      1.11     63.10     22.30     77.96     30.43      7.90 
    25       48.97      4.05666        82.20     52.27     79.40      6.67     17.78     70.40     46.27     76.07     47.62     10.99 
    26       43.64      3.70384        86.40     53.33     60.60     -2.93     21.11     71.30     25.87     75.56     34.92     10.25 
    27       49.56      3.90071        98.20     48.40     76.20     22.93      7.22     75.70     37.06     75.82     47.07      7.04 
    28       32.09      2.45154        69.00     25.73     57.20     -6.67     -1.67     74.20     17.86     64.15     20.14      0.93 
    29       38.85      2.91616        57.00     36.27     75.60     -2.13     27.78     69.80     24.76     66.95     23.99      8.52 
    30       28.98      1.05820        74.00     11.20     42.80     -2.67      2.78     74.10     12.38     61.13      9.98      4.14 
    31       31.52      0.82553        82.60     20.13     37.60     18.67    -14.44     70.70     16.67     59.85     14.56      8.83 
    32       29.98      1.23798        76.20     -1.87     47.00     -1.33     17.22     71.30     16.19     62.40     15.74     -3.02 
    33       34.79      2.46976        88.20     28.80     47.00     -7.47     -3.89     79.00     19.44     67.96     23.13      5.68 
    34       31.43      2.46887        78.00     24.80     59.80     -6.13    -31.11     81.40     11.19     69.82     24.72      1.79 
    35       38.78      3.35563        92.20     39.60     53.00      1.33      2.78     63.50     15.95     72.91     36.05     10.43 
    36       42.34      3.08532        78.20     26.53     73.80     -9.60     11.67     93.20     31.35     76.00     31.88     10.37 
    37       42.57      3.51197        84.40     41.07     66.60     -4.27      3.89     61.70     38.25     81.38     42.22     10.49 
    38       45.63      3.26520       108.20     27.33     78.40     -7.20      8.89     86.20     38.57     70.51     34.01     11.36 
    39       43.86      3.44817        84.60     32.80     72.60     13.60      1.67     80.50     28.97     78.91     42.45      2.47 
    40       37.76      2.91077        75.60     20.27     60.00      6.40      8.89     67.80     27.94     78.15     29.07      3.46 
    41       29.79      2.51192        74.80     25.60     32.80      9.33    -25.00     69.80     16.90     66.44     22.72      4.51 
    42       43.40      3.72605        87.20     38.00     76.40     22.13    -19.44     73.80     30.56     76.76     40.41      8.15 
    43       37.33      2.63151        85.80      9.07     62.00    -11.73     29.44     72.40     26.51     67.89     27.62      4.32 
    44       34.90      1.41317        81.60      7.33     43.80     -4.80     42.78     78.50     15.95     63.75     18.19      1.91 
    45       26.38      0.26819        75.80     13.47     40.20    -12.53    -14.44     66.40     12.70     63.38     13.20      5.62 
    46       28.93      1.28744        71.60     16.27     27.00      4.27     -9.44     74.30     11.67     70.07     15.10      8.46 
    47       39.77      2.61374        87.80     23.73     52.20      4.53     21.11     84.20     22.54     67.13     28.89      5.56 
    48       34.04      1.68023        69.00     14.67     40.20      4.00     38.33     74.70     14.29     63.78     18.05      3.40 
    49       33.01      1.53040        77.60      9.73     37.40      9.60     24.44     73.40     11.03     61.96     15.10      9.81 
    50       31.66      2.31411        64.40     24.13     38.80     15.20    -12.78     69.30     20.63     68.36     21.86      6.67 
    51       27.24      1.69947        67.60      0.00     39.00      0.27     -9.44     67.80     19.52     68.00     17.46      2.22 
    52       39.76      2.37080        79.40     19.73     76.20     12.80      7.22     80.50     23.49     65.71     21.09     11.42 
    53       26.73      1.59997        86.40      8.13     30.20     10.40    -31.67     70.70     14.29     61.42     13.74      3.64 
    54       28.83      1.44002        82.20     -0.40     35.60    -15.20     18.89     68.50     11.98     61.35     15.69      9.69 
    55       33.87      2.47672        72.00     20.53     40.80      0.27     16.67     82.10      4.84     67.05     23.58     10.86 
    56       30.46      1.83593        85.20     15.87     56.00     -3.73    -20.00     68.50     21.35     62.73     15.51      3.15 
    57       30.24      1.77560        74.20     21.60     58.60     -8.53    -11.11     65.10     16.51     62.15     15.37      8.52 
    58       30.03      2.13751        67.80     20.27     39.60    -11.20     10.00     71.30     16.59     65.31     20.50      0.19 
    59       31.03      1.75682        82.80     11.07     45.40     25.33    -17.78     69.90     14.21     58.36     14.88      6.17 
    60       32.21      2.17835        74.60     12.27     35.60      9.07     18.89     68.40     10.95     68.58     22.22      1.48 
    61       32.90      2.33125        67.80     10.93     61.00     24.00     -8.89     61.40     11.83     66.22     22.68     12.04 
    62       29.17      2.07557        85.60      7.07     44.40      1.87    -18.89     59.80     19.37     68.00     15.46      9.01 
    63       28.25      1.78340        90.80     12.53     35.80     -6.13    -21.11     75.70      0.79     65.85     16.83     11.48 
    64       34.66      1.84920        76.80     18.67     46.40     12.27     19.44     71.50      8.49     63.20     17.10     12.78 
    65       26.35      1.05407        83.40     -0.00     45.80    -19.47    -16.11     72.70     18.73     62.95     13.70      1.79 
    66       35.90      2.48853        84.20     24.27     49.80     16.53      0.00     77.30     13.65     64.95     20.54      7.78 
    67       33.58      2.52317        59.80     27.33     39.20      2.40     20.56     72.70     14.84     65.85     23.95      9.20 
