constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       43.21      2.00000        87.00     28.40     55.20    -17.33     52.22     62.30     27.78     83.67     34.60     18.21 
     2       48.74      4.20557        98.40     49.20     72.00    -10.13     -5.00     74.70     49.60     73.60     57.41     27.65 
     3       52.52      4.60451        98.20     71.60     75.40      8.00     -5.00     59.20     54.29     71.71     63.81     27.96 
     4       53.18      3.93265        88.60     56.13     88.80     19.20     32.22     63.80     44.44     69.49     52.43     16.73 
     5       56.16      5.25309       103.00     66.80     83.60     11.20     36.67     46.20     61.98     62.69     57.01     32.47 
     6       53.22      5.68870        93.20     70.13     71.00      3.73      9.44     43.60     62.70     73.64     78.32     26.48 
     7       47.86      5.76401        76.80     81.07     59.80     10.93     10.56     19.80     56.35     73.42     64.04     25.80 
     8       49.20      6.82459        86.80     80.00     59.20     -6.40      9.44     16.50     67.54     73.93     75.46     29.51 
     9       52.91      7.16555        93.60     79.07     63.60     11.47     19.44     32.90     54.76     68.18     71.79     34.32 
    10       41.76      4.79053        95.20     52.80     52.00     -7.73    -22.78     47.40     47.78     65.38     68.89     18.70 
    11       48.71      5.65257        70.20     79.60     65.20     -2.40      8.33     40.70     62.46     62.47     68.89     31.67 
    12       51.55      5.50930        93.80     60.40     78.60     32.80     -0.56     32.70     57.06     64.69     69.25     26.73 
    13       46.25      3.72655        81.20     52.80     78.00      5.60      6.11     55.20     37.22     68.91     54.15     23.33 
    14       37.87      2.21135        40.00     29.33     61.00     13.33    -13.89     73.80     48.02     77.93     39.14     10.06 
    15       57.55      5.56135        99.40     65.60     84.20     24.27     17.78     64.80     57.70     64.00     69.57     28.15 
    16       50.66      3.42763        80.00     59.33     91.60     -2.40     31.67     59.30     46.75     69.13     52.93     18.27 
    17       54.87      4.54593       110.00     61.60     92.20     18.93     30.00     31.60     51.35     68.87     64.49     19.69 
    18       49.33      6.08665        81.20     75.60     66.40     -0.00     -8.89     52.90     47.22     66.11     72.93     39.81 
    19       54.08      6.01876        80.20     62.93     71.80     20.00     16.67     49.90     57.62     69.05     69.16     43.46 
    20       51.45      7.17713        71.20     65.33     77.40     29.07     -1.11     45.30     64.29     68.51     66.39     28.15 
    21       53.58      7.54731        81.20     64.00     71.20     13.33     42.22     29.30     58.97     72.11     75.33     28.15 
    22       52.41      6.05099        63.20     60.67     86.80     19.47     21.67     39.70     54.92     68.00     75.51     34.14 
    23       42.72      6.55868        49.20     63.87     70.60      4.00     -5.56     22.30     58.02     62.07     73.83     28.83 
    24       47.82      5.85380        53.00     74.93     95.00    -12.27    -11.67     43.70     58.41     68.36     74.51     34.20 
    25       47.80      4.45240        72.80     55.73     71.40     10.40     -1.11     69.50     51.27     62.00     65.99     20.06 
    26       56.22      5.89506        93.20     71.87     69.20     14.67     13.89     57.20     62.62     73.96     71.43     34.20 
    27       55.24      7.77010       101.00     81.60     80.00     36.53      5.00     15.70     53.57     70.91     70.07     38.02 
    28       49.44      6.36505        52.40     55.33     73.40     35.20     16.11     20.30     71.98     73.02     68.44     28.21 
    29       50.94      7.76306        65.80     65.47     63.00     19.73     15.56     35.80     71.83     65.93     74.65     31.67 
    30       51.99      7.16463        95.80     62.40     62.80     16.80     26.11     20.90     60.00     64.84     69.48     40.80 
    31       42.79      8.64365        49.40     71.20     73.00      4.27      3.89     19.30     54.44     63.45     63.85     25.12 
    32       50.93      7.41466        95.40     60.80     60.80      8.80     16.67     17.00     69.37     81.05     65.99     33.40 
    33       53.95      7.28355        91.60     74.00     83.40     16.53    -18.89     57.10     52.22     69.60     72.15     41.79 
    34       45.43      8.75367        67.60     69.73     73.60     -2.67    -17.78     34.90     63.89     63.71     75.24     26.05 
    35       41.39      9.42412        80.40     58.53     65.80     -1.60    -26.67     30.80     49.60     63.13     68.03     25.86 
    36       47.04      9.70105        66.80     66.27     68.60     -3.47     31.11     18.90     55.56     55.60     70.20     40.86 
    37       43.13      8.77855        85.80     60.67     75.40     13.33    -38.33     20.10     57.06     67.09     72.15     18.02 
    38       49.57      9.30763        71.40     65.87     77.20     31.47     -5.00     19.90     71.27     59.16     73.11     31.30 
    39       45.65      9.64378        73.60     67.20     64.20      1.60     -3.33     19.80     66.35     47.93     80.59     38.58 
