constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       56.72      2.00000        82.60     92.13     73.20     12.27    -18.33     67.60     48.17     74.04     87.80     47.72 
     2       60.69      3.74548        94.40     76.67     86.20     13.33    -21.11     80.30     74.29     75.16     84.22     43.40 
     3       54.38      4.58519        92.60     58.53     81.00     13.07    -18.89     50.50     49.21     76.65     89.61     51.48 
     4       59.01      3.71456        59.80     63.47     78.40     16.80     50.00     47.80     71.51     72.33     87.03     42.96 
     5       56.10      4.50429        97.00     58.53     57.00      2.40     23.33     63.00     59.05     63.82     92.06     44.81 
     6       56.38      4.88596        86.80     69.33     64.80     26.67     16.11     31.70     56.83     79.02     88.16     44.38 
     7       54.03      6.27382        91.20     67.33     82.00     12.80    -18.89     44.50     52.22     70.98     93.02     45.12 
     8       60.47      4.21141        98.00     61.47     77.20     29.60     -5.56     65.80     69.37     69.96     92.34     46.54 
     9       54.77      5.44215        77.40     61.73     62.60      3.47     21.11     46.10     63.73     79.56     90.70     41.30 
    10       60.98      3.27695        85.80     87.60     78.40     42.13     13.89     41.90     46.59     75.38     82.86     55.25 
    11       53.49      2.33712        90.00     76.00     63.80    -13.60     -2.22     81.60     23.33     77.78     84.94     53.27 
    12       58.54      4.00673        67.60     83.87     73.80     28.80    -16.67     64.30     58.81     78.18     83.72     62.96 
    13       60.50      4.62933        96.60     62.27     77.00      1.60     37.22     62.90     67.62     64.76     90.84     44.20 
    14       54.48      4.10779        73.80     78.67     74.00     22.40    -37.22     73.40     53.89     65.60     91.34     48.95 
    15       50.98      2.00665        76.60     75.60     62.20      4.27    -25.56     65.90     33.89     81.56     91.43     43.95 
    16       59.03      1.98628       105.60     66.93     62.20     31.47    -11.11     76.50     35.71     84.29     82.77     55.93 
    17       54.10      0.32603        62.00     86.67     51.60      8.53      7.22     54.40     39.84     80.95    102.36     47.47 
    18       53.13      1.43231        77.00     80.67     53.80     -3.47      6.67     52.80     42.94     76.91     86.30     57.65 
