constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       37.49      2.00000        86.80     25.47     43.20     13.60    -16.67     85.60     34.21     73.16     24.35      5.19 
     2       32.40      1.21352        54.40     14.27     40.60     33.07     13.33     66.40     12.94     64.69     17.01      7.28 
     3       45.06      3.11993        89.00     42.93     65.80      8.53      7.78     65.70     43.65     80.69     38.68      7.84 
     4       47.16      4.84633        76.60     51.20     69.60      8.00    -12.78     59.10     56.27     77.42     66.76     19.44 
     5       45.85      6.78413        74.40     66.13     58.80      7.47     -7.78     39.40     54.37     67.42     70.75     27.59 
     6       53.13      5.74920        89.00     68.67     73.40     15.73      6.67     40.60     69.29     76.00     60.73     31.23 
     7       50.24      4.68023        96.20     59.60     58.20     21.33      1.67     55.60     48.89     80.40     61.54     19.01 
     8       50.25      3.52115        82.00     42.27     75.80     33.87      2.78     77.30     43.81     82.15     49.21     13.33 
     9       45.77      2.97762       100.20     40.80     75.40     -5.33     13.33     69.30     28.25     80.04     37.32     18.40 
    10       44.77      5.82919        18.00     59.87     88.40      1.33     31.67     33.90     49.68     77.27     66.39     21.17 
    11       47.42      6.19067        76.40     59.07     97.60      9.60    -35.00     39.70     52.62     71.13     69.66     33.40 
    12       54.73      7.43510       107.60     64.27     80.60    -11.20     25.56     31.40     71.59     69.60     75.96     31.91 
    13       48.48      6.66061       105.60     67.47     49.40     27.47    -23.89     40.70     54.68     69.27     65.17     28.95 
    14       51.19      5.79891        95.60     60.53     77.00     19.73     -6.67     43.70     53.25     82.36     63.22     23.21 
    15       51.21      6.46831        70.80     62.00     79.00     34.40    -25.56     56.80     51.27     75.78     73.24     34.38 
    16       48.63      7.27189        84.20     60.53     61.40     20.53     -5.00     27.30     64.13     73.82     69.16     30.19 
    17       52.90      6.56112        73.20     70.40     65.40     26.67     33.89     36.10     51.67     70.73     77.23     23.70 
    18       51.38      4.46286        80.20     60.40     89.00      6.13     20.00     61.20     43.41     78.87     59.59     15.00 
    19       39.93      2.56717        73.40     29.73     70.40     21.60    -27.78     65.50     42.30     77.71     39.50      6.91 
    20       53.78      4.94360        81.60     58.40     73.00     13.60     42.78     58.90     59.21     74.62     61.04     14.69 
    21       48.91      3.08562        88.20     48.67     69.60     17.33     17.78     72.80     34.21     81.31     44.99     14.20 
    22       50.39      3.93098        81.40     63.33     72.80     18.40    -21.11     77.20     56.67     82.04     53.20     19.94 
    23       36.12      2.04535        84.60     28.27     46.80     -3.73      1.11     65.90     25.56     76.15     25.40     11.17 
    24       49.23      3.52694        85.40     48.67     75.40      8.27     21.11     73.00     42.22     81.09     43.67     13.46 
    25       42.74      3.29308        35.60     45.87     80.00     -8.53     20.56     80.30     38.73     81.24     40.45     13.15 
    26       33.20      2.17176        76.60      9.20     54.60     -4.53     -9.44     57.70     34.29     77.85     28.34      7.41 
    27       59.56      4.10945        96.60     59.07     80.40     58.40     20.56     56.10     63.17     80.62     55.69     25.00 
    28       46.16      2.85074        89.80     31.07     66.40     21.07     15.56     77.60     28.49     81.45     37.46     12.72 
    29       28.94      1.11489        75.00     19.07     39.20    -25.33     13.33     64.20     12.62     64.29     24.72      2.35 
    30       48.89      4.03489        69.20     66.00     64.80     10.40      7.78     73.40     45.71     80.11     55.06     16.42 
    31       44.94      4.21380        69.60     45.47     59.80     -3.20     23.89     54.60     46.03     79.20     59.05     14.94 
    32       45.74      3.13653        77.40     38.27     59.80     18.93     14.44     76.40     36.67     82.22     37.60     15.68 
    33       56.10      4.41741        83.60     70.27     79.00     34.40      4.44     73.90     48.65     77.35     62.99     26.36 
    34       51.03      3.41797        95.80     67.47     62.20      5.07      9.44     79.30     48.65     84.25     46.44     11.67 
    35       51.56      5.17230        91.00     71.47     84.80      7.47     -2.22     45.60     45.63     75.13     74.33     22.35 
    36       50.72      6.30242        91.20     77.33     72.80     11.73    -10.00     50.20     49.92     70.98     68.93     24.07 
    37       50.17      4.97571        95.40     66.93     77.00      2.13    -14.44     62.80     49.60     71.93     69.07     21.23 
    38       48.49      6.25048        92.00     72.40     69.60     15.73    -17.78     42.90     45.00     71.53     72.15     21.36 
    39       58.08      6.25931        99.40     76.67     90.20     20.80     10.00     44.70     58.49     78.87     73.61     28.09 
    40       54.56      6.38301        99.40     84.00     61.80     13.33     -1.11     53.60     62.14     70.62     63.36     38.46 
    41       51.00      4.78614        66.00     65.07     68.00     40.53     23.33     36.90     56.67     73.38     60.95     19.14 
    42       53.52      6.63461       100.40     74.00     82.20      9.07     -5.00     40.40     57.54     75.24     71.38     30.00 
    43       50.66      6.33687        98.80     60.80     64.00    -11.20     20.56     40.90     59.60     71.27     69.12     32.72 
    44       47.13      7.12792        79.20     67.07     75.20    -12.00    -10.56     48.50     53.17     66.04     73.79     30.86 
    45       49.76      5.08874        93.60     72.00     68.20     17.07    -12.78     49.40     54.44     72.04     65.03     18.58 
    46       51.61      6.41193        98.60     83.47     73.60     11.20      4.44     29.30     56.11     67.09     70.79     21.54 
    47       45.84      7.72100        86.80     70.80     59.20     11.73    -32.78     37.40     57.70     62.18     71.66     33.70 
    48       56.42      6.41935        83.20     68.00     80.40     18.93     33.89     51.20     63.25     66.25     70.70     28.40 
    49       48.94      6.62376        96.20     68.67     54.80     -1.07     -1.11     44.60     57.94     67.42     68.75     33.21 
    50       51.58      6.11811        93.80     86.40     68.00      9.87      1.11     29.90     51.35     68.84     74.60     31.91 
    51       48.99      5.37665        69.00     67.07     78.80      2.93     11.67     30.50     60.40     77.71     62.22     29.57 
    52       55.61      5.41859        87.20     78.80     91.40      2.67     22.22     46.30     59.21     71.82     65.35     31.11 
    53       51.16      6.06425        90.60     59.73     71.00      0.53     14.44     59.70     48.02     76.73     64.94     25.93 
    54       45.34      6.78425        74.20     77.60     51.40     20.53     -3.89      7.20     51.90     68.76     69.16     36.48 
    55       52.27      6.58753        96.20     63.87     68.60     22.40     -3.89     46.80     64.84     65.02     69.34     29.51 
    56       51.83      6.46052        95.60     62.00     70.80     24.80    -29.44     51.00     73.97     72.04     69.12     28.40 
    57       48.00      5.74343        79.00     74.67     66.20     -1.07    -17.78     54.70     58.57     71.05     70.84     23.77 
    58       47.69      4.92289        98.00     51.07     58.80    -14.13     14.44     48.70     54.52     77.64     59.14     28.77 
    59       43.82      3.94252        61.20     56.00     61.80      6.67    -12.22     74.50     46.83     81.64     47.21     14.63 
    60       50.76      4.64208        78.80     55.47     61.20     15.47      7.22     68.80     49.84     84.69     63.36     22.78 
    61       50.41      3.57616        70.20     57.60     73.80     27.20     18.33     69.70     55.95     81.85     42.22      7.28 
    62       47.20      3.23708        80.80     29.60     77.60     25.87      7.78     62.30     48.89     81.42     41.72     16.05 
    63       50.31      4.10103        82.80     65.07     73.00     13.33     -5.00     66.40     47.62     81.35     55.96     22.59 
    64       48.80      4.16157        78.40     28.13     55.40     31.47     22.78     67.40     51.43     83.89     53.56     15.49 
    65       48.40      4.51471        89.40     55.47     72.60     20.27     -6.11     47.80     49.29     78.51     65.62     11.11 
    66       48.56      4.27665        92.00     56.53     60.60      1.33     12.22     67.20     47.14     77.71     59.09     11.79 
    67       50.47      3.49696        79.40     52.40     73.80     13.87     20.00     67.30     46.90     81.85     46.44     22.78 
    68       55.38      4.12677        99.40     65.60     71.00     46.40     -8.89     66.30     53.49     85.78     55.60     19.14 
    69       52.31      4.55196        79.20     57.73     78.20     26.40     -4.44     73.50     53.25     80.36     57.01     21.85 
    70       52.23      4.53631        69.20     55.20     73.20     15.20     22.78     66.30     50.08     80.47     60.14     29.69 
    71       49.91      5.16987       105.00     65.60     84.60     -4.00      9.44     33.70     42.78     79.56     63.13     19.32 
    72       50.17      4.36021        92.00     50.40     79.60     -7.20     23.89     52.20     55.71     84.40     56.83     13.89 
    73       49.52      4.02431        98.40     51.73     80.60     11.47      3.33     60.60     45.63     81.13     54.97      7.35 
    74       48.21      4.49120        83.00     74.80     60.80      1.33      5.00     60.80     48.02     77.64     54.83     15.86 
    75       49.46      4.56500        85.20     54.27     72.80     -0.53     -8.89     73.30     48.25     85.20     63.63     21.36 
    76       52.80      4.50493        81.40     74.53     87.40     26.93    -23.33     58.00     67.78     85.56     57.82     11.91 
    77       48.23      5.06581        77.60     85.73     65.80      2.67     -9.44     42.20     49.13     81.09     66.62     20.86 
    78       50.11      4.86495        87.60     73.07     66.20      8.00    -11.11     58.30     54.76     80.00     66.12     18.15 
    79       55.82      4.21741       100.60     68.53     85.40     24.53      8.89     68.70     47.94     80.07     56.87     16.67 
    80       45.73      4.10743        91.80     53.73     69.00    -11.20     -5.00     59.80     49.68     85.13     48.12     16.23 
    81       50.35      4.34580        86.20     66.40     71.60      8.53      7.78     54.20     46.67     81.20     65.12     15.80 
    82       53.81      4.01217        81.40     56.93     74.40     37.87     25.56     70.30     49.92     76.62     49.93     15.19 
    83       51.78      4.29877        89.40     65.20     83.80     12.27      7.22     62.90     45.32     77.02     55.46     19.26 
    84       54.08      3.99721        92.20     59.87     87.60     -2.13     13.89     83.70     44.21     81.75     58.82     20.86 
    85       50.12      4.41968        58.00     79.20     79.80      9.33      5.56     61.10     50.00     81.05     61.36     15.80 
    86       50.27      3.97248       101.40     53.60     81.00     -2.67     -4.44     75.80     45.79     80.65     54.69     16.91 
    87       50.73      4.37286        93.40     73.07     72.00     18.40    -25.00     65.90     46.90     80.36     54.51     27.72 
    88       49.61      4.03898        81.40     75.20     72.00    -10.93     -8.89     67.50     57.22     87.49     57.78     17.28 
    89       51.31      4.46745        72.40     75.47     74.20     25.87      6.11     65.50     47.30     79.67     53.51     13.02 
    90       49.43      4.15125        95.60     62.40     83.40      5.07    -20.00     69.80     53.17     76.62     58.41      9.88 
    91       46.11      4.29166        93.60     54.13     82.80    -20.53    -14.44     69.30     46.11     78.07     55.06     16.98 
    92       47.82      4.17861        93.60     50.00     73.60    -21.60     -9.44     80.90     43.97     81.42     62.27     23.46 
    93       56.98      4.19739       100.60     82.93     75.00     21.07     13.89     75.20     51.67     68.18     62.04     19.20 
    94       49.17      4.21332        73.20     52.27     67.60     21.60      4.44     69.40     49.44     76.47     55.87     21.42 
    95       46.51      4.20506        91.40     64.00     89.40     12.27    -22.78     50.90     33.89     76.29     58.41     11.36 
    96       49.75      4.15574        80.40     56.53     82.20     -3.47      8.89     75.20     49.13     80.73     53.15     14.75 
    97       51.26      4.18668        95.60     64.93     69.60     14.67      8.33     60.90     48.10     82.07     55.78     12.65 
    98       44.62      4.20001        70.60     66.93     66.60     -1.33     -8.33     35.30     53.73     84.15     57.60     20.93 
    99       51.49      4.23125        98.40     58.00     71.80     21.87     -5.56     74.80     44.92     79.89     57.64     13.09 
   100       49.86      4.23737        84.40     80.93     56.20      7.73     15.00     32.00     56.75     82.51     68.75     14.32 
   101       48.45      4.16028        84.20     65.60     74.00     20.00     -3.89     52.30     39.44     83.64     51.16     18.02 
   102       48.69      4.19739       103.00     58.00     72.00     -1.87      5.00     52.40     47.62     78.58     59.14     13.02 
   103       40.28      2.65203        77.20     32.27     52.00     -5.07     -7.78     82.40     46.19     80.98     36.05      8.52 
   104       50.60      5.07313        88.60     71.73     76.60      1.60    -10.56     52.40     65.71     77.78     63.99     18.15 
   105       43.46      4.72127        69.40     59.07     74.00     -3.47     -9.44     46.60     37.54     77.85     64.40     18.64 
   106       53.73      5.76740        80.60     87.20     71.20     46.13     -3.33     38.00     49.29     69.75     67.62     30.80 
   107       49.40      6.73069        88.20     60.53     79.40      4.00      6.67     44.00     55.95     61.02     69.21     25.00 
   108       48.96      5.21974        73.00     73.20     75.60     -2.40     -3.89     55.30     50.71     71.60     66.85     29.63 
   109       48.45      6.63377        84.00     61.73     62.40     19.73      6.11     25.50     60.08     72.07     66.53     26.36 
   110       53.46      8.20958        87.40     72.53     69.40     12.27     11.11     49.30     52.86     68.62     74.29     36.85 
   111       48.61      9.33577       101.40     56.00     61.60     -0.27      9.44     28.50     64.21     59.31     69.71     36.23 
   112       52.16      9.69775        77.60     68.53     78.20     17.60      7.22     52.60     56.43     64.11     68.66     30.68 
   113       51.29      8.16922       103.60     61.60     57.40      3.20     10.00     30.50     58.65     71.45     74.97     41.48 
   114       47.12      8.71265        72.40     58.53     79.80      4.80    -16.67     59.80     53.33     56.58     65.35     37.22 
   115       49.27      9.63095        87.60     66.80     92.00     12.80     -0.56     13.20     58.57     60.15     75.33     26.85 
   116       55.64      9.12663        88.00     71.60     89.80     16.00     16.67     53.90     52.94     62.51     68.98     36.05 
   117       47.67      9.82751        84.00     82.67     74.20      6.40    -32.22     35.40     63.65     68.47     68.30     25.80 
   118       47.78      9.07844        52.80     71.87     69.80      5.33     18.89     41.80     56.75     60.80     69.89     29.88 
   119       50.45      8.27343        87.80     65.87     74.60      5.07     -7.22     48.60     54.13     75.16     72.93     27.53 
   120       51.50      6.85638        77.20     65.33     87.80     16.27    -11.67     41.50     67.94     67.13     72.79     30.74 
   121       47.68      5.65716        69.40     72.93     72.00     -0.27    -22.22     42.80     55.48     78.51     74.88     33.27 
   122       52.82      6.42670        98.00     80.00     67.60     16.80     -3.33     33.50     58.89     74.22     69.16     33.33 
   123       50.96      6.93519        39.40     70.80     66.40     16.27     35.56     61.60     54.52     61.20     71.66     32.22 
   124       52.75      8.05911        90.40     62.53     91.00     19.73    -10.00     48.80     54.60     72.33     72.56     25.56 
   125       55.43      7.50560       100.00     92.80     76.40      4.53     25.56     27.70     58.81     61.42     70.25     36.79 
   126       48.21      8.32183        70.80     61.60     80.00     27.47    -19.44     26.30     63.73     61.96     71.29     38.40 
   127       50.70      6.24944        79.40     69.20     79.20     -5.07     35.00     32.20     58.97     67.53     66.30     24.26 
   128       45.94      4.64216        66.60     62.13     81.60     16.80    -18.33     42.40     50.79     74.84     60.32     22.22 
   129       46.51      5.05460        55.40     72.67     63.20     15.47     -9.44     51.40     53.02     74.44     66.58     22.35 
   130       53.33      6.11856        86.00     58.67     79.40     16.00     -7.22     56.10     69.76     74.47     72.24     27.90 
   131       53.55      7.71875        83.40     60.67     68.20     23.73     21.67     39.20     64.13     71.05     69.89     33.52 
   132       54.03      9.09471        86.60     90.53     61.60     18.13     -2.22     39.10     68.73     66.22     72.61     38.95 
   133       46.03      8.33797        86.40     67.33     58.00     33.87    -31.67     13.60     63.49     70.91     66.71     31.60 
   134       47.04      7.92785        70.40     51.73     87.00     -5.07     -8.89     37.40     57.38     71.24     69.89     39.32 
   135       42.05      8.75309        73.80     69.60     67.60     -6.67    -23.89     21.80     61.83     61.38     70.88     24.20 
   136       50.45      8.42296        98.00     67.07     74.40      8.80     -4.44     29.70     67.62     65.60     68.66     29.14 
   137       45.96      8.84101        87.40     61.87     58.60      9.33      5.00     13.10     57.30     62.07     68.62     36.36 
   138       49.88      7.91715        96.20     76.67     74.60     15.73    -11.67     25.30     54.84     67.16     64.85     35.06 
   139       48.72      8.92639        97.40     72.80     56.80      5.07    -23.33     48.50     59.29     68.07     69.16     33.46 
   140       50.65      8.21975        88.00     61.47     76.00     26.93    -12.22     20.20     68.65     68.36     72.88     36.23 
   141       48.61      9.12759        77.20     59.87     77.60     22.13     -2.22     18.60     66.35     57.64     75.56     33.40 
   142       50.50      9.26812        94.00     58.40     73.60     19.20    -11.67     43.00     54.05     69.13     73.61     31.73 
   143       47.29      9.57159        96.20     68.80     72.00     42.93    -26.11     21.10     54.44     54.51     63.95     25.12 
   144       53.03      8.90478       100.80     80.93     84.20      4.00      5.00     21.40     69.76     64.07     70.29     29.88 
   145       53.60      9.39415        86.20     66.40     76.00     48.00     20.00     27.80     54.84     60.95     66.26     29.57 
