constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       23.99      2.00000        70.00     16.67     14.60    -18.40     -7.22     66.30     16.90     60.73     18.64      1.67 
     2       31.62      0.76308        66.80     18.13     39.00      5.07     22.22     83.80     13.33     57.67     14.10     -3.89 
     3       24.67      0.44404        86.20      5.73     28.00     -7.20    -18.89     65.80     13.41     56.51     11.07      6.11 
     4       25.42      1.86260        74.20     16.53     29.20    -15.73     -8.89     61.10     14.76     59.89     16.92      6.17 
     5       28.46      2.24852        66.40      8.93     50.00     -4.00      0.56     70.20     15.48     59.05     13.61      4.38 
     6       31.01      0.41556        81.80      5.20     48.60    -11.47      2.78     76.60     21.67     61.27     16.69      6.91 
     7       28.54      0.91646        83.20      1.47     57.00     11.73    -25.56     61.40     18.89     62.25     14.24      0.74 
     8       29.83      1.76407        64.60     13.20     49.60     -9.33     26.11     73.60      2.86     59.42     16.15      2.10 
     9       31.27      1.65258        72.80     15.47     42.00      9.60     -3.89     75.50     21.59     56.33     13.38      9.94 
    10       27.34      0.77594        99.80     11.87     36.60    -21.33    -22.22     64.50     15.63     62.55     16.15      9.81 
    11       34.93      2.61128        76.20     19.33     77.60      3.47     -8.33     70.70     20.16     65.96     19.46      4.75 
    12       46.66      3.79579       110.00     48.67     69.40      7.20      2.78     71.40     28.25     79.31     42.00      7.59 
    13       29.97      1.69162        66.60      7.73     32.80     19.20     -0.56     73.70     20.63     59.78     17.91      1.85 
    14       33.59      2.49201        77.40     23.20     40.60      9.07     -4.44     81.40     17.86     64.55     17.05      9.20 
    15       31.40      2.22411        70.80      9.07     43.60      0.27     16.67     71.50     23.25     57.78     14.42      6.67 
    16       43.48      4.12344        98.40     48.00     58.40     10.13    -11.11     64.60     46.75     75.85     41.32      2.47 
    17       46.16      5.07622        67.60     70.40     59.60     30.93    -16.67     52.60     43.25     75.42     62.04     16.42 
    18       41.15      3.07587        73.80     25.87     82.20     18.13      0.56     74.50     27.46     76.58     25.08      7.28 
    19       30.04      1.55896        76.60      8.93     38.60     -7.73     23.33     71.80      7.54     60.04     15.60      5.68 
    20       33.17      2.12296        90.80     16.40     47.80      6.93     -3.33     76.90     21.59     54.18     18.28      2.16 
    21       33.89      0.36385        71.20      8.00     39.20     12.00     28.33     81.10     15.71     60.47     14.78      8.09 
    22       32.39      0.54885        69.40      7.73     31.60     12.00     19.44     79.30     18.81     59.27     16.51      9.81 
    23       32.78      2.02272        89.80     18.67     43.80     10.13     -7.22     75.90     14.37     62.11     16.01      4.20 
    24       29.25      1.40224        54.20     15.73     25.20      5.87     34.44     69.00     10.56     59.71     16.15      1.60 
