constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       40.59      2.00000        89.80     20.67     46.80     15.73     19.44     67.50     25.63     75.24     30.98     14.14 
     2       41.72      0.74384       100.80     35.60     67.80      0.27    -21.67     85.50     35.08     71.31     32.83      9.69 
     3       36.42      2.36534        66.20     22.93     57.60     17.07    -29.44     76.30     32.54     77.56     32.47     10.99 
     4       40.85      2.10154        91.40     31.47     68.40    -11.47      8.33     82.50     31.75     71.42     30.79      3.95 
     5       52.95      3.67218        56.20     64.93     56.00     23.73     50.00     78.10     48.89     85.20     53.20     13.21 
     6       45.11      4.61703        77.00     72.40     67.60      0.53    -31.11     69.50     49.76     72.15     57.05     16.23 
     7       50.51      4.14063       101.00     56.67     67.20     12.80     -0.56     68.10     60.16     70.76     53.92     15.00 
     8       49.01      3.23086       101.80     60.53     78.60      3.47    -12.22     60.80     53.81     83.05     43.95     16.30 
     9       45.89      2.84542        82.60     44.13     86.80      9.87     18.89     50.60     45.71     80.65     35.06      4.57 
    10       41.53      1.39205        94.80     26.40     69.40    -15.20      0.00     77.40     46.43     75.13     36.05      4.88 
    11       39.35      1.48334        97.40     15.07     70.80      7.20    -11.67     75.50     31.35     73.38     28.30      6.17 
    12       41.78      2.41715        68.60     36.00     84.80    -10.40     13.89     66.40     35.40     73.85     35.42     13.83 
    13       53.97      3.82928        93.60     67.07     86.60     28.53     -2.22     76.80     54.52     72.18     49.89     12.78 
    14       48.30      5.78301        58.40     58.00     92.40      8.00      2.78     37.90     58.33     76.69     70.52     20.00 
    15       51.33      3.80337        85.60     63.73     65.80     -3.20     33.33     72.40     45.71     78.58     52.83     18.46 
    16       50.68      5.80819        97.20     71.33     78.20      8.00      8.33     34.60     50.40     67.96     68.12     22.65 
    17       49.70      7.28420        97.60     81.20     76.20     -0.80     -6.67     37.50     50.00     67.35     70.70     23.95 
    18       50.26      6.78453        87.40     69.20     62.80     10.67     -8.89     44.60     60.00     72.55     72.83     31.42 
    19       52.18      6.39845        60.80     81.07     69.60     23.73      3.89     45.10     67.06     75.75     70.25     24.57 
    20       51.53      7.77656        90.20     65.07     76.80     30.13     20.56     18.10     51.43     61.82     66.94     34.26 
    21       44.80      8.93361        71.00     68.67     70.40      0.00      1.11     31.30     58.17     62.51     71.52     13.27 
    22       52.07      7.19662       101.40     65.33     77.60     28.53      4.44     18.90     49.76     74.69     69.75     30.25 
    23       48.01      5.68422        88.40     76.40     59.00    -11.47     24.44     19.00     52.14     69.16     72.43     30.56 
    24       51.67      4.20757        92.40     62.80     61.80     17.33      8.33     67.10     55.48     74.44     56.19     20.86 
    25       58.23      4.91238        84.80     72.67     81.00     22.93     38.89     72.70     58.65     64.51     59.86     26.30 
    26       50.89      4.58388        92.80     76.40     69.80     18.67    -22.22     64.10     49.76     76.25     60.68     22.65 
    27       53.02      4.26874        98.20     69.87     55.80     25.33     18.33     61.30     49.60     74.15     61.41     16.17 
    28       47.26      2.90138       107.20     43.73     55.40     21.87    -11.11     70.20     53.65     80.36     35.10     16.23 
    29       52.79      4.21463        93.00     52.13     71.60      2.93     40.00     64.40     56.83     68.65     63.81     14.57 
    30       46.21      2.64897        95.20     41.73     53.20     16.80     -8.89     85.00     47.30     80.73     35.06     15.99 
    31       49.20      4.30060        90.00     63.07     80.80     13.87    -11.11     56.40     52.30     70.87     55.46     20.37 
    32       49.14      5.50939        80.20     63.73     67.20     32.80     -7.22     37.60     45.08     68.73     75.74     27.59 
    33       48.00      3.00197        77.80     48.27     49.40     33.07     13.89     75.20     48.65     78.04     41.27     14.44 
    34       42.97      3.77137        82.60     57.60     69.60    -10.67    -21.67     72.60     39.29     72.69     51.02     16.60 
    35       52.32      5.47342        80.20     63.20     78.40     22.93     15.00     36.20     59.37     68.44     73.47     25.99 
    36       52.25      6.99936        99.40     75.87     62.80     27.20     -6.67     43.50     48.97     67.60     70.43     33.40 
