constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       52.89      2.00000        94.60     74.80     61.80     12.00    -28.33     72.80     39.84     73.75     88.16     39.44 
     2       61.60      3.26750        88.20     61.33     83.60     40.53     15.00     69.30     54.92     75.45     92.52     35.12 
     3       53.15      5.03978        79.60     67.20     64.20     20.00     -6.11     55.80     64.37     74.87     83.31     28.27 
     4       54.66      1.56844        71.60     91.73     45.20     12.53      5.00     72.70     25.63     87.24     91.38     43.58 
     5       54.72      3.19718        58.60     72.00     76.40     40.27      7.22     69.10     18.17     75.53     90.66     39.26 
     6       53.52      3.92732        84.60     48.67     81.60      4.27     -2.22     61.80     53.97     70.04     83.45     49.01 
     7       52.22      3.24717        70.40     64.93     88.60     -0.00    -20.56     62.30     48.97     84.44     90.39     32.72 
     8       63.11      2.22288        97.00     81.20     76.60     21.07     14.44     78.50     31.59     77.56     96.15     57.04 
     9       49.10      2.85629        86.20     70.80     53.80      8.53    -40.56     80.10     42.30     82.36     83.04     24.38 
    10       57.12      1.06678        96.80     65.47     67.20     19.47    -12.78     66.90     55.32     78.22     85.80     48.77 
    11       53.96      1.52198        84.60     74.13     38.20     15.47      0.00     48.80     60.16     84.44     82.72     51.05 
    12       66.85      0.65150        91.00     88.53     74.00     36.00     26.11     61.60     60.48     79.16     85.90     65.68 
    13       55.17      1.63677        89.40     45.20     79.40     21.60     -1.11     73.50     20.16     80.47     94.88     48.21 
    14       54.09      0.65638        75.80     73.20     82.80    -14.40     20.56     73.30     25.79     69.35     86.76     47.72 
    15       55.09      1.96463       107.20     78.40     59.00     16.27    -10.56     64.30     44.60     78.36     82.31     30.99 
    16       56.55      1.89023        87.60     75.73     65.40     10.13     -4.44     75.00     34.60     86.18     93.42     41.85 
    17       57.68      0.72684       100.60     90.67     73.80      8.53     -1.67     64.70     25.40     74.80     90.39     49.63 
    18       56.05      2.34374        95.00     69.73     59.20     15.20     -2.22     57.60     49.92     77.85     83.49     54.69 
    19       62.48      1.59241        92.00     96.53     68.00     38.67      6.67     79.40     33.02     79.93     91.97     38.64 
    20       59.42      3.28653        83.00     79.60     68.80     29.60     15.00     60.10     49.05     72.33     91.79     44.94 
    21       56.80      1.10234        93.20     81.47     72.40     33.33    -25.00     52.10     39.05     81.71     83.49     56.30 
    22       50.68      1.81741        88.20     64.27     56.60     18.13     -1.11     82.30     12.78     73.82     88.34     23.52 
    23       54.57      2.39936        87.60     79.87     74.40     -0.80     -1.67     42.00     43.25     80.29     89.07     51.67 
    24       56.26      3.22053        91.60     64.53     59.20     42.13    -23.89     80.10     51.11     78.76     84.49     34.57 
    25       53.37      2.61064        98.40     69.20     62.40     19.47    -12.22     81.40     20.40     82.69     87.89     24.07 
    26       63.34      4.09342       108.60     86.27     73.20     15.73      8.89     75.80     62.22     73.45     85.17     44.07 
    27       57.94      4.56576        82.80     66.53     81.80      5.87      8.33     78.10     57.06     75.13     90.66     33.09 
    28       48.75      5.68768        96.00     65.47     57.20      3.47     -8.89     47.50     44.13     66.73     83.45     32.47 
    29       56.35      5.55027        92.40     66.40     69.80      4.00     15.56     46.00     53.57     77.31     91.61     46.85 
    30       51.17      4.22485        71.00     64.40     84.80     -3.73    -11.11     54.20     53.33     76.44     82.77     39.63 
    31       52.65      3.00898        91.80     69.47     68.60    -14.40    -18.89     65.60     56.51     83.05     91.29     33.46 
    32       60.54      3.36768        85.80     75.87     72.40     42.40      2.22     68.00     53.57     76.07     91.34     37.72 
    33       48.13      2.51099        91.00     49.20     55.60     13.60     -2.22     44.70     30.95     79.35     87.76     31.36 
    34       60.43      3.52698        93.00     73.87     61.60     35.47     14.44     73.20     49.84     72.65     92.24     38.02 
    35       51.72      2.48632        71.80     59.87     65.40      6.67    -22.78     65.50     43.49     77.24     91.79     58.21 
    36       62.63      3.30990        92.00     93.73     55.40     36.00     17.78     59.70     61.19     79.20     95.83     35.43 
    37       54.93      3.27205        79.20     80.80     56.60     11.73     11.67     64.80     41.03     73.56     93.88     35.99 
    38       51.97      2.86789        84.40     75.47     57.80     -9.87     13.89     77.50     42.70     75.27     88.12     14.44 
    39       55.16      3.48968        89.00     64.40     66.40     16.80      3.33     67.60     58.17     64.73     87.12     34.07 
    40       57.53      1.97774        69.60     80.00     65.60     21.33    -17.22     63.60     55.63     81.82     95.15     59.75 
    41       54.12      2.91471        82.80     80.27     79.40     10.67    -13.89     80.50     34.68     77.67     79.37     29.69 
    42       53.04      3.44817        62.80     74.53     71.00     11.20    -10.00     62.40     64.29     74.80     80.73     38.64 
    43       54.37      3.94992        92.60     77.33     65.40      2.13    -10.56     67.10     48.41     65.35     88.71     47.22 
    44       53.75      4.53278        80.80     52.67     51.20     13.33      4.44     66.80     57.46     72.69     88.80     49.26 
    45       57.48      5.52681        90.80     69.60     78.40      5.07      0.56     64.10     63.25     81.13     84.76     37.16 
    46       55.06      5.90032        85.40     81.73     66.20     11.73      9.44     47.00     54.68     74.98     87.80     31.67 
    47       53.30      7.17175        86.80     73.47     78.40     16.27    -10.00     49.70     57.86     69.27     89.21     22.04 
    48       59.24      6.13063       103.60     60.93     80.00     30.67      8.33     57.30     50.16     76.44     93.33     31.60 
    49       58.78      5.65282        98.60     79.07     69.00     28.80      9.44     56.80     53.17     77.35     85.08     30.49 
    50       53.33      6.79505        83.60     72.53     67.60     12.53     13.33     37.30     49.76     73.05     82.54     41.05 
    51       54.15      7.86502        96.60     76.53     73.20     21.33     -8.33     38.60     51.11     69.42     90.48     32.53 
    52       50.60      7.40767        75.60     62.00     51.00     18.13    -11.11     59.10     52.78     74.55     92.20     31.79 
    53       50.12      7.82723        95.20     73.33     67.40     17.60      2.78      8.90     59.76     64.04     85.67     26.48 
    54       52.39      7.15574        92.20     66.40     72.80      4.00    -17.22     49.20     54.92     70.80     86.12     44.63 
    55       54.17      7.26181        95.20     76.80     80.40     -0.80     -0.56     38.30     51.98     74.84     96.64     28.89 
    56       49.21      6.80630        76.00     68.93     56.20      5.87     11.67     42.30     54.44     67.60     83.99     25.12 
    57       49.16      8.05535        81.20     66.80     80.00     14.13    -37.78     29.80     48.41     72.65     93.47     42.90 
    58       55.38      7.16166        87.00     78.53     68.80     35.47     -1.67     42.80     50.95     81.24     82.95     27.78 
    59       57.12      6.65386       101.20     65.87     61.60      5.07     26.11     67.10     46.27     75.13     80.05     42.78 
    60       49.46      6.79763        68.80     57.33     60.00      1.87     41.11     19.70     53.33     66.95     90.79     34.69 
    61       57.70      6.05294        62.80     71.60     78.20     13.07     28.89     59.70     51.11     77.09     95.51     39.01 
    62       50.81      5.75914        90.40     64.53     81.00    -19.20    -10.00     42.30     54.84     76.44     99.00     28.77 
    63       50.05      6.62181        66.40     61.47     75.40      4.53    -15.56     59.60     56.98     70.51     83.76     37.41 
    64       61.46      6.11082        86.60     74.80     80.20     14.93     26.67     65.60     60.71     83.02    100.18     21.91 
    65       53.34      6.90334        81.80     74.13     75.40      6.67     11.67     32.10     54.44     76.65     87.94     32.59 
    66       50.56      6.90080        92.20     59.33     63.80     19.73    -25.00     50.80     60.87     66.62     91.34     25.86 
    67       58.49      5.79843        92.20     73.47     82.60     16.00     18.89     39.00     58.33     79.45     92.65     32.28 
    68       53.83      6.09128        82.40     71.33     65.40     29.87     -6.67     44.40     65.71     70.87     82.59     32.35 
    69       58.53      6.79085       102.80     74.40     61.40      4.53     41.11     65.50     48.81     73.24     87.89     25.62 
    70       54.25      6.78325        82.60     67.87     61.00     22.93      0.00     54.10     50.79     73.09     95.01     35.12 
    71       55.40      6.70984        98.60     77.87     78.60     17.33      1.11     30.20     64.21     68.44     86.80     30.80 
    72       59.61      6.13560       103.20     77.87     77.00     19.20     -3.33     66.40     54.05     74.73     93.70     33.33 
    73       59.90      6.04582        95.60     75.73     70.40     -2.67     20.56     67.90     64.68     77.35     90.79     38.64 
    74       53.91      5.94004        84.80     80.00     58.60     18.40    -20.56     63.20     60.48     74.95     89.43     29.81 
    75       52.53      5.49879        91.20     70.93     74.40     -3.47     -3.33     37.20     53.49     80.40     91.79     32.65 
    76       56.07      6.02840        90.80     70.80     51.00     22.67     52.22     30.40     49.60     72.98     86.85     33.40 
    77       57.13      5.48040        73.60     81.33     81.60     48.00      1.67     42.60     53.65     69.60     90.88     28.40 
    78       56.06      6.02297        81.60     75.87     68.00     10.40     46.11     17.80     56.59     74.29     91.88     38.09 
    79       48.09      5.93173        76.40     70.13     59.60     -4.80      7.78     14.30     62.46     80.07     86.85     28.09 
    80       50.00      6.49025        88.60     74.27     55.80     -2.67     12.78     34.00     54.13     65.13     88.07     29.94 
    81       56.04      5.54199        74.20     75.33     92.00     16.80      2.22     48.50     46.59     80.07     88.48     36.17 
    82       48.91      5.42116        87.20     61.47     70.00      2.40    -41.11     48.20     59.37     77.96     94.47     29.20 
    83       53.98      5.64213       108.60     76.93     59.80     -3.47     -1.11     41.40     57.54     68.07     85.12     46.91 
    84       54.03      5.25005        78.80     78.80     56.20     22.93      9.44     36.80     50.16     76.55     91.66     39.01 
    85       54.75      5.38510        90.40     76.67     84.40      1.60     -2.22     46.80     50.16     78.80     87.39     33.46 
    86       53.80      5.30568        88.00     67.47     75.00     13.60    -22.78     64.30     54.52     74.29     84.49     39.07 
