constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       31.27      2.00000        71.00     28.80     60.60    -16.80    -18.89     71.30     18.57     73.82     22.81      1.48 
     2       42.96      3.05964        96.80     40.93     78.00      4.27    -18.33     84.30     28.49     80.00     33.38      1.73 
     3       51.82      4.38149       101.40     68.27     71.60     30.40    -31.67     76.00     42.94     78.95     54.97     25.37 
     4       42.93      2.32256        95.40     36.67     59.80    -12.53     30.00     79.20     28.81     82.44     24.76      4.75 
     5       34.20      1.99611        82.00     19.47     53.00    -11.47      2.22     86.80     16.03     66.98     21.68      5.31 
     6       30.65      0.72979        67.40     17.73     40.80      9.33      5.00     74.40     13.89     62.36     16.10     -0.49 
     7       24.82      0.24610        72.60     12.27     35.80     21.87    -56.11     72.30      6.51     60.15     20.63      2.22 
     8       40.81      2.09009        80.80     23.33     72.00     -2.67     28.33     67.90     29.92     78.73     21.90      7.84 
     9       29.99      1.72487        72.80     20.67     38.80      1.87    -15.00     70.90     21.51     69.05     16.96      2.35 
    10       51.27      4.13893        88.20     60.80     75.40     25.07     -5.00     58.00     55.71     75.42     61.18     17.96 
    11       48.20      4.22892        79.00     56.67     79.40      1.07     -2.22     64.90     47.94     83.38     62.81      9.01 
    12       52.69      6.33533        62.00     73.87     75.80     27.20     -3.33     37.80     72.78     76.44     71.07     33.33 
    13       49.91      4.42081        89.00     57.20     77.60     22.67    -10.00     68.40     40.95     77.13     55.74     20.43 
    14       47.90      3.43450        82.40     60.13     78.60      4.00     -2.78     85.00     37.22     78.29     40.05     16.11 
    15       32.76      1.36791        74.80     10.53     48.40     15.73     20.00     55.30     21.43     63.31     13.70      4.44 
    16       43.67      3.34903        87.20     47.33     74.80     -9.87    -12.22     72.50     43.33     81.24     40.41     11.98 
    17       55.10      4.98387        91.40     66.40     66.40     25.33     47.22     45.50     49.92     78.07     62.31     18.40 
    18       55.40      4.51453        92.40     61.33     79.80     32.80     21.11     63.50     52.70     77.45     59.09     13.77 
    19       50.77      4.11048        95.40     59.73     77.40     -0.80     18.33     56.00     58.10     78.36     52.43     12.78 
    20       55.21      5.02060        79.40     61.47     57.40      5.33     68.33     56.60     55.87     79.71     63.04     24.94 
    21       51.98      3.36065        99.00     60.13     82.60      0.53     31.67     73.60     48.81     80.95     35.28      7.22 
    22       45.86      3.62634        71.60     45.07     47.40     14.13      8.89     84.10     42.62     80.18     39.23     25.37 
    23       51.26      4.55922       100.20     59.07     67.80    -16.00     25.00     63.10     47.70     81.89     62.63     21.17 
    24       49.71      3.53292        84.00     41.60     62.60     13.07     23.89     82.20     56.35     82.15     44.17      7.10 
    25       43.60      3.93585        84.00     55.33     58.60     -3.73    -16.67     64.00     53.81     76.51     53.61     10.49 
    26       45.06      3.18239        90.40     32.27     63.20      8.27     -2.22     84.10     39.76     82.40     35.92     16.48 
    27       47.42      4.68808        86.80     73.33     78.80      4.00    -24.44     48.30     42.94     79.05     70.57     14.88 
    28       47.76      6.29725        75.80     62.93     67.00     12.00     -4.44     46.50     50.00     75.24     66.98     25.62 
    29       52.61      5.56546        94.60     72.40     72.40     30.93     -7.78     47.90     51.90     76.51     68.34     18.89 
    30       54.26      4.78149        84.60     72.40     63.20     26.40     29.44     63.10     51.98     78.18     58.10     15.19 
    31       52.71      5.48247        88.40     68.80     63.40     17.33     20.00     41.90     60.56     81.45     66.76     18.46 
    32       52.57      4.88307        91.20     64.00     75.60      4.00     16.11     48.60     56.75     86.33     58.64     24.51 
    33       50.33      5.30136        98.40     68.40     74.80    -13.07      8.89     55.10     40.40     78.33     65.90     26.17 
    34       55.81      4.99266        80.40     78.67     82.80      9.60     22.78     44.70     61.90     84.36     65.76     27.16 
    35       51.15      5.15573        87.00     74.27     74.60     -4.27     -2.22     64.30     62.94     74.87     68.89     11.17 
    36       49.55      6.09191        93.60     67.33     55.80     14.13     -9.44     46.50     54.92     70.15     74.20     28.33 
    37       55.18      6.02713        92.80     71.33     82.20     27.20     16.11     41.20     53.17     74.04     67.53     26.17 
    38       49.82      6.81588       100.80     59.33     68.20     23.20    -16.11     47.90     41.90     66.22     71.11     35.62 
    39       44.93      8.33191        89.80     58.13     58.60     -3.47     -2.78     26.40     50.08     71.96     71.38     29.14 
    40       49.25      7.80656        74.40     63.33     70.60      5.07      8.89     48.40     49.37     68.25     71.02     33.15 
    41       52.16      9.00339        92.00     72.67     53.00      3.20     31.67     55.60     53.02     61.56     69.80     29.07 
    42       45.85      8.33917        78.00     65.47     51.40     25.33    -17.78     27.00     48.57     65.24     78.14     37.16 
    43       54.91      8.75706        76.80     73.07     73.20     29.87     23.33     42.10     65.40     63.56     69.98     31.79 
    44       48.71      8.21536        94.60     67.87     75.20    -13.07     -1.11     40.10     55.79     66.25     76.01     25.49 
    45       52.90      8.86102        87.40     68.80     65.00     20.00      1.11     62.00     62.30     60.29     73.24     28.89 
    46       52.12      8.93765        89.00     58.93     85.20    -10.40     20.56     45.30     64.84     67.09     71.52     29.14 
    47       55.58      9.07085        88.20     78.67     72.20     28.00      0.56     63.60     64.13     67.78     66.12     26.54 
    48       49.32      9.46139       100.00     69.87     72.60      1.60     -2.78     50.60     47.06     60.11     68.30     25.80 
    49       53.48      8.86449        97.40     57.47     76.40     30.67     15.00     44.90     53.89     63.05     65.49     30.56 
    50       53.73      7.81844        95.80     62.93     63.80     31.73     20.00     38.90     60.48     67.27     67.66     28.70 
    51       49.57      8.05459       101.60     66.67     80.80     12.00    -17.78     40.10     55.32     62.15     64.76     30.12 
    52       54.77      8.60237       100.00     74.27     59.80     18.93     10.00     62.20     48.73     65.67     67.53     40.62 
    53       53.82      8.18523        90.00     79.33     78.60     13.87     13.89     37.20     54.92     67.35     74.29     28.77 
    54       52.25      9.10352        65.80     66.80     61.60     24.53     31.11     50.40     60.95     63.89     71.38     25.99 
    55       51.51      8.04958        78.00     68.93     86.20     20.80     -0.00     22.90     63.25     69.42     73.56     32.04 
    56       51.03      7.99116        84.80     70.80     59.80     39.47     -2.78     47.50     48.97     67.27     71.43     23.02 
    57       52.83      7.34335       102.40     64.53     64.20     -2.40      8.89     50.10     62.54     75.93     66.67     35.49 
    58       51.86      7.89996        92.80     61.47     63.60     25.07     26.11     21.40     52.54     74.91     72.74     27.96 
    59       44.57      7.51049        59.60     77.07     66.60      7.47    -21.67     51.00     47.38     66.95     68.62     22.65 
    60       49.78      7.82643        77.00     66.13     72.60      0.53     24.44     32.90     56.98     72.73     68.21     26.30 
    61       51.17      6.81628        85.80     66.40     68.40     21.33     17.78     29.10     52.78     73.45     73.79     22.84 
    62       47.43      6.33320        81.60     59.07     80.60     10.93    -17.22     32.40     51.35     77.53     67.35     30.68 
    63       51.06      6.23662        86.40     66.53     64.60     10.40     -8.89     58.30     57.94     77.20     72.15     25.99 
    64       56.27      6.31130        97.20     74.80     79.80     32.00    -10.00     47.10     52.78     77.96     76.42     34.63 
    65       59.65      5.97183        91.60     66.80     89.80     39.47     13.33     62.50     51.90     78.69     67.30     35.06 
    66       50.74      6.68929        83.40     77.07     64.40     10.93     13.33     35.10     54.37     71.67     66.71     30.43 
    67       51.60      5.96806        80.80     69.73     57.20      6.40     35.00     43.90     54.76     64.91     70.61     32.65 
    68       51.53      6.01897        70.20     74.67     62.40     13.33     21.11     36.10     58.97     78.84     72.38     27.28 
    69       52.38      6.05000        91.40     50.00     87.80     -8.80     34.44     45.90     54.84     74.76     70.29     23.15 
