constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 10], [9.0, 300], [0.05, 10], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       61.32      2.00000  50.00000        94.20     78.67     41.00     37.07     19.44     76.90     40.87     82.84     88.66     53.52 
     2       56.19      1.75000  60.00000        83.20     60.67     73.00      9.60      5.56     77.40     32.30     76.44     90.20     53.58 
     3       43.37      2.60000  30.00000        86.80     61.47     55.80    -27.47      9.44     78.80      4.76     80.40     85.44     -1.73 
     4       56.16      4.10000  50.00000        78.00     66.93     84.20     12.27      0.00     68.50     45.48     72.95     90.02     43.21 
     5       54.37      3.55000  70.00000       101.60     62.93     54.40     -2.13     12.78     69.80     44.44     74.29     80.63     45.00 
     6       60.40      3.40000  70.00000        97.40     66.13     83.60      9.87     12.22     77.10     50.24     75.82     86.94     44.69 
     7       55.30      4.20000  130.00000        87.60     60.53     66.60     -1.87      7.22     69.40     70.87     69.67     86.26     36.73 
     8       55.61      1.30000  110.00000        64.40     71.60     72.60     -8.27     26.11     71.10     48.57     77.09     81.59     51.30 
     9       52.09      1.80000  130.00000        80.60     63.47     73.20    -13.60      2.78     52.30     54.44     73.75     81.95     51.98 
    10       54.93      1.10000  90.00000        69.60     62.53     62.80      7.47     21.67     73.60     36.43     80.73     89.39     45.06 
    11       52.57      2.00000  40.00000        82.80     70.67     49.60     18.93    -15.00     71.00     38.97     86.87     86.35     35.49 
    12       56.16      3.00000  70.00000        88.20     57.87     69.00     13.60    -18.33     82.60     39.37     80.15     94.24     54.94 
    13       47.52      3.25000  30.00000        76.80     53.73     69.20     15.73      0.56     75.70      4.29     85.05     90.88      3.21 
    14       58.83      4.25000  60.00000        83.00     72.67     65.00     29.60    -27.22     81.70     67.14     74.33     95.65     46.48 
    15       57.55      4.05000  120.00000       101.60     75.33     71.20     30.93      6.11     37.40     60.56     77.31     79.27     35.80 
    16       56.10      4.65000  180.00000        99.60     66.53     74.60     -1.33     -1.67     62.80     70.16     70.98     84.49     34.88 
    17       53.29      4.15000  240.00000        93.00     56.00     73.20     13.33    -11.67     40.10     70.00     71.71     91.20     36.05 
    18       57.54      5.65000  260.00000        83.40     71.87     74.80     41.87     11.11     36.20     59.29     71.31     90.16     35.37 
    19       55.95      5.20000  220.00000        97.40     72.53     70.80     10.67     20.00     44.60     58.10     63.49     83.90     38.02 
    20       55.99      5.10000  240.00000        93.00     73.73     57.40     15.20      1.11     52.20     63.97     74.65     95.28     33.40 
    21       49.61      6.45000  210.00000        97.00     71.20     71.60     26.13    -20.56     32.80     46.59     68.58     76.64     26.11 
    22       58.00      5.30000  250.00000        96.00     75.73     88.60     13.87     22.78     44.70     56.90     69.64     83.40     28.33 
    23       55.26      4.55000  290.00000        91.80     65.73     71.80     29.33      5.00     38.80     56.27     70.76     86.58     36.54 
    24       48.13      5.85000  270.00000        53.60     53.60     84.60     24.27     -7.78     31.60     54.52     72.65     88.93     25.31 
    25       59.33      4.35000  260.00000        95.60     71.87     68.20      9.87     32.78     56.50     69.60     64.73     88.98     35.19 
    26       56.16      3.35000  260.00000        97.80     72.93     82.00     -1.33      5.00     39.20     59.76     78.04     85.76     42.47 
    27       55.41      4.30000  260.00000        86.00     79.47     63.80     10.13     19.44     46.10     52.62     72.18     90.20     34.14 
    28       56.56      5.30000  240.00000        95.20     65.73     85.20     26.13      5.00     44.20     58.57     68.25     89.98     27.35 
    29       49.57      5.30000  260.00000        77.00     68.53     74.80     13.87    -26.67     42.60     47.14     68.87     93.88     35.68 
    30       55.63      6.75000  260.00000        90.20     81.47     81.80     24.53     -1.11     40.40     58.49     73.75     83.85     22.90 
    31       54.56      8.15000  250.00000        80.40     86.80     55.80     42.67      6.67     37.20     50.63     67.64     85.49     32.35 
    32       55.37      8.30000  280.00000        95.60     70.80     66.00     28.80      3.89     46.20     55.87     70.51     88.16     27.90 
    33       54.68      8.00000  300.00000        93.00     79.87     80.80     14.40    -15.56     38.20     58.41     68.80     87.48     41.36 
    34       50.19      6.80000  290.00000        92.40     72.00     75.00     12.27    -15.56     37.20     42.22     67.96     84.22     34.20 
    35       50.67      7.25000  270.00000        83.40     62.40     63.20      2.67     15.56     38.90     51.43     64.18     93.92     31.05 
    36       47.96      8.60000  230.00000        77.60     63.87     71.80     23.20    -22.78     35.80     51.11     64.80     87.80     26.36 
    37       53.06      8.90000  230.00000        85.60     76.40     80.80      5.33     -3.33     43.40     55.48     65.60     86.85     34.44 
    38       51.10      7.70000  200.00000        86.20     73.20     61.60     32.27    -11.67     35.30     42.94     69.16     84.67     37.35 
    39       54.58      7.25000  230.00000        89.80     66.40     70.20     26.93     12.22     37.90     49.44     70.11     90.88     31.91 
    40       47.02      7.85000  280.00000        88.40     65.20     55.60     20.80     -4.44     21.30     47.94     70.76     85.31     19.32 
    41       51.60      8.60000  260.00000        89.80     71.47     78.00     29.33    -13.33     12.00     67.22     66.18     85.12     30.25 
    42       53.02      7.60000  260.00000        78.60     70.27     81.60     13.07     21.11     27.50     57.38     69.96     80.18     30.49 
    43       56.89      6.60000  220.00000       103.00     68.53     78.60     30.40     13.89     32.80     58.81     67.42     89.48     25.99 
    44       53.23      5.90000  220.00000        84.80     73.87     74.60     20.53     -2.22     33.70     48.10     74.91     86.17     37.84 
    45       49.38      6.95000  240.00000        73.80     66.13     66.00     19.47     17.22      8.00     61.51     66.11     86.71     28.89 
    46       56.75      7.60000  270.00000        94.60     67.33     88.80     13.87     12.22     48.70     52.30     69.20     90.20     30.31 
    47       48.35      7.90000  250.00000        86.80     56.27     60.00      8.27     -0.56     37.80     55.56     64.18     83.99     31.17 
    48       52.98      8.05000  240.00000        85.00     82.67     69.40     20.27    -10.00     43.40     57.70     65.60     85.62     30.19 
    49       53.65      7.25000  290.00000        92.80     59.33     79.80      4.80    -12.78     67.30     44.05     69.13     99.27     32.78 
    50       49.13      8.10000  260.00000        89.60     63.33     61.60     10.93    -18.89     36.40     56.67     71.67     88.84     31.17 
    51       51.24      8.85000  280.00000        76.80     77.87     66.40     22.93      5.56     50.30     37.62     61.93     87.98     25.06 
    52       54.98      8.25000  270.00000        97.20     72.67     82.40      4.80    -15.00     62.80     56.51     68.07     85.17     35.19 
    53       51.05      7.75000  270.00000       103.80     77.60     57.00     16.27    -14.44     29.30     48.81     73.71     86.98     31.48 
    54       59.74      7.85000  260.00000        86.20     80.40     73.20     25.33     38.89     60.20     52.54     68.15     80.68     31.79 
    55       54.35      7.90000  230.00000        81.00     71.47     60.60     18.13     19.44     64.00     52.38     63.20     83.85     29.38 
    56       50.88      7.30000  240.00000        67.60     62.13     69.00     26.13     -3.33     27.60     55.87     68.58     94.42     40.80 
    57       58.60      8.75000  230.00000        99.40     82.53     84.20     18.13    -12.78     62.80     68.81     63.78     89.66     29.44 
    58       49.77      7.95000  220.00000        99.80     65.87     78.60      6.40    -18.89     31.10     46.59     66.00     84.72     37.47 
    59       50.14      7.85000  230.00000        94.00     69.07     91.00     15.20    -20.00     18.50     45.24     70.25     92.61     25.49 
    60       56.43      8.00000  260.00000        96.40     71.07     65.00     34.40     -8.33     50.20     65.40     63.82     91.20     35.19 
    61       50.98      8.00000  280.00000        69.20     82.53     66.20     13.60    -21.11     51.50     54.84     70.25     93.42     29.38 
    62       48.28      8.05000  270.00000        79.60     54.13     53.60      7.73     -5.56     34.10     58.81     70.40     97.14     32.84 
    63       57.00      8.35000  250.00000        88.00     69.73     68.00      5.33     36.67     47.90     63.73     67.49     89.75     33.40 
    64       52.93      7.85000  240.00000        87.60     71.87     75.80     10.67     -1.11     35.30     60.32     68.40     94.01     26.42 
    65       55.75      7.80000  260.00000        92.00     69.07     82.00     26.40      7.22     47.60     41.19     68.15     88.30     35.62 
    66       47.75      7.70000  250.00000       107.00     64.53     62.00     -2.13    -13.33     27.40     49.92     66.40     85.94     29.75 
    67       55.33      8.15000  230.00000        98.60     74.40     62.60     23.20     13.33     38.70     48.49     64.07     96.51     33.40 
    68       55.01      8.30000  250.00000        88.20     74.13     75.40     25.07    -26.11     56.70     53.10     70.73    102.86     30.06 
    69       48.23      8.20000  230.00000        84.60     64.40     71.40      5.60     -5.00     36.90     53.41     66.55     81.41     23.02 
    70       49.66      8.00000  240.00000        73.20     56.53     80.80      5.33     -5.00     33.00     64.29     67.93     87.21     33.33 
    71       54.53      7.60000  260.00000        81.00     70.40     75.80     19.47     17.22     26.30     60.40     66.76     90.52     37.47 
    72       50.48      7.20000  260.00000        53.00     66.53     75.00     26.93     15.00     22.00     56.59     71.71     90.79     27.28 
    73       52.72      7.55000  260.00000        95.60     67.07     72.40     10.67     -1.11     46.50     58.49     61.13     82.54     33.95 
    74       51.03      7.15000  270.00000        89.40     69.47     71.60      4.00     -3.89     41.40     49.92     72.11     88.34     27.96 
    75       57.01      7.85000  260.00000        89.40     72.00     75.40     16.80     -2.22     60.40     50.63     72.33     92.52     42.84 
    76       54.40      8.30000  260.00000        97.80     68.00     80.20     12.80      4.44     35.00     51.11     66.65     86.21     41.73 
    77       55.28      8.35000  270.00000        94.80     62.27     71.60     29.07     14.44     42.90     51.75     65.56     90.02     30.43 
    78       48.90      7.90000  280.00000        81.40     74.53     64.00     -0.27     -6.67     38.80     55.79     74.04     87.57     19.75 
    79       49.49      7.85000  260.00000        86.20     70.27     64.40     -5.07    -12.22     45.00     54.84     68.76     95.19     27.53 
    80       49.01      8.20000  250.00000       103.20     82.27     66.20      9.60    -40.56     23.90     58.49     65.56     98.10     23.33 
    81       52.76      7.80000  260.00000        98.00     62.93     67.20     22.67     18.33     23.50     55.63     68.62     82.90     27.84 
    82       53.67      7.75000  260.00000        88.00     66.13     65.80     15.47     18.33     37.70     48.49     69.96     95.10     31.67 
    83       56.09      8.05000  260.00000        98.40     72.40     77.20     19.73    -20.56     57.70     60.95     70.84     95.06     29.14 
    84       50.56      7.90000  270.00000        91.80     75.47     65.00     26.40    -32.22     39.50     59.21     62.98     85.99     31.48 
    85       47.47      8.00000  260.00000        97.60     63.47     67.20      7.20    -13.33     12.00     47.06     67.60     92.83     33.02 
    86       54.87      8.25000  260.00000        76.00     73.20     83.00     37.07    -16.67     51.30     56.11     64.62     88.57     35.49 
    87       54.31      8.05000  270.00000        96.80     76.67     60.00     11.73      5.00     41.60     68.73     69.09     84.44     29.07 
    88       49.42      8.30000  270.00000        93.80     61.33     55.20      0.80     13.33     37.40     52.54     63.71     87.35     28.70 
    89       55.43      7.80000  270.00000        90.40     65.73     63.20     19.47      1.67     57.90     68.49     64.95     95.24     27.22 
    90       50.03      7.70000  270.00000        93.00     69.47     70.60      0.27     -2.78     32.50     49.29     69.56     85.76     32.65 
    91       54.70      7.90000  270.00000        96.00     86.67     64.20      5.60     -1.11     51.10     51.43     65.64     97.96     29.51 
    92       52.27      7.80000  270.00000        92.80     72.93     66.60     26.13     -1.11     27.10     62.38     69.67     78.28     27.90 
    93       53.91      7.80000  270.00000        87.80     72.67     81.80     24.53     -1.11     28.50     46.19     69.85     97.78     31.05 
    94       59.20      7.75000  270.00000       101.60     84.67     87.60     15.73     17.22     44.70     52.86     65.78     88.53     33.27 
    95       54.92      7.75000  270.00000        88.40     69.07     73.40     29.07      0.56     49.00     43.65     72.18     88.30     35.62 
    96       54.40      7.70000  270.00000        97.20     79.73     87.20     -9.33     13.33     41.70     49.52     65.96     86.30     32.41 
    97       51.51      7.75000  270.00000        77.60     65.07     74.60      5.60     10.00     35.60     54.44     68.95     90.07     33.15 
    98       50.40      7.75000  270.00000        90.60     81.73     71.80      9.87     16.11     22.60     36.43     69.67     84.17     20.99 
    99       51.41      7.75000  270.00000        97.00     68.93     63.20      4.53     20.00     27.00     54.92     64.25     84.49     29.75 
   100       51.82      7.70000  270.00000       101.40     79.47     56.60      6.67      7.22     37.00     46.75     63.45     94.29     25.37 
   101       49.38      7.80000  270.00000        78.80     66.93     72.20      5.07     -1.11     34.50     56.19     69.71     79.46     32.04 
   102       54.52      7.75000  270.00000        79.80     58.00     85.40     16.00     -0.56     44.10     53.57     76.00     98.64     34.26 
   103       50.00      6.70000  210.00000        76.20     80.13     72.40     34.13     -5.56     15.30     40.48     65.75     90.07     31.11 
   104       49.81      6.50000  260.00000        62.80     69.20     81.00     27.47     -1.67     25.50     58.10     63.16     77.96     34.63 
   105       52.36      5.40000  190.00000        71.00     71.73     65.60     -1.60      3.89     52.60     69.60     78.98     89.98     21.85 
   106       58.31      5.70000  210.00000        92.40     70.00     75.40     28.80     21.11     38.00     61.75     78.25     80.59     36.79 
   107       54.95      7.70000  230.00000        89.60     70.93     79.60     10.67     12.78     46.10     43.65     70.18     96.01     30.00 
   108       51.63      5.90000  210.00000        77.80     73.47     77.60     -1.87     -3.89     35.40     61.67     69.53     95.46     31.11 
   109       54.00      4.45000  150.00000        72.40     72.00     85.80    -11.20     10.56     52.20     59.13     75.42     90.39     33.27 
   110       60.23      3.85000  180.00000        80.00     70.13     80.00     40.00     13.33     55.70     55.08     73.05     90.02     45.00 
   111       50.12      3.60000  220.00000        66.00     77.73     61.60      0.00    -16.11     47.10     65.00     70.51     90.02     39.32 
   112       54.56      3.00000  170.00000        73.40     62.13     77.40     16.00    -12.22     58.80     59.21     74.51     91.70     44.63 
   113       53.19      2.80000  220.00000        99.40     66.13     75.40     -8.53      5.56     46.90     56.35     65.60     80.54     44.57 
   114       54.87      1.40000  140.00000        87.00     81.47     70.80     28.53    -27.22     51.00     63.10     70.55     86.98     36.54 
   115       58.95      1.65000  170.00000        63.20     75.20     66.40     18.40     33.33     66.80     40.87     75.35     89.43     60.56 
   116       56.32      0.65000  160.00000        67.60     86.93     80.80     -1.60     -6.11     80.60     50.32     68.18     87.30     49.20 
   117       59.50      1.15000  210.00000        85.00    104.67     61.80     30.40     16.11     48.00     45.48     59.31     90.11     54.14 
   118       60.46      2.55000  230.00000        84.20     71.87     72.20     16.80     15.00     66.20     67.70     76.65     88.39     45.62 
   119       54.11      3.05000  260.00000        63.40     56.13     80.80     -0.00      5.56     48.10     80.32     70.69     87.44     48.64 
   120       51.97      2.15000  210.00000        80.40     72.93     77.40      2.40    -10.56     47.10     46.43     70.69     90.20     42.72 
   121       62.57      0.85000  270.00000       109.00     80.67     83.00      6.67     32.22     58.90     51.03     64.36     85.99     53.89 
   122       57.77      0.85000  220.00000        83.20     86.00     68.00     30.13      2.78     45.10     45.87     76.40     92.93     47.28 
   123       62.06      0.95000  280.00000        80.20     74.80     68.40     43.20     20.00     43.70     61.67     70.73     90.48     67.41 
   124       51.27      1.00000  230.00000       109.40     70.00     65.20      0.53    -24.44     52.70     36.51     68.51     78.87     55.43 
   125       57.18      0.75000  270.00000        67.20     89.60     75.40      8.00     35.00     21.10     53.81     71.42     87.39     62.90 
   126       61.06      1.05000  250.00000        92.20     83.33     77.00     23.73      0.00     54.60     55.08     72.55     82.86     69.26 
   127       52.55      2.45000  220.00000        77.80     71.20     76.20     -4.00    -11.11     51.70     70.87     66.55     89.48     36.79 
   128       50.77      1.00000  190.00000        87.40     50.93     64.80      1.87    -18.33     76.50     48.57     68.73     90.52     36.73 
   129       59.24      1.25000  290.00000        97.40     87.47     72.40     42.13     -3.33     36.50     56.51     58.00     98.19     47.16 
   130       58.51      1.00000  290.00000        93.40     74.13     77.00     27.47      2.78     48.20     51.27     72.47     83.54     54.88 
   131       58.65      2.55000  250.00000        71.60     66.67     78.20     28.00     14.44     62.10     70.32     76.25     79.23     39.69 
   132       51.86      3.05000  290.00000        64.20     57.73     81.20      2.40    -18.89     60.20     60.08     73.45     92.56     45.62 
   133       55.21      3.35000  290.00000        83.00     66.27     58.00     30.93     12.78     35.10     64.37     73.56     80.05     48.09 
   134       60.88      1.95000  260.00000        89.40     66.93     82.20     17.33     19.44     68.80     64.21     69.82     84.90     45.74 
   135       46.67      1.40000  270.00000        65.00     71.07     62.40     -1.87    -35.00     52.10     48.02     65.42     93.56     46.05 
   136       59.72      2.10000  260.00000        94.00     79.33     68.40      1.87     12.22     78.90     50.08     70.40     90.52     51.48 
   137       61.90      2.90000  270.00000        92.40     66.13     94.60     35.47      5.56     53.00     64.76     74.55     92.52     40.06 
   138       61.21      1.50000  240.00000       101.60    104.80     70.40     31.47    -13.89     54.10     61.27     68.91     79.00     54.44 
   139       54.84      1.40000  290.00000        91.40     65.73     72.00     12.27    -13.89     47.40     61.51     73.60     85.85     52.53 
   140       58.02      1.75000  250.00000        83.20     76.13     71.80     19.20     27.78     47.40     49.29     67.45     90.07     47.90 
   141       60.26      0.60000  210.00000       101.40     93.73     69.00     17.87      3.33     45.50     42.94     75.49     93.61     59.75 
   142       53.87      1.00000  180.00000        75.60     92.80     67.80     33.33     -8.33     58.00     40.24     65.31     83.54     30.37 
   143       52.11      1.25000  210.00000        85.20     61.73     74.60     -5.87     -4.44     55.80     55.32     64.00     83.81     50.99 
   144       62.51      0.80000  230.00000        99.60     91.33     61.60     27.47     27.78     56.80     49.05     66.91     86.58     57.96 
   145       60.01      0.70000  220.00000        94.00     87.20     75.20     25.60      2.78     58.60     50.16     65.56     90.11     50.86 
   146       58.07      1.00000  260.00000        91.20     60.40     58.80     42.93    -10.00     68.80     63.57     67.49     85.08     52.41 
   147       55.45      1.85000  260.00000        90.60     72.13     76.00    -15.47     10.56     54.50     56.75     68.69     84.85     55.93 
   148       55.58      1.75000  210.00000        84.20     80.53     67.00      1.87     -7.22     57.60     68.02     66.25     85.99     51.60 
   149       59.12      0.75000  240.00000        70.00     84.00     72.20     33.87      5.00     60.20     52.22     70.15     93.42     50.19 
   150       55.99      1.20000  280.00000        93.20     73.87     78.60      8.27     29.44     47.40     44.68     65.38     77.41     41.67 
   151       56.80      1.55000  240.00000        97.00     70.40     68.60     14.13    -20.00     68.90     61.27     72.73     90.61     44.38 
   152       50.18      2.35000  220.00000       102.20     65.20     59.20     -5.87    -22.78     60.30     60.00     58.95     84.31     40.31 
   153       60.10      1.85000  220.00000       111.80     69.07     74.00     10.93     25.56     51.30     46.67     74.51     87.12     50.00 
   154       53.86      1.20000  210.00000        92.20     75.20     63.40     10.67     -8.89     48.80     44.05     73.53     91.56     48.09 
   155       59.92      2.10000  190.00000        90.40     84.80     71.60     13.33     13.33     55.20     53.73     75.05     91.47     50.25 
   156       52.31      2.40000  170.00000        97.20     65.73     77.20     20.00    -48.89     57.90     58.81     68.55     87.48     39.14 
   157       57.66      2.35000  170.00000        86.80     73.87     82.40      9.07    -18.33     78.30     56.35     72.73     91.25     44.14 
   158       57.86      2.65000  160.00000        76.20     65.47     66.60     20.80      8.33     52.90     65.87     75.02     88.44     58.95 
   159       60.67      2.75000  150.00000        90.00     70.67     51.20     14.40     27.78     66.10     73.89     80.55     82.45     49.69 
   160       62.12      2.50000  160.00000        87.20     76.27     80.20     18.13     10.00     63.70     75.08     78.55     92.34     39.69 
   161       59.62      2.40000  190.00000        70.40     81.47     65.00     13.07     22.22     55.90     71.83     70.73     86.80     58.83 
   162       59.05      1.95000  180.00000        99.00     75.20     64.60     24.53      8.33     52.20     50.95     77.38     89.52     48.77 
   163       61.57      2.50000  160.00000        91.40     74.40     60.80     31.47     17.78     59.80     64.21     77.56     86.89     51.42 
   164       60.78      1.95000  170.00000        89.40     83.20     72.60     22.13      8.89     40.30     60.63     69.35     96.24     65.06 
   165       58.52      2.50000  190.00000        77.00     63.60     75.40     30.40     14.44     50.10     67.14     76.62     82.63     47.84 
   166       55.97      2.35000  200.00000        95.20     63.20     81.20     16.80      1.11     52.30     52.86     79.27     80.54     37.22 
   167       53.36      2.60000  180.00000        93.00     68.27     64.40     14.67     -3.33     39.60     54.29     77.56     82.95     42.22 
   168       59.59      1.80000  200.00000       100.40     64.67     72.40      5.60     21.11     65.00     66.98     70.73     91.52     37.53 
   169       56.70      2.15000  180.00000        94.80     62.53     70.40      8.00      7.22     53.10     63.41     75.13     83.36     49.01 
   170       59.41      1.80000  220.00000        90.40     81.47     86.80     19.20     16.11     46.70     57.70     69.78     92.20     33.70 
   171       55.40      1.15000  230.00000        66.80     91.47     52.60      7.73     10.00     53.20     56.35     69.49     92.15     54.20 
   172       54.65      1.95000  210.00000        94.40     74.53     85.40     16.80    -28.33     50.40     58.17     70.73     83.08     41.30 
   173       56.15      1.75000  200.00000        87.00     76.80     76.40     17.60    -18.89     72.60     49.44     70.98     88.53     40.99 
   174       56.70      1.75000  200.00000        94.40     70.27     66.80     -1.87     17.22     56.20     64.05     75.09     87.21     37.59 
   175       56.09      2.10000  220.00000        88.80     76.80     86.80      9.60     -7.22     62.40     43.49     67.75     93.29     39.20 
   176       54.47      2.15000  230.00000        68.40     73.87     66.60     31.20      7.78     40.80     62.62     67.89     91.61     33.95 
   177       55.77      1.60000  230.00000        95.80     65.87     49.80     14.67     16.67     46.20     72.78     68.58     84.81     42.53 
   178       58.94      2.10000  200.00000        74.00     81.47     86.00     22.13     10.00     78.50     51.83     66.22     77.23     42.04 
   179       55.94      1.90000  200.00000        88.20     66.80     66.40      6.93     -2.22     57.00     56.27     73.27     93.56     53.15 
   180       55.66      1.75000  210.00000        95.80     77.87     48.40     16.27      2.78     60.30     59.44     74.47     89.89     31.42 
   181       59.97      1.85000  200.00000        91.80     77.07     72.60     51.47     -0.56     60.40     37.38     75.49     91.79     42.28 
   182       58.20      1.40000  190.00000       107.60     67.73     65.00     38.40    -13.33     54.10     59.05     68.62     85.08     49.75 
   183       64.36      1.20000  190.00000        75.40     88.53     80.40     36.27     36.11     61.20     61.59     70.84     85.22     48.02 
   184       52.04      0.95000  190.00000        98.20     48.53     73.80      2.67     -6.67     67.90     49.37     65.38     88.89     32.35 
   185       58.77      1.05000  190.00000       104.60     90.00     67.00      8.80     13.89     54.50     41.27     72.51     83.45     51.73 
   186       58.28      1.30000  190.00000       108.80     80.00     76.80      2.67      8.33     49.50     60.71     72.33     83.81     39.81 
