constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       39.47      0.14000        55.44     89.97     71.92     28.21      6.22      5.92      2.57     34.88     86.96     12.64 
     2       42.99      0.12685        69.28     80.96     81.20     52.21     14.67      9.32      2.22     28.51     83.64      7.93 
     3       37.33      0.20697        63.60     82.08     74.08      5.07     23.33      7.76      9.90     27.11     73.44      6.91 
     4       39.13      0.06322        54.96     86.83     79.76      8.80     15.78      9.84      8.98     33.15     88.23      4.96 
     5       38.94      0.20464        63.44     85.07     70.00     20.11     18.67     10.80      5.05     28.76     78.00      9.51 
     6       38.14      0.03170        27.28     99.63     95.12      0.16     13.33      9.60      4.41     35.83     83.69     12.35 
     7       36.21      0.21364        58.24     74.08     61.04     28.64     22.89      6.96      6.25     27.45     72.77      3.80 
     8       40.58      0.10047        78.96     81.55     83.52      8.16     10.00     16.32      0.70     29.31     86.18     11.11 
     9       25.41      0.01416       -41.44    102.93     92.80    -20.75    -13.56     16.36     -1.65     24.06     81.86     13.46 
    10       39.25      0.07200        54.80     99.73     76.24     21.39     -1.78     -0.32      3.68     31.71     90.91     16.10 
