constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       50.99      0.24000       100.80     73.87     90.40     15.20    -17.78      4.20     57.46     56.80     93.61     35.37 
     2       41.69      0.55374        78.40     45.20     54.60     -7.73     -2.22     73.50     33.25     57.35     70.98     13.58 
     3       40.65      0.65098        76.40     24.40     34.60     22.40      2.22     77.40     34.60     58.55     59.55     16.36 
     4       45.06      0.20785        92.00     66.13     60.00      2.67    -34.44     33.50     55.79     50.80     89.43     34.75 
     5       43.00      0.64788        78.40     36.67     56.80     -3.73     12.78     79.20     34.60     58.73     62.63     13.89 
     6       40.20      0.64305        83.20     43.87     43.60     18.67    -21.67     69.50     42.54     57.20     56.42      8.64 
     7       36.72      0.91761        70.60     24.40     29.20     24.27     13.33     63.80     30.32     56.76     44.90      9.63 
     8       43.74      0.63778        80.40     46.40     57.40      0.27      6.67     71.70     38.25     64.44     61.63     10.25 
     9       49.40      0.12672       110.60     95.07     83.00     17.60    -10.56    -11.70     39.52     32.44     87.26     50.74 
    10       47.04      0.08304        67.40     83.73     62.80     39.47      2.22     11.10     42.38     17.64     85.53     58.09 
    11       44.85      0.10341        72.00     87.33     68.20     22.40      5.00      3.70     18.41     25.24     86.44     59.81 
