constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       54.99      0.77000        92.80     49.47     68.60     30.13     30.56     40.40     57.94     63.67     88.48     27.90 
     2       46.48      1.12383        90.00     68.27     43.60     20.53     -1.11     38.30     50.63     55.16     85.35     14.01 
     3       50.05      0.40841        55.80     86.27     79.20     53.07     -6.67     10.40     46.03     35.20     93.29     47.90 
     4       48.52      0.70746        74.40     73.07     63.00     28.00      6.11     29.90     48.02     52.18     81.50     29.07 
     5       53.47      0.81456        99.20     73.73     66.40     28.00     -7.22     40.60     58.65     49.38     93.47     32.47 
     6       47.07      0.35591        45.40    101.07     60.80     46.40     10.00    -14.10     40.32     32.80     93.83     54.14 
     7       52.12      0.90014        87.00     67.73     71.60     -9.07     10.00     57.90     58.41     56.73     87.89     32.96 
     8       51.74      1.16664        90.00     70.40     51.60     -4.00      8.33     70.20     65.40     55.31     94.56     15.56 
     9       53.84      1.00894        95.40     71.07     61.80     11.20     16.11     58.10     56.51     56.55     89.21     22.47 
    10       44.41      1.63065        81.20     52.13     57.00     -3.73    -21.67     74.80     39.21     59.45     89.89     15.80 
    11       50.51      1.70804        81.40     47.47     52.00     13.07     44.44     63.60     39.60     63.38     89.34     10.80 
    12       50.91      1.36019        84.00     50.53     39.20    -15.20     58.33     77.10     58.41     53.09     81.00     22.65 
    13       52.40      1.04168        85.80     67.47     75.80     11.20      3.89     55.60     58.25     61.71     82.81     21.48 
    14       45.61      1.40975        76.60     50.27     54.40      0.53      3.89     60.20     41.83     63.31     90.25     14.81 
    15       48.26      1.48075        83.80     48.67     46.00     13.87      1.11     66.00     49.92     60.00     99.00     14.26 
