constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, -5, -5, -5], [3.0, 5, 5, 5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0]
Optimizer(): evals/step: 100
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  3  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  0.000000  0.000000  0.000000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p00w03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       51.14      0.77000   0.00000   0.00000   0.00000        86.12     72.71     70.32      9.44      4.28     37.38     54.44     57.70     86.38     32.59 
     2       41.53      1.33432   2.06790   1.37556  -1.81934        91.56     63.21     75.22     12.05      2.33     -5.36     39.06     51.15     77.90      8.15 
     3       39.52      1.84250   3.64548   1.69000  -3.08408        91.44     60.64     72.84     15.71     11.50     -5.81     32.48     51.24     59.95      5.19 
     4       38.10      2.39504   3.07490   1.26037  -2.23571        86.20     51.59     61.68      3.68      3.00     25.24     29.10     59.11     54.97      6.48 
     5       35.87      2.11577   1.44365   0.98621   0.25761        67.32     31.43     34.52      6.85      5.17     67.32     31.49     60.36     48.00      6.23 
     6       33.11      2.46852   1.98112   3.61154  -1.04275        70.86     33.33     29.00     -2.37      3.28     60.51     26.49     60.52     43.95      5.57 
     7       42.39      2.11428   0.72204   1.14967  -1.18390        82.84     51.25     53.86      5.47     -6.61     49.40     40.47     61.79     78.70      6.69 
     8       39.93      2.38948   2.31734   0.91915  -1.93963        86.74     57.47     56.92      9.76     -6.78     27.90     36.29     61.83     61.13      8.03 
     9       30.76      2.47431   4.07322   1.60273   0.03022        63.82     30.05     27.96      1.47      1.22     62.50     23.91     57.95     33.54      5.19 
    10       33.08      1.93441   4.67915   2.67218  -2.44508        85.24     46.93     58.52      9.07     -3.89      0.61     25.88     61.41     42.03      5.04 
    11       37.11      2.50545   3.94132   0.65306  -1.85927        82.94     44.25     55.90     10.45      4.67     37.84     25.61     60.42     44.96      4.10 
    12       35.75      2.72951   3.09227   1.09946  -1.26175        77.08     34.73     43.64      2.03     -0.39     60.81     28.54     61.70     44.01      5.35 
    13       39.01      2.24887   3.31806  -0.20780  -1.72783        86.94     48.91     66.20      2.80      4.11     27.74     32.81     60.25     51.95      8.35 
    14       40.60      2.17043   3.12901   0.82044  -3.02345        94.58     61.28     70.00     21.39      7.00     -3.70     31.40     50.72     67.30      6.02 
    15       38.62      2.54615   2.09510   2.80355  -2.06383        80.04     47.69     48.92      7.15      5.56     47.52     28.17     62.86     52.30      6.02 
    16       39.30      1.94308   2.21812   1.66801  -2.16099        87.12     59.83     64.88      9.36      5.50     -0.01     32.29     58.82     67.36      7.90 
    17       40.22      1.80392   2.38706   0.21787  -2.11373        87.00     60.65     71.60     12.43      3.50     -6.60     38.98     52.04     75.36      7.28 
    18       39.29      1.20218   3.94400   1.49732  -3.03333        94.48     69.29     75.34     24.37      1.89     -2.20     31.25     28.85     65.09      4.57 
    19       39.52      1.43830   3.61091  -0.54949  -1.77616        85.76     60.47     73.74     15.87      9.28     -0.81     36.48     43.00     62.84      8.58 
    20       38.38      1.34218   4.93566  -1.73636  -2.42382        86.10     65.25     67.36     31.41     18.50     -5.14     31.38     19.00     59.95      9.97 
    21       40.26      1.62195   4.47873  -0.61376  -3.98853        89.32     76.03     72.04     32.56     13.89     -3.80     24.57     11.73     76.32      9.93 
    22       40.57      2.09085   3.20576  -0.10396  -3.53984        88.96     67.43     69.74     22.69     16.94     -4.02     28.60     26.91     77.87     10.54 
    23       37.68      1.90969   3.54171   0.07662  -2.45175        89.00     57.07     73.98     18.48     -5.33     -7.24     35.26     49.35     63.07      3.18 
    24       39.16      1.34133   3.37618   1.59636  -3.88905        89.20     73.53     76.78     29.09     -1.83     -3.54     23.32     16.81     79.81      8.44 
    25       42.44      1.07692   2.46590   0.37461  -4.30669        83.92     80.76     79.66     36.40     11.28     -1.55     17.25     15.29     90.73     10.65 
    26       31.98      1.30737   0.63724  -0.75091  -4.08606        81.10     86.57     69.02     32.75     20.00     -5.20    -21.83     14.61     54.37    -11.62 
    27       40.40      0.88613   3.55327   0.23064  -3.34698        78.22     78.72     73.36     32.53      5.17     -0.96     28.33     14.04     84.85      9.70 
    28       39.49      0.80598   3.24911   0.50263  -2.07347        75.56     74.77     75.00     21.79      9.67     -3.51     38.95     19.13     76.07      7.44 
    29       36.96      0.55740   3.52781  -0.90387  -0.43647        60.68     62.15     63.04     13.36     19.00      0.28     43.29     40.34     60.14      7.28 
    30       47.42      1.13191   1.66970  -1.23608  -0.99392        89.52     70.91     76.78     34.72      8.28     -1.59     44.62     33.90     92.09     24.99 
    31       43.37      1.64334   1.43454  -2.23756  -0.75419        90.40     66.65     76.56     24.59    -66.33     19.37     46.84     53.23     92.75     29.67 
    32       36.01      1.17065   3.21150  -2.31279  -0.03597        82.82     46.23     78.42      5.12    -57.44     40.59     35.92     57.55     57.14     13.78 
    33       39.76      1.22255   2.74689  -0.02682  -0.49732        88.18     46.29     62.86      7.95      0.39     36.03     37.29     57.36     54.05      7.19 
    34       25.19      0.72506   2.26001  -2.09793  -2.38031        51.36     89.87     26.62     37.92    -59.06     -0.63     14.21     14.21     90.15    -12.81 
    35       31.14      0.81934   1.93226  -2.39646  -0.24316        35.66     68.00     35.22     30.29    -57.39      0.84     49.72     18.11     92.06     38.85 
    36       50.08      1.46309   0.26816  -0.34754  -0.35601        88.36     60.89     61.60     12.03      3.61     52.59     50.73     62.07     90.01     18.89 
    37       32.17      1.74504   1.93737   1.19166   0.57916        65.28     30.16     30.32     -1.33     -5.22     67.31     27.35     59.64     43.27      4.93 
    38       38.69      1.26920   1.91106   0.25890   0.35746        78.88     37.40     39.46      7.25     -2.67     73.57     34.63     60.24     52.92      5.18 
    39       43.36      0.98051   0.14099  -0.15559   1.26815        69.38     40.13     36.16      6.16      5.22     74.75     53.90     59.01     75.09     13.75 
    40       40.13      1.26661  -1.15277  -0.39177   2.21188        58.68     33.91     27.70      3.49     -1.44     74.38     47.65     58.04     80.83     18.02 
    41       35.00      1.08967  -2.07430   0.05550   3.07563        48.22     30.43     22.04      5.79     -6.50     67.84     53.97     57.18     61.76      9.29 
    42       38.85      1.28522  -0.17915  -0.11593   1.66893        64.78     34.85     33.66     11.55     -6.33     70.23     42.90     56.85     67.71     12.35 
    43       47.97      1.15491  -0.66323  -1.21796   0.81685        81.60     53.36     47.94      8.72    -10.94     72.61     60.45     58.52     88.62     18.81 
    44       45.39      1.37541  -1.27005  -1.16892   0.90839        74.98     50.12     43.96      5.81     -7.72     76.50     59.48     58.67     80.86     11.22 
    45       33.87      1.30808  -1.23499  -1.57837  -0.06435        89.56     81.05     71.12     40.69    -56.28     52.33     36.33     55.78    -47.51     15.61 
    46       37.00      1.37451   0.04487  -0.39615   1.71650        63.14     34.08     30.04      3.81      1.11     69.55     35.29     58.36     62.96     11.69 
    47       44.07      1.33216  -1.81678  -0.21603   1.55011        66.78     41.63     32.24      9.39     10.06     70.96     60.88     58.20     74.82     15.77 
    48       25.02      1.41601  -2.47286  -1.56124   1.52853        67.34     43.89     34.54      3.44    -34.83     75.30     27.40     58.61    -35.08      9.55 
    49       39.52      1.37341  -1.84255  -1.02213   1.51510        65.94     40.93     34.72      9.65     -3.28     70.55     62.37     58.70     39.79     15.86 
    50       38.48      1.14452  -0.90609  -2.06361   2.36135        64.40     35.23     30.58      0.93    -27.28     73.74     54.98     59.07     70.27     22.89 
    51       31.64      1.49924  -0.82345  -2.43006   3.36728        47.18     25.91     22.06      4.08    -15.50     66.34     40.90     56.15     62.99      6.31 
    52       38.45      0.99515  -0.98288  -2.04148   1.61844        74.14     45.95     41.88      9.28    -43.44     69.74     67.27     56.60     52.22     10.91 
    53       38.20      0.91530   0.15508  -1.38240   2.23998        60.34     32.96     30.16      6.75     -7.78     73.49     46.99     57.99     66.83     14.29 
    54       38.83      0.75205  -0.83264  -0.73451   2.63844        61.56     31.11     27.72      0.93     -1.11     72.16     52.61     58.86     72.33     12.08 
    55       22.44      0.48569  -1.85114  -1.42413   1.67062        68.90     50.00     48.16      7.55    -48.50     57.74     18.35     42.03    -32.96     13.12 
    56       27.13      0.51677  -1.08375  -1.37337   1.68263        70.52     54.35     44.52      3.84    -45.78     52.76      4.73     49.14     23.02     14.20 
    57       36.05      0.96345   0.28288   0.13542   2.23408        58.58     30.65     27.22     10.13      0.83     71.78     37.66     60.01     55.74      7.93 
    58       33.33      0.68886  -0.49046   1.16676   2.85765        54.36     26.23     25.20      4.35     -1.17     66.32     38.75     56.67     55.09      7.53 
    59       36.73      0.73251  -0.44481   0.64065   2.67330        60.28     30.35     24.20      5.57      6.17     72.95     40.67     58.88     60.63      7.61 
    60       34.84      0.44521  -1.50318   0.31258   1.95695        67.42     45.05     32.34      2.85     -8.83     73.13     19.58     55.86     54.66      6.37 
    61       45.02      0.77100  -1.44367   0.83870   1.64606        67.30     39.52     31.78      2.83      6.78     74.20     68.15     58.60     82.37     18.69 
    62       34.23      0.77917  -2.23529   0.18406   1.89305        63.94     42.69     33.82      6.67     14.94     73.04     19.02     57.65      7.70     22.87 
    63       47.01      0.87062  -1.62937   1.50744   1.17173        71.24     45.23     36.12      3.28     11.72     76.41     67.71     59.83     82.35     16.20 
    64       47.68      0.62302  -1.38476   0.92467   0.67007        86.24     65.99     45.42     13.65      0.67     63.94     55.28     59.29     45.79     40.59 
    65       47.49      0.56271  -0.76026   0.46822   1.50333        68.02     44.25     39.86     10.85      9.56     71.68     63.59     58.47     86.35     22.23 
    66       40.23      0.36804  -1.34616   0.50849   1.60288        75.92     54.75     42.74     10.85      3.83     67.76     16.06     57.88     54.88     17.64 
    67       32.67      0.38738  -1.53301  -0.27119   1.67225        69.26     53.45     42.04      7.87     -2.06     60.05     14.54     52.32      3.80     25.43 
    68       32.29      0.25069  -2.20364   1.20897   0.97225        82.76     58.43     46.76     12.43     -1.17     57.83      5.06     57.48    -31.00     34.28 
    69       32.15      0.18816  -1.92854   1.07260   1.88750        69.52     48.60     34.56      7.92      1.22     56.90     15.60     57.50     17.74     11.91 
    70       35.52      0.61110  -2.01808   0.56476   2.44577        61.98     38.13     25.88      2.19      8.94     72.06     33.27     57.89     47.84      6.98 
    71       22.58      0.27134  -2.13981   0.00887   0.83384        80.18     42.56     58.94     -2.96    -19.67     34.77     -1.34     46.89    -22.50      8.90 
    72       44.61      0.35581  -1.10518   1.08796   1.86334        68.88     40.99     35.04      9.28     -4.00     69.91     67.29     58.94     81.80     17.94 
    73       47.43      0.53211  -0.90379   0.52698   1.58374        75.72     43.88     37.04     10.91      3.00     71.76     66.46     57.01     88.57     20.00 
    74       47.31      0.43758  -0.63257   1.09118   1.29604        73.48     49.55     44.90      7.87     -4.33     75.10     63.86     58.26     87.93     16.53 
    75       46.24      0.46834  -0.72320   0.86016   1.69589        69.98     40.32     34.58      6.99      9.33     79.30     61.53     58.72     89.16     12.51 
    76       47.48      0.28736  -0.23396   0.71093   1.00492        78.84     52.53     52.56      7.55     -5.17     58.64     65.55     57.39     90.21     16.73 
    77       46.34      0.41325   0.34733   0.80999   0.92270        79.48     48.36     53.22      5.49     -4.39     68.03     57.03     58.01     84.57     13.56 
    78       47.63      0.30716  -0.01267   0.28429   0.95342        80.32     56.00     52.80      9.81      8.83     42.19     59.39     57.07     89.10     20.83 
    79       46.81      0.25001  -0.02079   0.31562   0.90421        79.12     59.13     53.54      6.61      3.22     35.48     62.34     56.19     91.11     21.36 
    80       44.75      0.43363   0.26128   0.77619   1.32245        79.32     45.36     37.04     11.49      6.61     68.71     53.16     57.98     76.35     11.43 
    81       46.23      0.27181   0.14570   0.00007   1.28304        75.18     48.91     55.16      4.83     10.89     45.25     62.70     54.84     89.10     15.45 
    82       49.21      0.31439  -0.01641   0.17372   0.71748        77.28     65.68     59.20      8.56      5.22     44.15     60.97     54.90     89.69     26.46 
    83       47.23      0.31538   0.27989  -0.13048   0.89741        76.00     56.05     52.66      9.20      2.06     49.66     61.33     53.98     90.22     21.12 
    84       47.28      0.22094   0.15311  -0.01330   0.93239        75.70     56.12     56.90     12.72      1.56     38.33     62.60     53.12     89.07     26.67 
    85       48.09      0.24053  -0.20939   0.44796   0.94608        78.14     56.28     51.76     13.07     12.78     42.33     62.56     56.10     86.75     21.12 
    86       46.47      0.23434  -0.49355   0.66873   0.82873        73.90     62.05     55.40     11.15     -5.44     38.13     59.35     55.98     86.12     28.04 
    87       48.27      0.31738  -0.42112   0.37327   0.83147        79.82     62.33     57.44      5.01    -10.22     52.76     60.55     56.06     88.74     30.18 
    88       50.17      0.39547  -0.22970   0.47805   0.70311        79.20     62.35     56.44      9.25      4.00     55.25     63.06     59.79     89.87     22.49 
    89       52.18      0.42428  -0.47556   0.24851   0.43150        83.78     70.59     68.86     17.81     -2.50     43.32     44.92     54.60     88.66     51.76 
    90       50.60      0.45491  -0.16614   0.39209   0.44209        82.40     70.24     66.14     15.97     -4.22     44.75     58.94     57.60     87.71     26.48 
    91       52.36      0.42191  -0.51685   0.27439   0.17329        76.32     77.69     72.24     23.44     -0.94     27.88     43.21     52.31     88.70     62.75 
    92       52.08      0.41574  -0.49583   0.22525   0.19128        72.36     82.79     73.20     33.71      2.67     18.09     36.93     50.50     86.75     63.78 
    93       51.81      0.42516  -0.51927   0.20255   0.21829        84.02     79.68     75.00     20.75     -2.61     22.51     41.37     50.52     85.63     61.24 
    94       51.60      0.43420  -0.52412   0.16362   0.21131        85.64     74.31     69.40     21.15     -2.72     28.73     46.18     47.35     84.61     61.40 
    95       50.89      0.44182  -0.51720   0.11916   0.19461        75.08     82.79     78.12     17.73      0.78     21.24     43.65     48.65     87.17     53.70 
    96       52.33      0.42782  -0.48444   0.16411   0.25077        78.78     76.75     70.42     18.91     11.00     24.64     38.46     52.24     87.90     64.17 
    97       51.76      0.42250  -0.52712   0.18208   0.20844        78.16     78.69     76.00     22.67      6.11     22.31     37.44     50.19     86.07     59.96 
    98       52.79      0.43771  -0.44488   0.18007   0.29854        88.04     78.23     69.12     19.84      2.61     22.08     45.69     54.30     86.63     61.40 
    99       51.39      0.44693  -0.46960   0.13642   0.25114        76.64     75.87     72.30     20.75     -1.83     17.91     44.22     53.75     87.59     66.75 
   100       54.22      0.45234  -0.44390   0.17210   0.24912        86.06     77.57     79.86     17.31     -3.06     32.58     49.10     53.24     88.95     60.59 
   101       51.60      0.45807  -0.46962   0.19868   0.27731        80.24     72.47     73.14     21.41     -6.00     30.79     45.91     53.12     87.08     57.83 
   102       49.46      0.45234  -0.44390   0.17210   0.24912        72.32     77.95     71.86      4.77      1.17     25.95     44.35     51.17     86.96     58.09 
   103       41.32      0.09598   1.86270   1.47835   0.50823        77.34     45.32     56.42      2.72      7.44     43.56     52.73     59.62     61.17      6.87 
   104       35.09      0.60156   2.27935  -1.01343   2.50180        62.12     31.32     37.02      8.64     -4.44     73.32     31.84     58.52     43.83      8.70 
   105       -5.43      0.02425   0.12499  -3.26758   0.29498        27.74    -10.48      5.76     -0.27    -58.67     -2.41     -3.33     12.29    -39.81     14.85 
   106       28.67      0.77690   3.72915  -1.44615   4.53148        46.94     22.13     17.84     11.44      4.22     64.74     25.30     56.47     31.32      6.27 
   107       28.15      0.49258   2.64647  -3.15538   4.55897        53.48     21.79     17.62      5.09    -16.44     64.41     32.69     55.94     37.50      9.43 
   108       23.15      0.00670   4.04871  -4.55126   2.49029        47.50     35.33     28.76      6.64    -68.33     34.50     40.41     45.64     44.72     16.33 
   109       22.43      0.19411   3.92401  -4.30339   3.00049        55.18     30.64     29.46      3.76    -56.33     40.02     34.22     35.29     40.74     11.31 
   110       31.67      0.44118   4.65403  -2.46316   3.17720        58.88     26.12     30.30      8.69      0.61     67.36     28.43     55.68     34.06      6.58 
   111       26.08      1.17242   3.66554  -3.27119   4.62411        43.28     18.29     19.76      7.49     -7.06     61.15     22.57     55.25     31.42      8.59 
   112       37.77      1.11552   3.48118  -1.59051   1.00375        77.78     34.21     44.06     11.41     -1.61     72.77     27.87     58.69     44.70      7.86 
   113       32.76      1.08707   3.33020  -3.36807   2.20372        67.08     28.32     36.02      6.77    -28.50     74.93     31.26     58.85     42.61     10.24 
   114       38.83      1.61815   4.03498  -1.85355  -1.16840        88.46     51.77     73.24     19.79      7.44     -0.43     31.77     55.98     52.63      7.60 
   115       36.95      2.09623   4.95594   0.01080  -3.01267        87.20     59.92     67.32     18.35      9.72     -6.78     29.68     45.53     52.48      6.07 
   116       39.71      2.26966   3.98562   0.14516  -4.53992        94.00     71.60     72.28     31.87      9.67     -7.98     20.78     20.42     75.17      9.28 
   117       36.54      2.67756   4.71825   0.26926  -3.50662        88.00     55.75     73.42     15.39     -2.72     -5.60     28.45     54.32     49.67      8.73 
   118       34.13      2.62445   3.64890   1.91652  -3.64554        83.32     55.84     65.90      8.21     -6.39     -9.39     26.87     56.03     55.94      4.99 
   119       40.13      2.54266   1.73807   2.79986  -4.15182        83.58     68.20     71.62     19.39      1.50     -7.03     22.71     51.23     81.11      9.02 
   120       37.14      2.46985   3.38569   2.37337  -2.97484        85.56     51.37     63.58      7.60      8.61      7.37     28.86     58.26     54.16      6.02 
   121       37.03      2.07732   3.67392   3.03759  -4.68588        90.02     65.64     73.06     17.36      2.06     -6.97     19.33     37.34     69.04      3.40 
   122       34.73      2.02327   4.34294   3.08819  -4.19009        89.50     60.84     68.56     14.51    -11.67     -9.16     25.54     47.59     57.07      4.54 
   123       37.90      1.66835   4.15800   2.98905  -3.86550        92.36     63.81     72.16     22.27      0.78     -5.88     25.51     44.37     60.17      3.46 
   124       34.27      1.61070   3.95065   4.42864  -3.30743        88.60     56.91     64.58      1.71     -4.67     -9.60     31.62     57.12     51.22      5.23 
   125       41.19      1.29177   2.26757   3.76672  -3.28971        91.84     70.72     67.30     24.75     10.61     -8.91     27.71     43.16     79.73      4.98 
   126       41.24      1.29546   1.50467   4.61847  -2.85129        86.02     70.83     67.54     14.00      8.56     -4.13     27.02     56.80     80.49      5.28 
   127       41.59      1.45312   1.64038   3.15076  -4.38884        93.26     80.36     70.60     29.71      2.78     -6.49     24.52     20.69     90.90      9.61 
   128       39.46      0.96127   3.45599   2.11872  -2.86652        92.38     67.65     69.34     30.69      0.67     -0.80     30.99     26.17     71.56      5.90 
   129       40.58      0.79613   3.04903   1.01556  -1.72031        84.14     70.49     78.30     15.15      8.06     -3.65     39.60     35.59     70.21      7.89 
   130       39.20      0.53936   3.81179  -0.02197  -2.17029        66.56     79.05     61.46     35.09     14.39      0.61     34.21     17.90     74.91      7.79 
   131       37.62      0.51478   3.40131  -0.85175  -1.43387        49.68     80.29     57.68     30.03     13.72     -0.57     39.75     15.71     78.77     11.17 
   132       38.50      0.83105   4.05218   0.76898  -0.29611        89.46     43.00     66.34      2.51     -1.17     39.10     34.95     61.67     43.71      5.42 
   133       38.94      0.97438   3.41429   1.59342  -0.70780        93.12     49.83     63.34      2.64      0.56     32.11     36.18     59.57     48.98      3.07 
   134       36.32      0.65671   2.70855   1.95205   0.51316        78.52     35.65     38.04      2.05    -10.44     71.87     36.35     58.64     46.66      5.85 
   135       42.50      0.25766   1.37517   3.42201   0.47946        82.62     41.04     44.50      5.79      8.33     71.58     45.40     61.05     58.89      5.81 
   136       45.66      0.48785   0.39441   4.49358  -1.04384        93.70     74.25     67.36     11.84     -5.28     12.36     46.88     60.93     88.33      6.22 
   137       46.79      0.07489   0.09170   4.95165   0.27948        86.50     53.13     45.28     10.53      7.50     67.65     58.02     59.70     74.72      4.82 
   138       42.29      0.07966   0.72775   3.35736  -1.38657        76.22     86.47     76.58     31.87      7.44     -2.74     21.28     29.04     90.16      6.61 
