constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       44.12     10.00000   1.00000        76.20     34.93     48.20     21.07    -10.56     76.50     38.25     72.76     73.56     10.25 
     2       53.32     18.80604  924.78495        73.40     42.27     63.20     14.93     15.56     79.00     55.16     78.15     86.21     25.37 
     3       57.31     35.57585  1072.73212        83.00     68.67     87.80     -3.73    -14.44     85.50     75.63     79.45     80.77     30.43 
     4       56.77     17.85265  454.66818        81.80     42.80     80.20     15.73     23.89     86.40     44.13     78.04     91.16     23.58 
     5       53.19     19.89047  1152.46183        93.80     37.20     65.80      3.73     10.56     68.00     51.51     77.56     93.51     30.25 
     6       57.48     38.17482  768.09127        93.20     62.93     81.00      2.93     -0.00     65.10     74.60     73.89     94.33     26.85 
     7       31.82      4.78350  1345.35387        56.80     35.33     33.20     -3.47      2.78     70.20     24.05     57.49     42.09     -0.31 
     8       61.61     62.00633  423.00590        70.60     59.60     81.40     46.13     21.67     85.40     58.97     73.09     87.03     32.22 
     9       56.68     45.46946  391.33137        93.40     70.67     61.80     12.80    -11.11     71.00     65.00     78.95     89.71     34.57 
    10       60.29     47.84602  50.28648        84.80     70.00     67.20     18.93     30.00     69.40     56.27     81.13     91.34     33.83 
    11       50.80     18.53671  621.31360        77.60     42.93     69.60     15.47    -25.00     73.60     56.11     78.58     91.25     27.84 
