constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       50.48     10.00000   1.00000        94.80     32.53     75.40      8.53     13.89     90.40     33.97     78.65     64.81     11.85 
     2       51.94     41.33645  870.44058        75.60     65.20     71.80     -6.13      2.78     48.60     64.13     74.15     90.43     32.84 
     3       59.04     79.61127  629.74228        84.20     69.33     70.00     27.73     52.22     51.20     48.65     62.36     89.61     35.12 
     4       57.90     54.25636  841.06826        96.40     66.67     77.20     25.33     -2.22     64.90     63.25     67.05     86.44     33.95 
     5       42.17      9.16724  1833.49734        85.40     34.93     51.80      6.67    -28.89     77.50     36.03     71.38     71.79     15.12 
     6       57.62     83.56247  1047.08576        91.20     61.87     67.00     37.07      7.22     60.50     47.62     67.49     94.29     41.91 
     7       54.72     108.85745  642.22574        96.80     74.53     70.60     21.07      8.33     36.40     51.67     65.78     88.89     33.09 
     8       56.00     55.06450  1116.01804        91.20     65.20     65.40     18.13      6.67     55.10     57.94     74.80     91.88     33.64 
     9       57.13     81.00080  287.22414        96.20     84.67     75.00     22.67     -3.89     57.50     60.95     64.11     91.16     22.90 
    10       53.63     59.62358  510.76331        89.40     77.33     60.00     12.27     -2.22     60.70     65.48     61.75     86.39     25.19 
    11       59.24     53.87618  955.99718       100.20     71.47     73.00     31.73     -5.00     65.80     60.48     76.76     86.26     31.67 
    12       55.12     31.71991  541.60138        99.00     73.20     61.80     10.13    -20.00     74.80     75.95     62.69     85.08     28.58 
    13       47.60     74.02848  764.90859        76.20     67.87     62.40      7.73    -13.89     39.60     58.49     64.73     76.55     36.30 
    14       54.40     69.84473  320.41603        91.40     78.13     60.00     16.80    -17.22     72.60     57.54     72.04     85.85     26.85 
    15       57.31     56.19871  2002.97357        95.20     68.53     74.20     12.27     -0.00     67.30     62.22     70.80     95.56     26.98 
    16       57.43     46.08303  2960.13465        80.40     71.20     80.40     14.13      3.89     75.00     54.68     74.62     90.11     29.81 
    17       55.56     38.80427  3193.81285        78.80     66.93     78.60     11.73      8.33     70.90     46.27     73.20     89.57     31.30 
    18       41.83     10.11102  4240.40221        63.00     27.20     48.00     23.47     -3.33     58.20     42.06     77.42     68.07     14.26 
    19       55.79     50.34583  3331.30707        93.60     72.93     61.80     -6.13     14.44     80.60     51.51     69.02     85.53     34.63 
    20       53.93     39.74273  4413.03411        92.80     57.20     74.40      3.47      6.67     58.20     51.90     77.56     87.76     29.32 
    21       55.74     47.90772  2541.11266        72.40     77.87     56.20     18.13      4.44     74.80     62.06     68.98     89.57     32.90 
    22       54.76     31.36622  3106.97990        92.60     66.27     69.60      5.87     -3.89     71.00     59.13     74.65     83.54     28.83 
    23       59.31     37.68991  2137.64590        64.40     85.60     85.20     11.73      6.11     80.80     63.41     73.75     87.30     34.81 
    24       38.61      1.71046  2949.13891        80.60     17.87     72.40      4.00      0.56     74.50     29.52     58.76     36.64     11.30 
    25       58.07     59.27785  2228.06479        91.20     66.53     86.20     17.33     -5.00     62.50     64.84     77.09     91.88     28.15 
    26       58.98     50.42256  2186.55200        85.00     65.20     65.80     26.40     14.44     69.90     59.13     74.98     89.71     39.20 
    27       51.50     57.96534  2727.05547        90.00     63.07     49.20     17.87    -32.22     83.20     60.79     71.24     88.39     23.52 
    28       56.05     84.69977  1228.40399        97.40     76.00     86.60     14.67     -2.78     54.40     48.97     66.55     95.15     23.52 
    29       61.23     64.20198  2760.12093        97.40     61.33     75.60     30.40     24.44     67.30     66.83     66.36     93.47     29.20 
    30       50.35     95.98670  2733.27992        91.80     76.67     64.60     17.33     -0.00     35.80     52.46     64.73     79.46     20.68 
    31       50.50     65.27866  1902.38902        93.20     79.87     71.40     14.40    -31.11     49.60     50.56     57.64     98.73     20.68 
    32       49.25     97.25441  2753.93897        73.20     74.80     83.80     18.67    -22.22     36.20     57.14     58.80     85.90     26.23 
    33       56.05     61.76004  3012.12326        95.40     72.27     66.60     29.33     -1.67     60.10     53.65     74.15     86.30     24.32 
    34       59.65     45.61993  2806.58829        80.80     63.33     72.40      8.27     53.89     71.00     57.54     71.02     92.34     25.93 
    35       58.85     68.95911  2479.74137        87.00     59.47     68.80      9.07     45.00     66.60     61.43     67.64     93.56     29.94 
    36       48.12     90.93566  2813.92531        78.20     63.07     77.40     20.80    -31.67     34.20     53.65     60.40     90.39     34.75 
    37       56.40     39.89907  2858.52178        75.00     58.00     83.80      5.87     25.56     71.80     48.89     73.96     94.24     26.85 
    38       57.27     100.52427  1842.67932        68.20     86.93     74.60     26.40     14.44     59.30     62.38     61.64     89.21     29.57 
    39       53.87     56.44615  1670.40024        89.40     74.80     70.80     16.27      1.67     56.60     60.71     66.98     82.77     18.70 
    40       61.34     55.10074  2073.35273        93.00     74.40     78.80     24.27      1.11     67.10     70.32     65.67    100.68     38.09 
    41       53.11     87.94547  1682.63037       103.40     62.53     80.20     15.20     -7.22     54.30     48.65     59.49     84.13     30.43 
    42       50.46     42.62585  1541.06913        65.00     77.33     61.00    -12.53    -16.11     64.20     63.89     73.75     92.47     35.56 
    43       54.45     74.79179  2400.96731        85.60     71.60     87.80     34.13     -1.67     48.10     47.62     58.98     82.54     29.75 
    44       54.39     53.30142  2597.58986        98.80     63.33     71.20     -6.13      7.78     70.30     57.54     70.84     80.09     30.12 
    45       54.78     57.88930  1422.59032        88.20     64.67     72.80      3.20     -5.56     68.90     63.97     63.02     89.02     39.57 
    46       52.42     79.91050  1485.97431        67.40     71.73     77.00     17.33      5.56     47.20     58.49     59.89     92.70     26.91 
    47       50.59     68.50181  1690.70081        79.80     75.20     74.00     14.67      0.00     42.60     46.59     64.62     88.66     19.81 
    48       54.39     65.56663  2433.16510       103.60     78.67     65.40      9.87    -12.22     60.10     64.60     62.73     83.08     28.02 
    49       56.03     78.59641  2478.96209        76.60     79.87     85.60     28.27      3.33     44.80     54.44     66.40     93.51     27.47 
    50       58.29     61.36385  2606.93237        91.60     58.80     79.00     34.13      4.44     59.00     62.54     67.93     91.29     34.14 
    51       54.87     70.46499  2553.09991        80.60     84.13     69.80     -2.13     18.33     43.20     58.02     69.82     89.80     37.10 
    52       55.88     54.47194  2393.64882       102.20     62.00     70.60     16.80    -13.89     74.50     58.25     67.31     87.98     33.02 
    53       58.96     72.83534  2144.98875        72.40     69.60     87.80     12.80     -1.11     70.60     61.43     78.58    100.68     36.85 
    54       60.80     52.03937  2021.89423        76.20     76.27     84.80     25.60     37.78     66.00     54.05     66.76     89.02     31.48 
    55       55.70     51.37602  2407.19710        99.60     63.33     58.00     -1.60      7.78     65.10     63.65     77.45     90.43     33.27 
    56       56.82     61.97295  2295.91890        89.40     76.13     64.40      1.60     15.56     73.90     54.21     76.04     89.12     27.90 
    57       58.74     37.76380  2284.57464        68.80     62.27     87.80     -2.13     28.33     72.50     58.97     77.05     94.88     38.95 
    58       56.00     69.28013  2482.18008        81.40     70.40     80.40     13.07     -3.89     59.60     65.71     67.49     88.57     37.22 
    59       60.31     42.55371  2598.02389       107.40     60.40     65.40     10.40      9.44     87.60     63.33     65.31     91.56     42.22 
    60       53.17     68.93958  2308.78567        78.80     71.60     57.20     30.93    -33.33     64.00     56.03     72.44     88.93     45.06 
    61       49.45     62.20420  1719.95364        54.00     72.13     75.00      1.07      4.44     33.60     72.30     68.18     88.57     25.19 
