constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       49.02     10.00000   1.00000        86.20     61.87     54.80      4.27    -16.11     56.30     48.73     85.89     87.21     21.05 
     2       56.23      8.00632  786.51992        92.40     80.93     56.20     -6.40     21.67     74.90     50.40     74.87     88.48     28.89 
     3       58.79     27.76410  1148.25972        83.40     77.20     63.00     14.13     16.67     74.30     62.62     79.31     87.62     29.63 
     4       54.02     57.83472  1641.36927        99.80     60.67     75.80      4.53    -12.78     56.10     54.44     79.75     87.53     34.32 
     5       56.27     17.09423  2311.17242        78.60     74.13     69.40     21.07     20.56     58.20     49.44     80.07     91.70     19.51 
     6       56.91     64.39083  1194.81364       106.00     59.07     79.00     31.73    -18.33     66.10     44.21     74.62     89.75     36.91 
     7       52.62     34.07843  466.64414        90.60     71.07     69.20     11.73     -3.33     48.40     51.90     72.87     84.76     28.95 
     8       57.32     23.02863  1345.03030        96.80     78.40     67.00     29.07      3.33     66.30     48.41     75.38     88.21     20.31 
     9       55.59     45.22155  163.99861        77.20     65.73     67.20     20.53     25.56     61.60     49.84     79.71     83.76     24.75 
    10       56.91     16.49547  1322.23478        98.00     81.20     62.40     -1.07     15.56     73.30     52.70     79.49     88.48     19.01 
    11       56.63     63.34481  2316.80930        84.00     74.13     73.40     34.93     -3.89     57.20     49.37     68.62     88.03     40.49 
    12       52.73     75.85804  3103.05502        74.40     76.80     73.60      4.53     -2.22     60.80     47.38     73.35     80.41     38.27 
    13       49.54     73.05608  2959.73826        97.20     54.93     80.20      3.47    -36.11     47.10     66.75     70.87     84.72     26.23 
    14       54.98     87.73598  2230.46595        93.80     71.47     91.80      9.60    -23.33     56.80     46.67     77.09     89.30     36.60 
    15       50.99     86.47932  3326.13839        91.80     68.93     69.60     30.67    -25.00     52.50     39.29     72.69     86.26     23.15 
    16       53.85     107.17978  2924.50285        68.80     75.60     77.20     26.67     -0.00     41.10     57.38     72.04     90.25     29.44 
    17       60.20     46.76689  2836.38427        81.40     74.13     72.40     29.60     11.11     79.20     51.83     77.64     95.15     29.51 
    18       60.87     34.05303  2472.10866        95.80     78.27     66.80     26.13      8.33     73.30     51.67     83.02     94.69     30.68 
    19       55.09     15.25141  1550.09945        82.60     73.20     65.60     17.33     -7.78     59.30     70.63     83.42     82.95     23.64 
    20       56.41     24.23822  2993.78409        84.60     76.13     83.20     11.73     -6.67     68.00     52.14     83.09     85.12     26.73 
    21       55.96     13.64135  2716.83460        92.40     92.27     53.00     38.93     -0.56     45.60     44.76     82.55     89.12     21.54 
    22       51.55     51.21147  3329.48832        80.60     77.07     69.80      7.20    -25.00     71.40     44.76     76.40     87.57     25.74 
    23       48.59     14.16201  2935.59338        59.60     76.00     61.20      4.27    -18.89     68.40     46.11     79.56     87.89     21.73 
    24       56.23     67.19956  2044.41672       105.80     75.07     69.60     17.07     -2.78     57.60     54.05     66.47     90.66     28.77 
    25       52.98     82.13314  1166.50650        95.20     75.07     64.80     21.33    -14.44     48.60     51.35     78.55     82.04     27.28 
    26       52.09     95.92138  2118.42421        75.00     70.53     72.80     -2.13      2.22     60.80     54.44     70.40     85.03     31.79 
    27       55.48     82.26006  2378.46666        99.40     60.53     52.80     18.93     -2.22     64.20     65.24     70.80     89.16     35.93 
    28       50.31     117.56267  2815.83315        90.80     69.47     81.20     28.80    -26.11     28.80     52.94     70.11     82.54     24.57 
    29       50.21     156.41187  2628.27581       101.20     58.67     58.80     -4.80     16.11     28.70     56.35     65.96     86.26     34.88 
    30       51.28     157.89487  3249.20425        79.20     75.87     62.20     36.80    -12.78     45.10     44.05     71.35     78.91     32.10 
    31       53.14     156.72253  4184.74996       107.80     67.73     81.60      0.53     -0.56     33.10     56.03     69.42     85.35     30.43 
    32       53.86     152.28573  3831.33022        86.20     73.73     64.20     11.73     15.56     39.80     71.43     62.55     84.49     28.95 
    33       51.53     126.09052  3607.44100        99.80     73.60     69.20     10.13    -26.67     37.70     68.41     64.73     83.08     35.31 
    34       57.17     97.59455  3074.90323        98.60     74.80     80.80     24.53      2.78     54.90     53.02     68.87     81.18     32.22 
    35       55.40     109.41380  3749.77867        82.80     78.27     80.40     11.47     -9.44     51.80     61.35     64.40     96.28     36.73 
    36       52.75     113.19705  2261.04015        88.80     67.87     64.60     12.27     20.00     38.40     50.16     72.62     86.85     25.93 
    37       54.14     146.23352  2772.78737        93.00     79.73     70.20     13.87     -6.11     48.90     49.29     67.75     83.99     40.80 
    38       56.03     134.21933  2901.85091        97.40     67.73     95.20     24.53    -25.56     52.80     53.57     65.64     95.96     33.02 
    39       47.48     138.70223  2495.24402        88.20     79.60     81.00    -21.60    -18.89     28.60     51.35     71.45     87.39     27.72 
    40       56.02     161.57089  3508.92089        92.20     73.60     79.40     26.40     31.11     15.40     58.17     65.49     91.79     26.67 
    41       50.02     182.81835  3526.00003        86.60     84.93     55.40     -4.27    -12.22     36.00     65.79     61.56     90.57     35.80 
    42       48.65     183.52563  3923.06376        97.60     58.53     64.60     -6.93     18.89     35.00     52.54     57.71     85.99     22.53 
    43       51.11     165.00671  3842.52146        92.00     71.07     56.60     29.87    -10.00     38.60     43.57     57.67     89.98     41.73 
    44       54.70     156.58678  3112.56719        85.00     59.73     62.80     36.00     -7.22     66.50     59.76     62.98     87.48     33.95 
