constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0], [200.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       45.44     10.00000        71.20     29.87     84.00      9.07     -3.89     65.90     38.81     65.75     77.14     16.54 
     2       44.81     14.19652        76.60     46.53     76.80    -10.13     -8.33     64.00     39.21     72.69     76.05     14.69 
     3       53.97     43.67597        98.00     75.87     53.40      0.80     -6.67     67.40     50.00     81.82     86.21     32.84 
     4       58.96     45.79845        86.00     65.33     76.40     21.60     27.78     57.00     67.30     75.89     91.47     20.86 
     5       51.14     18.44133        79.80     66.40     67.20      7.73    -39.44     78.70     51.27     75.53     93.38     30.80 
     6       55.61     75.64159        76.00     62.67     67.20     18.93     -2.78     76.90     55.95     73.02     87.98     40.25 
     7       57.23     64.27136        93.20     63.20     72.80     30.93      6.67     59.00     55.00     77.09     85.44     28.95 
     8       56.93     69.90229        81.20     72.00     76.40     23.73     16.11     45.20     55.95     69.93     96.51     32.28 
     9       62.65     51.25172       102.00     63.60     68.80     33.33     22.78     74.60     62.22     73.24     92.61     33.33 
    10       54.12     85.65487       104.20     68.13     63.00     18.67    -12.78     49.30     54.76     78.95     86.53     30.43 
    11       55.76     104.24451        71.80     79.07     87.80      4.27     18.89     54.10     54.13     70.91     81.41     35.25 
    12       55.29     102.25363        90.00     70.00     77.20      6.13     27.78     43.90     58.49     71.05     79.50     28.89 
    13       59.60     118.40117       102.20     70.67     73.80     33.07     20.00     57.90     51.11     65.27     86.49     35.49 
    14       51.80     144.56239        55.00     75.33     78.60     -4.27     38.33     45.00     47.30     58.58     90.52     33.58 
    15       48.85     145.50633        77.80     57.33     64.00     20.00     -5.00     22.90     65.48     64.65     90.57     30.74 
    16       51.75     82.88563        89.20     82.13     58.40     11.73    -14.44     64.30     50.71     65.85     81.13     28.52 
    17       56.67     41.70678        96.60     64.53     73.60     22.40    -11.11     62.80     59.60     86.07     80.36     31.79 
    18       60.62     37.11761        90.20     68.13     73.60     18.93     18.33     82.30     53.73     80.07     90.25     30.68 
    19       54.59     70.34180        98.20     79.73     72.80      7.20    -27.22     55.20     64.60     77.85     85.80     31.73 
