constructTestCases(): generating 37 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.3, -0.5, -0.5, 0.3, -0.5, -0.5], [2.3, 0.5, 0.5, 2.3, 0.5, 0.5], [0.1, 0.1, 0.1, 0.1, 0.1, 0.1], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 6 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Linear  
MABsolver_config: params: numInputs:  2  2  
MABsolver_config: params: weights:  [  1.300000  0.000000  0.000000  ]  [  0.800000  0.000000  0.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p01w00    p01w01    p01w02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       50.68      1.30000   0.00000   0.00000   0.80000   0.00000   0.00000        95.60     80.00     60.00      9.33     -3.89     34.80     50.71     62.87     90.79     26.60 
     2       46.60      1.70000   0.20000  -0.10000   0.40000  -0.10000  -0.10000        96.00     70.53     77.40     10.67     -6.11      4.00     42.46     63.71     89.02     18.33 
     3       49.79      1.00000  -0.10000   0.00000   0.80000   0.00000   0.00000        84.60     82.27     68.00      6.93      8.89     28.20     45.32     56.84     87.30     29.51 
     4       52.24      1.10000  -0.30000   0.10000   1.20000   0.20000  -0.20000        90.00     65.60     45.80     31.47     -3.33     67.50     52.38     58.04     93.51     21.48 
     5       51.55      1.40000  -0.40000   0.10000   1.60000   0.30000  -0.40000        95.00     52.40     59.40     11.73     27.78     69.60     37.86     61.49     87.30     12.90 
     6       45.67      1.30000  -0.40000   0.10000   1.70000   0.10000  -0.30000        84.20     48.67     60.00     -8.80      0.56     59.20     45.08     57.31     85.53     25.00 
     7       50.63      1.10000  -0.40000   0.20000   1.50000   0.10000  -0.50000        68.60     70.67     68.60     13.60    -27.78     72.00     57.14     63.38     87.48     32.59 
     8       48.00      1.50000  -0.20000   0.20000   1.60000   0.20000  -0.30000        70.20     32.93     60.00    -10.13     42.22     66.30     51.03     64.62     93.11      9.75 
     9       47.63      1.20000  -0.40000   0.30000   1.70000   0.00000  -0.30000        80.40     55.87     42.00      1.33     -8.33     68.30     65.48     61.42     89.93     19.94 
    10       46.73      1.30000  -0.50000   0.10000   1.60000  -0.10000  -0.30000        89.40     54.13     44.20      4.80    -13.89     61.10     60.71     62.04     84.72     20.12 
    11       50.15      0.80000  -0.40000   0.50000   1.60000   0.20000  -0.10000        82.00     53.07     59.40     -0.53      8.33     77.90     63.81     55.05     84.44     18.02 
    12       46.22      1.20000  -0.20000   0.30000   1.30000   0.30000  -0.10000        93.80     54.00     56.20     -1.07    -49.44     65.10     60.16     62.07    103.27     18.15 
    13       50.02      0.90000   0.00000   0.20000   1.00000   0.10000   0.10000        77.80     71.87     65.80     12.00    -14.44     46.40     68.17     59.49     92.52     20.56 
    14       48.33      0.40000  -0.20000   0.40000   1.00000   0.30000   0.30000        74.40     62.13     47.40      1.60     13.33     47.20     73.49     56.29     84.31     23.15 
    15       44.28      0.60000  -0.30000   0.50000   1.00000   0.10000   0.30000        65.40     62.80     52.80     -4.00    -20.56     57.70     58.57     61.82     90.70     17.53 
    16       43.59      0.80000  -0.30000   0.40000   1.50000   0.10000   0.40000        88.60     52.93     39.80      4.80    -43.33     90.20     54.84     53.38     81.36     13.27 
    17       45.82      0.60000  -0.50000   0.30000   1.50000   0.10000   0.50000        81.20     35.33     52.60    -14.40     11.67     75.20     52.06     54.15     85.85     24.51 
    18       44.15      0.60000  -0.40000   0.30000   1.90000   0.00000   0.40000        67.20     31.47     46.60     16.80     -2.78     60.50     61.43     60.51     81.63     18.15 
    19       55.70      0.60000  -0.50000   0.40000   1.00000   0.00000   0.30000        87.40     68.27     58.00     13.33     -2.78     76.50     73.02     63.16     92.74     27.35 
    20       45.97      0.90000  -0.50000   0.40000   0.80000  -0.20000   0.40000        93.00     63.20     43.20     -4.27      1.11     42.40     43.33     56.04     85.90     35.74 
    21       45.60      0.60000  -0.40000   0.40000   1.40000  -0.20000   0.20000        69.00     53.33     50.20      0.27    -20.00     72.10     53.02     64.73     88.44     24.94 
    22       53.12      0.30000  -0.30000   0.50000   1.10000  -0.30000   0.10000        83.20     56.13     75.20     17.07      7.22     56.30     55.48     63.24     87.57     29.75 
    23       50.96      0.50000  -0.10000   0.40000   0.80000  -0.40000   0.10000        92.40     74.40     69.80      7.73     13.89     20.10     50.08     60.44     83.63     37.10 
    24       49.84      0.40000   0.00000   0.30000   0.90000  -0.40000   0.30000        66.00     61.07     49.00     20.53     11.67     61.30     48.25     55.71     87.44     37.47 
    25       54.34      0.80000   0.00000   0.10000   0.50000  -0.50000   0.40000        56.40     69.33     89.60     28.53     19.44     36.10     41.98     62.76     94.56     44.69 
    26       49.73      1.20000   0.20000   0.20000   0.50000  -0.50000   0.30000        90.00     78.13     62.40     60.53     -8.33     10.10     41.35     59.09     79.55     24.51 
    27       54.21      0.60000   0.20000   0.20000   1.00000  -0.30000   0.20000        92.00     76.13     78.80     20.80    -18.89     54.90     57.70     61.38     86.26     33.02 
    28       50.09      0.50000   0.00000   0.20000   1.20000  -0.50000   0.10000        74.80     73.73     62.80      6.67      6.11     45.90     53.65     61.45     89.07     26.67 
    29       46.96      0.90000   0.30000   0.30000   1.30000  -0.40000   0.30000        86.40     60.93     49.20      9.33    -12.22     63.90     51.19     58.76     82.77     19.32 
    30       47.06      0.50000   0.20000   0.00000   1.20000  -0.20000   0.10000        85.00     67.47     54.20     11.20    -21.11     60.90     50.16     57.05     83.67     22.10 
    31       51.82      1.00000   0.20000   0.20000   0.70000  -0.50000   0.30000        75.40     70.40     46.60     24.80     33.33     41.30     50.56     58.65     89.48     27.72 
    32       53.75      0.60000   0.20000   0.40000   0.30000  -0.30000   0.40000        99.80     81.33     74.20     29.33     48.89      4.50     30.16     47.82     90.25     31.17 
    33       53.86      1.00000   0.30000   0.40000   0.50000  -0.40000   0.30000        93.80     85.07     64.20     11.20     31.67     39.60     44.13     52.73     92.02     24.20 
    34       51.91      0.90000   0.10000   0.30000   0.80000  -0.50000   0.50000        94.60     76.67     85.80      4.27    -26.11     62.50     43.57     58.04     90.98     28.83 
    35       45.09      0.50000   0.30000   0.30000   0.90000  -0.30000   0.50000        83.00     61.20     65.00      1.60    -23.33     39.60     59.29     54.73     89.30     20.56 
    36       54.41      1.30000   0.20000   0.40000   1.10000  -0.40000   0.30000        90.60     58.13     63.60     18.67     36.67     57.70     48.41     60.80     90.29     19.26 
    37       50.24      1.00000   0.00000   0.40000   1.60000  -0.20000   0.10000        84.00     50.00     47.00     11.20     18.89     77.90     48.89     61.45     89.84     13.27 
    38       52.29      1.70000   0.00000   0.50000   0.90000  -0.40000   0.10000        86.00     70.80     55.40      5.60     34.44     43.90     52.14     58.25     93.61     22.72 
    39       44.99      1.80000   0.10000   0.30000   0.90000  -0.50000   0.20000        80.60     64.00     59.80     21.60    -25.56     41.10     41.27     61.45     93.70     11.98 
    40       49.12      1.70000   0.10000   0.10000   1.00000  -0.50000   0.30000        82.40     54.13     52.80      0.00      3.89     76.90     54.13     63.05     82.63     21.23 
    41       50.06      1.80000   0.10000   0.10000   0.90000  -0.50000   0.40000        88.60     74.53     70.40      7.73     -6.11     52.40     40.71     54.62     90.02     27.65 
    42       49.61      1.50000   0.20000   0.00000   0.90000  -0.40000   0.50000        92.20     77.47     55.00     18.13     13.89     44.10     47.46     53.96     79.59     14.32 
    43       48.64      1.60000   0.10000   0.00000   1.20000  -0.50000   0.50000        82.00     72.40     41.60     -0.53      1.11     63.10     51.75     54.95     93.51     26.48 
    44       49.33      1.60000   0.00000  -0.10000   1.30000  -0.40000   0.30000        94.60     59.73     65.40     -2.13     -3.33     61.70     42.54     58.76     96.19     19.81 
    45       46.46      1.60000   0.10000   0.10000   1.40000  -0.30000   0.40000        78.00     52.27     45.80      2.40      8.33     69.70     36.83     63.38     88.84     19.01 
    46       50.68      1.60000   0.00000   0.30000   1.20000  -0.30000   0.40000        89.60     63.07     69.00      0.80     12.22     59.50     50.87     57.42     89.66     14.63 
    47       52.27      1.60000   0.00000   0.50000   1.30000  -0.10000   0.20000        97.20     61.07     69.80     18.13      5.56     63.70     44.29     64.73     82.95     15.31 
    48       49.20      1.20000  -0.10000   0.40000   1.40000  -0.10000   0.40000        89.80     60.53     43.40     -8.80     18.89     64.70     52.94     66.44     86.17     17.96 
    49       48.90      2.00000   0.10000   0.30000   1.20000  -0.10000   0.30000        82.00     66.13     52.00      8.53     15.56     55.20     49.60     61.64     88.53      9.81 
    50       41.46      1.80000  -0.10000   0.30000   1.50000   0.10000   0.50000        78.40     45.20     37.40      9.33    -18.89     65.50     48.81     58.80     82.54      7.47 
    51       45.69      1.50000   0.00000   0.40000   1.80000   0.30000   0.30000        73.60     43.87     42.20      5.07      5.00     74.90     47.78     61.20     85.85     17.41 
    52       43.41      1.40000   0.20000   0.20000   1.80000   0.20000   0.10000        74.20     31.87     49.80      0.80    -11.11     73.40     58.10     58.40     83.36     15.31 
    53       41.99      1.60000   0.10000   0.50000   2.00000   0.30000   0.10000        81.00     44.00     32.20     20.00    -15.56     68.40     41.11     61.49     74.65     12.59 
    54       42.60      2.00000   0.20000   0.40000   1.80000   0.30000   0.30000        68.00     36.00     21.80      3.47     47.78     56.40     43.33     63.38     72.88     12.96 
    55       45.63      2.30000   0.20000   0.50000   1.40000   0.40000   0.40000        94.20     50.80     49.80     22.93    -17.78     58.40     46.67     58.95     83.90      8.46 
    56       49.40      2.10000   0.10000   0.50000   1.20000   0.30000   0.30000        87.40     38.93     59.20     -0.53     40.56     76.00     41.35     59.13     88.34      3.58 
    57       43.86      1.80000   0.10000   0.40000   0.90000   0.10000   0.40000        79.80     60.53     50.40     18.13    -16.11     39.00     49.37     55.31     88.62     13.52 
    58       49.54      1.70000   0.20000   0.40000   1.30000   0.00000   0.50000        82.20     60.53     46.00     17.07     -3.89     65.60     46.67     59.75    102.54     18.89 
    59       45.57      1.90000   0.30000   0.30000   1.30000  -0.10000   0.30000        76.20     45.47     59.40     -0.27    -10.00     68.60     46.67     63.13     96.51     10.00 
    60       42.26      1.80000   0.20000   0.50000   1.60000  -0.20000   0.30000        92.20     46.27     55.60     -1.60    -22.22     53.20     39.29     63.31     85.35     11.23 
    61       52.37      1.80000   0.00000   0.40000   1.60000   0.00000   0.20000        90.60     44.93     57.80     18.67     32.22     73.50     46.43     53.53     93.88     12.10 
    62       43.43      2.00000   0.20000   0.20000   1.40000  -0.20000   0.20000        75.00     52.00     50.40     12.00    -16.67     56.30     35.87     63.42     92.74     13.27 
    63       42.22      1.70000   0.20000   0.40000   1.80000  -0.10000   0.40000        73.00     38.67     36.80      9.07     -0.56     62.50     45.87     63.05     86.67      7.16 
    64       42.64      1.80000  -0.10000   0.30000   1.90000   0.00000   0.20000        82.40     40.53     44.80    -10.40      3.89     63.80     42.46     61.56     83.49     13.89 
    65       46.41      2.00000   0.10000   0.50000   1.60000   0.20000   0.10000        69.40     48.80     46.00     15.47     16.11     61.00     46.19     65.53     89.52      6.11 
    66       51.41      2.10000  -0.10000   0.40000   1.30000   0.10000   0.00000        86.60     52.67     54.00      7.47     32.78     54.00     58.41     60.69     93.24     14.20 
    67       47.11      2.20000   0.00000   0.30000   1.60000   0.00000   0.00000        90.60     52.00     55.20    -10.13     13.33     60.20     49.37     60.33     87.71     12.47 
    68       49.07      2.30000   0.00000   0.10000   1.50000   0.00000  -0.10000        77.20     54.00     51.60     11.20     26.11     63.00     35.63     65.49     95.56     10.93 
    69       39.83      1.90000   0.10000   0.30000   1.90000   0.20000  -0.20000        85.00     40.13     32.00     -7.73    -20.56     63.10     41.35     58.15     91.16     15.68 
    70       43.03      2.00000  -0.10000  -0.10000   1.70000  -0.10000  -0.20000        75.40     53.73     51.20    -14.40      1.67     64.70     42.22     53.38     91.56     10.80 
    71       39.50      2.30000   0.10000   0.00000   1.70000  -0.20000   0.00000        74.80     37.73     35.00     -3.20    -10.00     67.30     35.32     58.18     92.93      6.91 
    72       48.54      2.00000  -0.10000  -0.30000   1.90000  -0.10000   0.00000        75.80     44.67     38.20     20.00     38.89     70.20     35.08     61.05     88.12     13.40 
    73       40.83      2.10000   0.00000  -0.20000   2.10000   0.10000   0.00000        59.80     45.47     42.20     10.93     -0.56     67.50     35.16     60.29     77.91      9.57 
    74       47.01      2.10000  -0.20000  -0.20000   1.80000  -0.20000  -0.20000        78.80     44.80     46.20    -10.67     20.56     73.90     39.13     64.44     93.51     19.44 
    75       40.52      2.20000  -0.10000  -0.10000   2.20000   0.00000   0.00000        68.00     33.73     44.40      8.27     -8.33     74.90     34.05     58.87     78.68     12.65 
