constructTestCases(): generating 38 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.1, 0.1], [5, 5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  2.000000  ]  [  0.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       46.38      2.00000   0.50000        85.80     72.93     56.60     21.07     -8.89     14.00     48.25     64.80     86.44     22.78 
     2       46.88      1.19281   1.50098        73.40     49.47     45.00     18.13      5.00     72.40     42.54     58.22     91.97     12.72 
     3       49.30      0.47698   1.64100        64.00     51.47     46.80     14.40     28.33     65.40     61.67     56.44     89.71     14.81 
     4       44.81      1.12687   2.41632        81.00     39.60     45.20      7.73     -7.22     64.40     57.38     61.38     76.92     21.67 
     5       52.10      0.16149   1.69846        72.00     62.27     52.40     -0.53     28.33     62.80     62.62     56.51     92.29     32.28 
     6       54.33      1.08582   0.90546        90.00     67.87     67.20      0.00     45.56     46.20     51.90     65.53     87.66     21.36 
     7       47.27      1.12990   1.88412        82.60     38.80     40.40     -0.00      8.33     77.80     52.46     65.05     88.89     18.33 
     8       50.83      0.41682   1.99941        77.80     44.67     47.40     13.33     30.00     78.70     68.73     58.40     78.19     11.05 
     9       46.79      1.62085   1.92407        74.40     40.40     49.40      4.53     22.78     72.60     51.83     56.58     78.68     16.67 
    10       42.99      1.86916   1.92861        70.00     42.53     37.80      6.40     -2.22     61.60     51.43     63.53     81.59     17.28 
    11       47.58      1.57195   2.10013        75.60     44.13     27.40     14.40     26.11     86.60     42.30     61.42     80.23     17.59 
    12       45.13      0.99611   2.46588        75.80     39.20     45.20      9.60      5.00     75.80     57.38     59.49     70.66     13.15 
    13       38.53      1.67471   2.99205        59.20     29.60     39.60     22.67    -11.11     79.90     46.27     54.44     65.40     -0.68 
    14       38.16      0.99883   2.42756        49.60     38.27     39.40      1.87      0.56     75.30     33.89     55.93     71.84     14.94 
    15       34.84      1.75010   3.00288        51.00     34.27     47.00      1.87    -21.11     73.20     28.97     61.13     62.18      9.88 
    16       40.24      2.46459   2.30748        63.60     44.67     40.80     10.93     -7.22     56.00     39.60     58.98     81.50     13.58 
    17       38.94      2.79634   1.75472        80.20     38.13     21.20     31.20    -32.78     55.90     31.98     69.64     86.08      7.84 
    18       47.08      1.74186   1.31826        90.00     37.60     54.20     13.33      8.33     60.40     44.92     57.49     92.65     11.85 
    19       50.51      1.07633   0.81297        78.00     66.27     85.20     10.67     -1.11     26.50     63.49     65.64     87.53     22.96 
    20       47.98      1.74552   0.45261        89.00     77.33     65.80     26.40      4.44      8.30     40.87     53.02     89.30     25.31 
    21       47.85      1.28080   1.29190        86.00     61.07     59.40      6.40    -21.67     69.60     49.37     61.49     83.49     23.33 
    22       45.71      1.56385   2.02425        61.00     48.00     42.20     15.73      2.78     73.70     63.49     61.42     82.27      6.54 
    23       34.60      1.39449   2.95913        81.00     32.13     39.80      0.00    -46.67     63.10     47.62     57.35     64.04      7.65 
    24       50.52      0.64079   1.72003        81.40     47.47     42.00     24.00     14.44     69.30     61.35     53.42     90.75     21.05 
    25       45.93      0.57344   1.54545        74.60     44.93     35.60     -2.93      5.00     65.60     65.00     57.82     91.34     22.35 
    26       47.03      0.90223   1.68983        85.60     40.67     46.60     21.60    -31.67     74.60     52.38     62.33    100.32     17.90 
    27       53.09      1.31866   1.15664        75.20     77.33     60.80     21.07     12.22     61.30     46.51     61.27     89.30     25.93 
    28       48.62      1.68650   1.96563        81.60     56.27     41.40     26.67      8.89     79.60     45.00     59.67     83.54      3.58 
    29       53.20      1.06751   0.49655        83.00     75.60     87.20     20.80     32.22     11.60     47.94     54.18     87.53     31.98 
    30       49.80      1.08184   1.00331        79.60     66.80     65.60     -9.60      6.11     67.20     53.97     63.42     79.86     25.06 
    31       44.54      0.16336   0.85004        70.80     68.53     58.40     -0.80    -19.44     38.20     49.13     44.95     89.98     45.68 
    32       38.99      0.27333   0.17975        22.40     99.87     61.80     16.27     28.33      3.10     15.40     21.71     81.50     39.51 
    33       53.47      0.74190   0.52343        72.20     79.73     74.80     27.47     27.78      7.40     46.27     51.96     93.42     53.70 
    34       50.12      0.60729   1.12582        89.40     70.40     62.60     -2.40    -11.11     67.60     59.84     49.35    101.18     14.32 
    35       54.66      0.79064   1.25869        87.80     48.80     60.80     23.20     13.33     73.80     68.81     64.15     83.22     22.72 
    36       48.77      1.16743   1.81591        88.00     43.60     36.00     25.33      9.44     81.10     50.48     60.47     87.85      5.43 
    37       46.01      0.41265   2.22689        74.20     50.13     43.40      2.93     22.22     72.50     56.03     55.75     74.47      8.46 
    38       50.44      1.16153   1.01393        86.80     57.33     67.80     22.93     -3.89     54.40     50.79     66.51     81.59     20.12 
    39       50.81      0.50305   1.64516        85.20     48.67     57.80      9.33     -0.00     80.70     60.79     60.69     91.20     13.70 
    40       46.54      0.77382   1.45338        77.20     55.07     51.00      0.00    -13.89     66.80     55.56     63.13     88.21     22.35 
