constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
     1       60.34     0.770000  2.000000  1.000000  50.000000        85.20     80.00     55.00     25.60     21.11     66.40     45.08     85.56     92.52     46.98 
     2       55.11     0.780000  2.050000  0.860000  40.000000        78.40     65.87     60.20     17.33     15.00     57.00     56.90     75.67     96.19     28.58 
     3       47.21     0.240000  1.450000  0.900000  60.000000        45.60     79.87     58.40     29.07     -9.44     -1.40     47.54     67.93     92.29     62.22 
     4       36.57     0.090000  2.400000  0.900000  30.000000        76.60     95.47     -2.40     35.73     35.00     13.40     -0.08     20.25     85.80      5.93 
     5       54.54     0.780000  4.200000  0.760000  70.000000        86.00     62.00     75.40      7.47      4.44     53.60     59.29     78.29     87.89     31.05 
     6       50.43     1.000000  4.900000  0.770000  70.000000        83.40     68.80     33.80     -8.80     31.11     50.80     52.46     74.00     86.03     32.65 
     7       51.70     0.510000  4.050000  0.640000  20.000000        81.20     67.60     81.60      7.47     -3.89     31.20     48.41     70.69     94.10     38.58 
     8       52.31     0.770000  3.350000  0.640000  20.000000        64.00     67.20     86.20     -2.67      9.44     44.60     62.94     76.11     85.80     29.44 
     9       55.02     1.350000  1.450000  0.560000  50.000000        86.40     50.00     51.60     31.47     14.44     83.10     51.19     74.73     86.67     20.56 
    10       41.78     2.050000  1.400000  0.440000  120.000000        69.80     44.27     30.60     -8.27     13.33     66.20     40.00     68.36     82.40     11.11 
    11       48.74     1.920000  1.550000  0.590000  80.000000        95.20     42.00     40.20     18.13     -3.89     83.50     48.73     71.45     84.49      7.59 
    12       46.69     1.950000  1.650000  0.600000  80.000000        76.40     55.73     39.40     -6.67     11.67     69.50     48.02     73.60     86.67     12.59 
    13       52.56     1.510000  2.000000  0.480000  60.000000        71.60     49.20     64.60     10.13     12.22     65.90     61.43     77.24     94.60     18.70 
    14       49.20     1.240000  3.000000  0.480000  30.000000        73.60     52.27     39.80     18.13      4.44     64.50     51.11     72.11     98.78     17.22 
    15       47.87     1.170000  3.550000  0.530000  60.000000        85.20     53.73     46.40     16.27      7.78     55.00     46.90     66.04     83.81     17.59 
    16       44.46     1.710000  1.700000  0.560000  100.000000        82.20     35.47     57.20     13.33    -30.56     73.40     39.60     69.71     90.34     13.89 
    17       47.89     2.060000  3.300000  0.500000  150.000000        79.80     50.80     38.20      5.60     34.44     61.60     40.00     71.02     80.50     16.91 
    18       42.41     2.130000  1.050000  0.430000  160.000000        62.80     41.20     30.60     16.53     -0.00     74.50     39.84     67.16     79.14     12.35 
    19       40.05     2.550000  2.550000  0.400000  150.000000        66.80     40.80     25.20    -12.00     17.22     62.20     45.56     65.16     80.27      9.32 
    20       47.35     2.000000  4.150000  0.450000  190.000000        87.60     41.20     51.00     22.93     -4.44     72.90     41.03     59.75     85.40     16.17 
    21       43.76     2.060000  6.150000  0.520000  190.000000        80.40     44.93     44.80     -0.27      9.44     78.40     32.70     59.35     79.59      8.27 
    22       46.30     1.690000  7.650000  0.640000  250.000000        72.20     50.00     51.60      5.33      1.67     69.50     52.14     60.47     87.71     12.35 
    23       45.96     2.030000  8.300000  0.660000  230.000000        75.40     48.53     61.00      6.67      1.11     67.60     45.87     61.64     80.32     11.42 
    24       38.12     2.700000  6.950000  0.530000  260.000000        57.20     30.93     24.60      9.33      7.22     76.40     45.63     60.22     64.94      4.75 
    25       43.44     2.450000  6.950000  0.610000  250.000000        73.20     42.80     38.40     10.13     10.56     70.20     33.49     61.82     81.00     12.84 
